Massachusetts,매사추세츠주
Pioneer plaque,파이어니어 금속판
Puerto Rico,푸에르토리코
Arkansas River,아칸소강
Indianapolis 500,인디애나폴리스 500
Belarusian language,벨라루스어
Space Needle,스페이스 니들
University of Southern California,서던캘리포니아 대학교
United States Grand Prix West,미국 그랑프리 웨스트
Mississippi,미시시피주
U.S. Open Cup,US 오픈컵
"Gonzales County, Texas",곤잘레스군
"Grand County, Utah",그랜드군 (유타주)
Korean Air Lines Flight 007,대한항공 007편 격추 사건
54th Academy Awards,제54회 아카데미상
"Issaquah, Washington",이사콰
List of municipalities in Washington,워싱턴주의 도시 목록
Sons of Liberty,자유의 아들들
55th Academy Awards,제55회 아카데미상
"Portland, Oregon",포틀랜드 (오리건주)
Illinois,일리노이주
Salad,샐러드
Chicago,시카고
"Augusta, Maine",오거스타 (메인주)
GMC (automobile),GMC (자동차)
"Hartford, Connecticut",하트퍼드 (코네티컷주)
AT%26T,AT%26T
"Fort Worth, Texas",포트워스
"Cass County, North Dakota",캐스군 (노스다코타주)
Kickstarter,킥스타터
Polynesia,폴리네시아
World Trade Center (1973–2001),세계 무역 센터 (1973년~2001년)
New Mexico,뉴멕시코주
Bloomberg L.P.,블룸버그 L.P.
English language,영어
NBC,NBC
"Glendale, Arizona",글렌데일 (애리조나주)
Canadian Shield,캐나다 순상지
"Paragould, Arkansas",패러굴드
"Prattville, Alabama",프랫빌
"Kent County, Michigan",켄트군 (미시간주)
"Palmer, Alaska",파머 (알래스카주)
"Eddy County, North Dakota",에디군 (노스다코타주)
List of boroughs and census areas in Alaska,알래스카주의 군 목록
Amherst College,애머스트 칼리지
Ivy League,아이비 리그
"Worcester, Massachusetts",우스터 (매사추세츠주)
"Aurora, Colorado",오로라 (콜로라도주)
Xbox Live Arcade,엑스박스 라이브 아케이드
"Ulster County, New York",얼스터군
2012 Major League Baseball season,2012년 메이저 리그 베이스볼 시즌
Google Search,구글 검색
Lower Manhattan,로어맨해튼
