George Washington,조지 워싱턴
Julia Mancuso,줄리아 맨쿠소
Picabo Street,피커보 스트리트
Kim Carnes,킴 칸스
Chris Rock,크리스 록
Helen M. Berman,헬렌 M. 버먼
Carolyn Bertozzi,캐럴린 R. 버토지
Lisa Raymond,리사 레이먼드
Claire Holt,클레어 홀트
Jack Bauer,잭 바우어
Karen Bardsley,캐런 바즐리
Adam Carolla,애덤 캐럴라
Miley Cyrus,마일리 사이러스
John Adams,존 애덤스
Daphne Koller,대프니 콜러
John McCain,존 매케인
Kevin Mitnick,케빈 미트닉
Tom DeLonge,톰 델론지
Mark Hoppus,마크 호퍼스
Joanna S. Fowler,조애나 파울러
Helen Murray Free,헬렌 머리 프리
Rachel Fuller Brown,레이첼 풀러 브라운
Valerie Solanas,밸러리 솔라나스
Deval Patrick,디벌 패트릭
Jennette McCurdy,제넷 매커디
Susan Landau,수잔 랜도우
Ruzena Bajcsy,루제나 바이츠시
Jimmy Bennett,지미 베넷
Mick Foley,믹 폴리
Emily Dickinson,에밀리 디킨슨
Mary L. Good,메리 L. 굿
Jon Abrahams,존 에이브럼스
Rodger Bumpass,로저 범패스
Anna Faris,애나 패리스
James Coburn,제임스 코번
Stephanie L. Kwolek,스테퍼니 퀄렉
Jonny Lee Miller,조니 리 밀러
Ned Beatty,네드 비티
Mitt Romney,밋 롬니
Thomas Jefferson,토머스 제퍼슨
James Madison,제임스 매디슨
Tiger Woods,타이거 우즈
Samuel Alito,새뮤얼 알리토
Clarence Thomas,클래런스 토머스
Elena Kagan,엘레나 케이건
Sonia Sotomayor,소니아 소토마요르
Larry Sanger,래리 생어
Catherine Coleman,캐서린 콜먼
John Paul Stevens,존 폴 스티븐스
Ruth Bader Ginsburg,루스 베이더 긴즈버그
John Quincy Adams,존 퀸시 애덤스
Dwayne Johnson,드웨인 존슨
Abraham Lincoln,에이브러햄 링컨
Jimmy Wales,지미 웨일스
Barack Obama,버락 오바마
James Monroe,제임스 먼로
John Tyler,존 타일러
Clancy Brown,클랜시 브라운
Zach Gilford,자크 길퍼드
George W. Bush,조지 W. 부시
Andrew Jackson,앤드루 잭슨
Troian Bellisario,트로이언 벨리사리오
Elvis Presley,엘비스 프레슬리
Carl Sagan,칼 세이건
James K. Polk,제임스 K. 포크
William Henry Harrison,윌리엄 헨리 해리슨
Sandra Day O'Connor,샌드라 데이 오코너
Peyton Manning,페이턴 매닝
Anthony Kennedy,앤서니 케네디
Nelson Rockefeller,넬슨 록펠러
Martin Van Buren,마틴 밴 뷰런
John Roberts,존 로버츠
Antonin Scalia,안토닌 스칼리아
Alison Lohman,앨리슨 로먼
Jonathan Winters,조너선 윈터스
Ken Jennings,켄 제닝스
Radia Perlman,래디아 펄먼
Bob Dylan,밥 딜런
Linda Lovelace,린다 러브레이스
Beck,벡
Vince Gilligan,빈스 길리건
Ezra Klein,에즈라 클라인
Chloë Grace Moretz,클로이 그레이스 머레츠
Jean Bartik,진 바틱
Evelyn Berezin,에블린 베레진
Michael Bloomberg,마이클 블룸버그
Marge Simpson,마지 심슨
Karl Brown,칼 브라운
Homer Simpson,호머 심슨
Jenna Jameson,제나 제임슨
David Rockefeller,데이비드 록펠러
Marlene Dietrich,마를레네 디트리히
Scrooge McDuck,스크루지 맥덕
Ward Cunningham,워드 커닝엄
Bill Maher,빌 마
Axl Rose,액슬 로즈
Marilyn Monroe,메릴린 먼로
Daniel Craig,대니얼 크레이그
Frank Herbert,프랭크 허버트
Joseph Brodsky,조지프 브로드스키
Zachary Taylor,재커리 테일러
Ivory Joe Hunter,아이보리 조 헌터
Prince,프린스
Barbra Streisand,바브라 스트라이샌드
Franklin Delano Roosevelt,프랭클린 D. 루스벨트
Maggie Simpson,매기 심슨
Coco Austin,코코 오스틴
Rachel Maddow,레이철 매도
Ron Howard,론 하워드
Anita Borg,어니타 보그
David DeCoteau,데이비드 더코토
Robert Legato,롭 레가토(Rob Legato)
Stefen Fangmeier,스테픈 팽마이어
"Weird Al" Yankovic,위어드 알 얀코빅
Martin Luther King Jr.,마틴 루터 킹 2세
Corbin Bleu,코빈 블루
Meryl Streep,메릴 스트립
Kevin Costner,케빈 코스트너
Britney Spears,브리트니 스피어스
Serena Williams,세리나 윌리엄스
Jack Sholder,잭 숄더
Jonathan Glassner,조너선 글래스너
Richard Edlund,리처드 에드런드
Albert Einstein,알베르트 아인슈타인
Patti Smith,패티 스미스
Stevie Wonder,스티비 원더
Herman Melville,허먼 멜빌
Andrew Johnson,앤드루 존슨
Neil Young,닐 영
Jimmy Kimmel,지미 키멀
Eugenio Calabi,에우제니오 칼라비
Cher,셰어
Pamela Kyle Crossley,패멀라 카일 크로슬리
Franklin Pierce,프랭클린 피어스
Thomas Edison,토머스 에디슨
Cynthia Dwork,신시아 드워크
Carl Barks,칼 바크스
John Frazier,존 프레이저
Craig Barron,크레이그 배런
Bill Gates,빌 게이츠
James Buchanan,제임스 뷰캐넌
Joan Lorring,조앤 로링
John Bardeen,존 바딘
Bruce Springsteen,브루스 스프링스틴
Venus Williams,비너스 윌리엄스
Jason Lee,제이슨 리
Dave Grohl,데이브 그롤
Gordon Freeman,고든 프리맨
Bill Clinton,빌 클린턴
Millard Fillmore,밀러드 필모어
Kurt Cobain,커트 코베인
Steven Spielberg,스티븐 스필버그
Larry Page,래리 페이지
Stan Coveleski,스탠 코벨레스키
Adele Goldberg,아델 골드버그
James Meredith,제임스 메러디스
Miranda Cosgrove,미란다 코스그로브
Bruno Mars,브루노 마스
Lynn Conway,린 콘웨이
Beth Ditto,베스 디토
Gary Gygax,게리 가이객스
Walt Disney,월트 디즈니
Harry S. Truman,해리 S. 트루먼
Mario,마리오
Humphrey Tonkin,험프리 톤킨
George Soros,조지 소로스
Aaliyah,알리야
