Diego Velázquez,디에고 벨라스케스
Joaquín Rodrigo,호아킨 로드리고
Natalia Jiménez,나탈리아 히메니즈
Miguel Hidalgo y Costilla,미겔 이달고 이 코스티야
Carlos VI del Sacro Imperio Romano Germánico,카를 6세
José María Aznar,호세 마리아 아스나르
Dani Carvajal,다니 카르바할
Rubén Pardo,루벤 파르도
Pablo Picasso,파블로 피카소
Paco de Lucía,파코 데 루시아
Amadeo I de España,아마데오 1세
Santillana (futbolista),카를로스 알론소 곤살레스
Jesús Fernández (futbolista),헤수스 페르난데스 코야도
Jorge Guillén,호르헤 기옌
José Echegaray,호세 에체가라이
Daniel Barenboim,다니엘 바렌보임
José Ortega y Gasset,호세 오르테가 이 가세트
Lionel Messi,리오넬 메시
Raúl Albiol,라울 알비올
Joan-Enric Vives,주안엔리크 비베스 시실리아
Mariana de Neoburgo,마리아 아나 폰 팔츠노이부르크
José Antonio Primo de Rivera,호세 안토니오 프리모 데 리베라
Daniel Brühl,다니엘 브륄
Juan Gris,후안 그리스
Ana de Austria (reina de Francia),안 도트리슈
Rafael Alberti,라파엘 알베르티
Julio Iglesias,훌리오 이글레시아스
Francisco de Goya,프란시스코 고야
Salvador Dalí,살바도르 달리
José Luis Panizo,호세 루이스 파니소
Alfonso XII de España,알폰소 12세
Rafael Alkorta,라파엘 알코르타
Carlos Leal,카를로스 레알
Joan Miró,호안 미로
María Teresa de Austria (1638-1683),마리테레즈 도트리슈
Carlos Cuéllar,카를로스 케야르
Sergio Rodríguez Gómez,세르히오 로드리게스 (농구 선수)
Montserrat Caballé,몽세라 카바예
Garbiñe Muguruza,가르비녜 무구루사
Hernán Cortés,에르난 코르테스
Shakira,샤키라
Felipe II de España,펠리페 2세
Pichichi (futbolista),라파엘 모레노 아란사디
Leonor de Austria,레오노르 데 아우스트리아 왕녀
Julio Salinas,훌리오 살리나스
Javier Solana,하비에르 솔라나
Arturo Pérez-Reverte,아르투로 페레스 레베르테
Antonio Maceda,안토니오 마세다
Carlos X de Francia,샤를 10세
Simón Bolívar,시몬 볼리바르
Artur Mas,아르투르 마스
Carlos II de España,카를로스 2세 (스페인)
Lluís Llach,유이스 야흐
Silvia Abril,실비아 아브릴
Ronaldinho,호나우지뉴
Isco,이스코
Margarita de Austria (1480-1530),마르가레테 폰 외스터라이히 여대공 (1480년)
Margarita de Austria-Estiria,마르가레테 폰 외스터라이히 여대공 (1584년)
Jorge Semprún,호르헤 셈프룬
María Ana de Austria (emperatriz del Sacro Imperio Romano Germánico),마리아 아나 데 에스파냐 왕녀
Margarita Teresa de Austria,마르가리타 테레사 데 에스파냐 왕녀
María de Austria y Portugal,마리아 데 아우스트리아
Camilo José Cela,카밀로 호세 셀라
Isabel Clara Eugenia de Austria,이사벨 클라라 에우헤니아
David Villa,다비드 비야
Plácido Domingo,플라시도 도밍고
Asier Illarramendi,아시에르 이야라멘디
Carlos III de España,카를로스 3세 (스페인)
Itziar Ituño,이치아르 이투뇨
Felipe III de España,펠리페 3세
Rafael Nadal,라파엘 나달
Marcelo Vieira,마르셀루 비에이라
Fernando Álvarez de Toledo y Pimentel,페르난도 알바레스 데 톨레도 데 알바 공작
Wolfgang Ratz,볼프강 라츠
Epifanio Fernández,에피파니오 페르난데스
Jacinto Benavente,하신토 베나벤테
Ricky Martin,리키 마틴
Ana de Austria (reina de España),안나 폰 외스터라이히 여대공 (1549년)
Sofía de Grecia,스페인 왕대비 소피아
Juan de Austria,돈 후안 데 아우스트리아
Eugenia de Montijo,외제니 드 몽티조
Juan Ramón Jiménez,후안 라몬 히메네스
Felipe González,펠리페 곤살레스
Manuel Valls Galfetti,마뉘엘 발스
Manuel Almunia,마누엘 알무니아
Raúl González Blanco,라울 곤살레스
Alberto Bayo,알베르토 바요
Patricio Escobal,파트리시오 에스코발
Jorge Camacho Cordón,호르헤 카마초
Sancho Gracia,산초 그라시아
Mariano Rajoy,마리아노 라호이
Vicente Aleixandre,비센테 알레익산드레
Carlos de Austria (príncipe de Asturias),카를로스 데 아우스트리아 공
Alberto Contador,알베르토 콘타도르
Javier Bardem,하비에르 바르뎀
Ángela Molina,앙헬라 몰리나
María Barranco,마리아 바랑코
Teresa de Jesús,테레사 데 헤수스
José Martí,호세 마르티
Luis del Sol,루이스 델 솔
Catalina de Aragón,카탈리나 다라곤 왕녀
José Raúl Capablanca,호세 라울 카파블랑카
Pueblo español,스페인인
Francisco Pizarro,프란시스코 피사로
David Silva,다비드 실바
Iker Casillas,이케르 카시야스
Fernando Alonso,페르난도 알론소
José Luis Rodríguez Zapatero,호세 루이스 로드리게스 사파테로
Marc Márquez,마르크 마르케스
Emilio Butragueño,에밀리오 부트라게뇨
Pánfilo de Narváez,판필로 데 나르바에스
Penélope Cruz,페넬로페 크루스
Miguel Induráin,미겔 인두라인
Mario Vargas Llosa,마리오 바르가스 요사
Rafa Benítez,라파엘 베니테스
Catalina de Erauso,카타리나 데 에라우소
Fernando Rey,페르난도 레이
Javi Navarro,하비 나바로
Enrique Simonet,엔리케 시모네
Mikel González,미켈 곤살레스 마르티네스
