Figueras,피게레스
España,스페인
Historia de España,스페인의 역사
Gran Premio de Europa,유럽 그랑프리
Nerja,네르하
Calella,칼렐랴
Idioma español,스페인어
Idioma catalán,카탈루냐어
Jerez de la Frontera,헤레스데라프론테라
Villarreal Club de Fútbol,비야레알 CF
Xerez Club Deportivo,헤레스 CD
Barcelona,바르셀로나
Gerona,지로나
Pirineos,피레네산맥
Pontevedra,폰테베드라
La Línea de la Concepción,라리네아데라콘셉시온
Madrid,마드리드
Provincia de Gerona,지로나도
Lloret de Mar,류레트데마르
Fútbol Club Barcelona,FC 바르셀로나
Mataró,마타로
Economía de España,스페인의 경제
Sistema de ligas de fútbol de España,스페인 축구 리그 시스템
Valladolid,바야돌리드
Galicia,갈리시아주
Palencia,팔렌시아
Ronda,론다 (스페인)
Montilla,몬티야
Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽
Asturias,아스투리아스주
Cantabria,칸타브리아주
Malgrat de Mar,말그라트데마르
Girona Fútbol Club,지로나 FC
Athletic Club,아틀레틱 빌바오
Guadalajara (España),과달라하라 (스페인)
Real Madrid Club de Fútbol,레알 마드리드 CF
País Vasco,바스크주
Hércules de Alicante Club de Fútbol,에르쿨레스 CF
Club Deportivo Guadalajara (España),CD 과달라하라 (스페인)
Alicante,알리칸테
Bilbao,빌바오
Valle de Arán,아란 계곡
Navarra,나바라주
Club Atlético de Madrid,아틀레티코 마드리드
Huesca,우에스카
Sevilla,세비야
Real Club Celta de Vigo,셀타 비고
Unión Deportiva Las Palmas,UD 라스팔마스
Club Deportivo Lugo,CD 루고
Miranda de Ebro,미란다데에브로
Club Deportivo Mirandés,CD 미란데스
Vigo,비고 (폰테베드라도)
Dosríus,도스리우스
Sociedad Deportiva Huesca,SD 우에스카
Las Palmas de Gran Canaria,라스팔마스
Aragón,아라곤주
Real Betis Balompié,레알 베티스
Palamós,팔라모스
Palafrugell,팔라프루제이
Euskera,바스크어
La Coruña,라코루냐
Real Club Deportivo de La Coruña,데포르티보 라코루냐
Mar Mediterráneo,지중해
Euro,유로
Idioma aragonés,아라곤어
Málaga,말라가
Badajoz,바다호스
Murcia,무르시아
Idioma portugués,포르투갈어
Mallorca,마요르카섬
Sociedad Deportiva Ponferradina,SD 폰페라디나
Cáceres,카세레스
Real Club Deportivo Mallorca,RCD 마요르카
Real Madrid Castilla Club de Fútbol,레알 마드리드 카스티야
Viladecans,빌라데칸스
Río Garona,가론강
Levante Unión Deportiva,레반테 UD
