André-Pierre Gignac,앙드레피에르 지냐크
Porfirio Díaz,포르피리오 디아스
Gerónimo,제로니모
Stephen F. Austin,스티븐 오스틴
Genaro García Luna,게나로 가르시아 루나
Gerardo Torrado,헤라르도 토라도
Lucas Barrios,루카스 바리오스
Javier Hernández Balcázar,하비에르 에르난데스 발카사르
Anahí,아나이
Pedro Armendáriz,페드로 아르멘다리스
Manuel M. Ponce,마누엘 퐁세
Katy Jurado,케이티 후라도
María del Rosario Espinoza Espinoza,마리아 에스피노사
Dominika Paleta,도미니카 팔레타
Frida Kahlo,프리다 칼로
Plutarco Elías Calles,플루타르코 엘리아스 카예스
José López Portillo,호세 로페스 포르티요
Miguel Alemán Valdés,미겔 알레만 발데스
Pablo Barrera Acosta,파블로 바레라
Omar Bravo,오마르 브라보
Vicente Zarazúa,비센테 사라수아
Louis C.K.,루이스 C.K.
Guadalupe Victoria,과달루페 빅토리아
Thalía,탈리아
Diego Luna,디에고 루나
Venustiano Carranza,베누스티아노 카란사
Héctor Moreno,엑토르 모레노
Jorge Campos,호르헤 캄포스
Carlos Slim,카를로스 슬림 엘루
Vicente Guerrero,비센테 게레로
Eduardo Capetillo,에두아르도 카페티요
Tania Libertad,타니아 리베르타드
Edith González,에디트 곤살레스
Antonio Carbajal,안토니오 카르바할
Carlos Fuentes,카를로스 푸엔테스
Francisco León de la Barra,프란시스코 레온 데 라 바라
Zuria Vega,수리아 베가
Ana de la Reguera,아나 데라라게라
Lila Downs,릴라 다운스
Ramón Vargas,라몬 바르가스
Kate del Castillo,케이트 델카스티요
Daniel Bautista Rocha,다니엘 바우티스타
Mario Molina,마리오 J. 몰리나
Diego Rivera,디에고 리베라
Jared Borgetti,하레드 보르헤티
Efraín Juárez,에프라인 후아레스
Sebastián Lerdo de Tejada,세바스티안 레르도 데 테하다
Francisco Carvajal,프란시스코 S. 카르바할
Carlos Salinas de Gortari,카를로스 살리나스 데 고르타리
Gustavo Díaz Ordaz,구스타보 디아스 오르다스
Andrés Guardado,안드레스 과르다도
Adriana Sage,아드리아나 세이지
Pedro Lascuráin,페드로 라스쿠라인
Manuel Ávila Camacho,마누엘 아빌라 카마초
Jonathan dos Santos,호나탄 도스 산토스
Alfonso Cuarón,알폰소 쿠아론
David Alfaro Siqueiros,다비드 시케이로스
Guillermo Franco Farquarson,기예르모 프랑코
Paul Aguilar,파울 니콜라스 아길라르
Adolfo Ruiz Cortines,아돌포 루이스 코르티네스
Ricardo Osorio,리카르도 오소리오
Egidio Arévalo Ríos,에히디오 아레발로
Pável Pardo,파벨 파르도
Luis Echeverría Álvarez,루이스 에체베리아
Juan Gabriel Castro,후안 카스트로
José Joaquín de Herrera,호세 호아킨 데 에레라
Kuno Becker,쿠노 베커
Nicolás Bravo,니콜라스 브라보
Gael García Bernal,가엘 가르시아 베르날
Andrés Manuel López Obrador,안드레스 마누엘 로페스 오브라도르
Lucero,루세로
Lorena Ochoa,로레나 오초아
Inés Efron,이네스 에프론
Emilio Portes Gil,에밀리오 포르테스 힐
José Saturnino Cardozo,호세 카르도소
Rafael Márquez Álvarez,라파엘 마르케스
Gloria Trevi,글로리아 트레비
Humberto Ramos,움베르토 라모스
Dolores Heredia,돌로레스 헤레디아
Giselle Itié,지젤 이티에
Benito Juárez,베니토 후아레스
Alejandro Cárdenas,알레한드로 카르데나스
Luis Hernández,루이스 에르난데스
Alfonso Ortiz Tirado,알폰소 오티즈 티아도
Mariano Arista,마리아노 아리스타
Guido Pizarro,기도 피사로
Adolfo López Mateos,아돌포 로페스 마테오스
Guadalupe Marín,과달루페 마린
Lupe Vélez,루페 벨레스
Silvia Pinal,실비아 피날
Pablo de Escandón,파블로 데 에스칸돈 이 바론
Manuel de Escandón,마누엘 데 에스칸돈 이 바론
Emiliano Zapata,에밀리아노 사파타
Marga López,마르가 로페스
Samadhi Zendejas,사마디 센데하스
Jessica Alba,제시카 알바
Bora Milutinović,보라 밀루티노비치
Místico,미스티코
Sara Ramírez,사라 라미레스
Israel Castro,이스라엘 카스트로
Ximena Navarrete,히메나 나바레테
Antonio López de Santa Anna,안토니오 로페스 데 산타 안나
Vicente Fox,비센테 폭스
Patricia Navidad,파트리시아 나비다드
Paulina Rubio,파울리나 루비오
León Trotski,레프 트로츠키
Alejandro González Iñárritu,알레한드로 곤살레스 이냐리투
Felipe Colombia,펠리페 콜롬보
Ricardo Montalbán,리카르도 몬탈반
Cara Buono,카라 부오노
Pancho Villa,판초 비야
Javier Aguirre,하비에르 아기레
José Clemente Orozco,호세 클레멘테 오로스코
Óscar de la Hoya,오스카 데라호야
Carlos Vela,카를로스 벨라
Mónica Ocampo,모니카 오캄포
Mariano Paredes y Arrillaga,마리아노 파레데스
Javier Solís,하비에르 솔리스
Juan Rulfo,후안 룰포
Octavio Paz,옥타비오 파스
Agustín Lara,아구스틴 라라
Patricia Espinosa Cantellano,파트리시아 에스피노사
Miguel de Icaza Amozorrutia,미겔 데 이카사
Óscar Salazar Blanco,오스카르 살라사르
Alessandra Rosaldo,알레산드라 로살도
Erubey Cabuto,에루베이 카부토
Guillermo Ochoa,기예르모 오초아
Francisco Ignacio Madero González,프란시스코 I. 마데로
Adam McKay,애덤 매케이
Sergio Pérez,세르히오 페레즈
Cantinflas,칸틴플라스
Miguel Ángel Mancera Espinosa,미겔 앙헬 만세라
César Millán,세사르 밀란
Luis Buñuel,루이스 부뉴엘
Anthony Quinn,앤서니 퀸
Felipe Calderón,펠리페 칼데론
Sinha,안토니오 나엘손
Ignacio Ramírez,이그나시오 라미레스
Anastasio Bustamante,아나스타시오 부스타만테
Alfonso García Robles,알폰소 가르시아 로블레스
Alberto Del Rio,알베르토 델 리오
Edward James Olmos,에드워드 제임스 올모스
Cuauhtémoc Blanco,콰우테모크 블랑코
Carlos Salcido,카를로스 살시도
Miguel de la Madrid Hurtado,미겔 데 라 마드리드
Lázaro Cárdenas,라사로 카르데나스
Olga Costa,올가 코스타
Ernesto Zedillo,에르네스토 세디요
Victoriano Huerta,빅토리아노 우에르타
María Rojo,마리아 로호
Abelardo L. Rodríguez,아벨라르도 L. 로드리게스
Olivia Harrison,올리비아 해리슨
Carlton Cuse,칼톤 쿠즈
Oswaldo Sánchez,오스왈도 산체스
Guillermo del Toro,기예르모 델 토로
Álvaro Obregón,알바로 오브레곤
Carlos Gallardo,카를로스 가야르도
Francisco Javier Rodríguez Pineda,프란시스코 하비에르 로드리게스
Paola Espinoza,파올라 에스피노사
Kat Von D,카트 폰 D
Adriana Barraza,아드리아나 바라자
Verónica Segura,베로니카 세구라
Enrique Peña Nieto,엔리케 페냐 니에토
Vikki Carr,비키 카
Carmen Boullosa,카르멘 부로사
Maribel Domínguez,마리벨 도밍게스
Sandra Echeverría,산드라 에체베리아
Benito Archundia,베니토 아르춘디아
El Zorro,조로
Jorge Cuesta,호르헤 쿠에스타
Mauricio Islas,마우리시오 이슬라스
Manuel Gómez Pedraza,마누엘 고메스 페드라사
Maite Perroni,마이테 페로니
Julieta Venegas,훌리에타 베네가스
Leonora Carrington,리어노라 캐링턴
Laura Harring,로라 해링
Mariana Levy,마리아나 레비
Dolores del Río,돌로레스 델리오
Vicente Fernández,비센테 페르난데스
Mario Van Peebles,마리오 밴 피블스
Francisco González Bocanegra,프란시스코 곤살레스 보카네그라
Edgar Castillo,에드가르 카스티요
Danna Paola,다나 파올라
John Sutter,존 서터
Salma Hayek,살마 하예크
Lola Álvarez Bravo,롤라 알바레스 브라보
Elpidia Carrillo,엘피디아 칼리로
Dulce María,둘체 마리아
Angélica María,앙겔리카 마리아
Carlos Chávez,카를로스 차베스
José Guadalupe Osuna Millán,호세 과달루페 오수나 밀란
Guillermo Hayden Wright,기예르모 아이덴 리그트
Belinda,벨린다
Consuelo Velázquez,콘수엘로 벨라스케스
Kitten Natividad,키튼 나티비더드
Daniel Aceves,다니엘 아세베스
Luis Miguel,루이스 미겔
Yadhira Carrillo,야드히라 카리요
Amado Nervo,아마도 네르보
Chavela Vargas,차벨라 바르가스
Libertad Lamarque,리베르타드 라마르케
Amado Carrillo Fuentes,아마도 카릴로 푸엔테스
Linda Christian,린다 크리스티안
Cecilia Suárez,세실리아 수아레스
Bárbara Mori,바르바라 모리
Pascual Ortiz Rubio,파스쿠알 오르티스 루비오
Ernesto Canto,에르네스토 칸토
Rodolfo de Anda,로돌포 데 안다
Oribe Peralta,오리베 페랄타
Christian Giménez,크리스티안 히메네스
Susana González,수사나 곤살레스
Jacqueline Bracamontes,자클린 브라카몬테스
Marco Antonio Rodríguez Moreno,마르코 안토니오 로드리게스
Ilan Stavans,일란 스타반스
Adolfo de la Huerta,아돌포 데 라 우에르타
Agustín I de México,아구스틴 데 이투르비데
Demián Bichir,데미안 비치르
José de Urrea,호세 데 우레아
Ramiro Peña,라미로 페냐
Claudio Suárez,클라우디오 수아레스
Nailea Norvind,나일레아 노르빈드
Ninel Conde,니넬 콘데
Julia Pastrana,훌리아 파스트라나
Lhasa de Sela,라싸 데 셀라
Alejandro Aragón,알레한드로 아라곤
Lucas Lobos,루카스 로보스
Raúl Jiménez,라울 히메네스
José Ailton Da Silva,조제 아이우통 다 시우바
Soraya Jiménez,소라야 히메네스
Paulina Gaitán,파울리나 가이탄
Leticia Calderón,레티샤 칼데론
Joaquín Guzmán Loera,호아킨 구스만 로에라
Isela Vega,이셀라 베가
Jorge Gutiérrez,호르헤 구티에레스
Claudio Brook,클로디오 브룩
Fernando Valenzuela,페르난도 발렌수엘라
Lorena Rojas,로레나 로자스
Juan Velázquez Tlacotzin,벨라스케스 틀라코친
Eustaquio de Escandón,에우스타키오 데 에스칸돈 이 바론
Jorga Torres de Marfil,호르헤 토레스 밀로
Marco Fabián de la Mora,마르코 파비안
Lupita Tovar,루피타 토바르
María Félix,마리아 펠릭스
Ulises Dávila,울리세스 다빌라
Roberto Orci,로베르토 오르시
Emilio Fernández,에밀리오 페르난데스
Vicente Carrillo Fuentes,빈센트 카릴로 푸엔테스
Aarón Díaz,아론 디아스
Ramón Morales,라몬 모랄레스
Osvaldo Benavides,오스발도 베나비데스
Subcomandante Marcos,마르코스 부사령관
Oneli Pérez,오넬리 페레스
Manny Martínez,매니 마르티네스
José María Bocanegra,호세 마리아 보카네그라
Graciela Iturbide,그레이시엘라 이스타이드
Alejandra Guzmán,알레한드라 구스만
Porfirio Muñoz Ledo,포르피리오 무뇨스 레도
Christian Bach,크리스티안 바흐
Pedro Infante,페드로 인판테
Adrián González,아드리안 곤살레스
Víctor Díaz,빅토르 디아스
Édgar Gerardo Elizondo González,에드가르 곤살레스
Julio DePaula,훌리오 데폴라
Hugo Sánchez Márquez,우고 산체스
Martín Perfecto de Cos,마르틴 페르펙토 데 코스
Daniel Giménez Cacho,다니엘 지메네스 카초
Carlos Villagrán,카를로스 비야그란
Ofelia Medina,오펠리아 메디나
Adela Noriega,애들 라노리에가
Ana Claudia Talancón,아나 클라우디아 탈랑콘
Jaydy Michel,하이디 미셸
Lucas Alamán,루카스 알라만
Jacob D. Bekenstein,야코브 베켄슈타인
Brontis Jodorowsky,브론티스 조도로브스키
Bruno Bichir,브루노 비치어
Julio César Chávez,훌리오 세사르 차베스
Alfonso Zamora,알폰소 자모라
Teresa Ruiz,테레사 루이스
Daniel Osorno,다니엘 오소르노
Adriana Fonseca,아드리아나 폰세카
José María Iglesias,호세 마리아 이글레시아스
Alaska,알라스카
Salvador Reyes Monteón,살바도르 레예스
Eugenio Caballero,에우헤니오 카바예로
Paloma Jiménez,팔로마 히메네즈
