Diego Velázquez,디에고 벨라스케스
José Luis Panizo,호세 루이스 파니소
Alfonso XII de España,알폰소 12세
Natalia Jiménez,나탈리아 히메니즈
Martin Suter,마틴 수 테르
Lionel Messi,리오넬 메시
Carlos VI del Sacro Imperio Romano Germánico,카를 6세
Rafael Alberti,라파엘 알베르티
Garbiñe Muguruza,가르비네 무구루사
Amadeo I de España,아마데오 1세
Montserrat Caballé,몽세라 카바예
Estrella Cabeza Candela,에스트레야 카베사
Miguel Hidalgo y Costilla,미겔 이달고 이 코스티야
Rafael Alkorta,라파엘 알코르타
Carlos Leal,카를로스 레알
Felipe II de España,펠리페 2세
Mariana de Neoburgo,팔츠노이부르크의 마리아 아나
José Antonio Primo de Rivera y Sáenz de Heredia,호세 안토니오 프리모 데 리베라
José María Aznar López,호세 마리아 아스나르
Sergio Rodríguez,세르히오 로드리게스
Joan Miró,호안 미로
Daniel Brühl,다니엘 브륄
Joan Enric Vives,호안엔리크 비베스 시실리아
Joaquín Rodrigo,호아킨 로드리고
Juan Gris,후안 그리스
Francisco de Goya,프란시스코 데 고야
José Ortega y Gasset,호세 오르테가 이 가세트
Miguel López Abril,미겔 로페스 아브릴
Carlos Cuéllar,카를로스 케야르
Raúl Albiol,라울 알비올
Salvador Dalí,살바도르 달리
Ana de Austria y Austria-Estiria,오스트리아의 앤
Naroa Agirre,나로아 아기레
Itziar Ituño,이치아르 이투뇨
Santillana,카를로스 알론소 곤살레스
Jorge Guillén,호르헤 기옌
Jesús Fernández,헤수스 페르난데스 코야도
Shakira,샤키라
Paco de Lucía,파코 데 루시아
Javier Solana,하비에르 솔라나
Artur Balder,아터 볼더
Felipe III de España,펠리페 3세
Pichichi,라파엘 모레노 아란사디
Arturo Pérez-Reverte,아르투로 페레스 레베르테
Loreto Mauleón,로레토 마울레온
Pablo Picasso,파블로 피카소
María Teresa de Austria,오스트리아의 마리 테레즈
Daniel Barenboim,다니엘 바렌보임
Carlos II de España,카를로스 2세
Carlos III de España,카를로스 3세
Ricky Martin,리키 마틴
Antonio Banderas,안토니오 반데라스
Illarramendi,아시에르 이야라멘디
Simón Bolívar,시몬 볼리바르
Julio Iglesias,훌리오 이글레시아스
Emilio Butragueño,에밀리오 부트라게뇨
Rafael Nadal,라파엘 나달
Sofía de Grecia,스페인 왕비 소피아
Carlos X,샤를 10세
José Echegaray,호세 에체가라이
Leonor de Austria,레오노르 데 아우스트리아
Felipe González,펠리페 곤살레스
Artur Mas,아르투르 마스
Penélope Cruz,페넬로페 크루스
Ronaldinho,호나우지뉴
Silvia Abril,실비아 아브릴
Jorge Semprún,호르헤 셈프룬
Antonio Maceda,안토니오 마세다
Néstor Almendros,네스토르 알멘드로스
Julio Salinas,훌리오 살리나스
Ana de Austria,오스트리아의 아나
Raúl González Blanco,라울 곤살레스
Manuel Valls,마누엘 발스
Marcelo Vieira,마르셀루 비에이라
Iker Casillas,이케르 카시야스
Epifanio Fernández,에피파니오 페르난데스
David Villa,다비드 비야
Daniel Carvajal,다니엘 카르바할
Manuel Almunia,마누엘 알무니아
Rubén Pardo,루벤 파르도
Juan de Austria,돈 후안 데 아우스트리아
Eugenia de Montijo,외제니 드 몽티조
Hernán Cortés,에르난 코르테스
Wolfgang Ratz,볼프강 라츠
Isco Alarcón,이스코
José Luzán,호세 루산
Pánfilo de Narváez,판필로 데 나르바에스
Fernando Alonso,페르난도 알론소
Fernando Álvarez de Toledo y Pimentel,페르난도 알바레스 데 톨레도 데 알바 공작
Pablo Espinosa,파블로 에스피노사
Lluís Llach Grande,유이스 야흐
Plácido Domingo,플라시도 도밍고
Marc Márquez,마르크 마르케스
Jacinto Benavente,하신토 베나벤테
José Luis Rodríguez Zapatero,호세 루이스 로드리게스 사파테로
Mario Vargas Llosa,마리오 바르가스 요사
Jean Reno,장 르노
Patricio Escobal,파트리시오 에스코발
Juan Carlos Onetti,후안 카를로스 오네티
Fernando Torres,페르난도 토레스
Federico García Lorca,페데리코 가르시아 로르카
Isabel Clara Eugenia de Austria,이사벨 클라라 에우헤니아
Vicente Aleixandre,비센테 알레익산드레
Margarita de Austria-Estiria,오스트리아의 마르가리타
Margarita de Austria,오스트리아의 마르게리타
José Marti,호세 마르티
Fernando Rey,페르난도 레이
Juan Ramón Jiménez,후안 라몬 히메네스
Mariano Rajoy,마리아노 라호이
Xavi Hernández,차비 에르난데스
Luis del Sol,루이스 델 솔
Francisco Pizarro,프란시스코 피사로
Carme Chacón,카르메 차콘
Gerard Piqué,제라르드 피케
Enrique Simonet,엔리케 시모네
María de Austria y Portugal,스페인의 마리아
Carlos de Austria,돈 카를로스 데 아우스트리아
Jonathan dos Santos,호나탄 도스 산토스
Ángela Molina,앙헬라 몰리나
Carles Puyol,카를레스 푸욜
Margarita Teresa de Austria,스페인의 마르가리타 테레사
María Ana de Austria y Austria-Estiria,스페인의 마리아 안나
David Silva,다비드 실바
Cesc Fàbregas,세스크 파브레가스
Thiago Alcántara,티아고 알칸타라
Ignacio de Loyola,로욜라의 이냐시오
Jorge Camacho Cordón,호르헤 카마초
Alberto Bayo Giroud,알베르트 바요
Sancho Gracia,산초 그라시아
Ángel Suquía,앙헬 수키아 고이코에체아
Camilo José Cela,카밀로 호세 셀라
Catalina de Aragón,아라곤의 캐서린
José Raúl Capablanca,호세 라울 카파블랑카
Víctor Valdés,빅토르 발데스
Pepe Reina,페페 레이나
Miguel Induráin,미겔 인두라인
Mikel González,미켈 곤살레스 마르티네스
Alberto Contador,알베르토 콘타도르
Javier Castillejo,하비에르 카스티예호
Alfredo Di Stéfano,알프레도 디 스테파노
españoles,스페인인
Andrés Iniesta,안드레스 이니에스타
Javier Bardem,하비에르 바르뎀
Andrés Guardado,안드레스 과르다도
Fernando Morientes,페르난도 모리엔테스
Julen Lopetegui,훌렌 로페테기
José Manuel Pinto,호세 마누엘 핀토
Alfonso XIII de España,알폰소 13세
Indira Terrero,인디라 테레로
Isabel de Valois,이사벨 데 발로이스
Luis Buñuel,루이스 부뉴엘
Antonio María Rouco Varela,안토니오 마리아 로우코 발레라
Pierre-Emerick Aubameyang,피에르에메릭 아우바메양
María Barranco,마리아 바랑코
Juan Bernat,후안 베르나트
Dani Parejo,다니엘 파레호
Àlex Corretja,알렉스 코레자
Josep Guardiola,펩 과르디올라
Javi Navarro,하비 나바로
Juan Carlos I de España,후안 카를로스 1세
Aritz Aduriz,아리츠 아두리스
Oriol Junqueras,오리올 중케라스
Lope de Vega,로페 데 베가
Elena de Borbón y Grecia,루고 공작 부인 엘레나
Víctor Curto Ortiz,빅토르 쿠르토
Curro Torres,쿠로 토레스
Alfonso Balcázar,알폰소 발카사르
César Rodríguez,세사르 로드리게스 알바레스
Secundino de la Rosa Márquez,세쿤 데라로사
Santiago Ramón y Cajal,산티아고 라몬 이 카할
Juana de Austria,오스트리아의 후아나
Ramón Barea,라몬 바레아
David de Gea,다비드 데 헤아
Pedro Almodóvar,페드로 알모도바르
Mariano García Remón,마리아노 가르시아 레몬
Lupe Fuentes,루프 푸엔테스
Santiago Calatrava,산티아고 칼라트라바
Juana I de Castilla,후아나 1세
Sinergio González Soriano,세르히오 곤살레스 소리아노
Juan Antonio Pizzi,후안 안토니오 피시
Catalina de Erauso,카타리나 데 에라우소
Enrique Iglesias,엔리케 이글레시아스
Vicente Guaita,비센테 과이타
Álvaro Morata,알바로 모라타
Matilde Camus,마틸데 카무스
Sergio Busquets,세르히오 부스케츠
Dani Güiza,다니엘 귀사
Isabel de Borbón-Parma,파르마 공녀 이사벨라
Manuel Pablo,마누엘 파블로
Xisco Jiménez Tejada,프란시스코 히메네스 테헤다
Emma Penella,에마 페네야
Sergio Canales Madrazo,세르히오 카날레스
Danny Ríos,다니엘 리오스
Cristian Tello,크리스티안 테요
Isabel II de España,이사벨 2세
Pedro Calderón de la Barca,페드로 칼데론 데 라 바르카
Vasco Núñez de Balboa,바스코 누녜스 데 발보아
Teresa de Jesús,아빌라의 테레사
Raúl Vicente Amarilla,라울 비센테 아마리야
Manolo Jiménez Jiménez,마누엘 히메네스 히메네스
Javi Paredes Arango,하비에르 파레데스
Markel Susaeta,마르켈 수사에타
Rafael Benítez,라파엘 베니테스
Luis Felipe Areta,루이스 펠리페 아레타
Luis Miguel Arconada,루이스 아르코나다
Alejandro González Iñárritu,알레한드로 곤살레스 이냐리투
Alberto Bueno,알베르토 부에노
Jesús Navas,헤수스 나바스
Carlos IV de España,카를로스 4세
Juan Antonio Samaranch,후안 안토니오 사마란치
Jaime Caruana,하이메 카루아나
Alejandro Cao de Benós de Les y Pérez,알레한드로 페레스
Álvaro González Soberón,알바로 곤살레스
Daniel Alves,다니 아우베스
Alejandro Pozuelo,알레한드로 포수엘로
Iago Aspas,이아고 아스파스
Miguel de Unamuno,미겔 데 우나무노
Isaac Cuenca,이사크 쿠엥카
José Callejón,호세 카예혼
José Luis Pérez Caminero,호세 루이스 카미네로
Mikel Balenziaga,미켈 발렌시아가
shalo castro,곤잘로 카스트로
Luis Milla,루이스 미야
Pedro Rodríguez Ledesma,페드로 로드리게스 레데스마
