Copa Mundial de Fútbol de 1986,1986년 FIFA 월드컵
Ejército Zapatista de Liberación Nacional,사파티스타 민족해방군
Día del maestro,교사의 날
México,멕시코
Grupo Televisa,텔레비사
Morelia,모렐리아
clasificación de RTC,RTC 영화 등급
Desierto de Sonora,소노라 사막
clasificación ESRB,ESRB 등급
Sierra Madre Oriental,동시에라마드레 산맥
espanglish,스팽글리쉬
México en los Juegos Olímpicos de México 1968,1968년 하계 올림픽 멕시코 선수단
lucha libre profesional,프로레슬링
mar Caribe,카리브해
México en los Juegos Olímpicos de Pekín 2008,2008년 하계 올림픽 멕시코 선수단
México en los Juegos Olímpicos de Vancouver 2010,2010년 동계 올림픽 멕시코 선수단
México en los Juegos Olímpicos de París 1900,1900년 하계 올림픽 멕시코 선수단
México en los Juegos Olímpicos de Londres 2012,2012년 하계 올림픽 멕시코 선수단
Saltillo,살티요
Aeromar,아에로마르
Mexicana de Aviación,멕시카나 항공
Estadio Azteca BBVA,에스타디오 아스테카
León de Los Aldama,레온
Hermosillo,에르모시요
península de Yucatán,유카탄반도
Día de Muertos,망자의 날
Golfo de California,캘리포니아 만
español,스페인어
Meridiano 105 oeste,서경 105도
Baja California,바하칼리포르니아주
México en los Juegos Olímpicos de Atenas 2004,2004년 하계 올림픽 멕시코 선수단
México en los Juegos Olímpicos de Sankt-Moritz 1928,1928년 동계 올림픽 멕시코 선수단
Palacio de los Deportes,팔라시오 데 로스 데스포르테스
Molokanes,molokan
Canal de Yucatán,유카탄 해협
Chimalhuacán,치말루아칸
Cuernavaca,쿠에르나바카
Aguascalientes,아과스칼리엔테스
Himno Nacional Mexicano,멕시코의 국가
Coahuila de Zaragoza,코아우일라주
Nuevo Laredo,누에보라레도
Cráter de Chicxulub,칙술루브 충돌구
Río Colorado,콜로라도강
Estado de Veracruz,베라크루스주
Mexicali,멕시칼리
Chiapas,치아파스주
gastronomía de México,멕시코 요리
Tuxtla Gutiérrez,툭스틀라구티에레스
RWE,RWE
Chilpancingo de los Bravo,칠판싱고
Zacatecas,사카테카스
Chihuahua,치와와주
Ciudad de México,멕시코시티
Copa Mundial de Fútbol de 1970,1970년 FIFA 월드컵
Ciudad Victoria,시우다드빅토리아
Zapopan,사포판
Guerrero,게레로주
Chichén Itzá,치첸이트사
Oaxaca de Juárez,오아하카
San Luis Potosí,산루이스포토시
peso mexicano,멕시코 페소
Yucatán,유카탄주
Villahermosa,비야에르모사
Chihuahua,치와와
Partido Verde Ecologista de México,멕시코 환경주의 녹색당
Pachuca de Soto,파추카
Segundo Imperio Mexicano,멕시코 제2제국
México en los Juegos Olímpicos de Berlín 1936,1936년 하계 올림픽 멕시코 선수단
Cancún,캉쿤
Nayarit,나야리트주
yidis,이디시어
Ecatepec de Morelos,에카테펙데모렐로스
Mérida,메리다
San Francisco de Campeche,캄페체
Guadalajara,과달라하라
Colima,콜리마주
Guanajuato,과나후아토
Golfo de Campeche,캄페체만
Tepic,테픽
Colima,콜리마
Miss Universo 1972,미스 유니버스 1972
Miss Universo 1971,미스 유니버스 1971
Miss Universo 1970,미스 유니버스 1970
Miss Universo 1977,미스 유니버스 1977
Miss Universo 1978,미스 유니버스 1978
Aeroméxico Connect,아에로멕시코 커넥트
Aeroméxico,아에로멕시코
Toluca de Lerdo,톨루카
Revolución Mexicana,멕시코 혁명
Naucalpan de Juárez,나우칼판
Culiacán,쿨리아칸
Tlaquepaque,틀라케파케
México en los Juegos Olímpicos de Los Ángeles 1932,1932년 하계 올림픽 멕시코 선수단
México en los Juegos Olímpicos de Ámsterdam 1928,1928년 하계 올림픽 멕시코 선수단
México en los Juegos Olímpicos de París 1924,1924년 하계 올림픽 멕시코 선수단
matrimonio entre personas del mismo sexo en México,멕시코의 동성결혼
Río Bravo,리오그란데강
selección de fútbol de México,멕시코 축구 국가대표팀
Morelos,모렐로스주
Placa Norteamericana,북미판
Nezahualcóyotl,시우다드네사우알코요틀
Universidad Nacional Autónoma de México,멕시코 국립 자치 대학교
La Paz,라파스
Michoacán,미초아칸주
Miss Universo 1962,미스 유니버스 1962
Miss Universo 1964,미스 유니버스 1964
Miss universo 1965,미스 유니버스 1965
Miss Universo 1963,미스 유니버스 1963
Torreón,토레온
Mayos de Navojoa,마요스 데 나베호아
Citlaltépetl,시틀랄테페틀산
San José Chinantequilla,산호세치난테키야
Teotihuacan,테오티우아칸
Trópico de Cáncer,북회귀선
Gran Premio de México,멕시코 그랑프리
Juegos Olímpicos de México 1968,1968년 하계 올림픽
Estadio de Béisbol Monterrey,에스타디오 드 베이스볼 몬테레이
Explosiones de Guadalajara de 1992,과달라하라 폭발 사고
Golfo de México,멕시코만
San Luis Potosí,산루이스포토시주
Frontera entre Guatemala y México,과테말라-멕시코 국경
Jalisco,할리스코주
península de California,바하칼리포르니아반도
Escudo Nacional de México,멕시코의 국장
Nuevo León,누에보레온주
Lago de Texcoco,텍스코코호
Uruapan,우루아판
Istmo de Tehuantepec,테우안테펙 지협
Puebla,푸에블라주
Santiago de Querétaro,케레타로
Mesoamérica,메소아메리카
Durango,두랑고주
Estado de Oaxaca,오아하카주
Querétaro,케레타로주
Xalapa-Enríquez,할라파
Anexo:Saltos en los Juegos Olímpicos de México 1968,1968년 하계 올림픽 다이빙
chocolate caliente,핫초코
Quintana Roo,킨타나로오주
Tigres de Quintana Roo,티그레스 데 킨타나로오
México en la Copa Mundial de Fútbol de 2006,2006년 FIFA 월드컵 선수 명단
náhuatl,나우아틀어
maya,유카텍어
ISO 3166-2:MX,ISO 3166-2:MX
Hospicio Cabañas,오스피치오 카바냐스
Ciudad Juárez,시우다드후아레스
Fonovisa Records,포노비사 레코드
Veracruz,베라크루스
Sinaloa,시날로아주
Tamaulipas,타마울리파스주
"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",이베로아메리카 국가 기구
Aguascalientes,아과스칼리엔테스주
Agua Prieta,아구아 프리에타
Apaxco,아팍스코
véneto,베네토어
Senado de México,공화국 상원
VIH/sida en México,멕시코의 HIV/AIDS
Tabasco,타바스코주
Paricutín,파리쿠틴산
Álamos,알라모스
Las Estrellas,카날 데 라스 에스트레야스
Hidalgo,이달고주
tarahumaras,타라우마라족
Árbol del Tule,툴레 나무
Calakmul,칼라크물
Idioma quiché,키체어
Desierto de Colorado,콜로라도 사막
Carretera Panamericana,팬아메리칸 하이웨이
acateco,아카텍어
chontal de Tabasco,촌탈 마야어
América Móvil,아메리카 모빌
Universidad de Sonora,소노라 대학교
Zona Rosa de la Ciudad de México,소나 로사
país neutral,중립
Zacatecas,사카테카스주
Popocatépetl,포포카테페틀산
Tampico,탐피코
chol,촐어
chuj,추흐어
ixil,이실어
Municipio de Tequixquiac,테킥스키악
Campeche,캄페체주
Monterrey,몬테레이
Meridiano 90 oeste,서경 90도
Grupo Modelo,그루포 모델로
Palenque,팔렌케
Islas Marietas,마리에타섬
Happy Science,행복의 과학
Batalla de Puebla,푸에블라 전투
Sonora,소노라주
Universidad Autónoma de Nuevo Sur,누에보레온 자치 대학교
Mr Gay World,미스터 게이 월드
Estado de México,멕시코주
quekchí,켁치어
Téenek,와스텍어
lacandón,라칸돈어
Anexo:Ciudades más pobladas de México,멕시코의 인구순 도시 목록
Carretera Federal 1,멕시코 연방 도로 제1호선
Guanajuato,과나후아토주
Tlaxcala,틀락스칼라주
Diablos Rojos del México,디아블로스 로호스 델 멕시코
Fuerzas Armadas de México,멕시코군
Pericos de Puebla,페리코스 데 푸에블라
Volaris,볼라리스 항공
Santuario de ballenas de El Vizcaíno,엘 비즈카이노 고래 보호 지역
Miss Universo 1989,미스 유니버스 1989
Algodoneros de Guasave,알고도네로스 데 과사베
Yaquis de Ciudad Obregón,야키스 데 오브레곤
Cemex,세멕스
Liga ARCO Mexicana del Pacífico,멕시코 태평양 리그
Club de Fútbol América,클럽 아메리카
Pulque,풀케
Chetumal,체투말
Jaltenco,할텡코
jacalteco,하칼테크어
mam,맘어
Ciudad Acuña,시우다드 아쿠냐
Primer Imperio Mexicano,멕시코 제1제국
Miss Universo 1993,미스 유니버스 1993
Castillo de Chapultepecec,차풀테펙성
Isla San Benedicto,산베네딕토섬
Club deportivo Guadalajara,CD 과달라하라
Anexo:Medallero de los Juegos Olímpicos de México 1968,1968년 하계 올림픽 메달 집계
Guerra contra el narcotráfico en México,멕시코 마약 전쟁
chicha,치차
Parque nacional Lagunas de Montebello,몬테베요 호수군 국립공원
Partido del Siglo,이탈리아 대 서독
Ciudad López Mateos,시우다드 로페즈 마테오스
Secretaría de Relaciones Exteriores de México,멕시코 외무부
Coatzacoalcos,코아트사코알코스
