España,스페인
Figueras,피게레스
Villarreal Club de Fútbol,비야레알 CF
identificador FilmAffinity,Filmaffinity 식별자
Jerez de la Frontera,헤레스데라프론테라
Mataró,마타로
Xerez Club Deportivo,헤레스 CD
identificador BNE,스페인 국립도서관 ID
Código Nacional de Ocupaciones 2011,CNO-11 직업 코드
identificador CANTIC (antiguo),카탈루냐 국립도서관 ID
identificador CANTIC,CANTIC ID
Calella,칼레야
butifarra,보티파라
catalán,카탈루냐어
Gran Premio de Europa,유럽 그랑프리
identificador OID hemeroteca digital BNE,BNE 저널 ID
identificador BVMC de autor,BVMC 인물 ID
identificador BVPH de publicación,BVPH ID
Pontevedra,폰테베드라
código IGPCV,IGCPV ID
Fútbol Club Barcelona,FC 바르셀로나
identificador de la Gran Enciclopedia Catalana (antiguo),그란 백과사전 카탈루냐 ID
historia de España,스페인의 역사
Barcelona,바르셀로나
identificador el Diccionario Biográfico del Socialismo Español,DBSE ID
calificación del ICAA,ICAA 등급
Pirineos,피레네산맥
Gerona,지로나
sistema de ligas de fútbol de España,스페인 축구 리그 시스템
identificador AELG,AELG ID
identificador acb.com,acb.com ID
economía de España,스페인의 경제
Portbou,포르트보우
Valladolid,바야돌리드
identificador BVMC de obra,BVMC 작품 ID
provincia de Gerona,지로나주
Malgrat de Mar,말그라트데마르
Valle de Arán,아란 계곡
Las Palmas de Gran Canaria,라스팔마스 데 그란 카나리아
Galicia,갈리시아 지방
Palencia,팔렌시아
Club Deportivo Lugo,CD 루고
Miranda de Ebro,미란다데에브로
identificador PARES,PARES ID
español,스페인어
Madrid,마드리드
Unión Deportiva Las Palmas,UD 라스팔마스
Asturias,아스투리아스 지방
Club Deportivo Guadalajara,CD 과달라하라
Alicante,알리칸테
Cantabria,칸타브리아 지방
Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽
código SIPCA,SIPCA 코드
identificador ICAA de catálogo de películas,ICAA 영화 카탈로그 ID
identificador Museo del Prado de artista,Museo del Prado 아티스트 ID
Atlético de Madrid,아틀레티코 마드리드
Guadalajara,과달라하라
Girona Futbol Club,지로나 FC
Athletic Club,아틀레틱 빌바오
Real Madrid C.F.,레알 마드리드 CF
Huesca,우에스카
Dosrius,도스리우스
Sociedad Deportiva Huesca,SD 우에스카
País Vasco,바스크 지방
Hércules Club de Fútbol,에르쿨레스 CF
Real Club Deportivo de La Coruña,데포르티보 라코루냐
Vigo,비고
Lloret de Mar,요렛데마르
Blanes,블라네스
Navarra,나바라 지방
La Línea de la Concepción,라리네아데라콘셉시온
euskera,바스크어
Garona,가론강
Real Club Celta de Vigo,셀타 비고
Monzón,몬손
International Airlines Group,국제 항공 그룹
Aragón,아라곤 지방
Real Betis Balompié,레알 베티스
Getafe Club de Fútbol,헤타페 CF
Getafe,헤타페
Club Deportivo Mirandés,CD 미란데스
euro,유로
Real Club Deportivo Espanyol de Barcelona,RCD 에스파뇰
Mediterráneo,지중해
La Coruña,라코루냐
Vilasar de Mar,빌라사르데마르
Bilbao,빌바오
Arenys de Mar,아레니스데마르
portugués,포르투갈어
Nerja,네르하
aragonés,아라곤어
Sevilla,세비야
Soria,소리아
Montilla,몬티야
Cataluña,카탈루냐
La Rioja,라리오하 지방
Granada Club de Fútbol,그라나다 CF
Valencia,발렌시아
Arenys de Munt,아레니스데문트
Almazán,알마산
Comunidad Valenciana,발렌시아주
Comunidad de Madrid,마드리드 지방
Región de Murcia,무르시아 지방
Ronda,론다
Granada,그라나다
Levante UD,레반테 UD
Club Deportivo Numancia de Soria,CD 누만시아
Racing de Santander,라싱 산탄데르
Extremadura,에스트레마두라 지방
Castilla-La Mancha,카스티야라만차 지방
Castilla y León,카스티야이레온 지방
Sociedad Deportiva Ponferradina,SD 폰페라디나
Real Murcia Club de Fútbol,레알 무르시아
Santander,산탄데르
Andalucía,안달루시아 지방
Palma de Mallorca,팔마데마요르카
península ibérica,이베리아반도
Mallorca,마요르카섬
Palafrugell,팔라프루젤
Ponferrada,폰페라다
Islas Baleares,발레아레스 제도
Tortosa,타르토자
Guipúzcoa,기푸스코아주
Málaga Club de Fútbol,말라가 CF
Gran Premio de España,스페인 그랑프리
provincia de Jaén,하엔주
Málaga,말라가
Sevilla Fútbol Club,세비야 FC
Rayo Vallecano,라요 바예카노
gallego,갈리시아어
Real Club Deportivo Mallorca,RCD 마요르카
provincia de Málaga,말라가주
Burgos,부르고스
Real Zaragoza,레알 사라고사
Valencia Club de Fútbol,발렌시아 CF
Real Club Recreativo de Huelva,레크레아티보 우엘바
San Sebastián,산세바스티안
Córdoba,코르도바
Zaragoza,사라고사
Murcia,무르시아
Huelva,우엘바
Gijón,히혼
Centre d'Esports Sabadell Futbol Club,CE 사바델
Real Madrid Castilla Club de Fútbol,레알 마드리드 카스티야
provincia de Orense,오렌세주
Club Atlético Osasuna,CA 오사수나
Canarias,카나리아 제도
Real Sporting de Gijón,스포르팅 히혼
Villarreal,비야레알
ruta europea E90,유럽 고속도로 90호선
Primera División de España 1985/86,라리가 1985-86
Alcorcón,알코르콘
Las Palmas,라스팔마스
Ceuta,세우타
Sabadell,사바델
provincia de Sevilla,세비야주
aranés,아란어
Pamplona,팜플로나
Real Valladolid Club de Fútbol,레알 바야돌리드
provincia de Tarragona,타라고나주
provincia de Huelva,우엘바주
Orense,오렌세
provincia de Lugo,루고주
Elche Club de Fútbol,엘체 CF
Palamós,팔라모스
Melilla,멜리야
provincia de Santa Cruz de Tenerife,산타크루스데테네리페주
Unión Deportiva Almería,UD 알메리아
Macaronesia,마카로네시아
Estación de Almendrales,알멘드랄레스역
Elche,엘체
provincia de Pontevedra,폰테베드라주
Estadio Olímpico de La Cartuja,에스타디오 올림피코 데 라 카르투하
San Lorenzo de El Escorial,산로렌소데엘에스코리알
carretera europea,유럽 고속도로
sefardíes,스파라드 유대인
Toledo,톨레도
Isla de los Faisanes,꿩섬
Recopa de Europa 1979-80,1979-80년 유러피언컵위너스컵
Real Sociedad de Fútbol,레알 소시에다드
Segunda División de España 1966/67,세군다 디비시온 1966-67
La Barceloneta,바르셀로네타
La Gomera,라고메라섬
Segunda División de España 1968/69,세군다 디비시온 1968-69
Campeonato Mundial de fútbol sala de la FIFA 1996,1996년 FIFA 풋살 세계 선수권 대회
comunidad autónoma,스페인의 광역자치주
Autovía de la Meseta Sur,오토비아 데 라 메세타 수르 (스페인)
Puente la Reina,푸엔테라레이나가레스
.cat,.cat
Fútbol Club Barcelona Atlètic,FC 바르셀로나 B
Córdoba Club de Fútbol,코르도바 CF
Agrupación Deportiva Alcorcón SAD,AD 알코르콘
