Madrid,마드리드
Barcelona,바르셀로나
Sevilla,세비야
Málaga,말라가
Zaragoza,사라고사
Kingdom of Spain,스페인
Palma,팔마데마요르카
Valencia,발렌시아
Santa Cruz de Tenerife,산타크루스데테네리페
Santiago de Compostela,산티아고데콤포스텔라
Santander,산탄데르
Logroño,로그로뇨
Valladolid,바야돌리드
Pamplona,팜플로나
Oviedo,오비에도
Bilbao,빌바오
Toledo,톨레도
Jerez de la Frontera,헤레스데라프론테라
Granada,그라나다
Elche,엘체
Córdoba,코르도바
Cartagena,카르타헤나
Cadiz,카디스
Almería,알메리아
Alicante,알리칸테
Algeciras,알헤시라스
Albacete,알바세테
Melilla,멜리야
Marbella,마르베야
Mataró,마타로
Terrassa,테라사
A Coruña,라코루냐
Gijón,히혼
Getafe,헤타페
Burgos,부르고스
Badalona,바달로나
Avilés,아빌레스
Vigo,비고
Alcalá de Henares,알칼라데에나레스
Ciudad Real,시우다드레알
Cáceres,카세레스
Benidorm,베니도름
Leganés,레가네스
Cuenca,쿠엥카
Teruel,테루엘
Soria,소리아
Segovia,세고비아
Pozuelo de Alarcón,포수엘로데알라르콘
Ponferrada,폰페라다
Palencia,팔렌시아
Móstoles,모스톨레스
Huesca,우에스카
Alcorcón,알코르콘
Alcobendas,알코벤다스
Canary Islands,카나리아 제도
Castilla-La Mancha,카스티야라만차 지방
Extremadura,에스트레마두라 지방
Comunitat Valenciana,발렌시아 지방
Sanlúcar de Barrameda,산루카르데바라메다
El Puerto de Santa María,엘푸에르토데산타마리아
Benalmádena,베날마데나
Comunitat Autònoma de les Illes Balears,발레아레스 제도
Aragon,아라곤 지방
Castilla y León,카스티야이레온 지방
Aranjuez,아란후에스
Tenerife South Airport,테네리페 수르 공항
Adolfo Suárez Madrid–Barajas Airport,마드리드 바라하스 국제공항
Úbeda,우베다
Ceuta,세우타
Almuñécar,알무녜카르
Región de Murcia,무르시아 지방
Mallorca,마요르카 섬
La Rioja,라리오하 지방
Cantabria,칸타브리아 지방
Miranda de Ebro,미란다데에브로
Comunidad de Madrid,마드리드 지방
Principality of Asturias,아스투리아스 지방
Navarra,나바라 지방
Melilla,멜리야
Zaragoza Airport,사라고사 공항
Andalusia,안달루시아 지방
Peñón de Vélez de la Gomera,페뇽데벨레스데라고메라 섬
Tarifa,타리파
Jalón,할론
El Hierro,엘이에로 섬
Chipiona,치피오나
Buñol,부뇰
Balearic Islands,발레아레스 제도
Arcos de la Frontera,아르코스데라프론테라
Águilas,아길라스
Puerto Real,푸에르토레알
Montilla,몬티야
Europe,유럽
Catalunya,카탈루냐 지방
Galicia,갈리시아 지방
Euskal Autonomia Erkidegoa,바스크 지방
San Lorenzo de El Escorial,산로렌소데엘에스코리알
Entrena,엔트레나
El Escorial,엘에스코리알
Jaca,하카
Ayerbe,아예르베
Arroyomolinos,아로요몰리노스
Arenys de Mar,아레니스데마르
Zumarraga,수마라가
Universidad de Salamanca,살라망카 대학교
La Gomera,라고메라 섬
Bailén,바일렌
Almería,알메리아 주
Alcántara,알칸타라
Santo Domingo de la Calzada,산토도밍고데라칼사다
Montjuïc,몬주이크
Província de Castelló,카스테욘
Tordesillas,토르데시야스
Tibidabo,티비다보
Provincia de Ourense,오렌세주
Gipuzkoa,기푸스코아 주
Biescas,비에스카스
Arnedo,아르네도
Bizkaia,비스카야 주
Ágreda,아그레다
Abejar,아베하르
Pasaia,파사이아
Camp Nou,캄 노우
Estadio Santiago Bernabéu,에스타디오 산티아고 베르나베우
Sierra Nevada,시에라네바다 산맥
Casa de Campo,카사 데 캄포
Museo del Prado,프라도 미술관
Guggenheim Museum Bilbao,빌바오 구겐하임 미술관
Olivenza,올리벤사
Auditorio de Tenerife,테네리페 음악당
Museo Arqueológico Nacional,국립 고고학 박물관
Alhambra,알람브라
Montserrat,몬세라트 수도원
Barca,바르카
Almarza,알마르사
Adradas,아드라다스
Museo Thyssen-Bornemisza,티센보르네미차 미술관
Casa Batlló,카사 바트요
Casa Milà,카사 밀라
