Mexico City,멕시코시티
Puebla,푸에블라
Tijuana,티후아나
Santiago de Querétaro,케레타로
Mexico,멕시코
Guadalajara,과달라하라
Ciudad Juárez,시우다드후아레스
Oaxaca,오악사카
Mérida,메리다
Tuxtla,툭스틀라구티에레스
San Luis Potosí,산루이스포토시
Saltillo,살티요
Morelia,모렐리아
Monterrey,몬테레이
Mexicali,멕시칼리
Chihuahua,치와와
Aguascalientes,아과스칼리엔테스
Hermosillo,에르모시요
Cancún,칸쿤
Acapulco de Juárez,아카풀코
Pachuca de Soto,파추카
Estado de Oaxaca,오아하카주
Nuevo Laredo,누에보라레도
Naucalpan de Juárez,나우칼판
Cuernavaca,쿠에르나바카
Coatzacoalcos,코아트사코알코스
Ciudad Victoria,시우다드빅토리아
Chetumal,체투말
Estado de Yucatán,유카탄주
Villahermosa,비야에르모사
Estado de Veracruz-Llave,베라크루스주
Toluca,톨루카
Estado de Tamaulipas,타마울리파스주
Puerto Vallarta,푸에르토바야르타
Estado de Durango,두랑고주
Victoria de Durango,두랑고
Estado de Coahuila de Zaragoza,코아우일라주
Estado de Chihuahua,치와와주
Estado de Baja California Sur,바하칼리포르니아수르주
Estado de Baja California,바하 칼리포르니아 주
Tepic,테픽
Estado de Sonora,소노라주
Estado de Sinaloa,시날로아주
Estado de Jalisco,할리스코주
Guanajuato,과나후아토
Estado de Zacatecas,사카테카스주
Zacatecas,사카테카스
Estado de Campeche,캄페체주
Reynosa,레이노사
Estado de Quintana Roo,킨타나로오주
Estado de Puebla,푸에블라주
Playa del Carmen,플라야델카르멘
Estado de México,멕시코주
Estado de Guerrero,게레로주
Cholula,촐룰라
Estado de Chiapas,치아파스 주
Veracruz,베라크루스
Tampico,탐피코
Estado de Tabasco,타바스코주
Estado de San Luis Potosí,산루이스포토시주
Los Mochis,로스모치스
Estado de Colima,콜리마주
Ciudad Obregón,시우다드오브레곤
Estado de Nayarit,나야리트주
Estado de Michoacán de Ocampo,미초아칸주
Mazatlán,마사틀란
Uruapan,우루아판
San Miguel de Allende,산미겔데아옌데
Ensenada,엔세나다
Estado de Querétaro,케레타로주
Puerto Escondido,푸에르토에스콘디도
Estado de Morelos,모렐로스주
Estado de Hidalgo,이달고주
Ciudad de México,멕시코시티
Estado de Tlaxcala,틀락스칼라주
Cabo San Lucas,카보산루카스
Manzanillo,만사니요
Estado de Aguascalientes,아과스칼리엔테스주
Benito Juárez International Airport,멕시코시티 국제공항
La Paz,라파스
Tequila,테킬라
Tecate,테카테
North America,북아메리카
Cancún International Airport,칸쿤 국제공항
Los Cabos,로스카보스
Chiapa de Corzo,치아파데코르소
Aguascalientes,아과스칼리엔테스
Campeche,캄페체
Loreto,로레토
Isla Socorro,소코로 섬
Puebla,푸에블라
Culiacán,쿨리아칸
Colima,콜리마
Toluca,톨루카
Izamal,이사말
Mérida,메리다
Manzanillo,만사니요
Apaxco,아팍스코
Nextlalpan,넥스틀랄판
Tlalnepantla de Baz,틀랄네판틀라데바스
Tequixquiac,테킥스키악
Palenque,팔렝케
La Barca,라바르카
