François Hollande,프랑수아 올랑드
Vilfredo Pareto,빌프레도 파레토
Louis de Beaufront,루이 드 보프롱
Joachim du Bellay,조아섕 뒤 벨레
Guibert de Nogent,기베르 드 노장
Pierre Abélard,피에르 아벨라르
Charles Baudelaire,샤를 보들레르
Nicolas Sarkozy,니콜라 사르코지
Rémi Garde,레미 가르드
Adrien Rabiot,아드리앵 라비오
François de Guise,프랑수아 드 기즈 공작
Théophile Cart,테오필 카르
Bérénice Bejo,베레니스 베조
Alexis Claude Clairaut,알렉시 클로드 클레로
Auguste Comte,오귀스트 콩트
Luce Irigaray,뤼스 이리가레
Georges Brassens,조르주 브라상
Arthur Rimbaud,아르튀르 랭보
Sarah Bernhardt,사라 베르나르
Jean-François Champollion,장프랑수아 샹폴리옹
Georges Duhamel,조르주 뒤아멜
Claude Debussy,클로드 드뷔시
Henry Dunant,앙리 뒤낭
Claude Monet,클로드 모네
Gaston Waringhien,가스통 바랭기앵
Paul Doumer,폴 두메르
Edmond Privat,에드몽 프리바
Jean-Claude Killy,장클로드 킬리
Chrétien de Troyes,크레티앵 드 트루아
Stendhal,스탕달
Émile Zola,에밀 졸라
Jean Jaurès,장 조레스
Bafétimbi Gomis,바페팀비 고미스
Bernard Werber,베르나르 베르베르
Luigi Cherubini,루이지 케루비니
Jean-Martin Charcot,장마르탱 샤르코
Marine Le Pen,마린 르펜
Olivier Besancenot,올리비에 브장스노
Jacques Chaban-Delmas,자크 샤방델마스
Arlette Laguiller,아를레트 라기예르
René Maurice Fréchet,모리스 르네 프레셰
Henri Farman,앙리 파르망
Le Corbusier,르 코르뷔지에
Yassine Benzia,야신 벤지아
Félix Tisserand,펠릭스 티세랑
Sylvain Marveaux,실뱅 마르보
Léon Blum,레옹 블룸
Gustave Eiffel,귀스타브 에펠
Émile Boirac,에밀 부아라크
Michel Hazanavicius,미셸 하자나비시우스
Sławomir Mrożek,스와보미르 므로제크
Aly Cissokho,알리 시소코
Bérénice Marlohe,베레니스 마를로
Louis Pasteur,루이 파스퇴르
Michel Rocard,미셸 로카르
Alain Poher,알랭 포에르
Raymond Barre,레몽 바르
Jean-Auguste-Dominique Ingres,장오귀스트도미니크 앵그르
Jacques Balutin,자크 밸루틴
Octave Mirbeau,옥타브 미르보
Avril Lavigne,에이브릴 라빈
Jean Moulin,장 물랭
Victor Hugo,빅토르 위고
Hedi Slimane,에디 슬리먼
André-Marie Ampère,앙드레마리 앙페르
Samuel Umtiti,사뮈엘 움티티
Édouard Balladur,에두아르 발라뒤르
Louis Blériot,루이 블레리오
Pierre Barouh,피에르 바루
Jean Gabin,장 가뱅
Urbain II,교황 우르바노 2세
Steed Malbranque,스티드 말브랑크
Auguste Rodin,오귀스트 로댕
Stéphane Mallarmé,스테판 말라르메
Andreï Tarkovski,안드레이 타르콥스키
Hector Berlioz,엑토르 베를리오즈
Jean-Pierre Papin,장피에르 파팽
Grégory Coupet,그레고리 쿠페
Paul Verlaine,폴 베를렌
Henri Matisse,앙리 마티스
Rémy Vercoutre,레미 베르쿠트르
Alexandre Lacazette,알렉상드르 라카제트
Valérie Barlois,발레리 바를루아
Léon Walras,레옹 발라스
Jean-Michel Henry,장미셸 앙리
Franck Boidin,프랑크 부아댕
Pierre Bonnard,피에르 보나르
Ludovic Sané,라미네 사네
François Bayrou,프랑수아 바이루
Nicolas Dupont-Aignan,니콜라 뒤퐁에냥
Barbara,바르바라 (가수)
Bienvenu de Miollis,비앵브뉘 드 미올리
Paul Langevin,폴 랑주뱅
Raymond Schwartz,레몽 슈바르츠
Jacques Cheminade,자크 슈미나드
Adèle Haenel,아델 에넬
Landry N'Guemo,란드리 눈게모
Yoan Gouffran,요안 구프랑
Maurice Ravel,모리스 라벨
Frédéric Chopin,프레데리크 쇼팽
Philippe Pétain,필리프 페탱
Adolphe Thiers,아돌프 티에르
Héloïse (abbesse),엘로이즈
Alfred Sauvy,알프레드 소비
Frédéric Bastiat,프레데리크 바스티아
Jean-Baptiste Say,장바티스트 세
Bernard Arnault,베르나르 아르노
Benoît Trémoulinas,베누아 트레물리나
François Quesnay,프랑수아 케네
Rachi,라시 (랍비)
M'Baye Niang,음바예 니앙
