Maryse Bastié,마리즈 바스티에
François Hollande,프랑수아 올랑드
Georges Brassens,조르주 브라상
Vilfredo Pareto,빌프레도 파레토
Louis de Beaufront,루이 드 보프롱
Bérénice Marlohe,베레니스 마를로
Léon Blum,레옹 블룸
Guibert de Nogent,노장의 기베르
Pierre Abélard,피에르 아벨라르
Jean-François Champollion,장프랑수아 샹폴리옹
Sarah Bernhardt,사라 베르나르
Bernard Werber,베르나르 베르베르
Henry Dunant,앙리 뒤낭
Claude Monet,클로드 모네
François de Guise,프랑수아 드 기즈 공작
Le Corbusier,르 코르뷔지에
Nicolas Sarkozy,니콜라 사르코지
Bérénice Bejo,베레니스 베조
Jean-Claude Killy,장클로드 킬리
Arthur Rimbaud,아르튀르 랭보
Sławomir Mrożek,스와보미르 므로제크
Bafétimbi Gomis,바페팀비 고미스
Edmond Privat,에드몽 프리바
Rémi Garde,레미 가르데
Michel Hazanavicius,미셸 하자나비시우스
Joachim du Bellay,조아생 뒤 벨레
Luce Irigaray,뤼스 이리가레
Félix Tisserand,펠릭스 티세랑
Émile Zola,에밀 졸라
Chrétien de Troyes,크레티앵 드 트루아
Émile Boirac,에밀 부아라크
Jacques Bousquet,자크 부스케
Claude Debussy,클로드 드뷔시
Aly Cissokho,알리 시소코
Louis Pasteur,루이 파스퇴르
Yves Mariot,이브 마리오
Charles Baudelaire,샤를 보들레르
Adrien Rabiot,아드리앙 라비오
Jean Jaurès,장 조레스
Stendhal,스탕달
Paul Doumer,폴 두메르
Jacques Balutin,자크 밸루틴
Auguste Comte,오귀스트 콩트
Jean-Martin Charcot,장마르탱 샤르코
François-Édouard Picot,프랑수아에두아르 피코
Louis Couturat,루이 쿠튀라
Yassine Benzia,야신 벤지아
Luigi Cherubini,루이지 케루비니
Hedi Slimane,해디 슬리만
Alexis Claude Clairaut,알렉시 클로드 클레로
Gaston Waringhien,가스통 바랭기앵
Sylvain Marveaux,실뱅 마르보
Théophile Cart,테오필 카르
Georges Duhamel,조르주 뒤아멜
Stéphane Mallarmé,스테판 말라르메
André-Marie Ampère,앙드레마리 앙페르
Urbain II,교황 우르바노 2세
Claude Hagège,클로드 아제주
Maurice Ravel,모리스 라벨
Georges Richard,조르주 리샤르
Victor Hugo,빅토르 위고
Jean-Louis Touraine,장루이 투렌
Paul Verlaine,폴 베를렌
Olivier Besancenot,올리비에 브장스노
Avril Lavigne,에이브릴 라빈
Louis Blériot,루이 블레리오
Frédéric Chopin,프레데리크 쇼팽
Robert Brasillach,로베르 브라지야크
Héloïse d'Argenteuil,엘로이즈
Henri Émile Sauvage,앙리 에밀 소바주
Marine Le Pen,마린 르펜
Jacques Chaban-Delmas,자크 샤방델마스
Maurice Fréchet,모리스 르네 프레셰
Henri Farman,앙리 파르망
Gustave Eiffel,귀스타브 에펠
Françoise Sagan,프랑수아즈 사강
Mahiedine Mekhissi-Benabbad,마히딘 메키시
Édith Piaf,에디트 피아프
Jean Gabin,장 가뱅
Patrice Verchère,파트리스 베르셰르
Michel Rocard,미셸 로카르
Andreï Tarkovski,안드레이 타르콥스키
Charles Aznavour,샤를 아즈나부르
André Kouprianoff,앙드레 쿠프리아노프
Maxime Raybaud,막심 레보
Adolphe Thiers,아돌프 티에르
Jean Moulin,장 물랭
Auguste Rodin,오귀스트 로댕
Henri Matisse,앙리 마티스
Philippe Pétain,필리프 페탱
Jean-Auguste-Dominique Ingres,장오귀스트도미니크 앵그르
Yves Blein,이브 블랭
Octave Mirbeau,옥타브 미르보
Bienvenu de Miollis,비앵브뉘 드 미올리
Serge Gainsbourg,세르주 갱스부르
Maurice Genevoix,모리스 준부아
Jean-Luc Mélenchon,장뤽 멜랑숑
Pierre Barouh,피에르 바루
Hector Berlioz,엑토르 베를리오즈
Arlette Laguiller,아를레트 라기예르
Adil Rami,아딜 라미
Zinedine Zidane,지네딘 지단
Adèle Haenel,아델 에넬
Paul Langevin,폴 랑주뱅
José Bové,조제 보베
Pierre-Joseph Proudhon,피에르조제프 프루동
Tony Garnier,토니 가르니에
Étienne Lousteau,에티엔 루스토
Édouard Balladur,에두아르 발라뒤르
Yoan Gouffran,요앙 구프랑
Alain Poher,알랭 포에르
Georges Lagrange,조르주 라그랑주
Gérard Collomb,제라르 콜롱
Renaud Lavillenie,르노 라빌레니
Sophie Germain,소피 제르맹
Raymond Barre,레몽 바르
Jean-Marie Le Pen,장마리 르펜
Henriette Walter,앙리에트 왈테르
Marcel Duchamp,마르셀 뒤샹
Gustave Doré,귀스타브 도레
Michel Mercier,미셸 메르시에
Marie Curie,마리 퀴리
Simone de Beauvoir,시몬 드 보부아르
Paul Henri Thiry d’Holbach,폴 앙리 디트리히 돌바크
Landry Nguémo,란드리 눈게모
Ludovic Sané,라미네 사네
Franck Boidin,프랑크 부아댕
Laurent Blanc,로랑 블랑
Mathieu Debuchy,마티외 드뷔시
Évariste Galois,에바리스트 갈루아
Yohan Cabaye,요앙 카바예
Michel Audiard,미셸 오디아르
Valérie Barlois,발레리 바를루아
Marie-Anne Pierrette Paulze,마리안 폴즈 라부아지에
Sophie Moressée-Pichot,소피 모르세피쇼
Jean-Michel Henry,장미셸 앙리
Corentin Martins,코랑탱 마르탱
Sabri Lamouchi,사브리 라무시
Michel Onfray,미셸 옹프레
Julien Offray de La Mettrie,쥘리앵 오프루아 드 라메트리
Mathieu Valbuena,마티외 발뷔에나
Steed Malbranque,스티드 말브랑크
Hugo Lloris,위고 요리스
Daniel Balavoine,다니엘 발라부안
Igor Stravinsky,이고리 스트라빈스키
Barbara,바르바라
Jacques Cheminade,자크 셰미나드
Nicolas Dupont-Aignan,니콜라 뒤퐁애냥
Blaise Matuidi,블레즈 마투이디
Raymond Schwartz,레몽 슈바르츠
François Bayrou,프랑수아 바이루
Jean-Marc Ayrault,장마르크 에로
Franck Ribéry,프랑크 리베리
Mbaye Niang,음바예 니앙
Émilie du Châtelet,에밀리 뒤 샤틀레
Karim Benzema,카림 벤제마
Benoît Trémoulinas,베누아 트레물리나
Laurent Koscielny,로랑 코시엘니
Olivier Giroud,올리비에 지루
Alou Diarra,알루 디아라
Rémy Vercoutre,레미 베르쿠트르
Pierre Bonnard,피에르 보나르
Philippe Mexès,필리프 멕세스
Patrice Évra,파트리스 에브라
Napoléon II,나폴레옹 2세
Rachida Dati,라시다 다티
Samir Nasri,사미르 나스리
Alexandre Lacazette,알렉상드르 라카제트
Marc Planus,마르크 플라뉘
Florent Malouda,플로랑 말루다
Marcel Proust,마르셀 프루스트
Laurent Jalabert,로랑 잘라베르
Gaël Clichy,가엘 클리시
Bernard Arnault,베르나르 아르노
Irène Joliot-Curie,이렌 졸리오퀴리
Hatem Ben Arfa,아템 벤 아르파
Jérémy Ménez,제레미 메네즈
Boris Vian,보리스 비앙
Florian Thauvin,플로리앙 토뱅
Napoléon III,나폴레옹 3세
Samuel Umtiti,사뮈엘 윔티티
Rachi,라시
Alfred Jarry,알프레드 자리
Alice Belaïdi,앨리스 벨라이디
Charles X,샤를 10세
Stéphane Audran,스테판 오드랑
André-Pierre Gignac,앙드레피에르 지냐크
Nicolas Anelka,니콜라 아넬카
Roger Pierre,로제 피에르
Louis-Philippe Ier,루이 필리프 1세
Romain Élie,로맹 엘리
Mehdi Mostefa,메흐디 모스테파
Cédric Carrasso,세드리크 카라소
Louis XI de France,루이 11세
Jules Verne,쥘 베른
Louis Bonaparte,루이 보나파르트
Jules Hardouin-Mansart,쥘 아르두앙 망사르
Louis Antoine de Pardaillan de Gondrin,루이 앙투안 드 파르다이앙 드 공드렝
Anthony Réveillère,앙토니 레베이에르
Sébastien Squillaci,세바스티앵 스킬라치
David Guetta,다비드 게타
Steve Mandanda,스테브 망당다
Sambou Yatabaré,삼부 야타바레
Yann M'Vila,얀 음빌라
Louis XV,루이 15세
Sébastien Loeb,세바스티앵 뢰브
Jérémy Toulalan,제레미 툴랄랑
Abou Diaby,아부 디아비
Marvin Martin,마르뱅 마르탱
Paul Bocuse,폴 보퀴즈
Éric Abidal,에리크 아비달
Robert Delaunay,로베르 들로네
Augustin Louis Cauchy,오귀스탱 루이 코시
Marc Décimo,마르크 데시모
Maryline Desbiolles,마릴린 데비올
