Paris,파리
identifiant PACTOLS,PACTOLS 시소러스 ID
Pays de la Loire,페이드라루아르
Flandre,플란데런
allemand,독일어
français,프랑스어
identifiant CIQUAL,CIQUAL2017 ID
identifiant Haute Autorité pour la transparence de la vie publique,HATVP 인물 ID
identifiant B.R.A.H.M.S. d'un artiste,BRAHMS 아티스트 ID
numéro DORIS,DORIS ID
numéro RCR,RCR 번호
identifiant Musée d'Orsay d'une œuvre,오르세 미술관 예술품 ID
identifiant Mérimée,Mérimée ID
France,프랑스
code Insee d'une commune,프랑스통계청 지자체 코드
tour Eiffel,에펠탑
Languedoc-Roussillon,랑그도크루시용
identifiant Titan,타이탄 ID
identifiant Sandre d'un cours d'eau,SANDRE ID
identifiant Sénat (France),senat.fr ID
identifiant Joconde d'une œuvre,Joconde 작품 ID
Guadeloupe,과들루프
Martinique,마르티니크
Concarneau,콩카르노
identifiant B.R.A.H.M.S. d'une œuvre,BRAHMS 작품 ID
identifiant AlloCiné nom,AlloCiné 인물 ID
identifiant VERIF,BFMTV.com 감독 ID
identifiant École pratique des hautes études,EPHE ID
identifiant AlloCiné société,AlloCiné 기업 ID
Poitou-Charentes,푸아투샤랑트
identifiant Bibliothèque nationale de France,프랑스 국립도서관 ID
identifiant Societe.com d'un dirigeant,Societe.com 감독 ID
identifiant Sycomore,Sycomore ID
identifiant Atlas,아틀라스 ID
identifiant AlloCiné titre,AlloCiné 영화 ID
identifiant IdRef,IdRef ID
code informatique de la ville de Paris,파리시의 디지털 코드
identifiant Gran Enciclopèdia Catalana (ancien),그란 백과사전 카탈루냐 ID
identifiant AlloCiné série,AlloCiné 시리즈 ID
NOR,NOR
numéro SIREN,SIREN 번호
La Réunion,레위니옹
classification du CNC,프랑스 CNC 등급
Minitel,미니텔
identifiant Musée d'Orsay d'un artiste,Musée d'Orsay 아티스트 ID
identifiant La France savante CTHS,CTHS 인물 ID
code Insee d'un canton,프랑스통계청 캉통 코드
code Insee d'une région,프랑스통계청 레지옹 코드
code métier ROME,ROME 직업 코드 (v3)
code métier IDEO,IDEO 직업 식별자
Mayotte,마요트
code Insee d'un département,프랑스통계청 데파르트망 코드
Bernay,베르네
identifiant César,CESAR 인물 ID
identifiant AGORHA d'une œuvre,AGORHA 작품 ID
Saint-Mandé,생망데
aéroport de La Réunion-Roland-Garros,롤랑 가로 공항
aéroport de Pierrefonds,피에르퐁 공항
arrondissement de Dijon,디종 아롱디스망
code FANTOIR,FANTOIR 코드
identifiant TAXREF (INPN),TAXREF ID
identifiant de vidéo Ina,INA 비디오 ID
code Insee d'un pays ou territoire étranger,프랑스통계청 국가 코드
Deuxième République,프랑스 제2공화국
Cognac,코냐크
cognac,코냑
code Insee d'un arrondissement départemental,프랑스통계청 아롱디스망 코드
identifiant INPN d'une ZNIEFF,ZNIEFF ID
identifiant Le Monde diplomatique,르몽드 디플로마티크 화제 ID
canton de Gevrey-Chambertin,제브레샹베르탱 캉통
cimetière du Père-Lachaise,페르 라셰즈 묘지
numéro SIRET,FR SIRET 번호
code UAI,UAI 코드
identifiant Conservatoire du littoral,프랑스 연안보존소 ID
identifiant Simbad,SIMBAD ID
musée du Louvre,루브르 박물관
Bretagne,브르타뉴
AS Nancy-Lorraine,AS 낭시
Stade rennais FC,스타드 렌 FC
identifiant Film-documentaire.fr d'un film,film-documentaire.fr 영화 ID
identifiant Fédération française d'athlétisme,FFA ID
identifiant Elle,Elle.fr 인물 ID
La Flèche,라플레슈
Monarchie de Juillet,7월 왕정
Première République française,프랑스 제1공화국
Tours,투르
avenue des Champs-Élysées,샹젤리제 거리
Football Club Sochaux-Montbéliard,FC 소쇼 몽벨리아르
Montpellier Hérault SC,몽펠리에 HSC
6e cérémonie des César,제6회 세자르상
Quimper,캥페르
musée des Beaux-Arts de Lyon,리옹 미술관
France Inter,프랑스 앵테르
France Culture,프랑스 퀼튀르
Rhône-Alpes,론알프
Derval,데르발
Poissy,푸아시
Lille OSC,릴 OSC
Toulouse FC,툴루즈 FC
Lyon,리옹
Schiltigheim,실티가임
Thionville,티옹빌
Radio France internationale,라디오 프랑스 앵테르나쇼날
Rhône,론강
AS Saint-Étienne,AS 생테티엔
Sarreguemines,사르그민
Villeurbanne,빌뢰르반
Forbach,포르바크
Illkirch-Graffenstaden,일키르슈그라펜스타덴
Wissembourg,비상부르
Rhin,라인강
Rennes,렌
mont Blanc,몽블랑산
Lille,릴
Lorraine,로렌
Olympique lyonnais,올랭피크 리옹
Metz,메스
Versailles,베르사유
Longvic,롱비
Haguenau,아게노
Aquitaine,아키텐
Bourgogne,부르고뉴
Grenoble,그르노블
Obernai,오베르네
Alpes grées,그라이안알프스산맥
Auvergne,오베르뉴
Algrange,알그랑주
Sélestat,셀레스타
Limousin,리무쟁
Alsace,알자스
mer des Caraïbes,카리브해
Bonaparte franchissant le Grand-Saint-Bernard,생베르나르 고개의 나폴레옹
Varennes-en-Argonne,바렌느 앙 아르곤
Alpes,알프스산맥
Loire,루아르강
Montigny-lès-Metz,몽티니레메스
Le Mans,르망
Bron,브롱
primatiale Saint-Jean de Lyon,리옹 대성당
Bordeaux,보르도
ISO 3166-2:FR,ISO 3166-2:FR
Antilles françaises,프랑스령 서인도 제도
Seine,센강
aéroport Lyon-Saint-Exupéry,생텍쥐페리 국제공항
métro de Lyon,리옹 메트로
mer du Nord,북해
Le Mont-Saint-Michel,몽생미셸섬
Moselle,모젤강
Dachstein,다흐슈타인
Saint-Clément-sur-Valsonne,생클레망쉬르발손
stade de Gerland,스타드 드 제를랑
Saint-Tropez,생트로페
Ternand,테르낭
Dième,디엠
Lozanne,로잔
Givors,지보르
Chamelet,샤믈레
Rivolet,리볼레
Niederbronn-les-Bains,니데르브롱레뱅
Loire-Atlantique,루아르아틀랑티크주
Lyon-Perrache,리옹-페라쉬역
Lyon-Part-Dieu,리옹-파듀역
Domremy-la-Canne,동레미라칸
château de Versailles,베르사유궁
Crécy-en-Ponthieu,크레시앙퐁티외
cathédrale Notre-Dame de Paris,노트르담 대성당
Vosges,보주주
Hautes-Alpes,오트잘프주
Alpes-de-Haute-Provence,알프드오트프로방스주
Ain,앵주
Aisne,엔주
Allier,알리에주
Béganne,베간
Alpes-Maritimes,알프마리팀주
Aude,오드주
Ariège,아리에주주
Ardèche,아르데슈주
Jura,쥐라주
Canet,카네
Ardennes,아르덴주
calvados,칼바도스
Calvados,칼바도스주
Bouches-du-Rhône,부슈뒤론주
Aveyron,아베롱주
Charente-Maritime,샤랑트마리팀주
Aube,오브주
Lourdes,루르드
Auray,오레
Corse-du-Sud,코르스뒤쉬드주
Cantal,캉탈주
Creuse,크뢰즈주
Corrèze,코레즈주
Charente,샤랑트주
Côte-d'Or,코트도르주
Cher,셰르주
Haute-Corse,오트코르스주
abbaye d'Hautecombe,오트콩브 수도원
Essonne,에손주
Drôme,드롬주
2e arrondissement de Lyon,리옹 2구
Allaire,알레르
Fougères,푸제르
Guyane,프랑스령 기아나
finale du Championnat d'Europe de football 1984,UEFA 유로 1984 결승전
Côtes-d'Armor,코트다르모르주
Doubs,두주
Finistère,피니스테르주
Roanne,로안
Eure,외르주
euro,유로
arc de triomphe de l'Étoile,에투알 개선문
hôtel-Dieu de Lyon,오텔디외 드 리옹
Saint-Brice,생브리스
Eure-et-Loir,외르에루아르주
Dordogne,도르도뉴주
château de Blois,블루아성
mer Méditerranée,지중해
palatin,팔츠 독일어
Orschwiller,오르슈빌레르
Francheville,프랑슈빌
bataille de Valmy,발미 전투
sites palafittiques préhistoriques autour des Alpes,알프스 주변의 선사시대 말뚝 주거지
musée d'Orsay,오르세 미술관
Marseille,마르세유
Eure,외르강
Cahors,카오르
Garonne,가론강
5e cérémonie des César,제5회 세자르상
4e cérémonie des César,제4회 세자르상
3e cérémonie des César,제3회 세자르상
2e cérémonie des César,제2회 세자르상
Saint-Jean-la-Poterie,생장라포트리
championnat de France de rugby à XV,톱 14
saut en hauteur masculin aux Jeux olympiques d'été de 1900,1900년 하계 올림픽 육상 남자 높이뛰기
athlétisme aux Jeux olympiques de 1900 - triple saut sans élan,1900년 하계 올림픽 육상 남자 제자리세단뛰기
Sarlat-la-Canéda,사를라라카네다
Léman,레만호
Avignon,아비뇽
Yzeron,이즈롱강
Troyes,트루아
Brive-la-Gaillarde,브리브라가야르드
Montpellier,몽펠리에
monarchie constitutionnelle française,프랑스 입헌군주국
Révolution française,프랑스 혁명
département français,프랑스의 주
Calais,칼레
prise de la Bastille,바스티유 습격
Libourne,리부른
Narbonne,나르본
Orléans,오를레앙
Vannes,반
Céret,세레
100 mètres masculin aux Jeux olympiques d'été de 1900,1900년 하계 올림픽 육상 남자 100m
athlétisme aux Jeux olympiques de 1900 - saut en hauteur sans élan,1900년 하계 올림픽 육상 남자 제자리높이뛰기
Périgueux,페리괴
Poitiers,푸아티에
athlétisme aux Jeux olympiques de 1900 - saut en longueur sans élan,1900년 하계 올림픽 육상 남자 제자리멀리뛰기
Strasbourg,스트라스부르
TGV,TGV
Agen,아쟁
Peugeot,푸조
Mai 68,5월 혁명
Perpignan,페르피냥
Dijon,디종
Cerbère,세르베르
athlétisme aux Jeux olympiques de 1900 - 200 mètres hommes,1900년 하계 올림픽 육상 남자 200m
Carcassonne,카르카손
Renault,르노
Intercity-Express,ICE
cuisine française,프랑스 요리
Groix,그루아섬
régime de Vichy,비시 프랑스
Union astronomique internationale,국제천문연맹
catalan,카탈루냐어
L'Île-d'Yeu,릴디외
Citroën,시트로엥
Amélie-les-Bains-Palalda,아멜리레뱅팔랄다
boutifarre,보티파라
Quatrième République,프랑스 제4공화국
Terres australes et antarctiques françaises,프랑스령 남방 및 남극
néerlandais,네덜란드어
Petit Trianon,프티 트리아농
Chartres,샤르트르
Grand Prix automobile de France,프랑스 그랑프리
Jeux olympiques d'été de 1924,1924년 하계 올림픽
Grand Trianon,그랑 트리아농
économie de la France,프랑스 경제
Toulouse,툴루즈
Troisième République française,프랑스 제3공화국
Jeux olympiques de 1900,1900년 하계 올림픽
Arte,Arte
Oullins,울랭
