Paris,파리
Marseille,마르세유
Lyon,리옹
Toulouse,툴루즈
Strasbourg,스트라스부르
Nice,니스
Bordeaux,보르도
Republic of France,프랑스
Montpellier,몽펠리에
Lille,릴
Rouen,루앙
Rennes,렌
Orléans,오를레앙
Dijon,디종
Vitry-sur-Seine,비트리쉬르센
Villeurbanne,빌뢰르반
Le Mans,르망
Le Havre,르아브르
Antibes,앙티브
Angers,앙제
Amiens,아미앵
Ajaccio,아작시오
Aix-en-Provence,엑상프로방스
La Rochelle,라로셸
Clermont-Ferrand,클레르몽페랑
Grenoble,그르노블
Issy-les-Moulineaux,이시레몰리노
Saint-Maur-des-Fossés,생모르데포세
Saint-Étienne,생테티엔
Saint-Denis,생드니
Rueil-Malmaison,뤼에유말메종
Roubaix,루베
Reims,랭스
Perpignan,페르피냥
Versailles,베르사유
Poitiers,푸아티에
Tours,투르
Tourcoing,투르쿠앵
Toulon,툴롱
Niort,니오르
Nîmes,님
Neuilly-sur-Seine,뇌이쉬르센
Nanterre,낭테르
Mulhouse,뮐루즈
Blois,블루아
Besançon,브장송
Metz,메스
Limoges,리모주
Levallois-Perret,르발루아페레
Créteil,크레테유
Courbevoie,쿠르브부아
Colombes,콜롱브
Boulogne-Billancourt,불로뉴비양쿠르
Champigny-sur-Marne,샹피니쉬르마른
Cannes,칸
Caen,캉
Avignon,아비뇽
Aulnay-sous-Bois,올네수부아
Port-aux-Français,포르토프랑셰
Marigot,마리고
Gustavia,귀스타비아
Wattrelos,와트렐로
Voiron,부아롱
Viry-Châtillon,비리샤티용
Vincennes,뱅센
Villiers-sur-Marne,빌리에쉬르마른
Villeneuve-sur-Lot,빌뇌브쉬르로트
Villeneuve-Saint-Georges,빌뇌브생조르주
Villeneuve-la-Garenne,빌뇌브라가렌
Villejuif,빌쥐프
Villefranche-sur-Saône,빌프랑슈쉬르손
Les Mureaux,레뮈로
Le Puy-en-Velay,르퓌앙벌레
Le Plessis-Robinson,르플레시로뱅송
Le Petit-Quevilly,르프티케비
Le Perreux-sur-Marne,르페뢰쉬르마른
Le Kremlin-Bicêtre,르크레믈랭비세트르
Le Grand-Quevilly,르그랑케비
Le Creusot,르크뢰조
Le Chesnay,르셰네
La Valette-du-Var,라발레트뒤바르
Arras,아라스
Armentières,아르망티에르
Arles,아를
Arcueil,아르케이
Annemasse,안마스
Annecy,안시
Angoulême,앙굴렘
Anglet,앙글레트
Ambérieu-en-Bugey,앙베리외앙뷔제
Alfortville,알포르빌
Alès,알레스
Alençon,알랑송
Albi,알비
Albertville,알베르빌
Aix-les-Bains,엑스레뱅
Agen,아쟁
Agde,아그드
Abbeville,아브빌
Lagny-sur-Marne,라니쉬르마른
La Garenne-Colombes,라가렌콜롱브
La Courneuve,라쿠르뇌브
La Ciotat,라시오타
La Seyne-sur-Mer,라센쉬르메르
La Roche-sur-Yon,라로슈쉬르용
Laon,랑
Lanester,라네스테르
Lambersart,랑브르사르
Clamart,클라마르
Cholet,숄레
Choisy-le-Roi,슈아시르루아
Cherbourg-Octeville,셰르부르옥트빌
Chatou,샤투
Châtenay-Malabry,샤트네말라브리
Châtellerault,샤텔로
Châteauroux,샤토루
Chartres,샤르트르
Charleville-Mézières,샤를르빌메지에르
Charenton-le-Pont,샤랑통르퐁
Grasse,그라스
Gradignan,그라디냥
Gonesse,고네스
Gif-sur-Yvette,지프쉬르이베트
Gennevilliers,젠빌리에
Garges-lès-Gonesse,가르주레고네스
Gap,가프
Ivry-sur-Seine,이브리쉬르센
Istres,이스트르
Illkirch-Graffenstaden,일키르슈그라펜스타덴
Hyères,예르
Houilles,우일
Hérouville-Saint-Clair,에루빌생클레르
Herblay,에르블레
Hénin-Beaumont,에냉보몽
Hazebrouck,아즈브루크
Haguenau,아그노
Guyancourt,기앙쿠르
Saint-Sébastien-sur-Loire,생세바스티앙쉬르루아르
Saint-Rémy-de-Provence,생레미드프로방스
Saint-Nazaire,생나제르
Saint-Médard-en-Jalles,생메다르앙잘
Saint-Mandé,생망데
Saint-Malo,생말로
Saint-Lô,생로
Saint-Laurent-du-Var,생로랑뒤바르
Saint-Herblain,생테르블랭
Saint-Germain-en-Laye,생제르맹앙레
Saint-Étienne-du-Rouvray,생테티엔뒤루브레
Saint-Dizier,생디지에
Saint-Dié-des-Vosges,생디에데보주
Saint-Brieuc,생브리외
Royan,루아양
Rosny-sous-Bois,로니수부아
Romans-sur-Isère,로망쉬르이제르
Rodez,로데즈
Rochefort,로슈포르
Roanne,로안
Ris-Orangis,리조랑지스
Rillieux-la-Pape,릴리외라파프
Rezé,르제
Pessac,페사크
Périgueux,페리괴
Pantin,팡탱
Palaiseau,팔레조
Ozoir-la-Ferrière,오주아르라페리에르
Oyonnax,오요나
Oullins,울랭
Orvault,오르보
Orly,오를리
Orange,오랑주
Soissons,수아송
Six-Fours-les-Plages,시푸르레플라주
Sèvres,세브르
Sète,세트
Schiltigheim,실티가임
Savigny-sur-Orge,사비니쉬르오르주
Savigny-le-Temple,사비니르탕플
Saumur,소뮈르
Sartrouville,사르트루빌
Sarreguemines,사르그민
Sarcelles,사르셀
Sannois,사누아
Salon-de-Provence,살롱드프로방스
Vierzon,비에르종
Vichy,비시
Verdun,베르됭
Vénissieux,베니시외
Vélizy-Villacoublay,벨리지빌라쿠블레
Vaulx-en-Velin,보앙벨랭
Vannes,반
Vandœuvre-lès-Nancy,방되브르르낭시
Vallauris,발로리
Valenciennes,발랑시엔
Tulle,튈
Troyes,트루아
Rambouillet,랑부예
Quimper,캥페르
Puteaux,퓌토
Poissy,푸아시
Trappes,트라프
Toul,툴
Thonon-les-Bains,토농레뱅
Thionville,티옹빌
Thiais,티에
Taverny,타베르니
Tarbes,타르브
Talence,탈랑스
Suresnes,쉬렌
Sucy-en-Brie,쉬시앙브리
Sotteville-lès-Rouen,소트빌르루앙
