Lionel Messi,리오넬 메시
Renato Dirnei Florêncio,헤나투 지르네이 플로렌시우 산투스
Stefano Cerioni,스테파노 체리오니
Massimo Troisi,마시모 트로이시
Ettore Scola,에토레 스콜라
Giorgio Napolitano,조르조 나폴리타노
Alessandro Matri,알레산드로 마트리
Aldo Fabrizi,알도 파브리지
Vittorio Gassman,비토리오 가스만
Salvatore Quasimodo,살바토레 콰시모도
Robert De Niro,로버트 드니로
Romano Prodi,로마노 프로디
Luciano Pavarotti,루치아노 파바로티
Martin Scorsese,마틴 스코세이지
Marcello Mastroianni,마르첼로 마스트로이안니
Romeo Bertini,로메오 베르티니
Ugo Tognazzi,우고 토냐치
Gabriele Detti,가브리엘레 데티
Alessandro Del Piero,알레산드로 델 피에로
Antonio Candreva,안토니오 칸드레바
Lina Wertmüller,리나 베르트뮐러
Paola Ruffo di Calabria,벨기에 왕대비 파올라
Emiliano Sala,에밀리아노 살라
Franco Zeffirelli,프란코 체피렐리
Giuseppe Tornatore,주세페 토르나토레
Federico Marchetti,페데리코 마르케티
Dario Fo,다리오 포
Giorgio Chiellini,조르조 키엘리니
Gennaro Gattuso,젠나로 가투소
Valentina Cervi,발렌티나 체르비
Carlo Azeglio Ciampi,카를로 아첼리오 참피
Papa Giovanni Paolo I,교황 요한 바오로 1세
Ugo Gregoretti,우고 그레고레티
Oscar Luigi Scalfaro,오스카르 루이지 스칼파로
Francesco Cossiga,프란체스코 코시가
Gianni Infantino,잔니 인판티노
Nino Manfredi,니노 맘프레디
Eugenio Montale,에우제니오 몬탈레
Michele Besso,미셸 베소
Massimo Oddo,마시모 오도
Giorgia Würth,조르자 뷔르트
Noemi (cantante),노에미
Ludovico Einaudi,루도비코 에이나우디
Iván Piris,이반 피리스
Mario Bava,마리오 바바
Michelangelo Antonioni,미켈란젤로 안토니오니
Liliana Cavani,릴리아나 카바니
Angelo Di Livio,안젤로 디 리비오
Francesco Rosi,프란체스코 로시
Monica Bellucci,모니카 벨루치
Giovanni Leone,조반니 레오네
Sandro Pertini,산드로 페르티니
Giuseppe Saragat,주세페 사라가트
Andrea Bocelli,안드레아 보첼리
Zeno Colò,체노 콜로
Gina Lollobrigida,지나 롤로브리지다
Anna Magnani,안나 마냐니
Ermanno Wolf-Ferrari,에르만노 볼프-페라리
Rocco Siffredi,로코 시프레디
Fabio Cannavaro,파비오 칸나바로
Kaspar Capparoni,카스파르 카파로니
Emanuele Filiberto di Savoia (1972),에마누엘레 필리베르토 디 사보이아 (1972년)
Zucchero Fornaciari,주케로 포나치아리
Filippo Inzaghi,필리포 인차기
Anita Pallenberg,아니타 팔렌버그
Alberto Lattuada,알베르토 라투아다
Ricardo Martinelli,리카르도 마르티넬리
Virna Lisi,비르나 리시
Monica Vitti,모니카 비티
Yves Montand,이브 몽탕
Giovanna Ralli,조반나 랄리
Alida Valli,알리다 발리
Mariangela Melato,마리안젤라 멜라토
Silvana Mangano,실바나 망가노
Giovanni Gronchi,조반니 그론키
Antonio Segni,안토니오 세니
Lucas Piazon,루카스 피아종
Giulietta Masina,줄리에타 마시나
Giovanni Trapattoni,조반니 트라파토니
Marcello Lippi,마르첼로 리피
Andrea Pirlo,안드레아 피를로
Tarcisio Bertone,타르치시오 베르토네
Marco Borriello,마르코 보리엘로
Luigi Einaudi,루이지 에이나우디
Enrico De Nicola,엔리코 데 니콜라
Sophia Loren,소피아 로렌
Angelo Sodano,안젤로 소다노
Paolo Di Canio,파올로 디 카니오
Christian Abbiati,크리스티안 아비아티
Amauri,아마우리 카르발류 지 올리베이라
José Altafini,조제 알타피니
Mario Balotelli,마리오 발로텔리
Manolo Gabbiadini,마놀로 가비아디니
Andrea Barzagli,안드레아 바르찰리
Renato Dulbecco,레나토 둘베코
Claudio Pizarro,클라우디오 피사로
Edmond Fischer,에드먼드 헨리 피셔
Marco Benassi (calciatore),마르코 베나시
Alberto Tomba,알베르토 톰바
Gustav Thöni,구스타프 퇴니
Deborah Compagnoni,데보라 콤파뇨니
Cesare Pavese,체사레 파베세
Matteo Darmian,마테오 다르미안
Nino Farina,에밀리오 주세페 파리나
Gianluigi Buffon,잔루이지 부폰
Sergio Brio,세르조 브리오
Gabriel Heinze,가브리엘 에인세
Gundi Busch,군디 부슈
Roberto Baggio,로베르토 바조
Pietro Anastasi,피에트로 아나스타시
Anna Maria Pierangeli,피어 안젤리
Claudia Cardinale,클라우디아 카르디날레
Giancarlo Bercellino,잔카를로 베르첼리노
Romeo Benetti,로메오 베네티
Luigi Bertolini,루이지 베르톨리니
Ermanno Olmi,에르만노 올미
Alberto Paloschi,알베르토 팔로스키
Antonio Cabrini,안토니오 카브리니
Roberto Bettega,로베르토 베테가
Fabio Quagliarella,파비오 콸리아렐라
Giampiero Boniperti,잠피에로 보니페르티
Felice Borel,펠리체 보렐
Francesca Piccinini,프란체스카 피치니니
Daniel Bovet,다니엘 보베
Maria Montessori,마리아 몬테소리
Alberto Ascari,알베르토 아스카리
Totò,토토 (배우)
Leo Franco,레오나르도 프랑코
Matteo Renzi,마테오 렌치
Pier Luigi Bersani,피에르 루이지 베르사니
Vittorio Hösle,비토리오 회슬레
Tommaso Rocchi,톰마소 로키
Karin Schubert,카린 슈베르트
Riccardo Scamarcio,리카르도 스카마르초
Fabrizio Miccoli,파브리치오 미콜리
Mauro Icardi,마우로 이카르디
Marco Di Vaio,마르코 디 바이오
Massimo D'Alema,마시모 달레마
Papa Benedetto XVI,교황 베네딕토 16세
Beppe Grillo,베페 그릴로
Papa Pio XII,교황 비오 12세
Gian Maria Volonté,잔 마리아 볼론테
Giuliano Razzoli,줄리아노 라촐리
Andrea Agnelli,안드레아 아녤리
Giuseppe Sinopoli,주세페 시노폴리
Marco Donadel,마르코 도나델
Stefano Mauri (calciatore),스테파노 마우리
Masolino da Panicale,마솔리노 다 파니칼레
Claudio Abbado,클라우디오 아바도
Stefano Fiore,스테파노 피오레
Federico Fellini,페데리코 펠리니
Giovanna Mezzogiorno,조반나 메초조르노
Alfred Duncan,앨프리드 덩컨
Gian Francesco Malipiero,잔 프란체스코 말리피에로
Rodolfo Graziani,로돌포 그라치아니
Arturo Benedetti Michelangeli,아르투로 베네데티 미켈란젤리
Edoardo Ponti,에도아르도 폰티
Christof Innerhofer,크리스토프 이너호퍼
Vittorio Mezzogiorno,비토리오 메초조르노
Riccardo Montolivo,리카르도 몬톨리보
Walter Veltroni,발테르 벨트로니
Alberto Sordi,알베르토 소르디
Livio Berruti,리비오 베루티
Agnolo Bronzino,브론치노
Giorgio Bassani,조르조 바사니
Enzo Mari,엔초 마리
Primo Levi,프리모 레비
Gianluca Pessotto,잔루카 페소토
Gianni Morandi,잔니 모란디
Eugenio Calabi,에우제니오 칼라비
Sara Simeoni,사라 시메오니
Pietro Mennea,피에트로 멘네아
Roberto Mancini,로베르토 만치니
Vittorio Emanuele III di Savoia,비토리오 에마누엘레 3세
Mario Monti,마리오 몬티
Umberto Bossi,움베르토 보시
Enzo Maresca,엔초 마레스카
Andrea Stramaccioni,안드레아 스트라마초니
Vittorio Pozzo,비토리오 포초
Jonas Gonçalves Oliveira,조나스 곤사우베스 올리베이라
Enrico Fermi,엔리코 페르미
Dino Baggio,디노 바조
Carla Bruni,카를라 브루니
Parmigianino,파르미자니노
Giulio Andreotti,줄리오 안드레오티
Gae Aulenti,가에 아울렌티
Michael Bublé,마이클 부블레
Pablo Piatti,파블로 피아티
Ivan Rassimov,이반 라시모프
Zita di Borbone-Parma,치타 디 파르마 공녀
Oriana Fallaci,오리아나 팔라치
Alcide De Gasperi,알치데 데 가스페리
Eros Ramazzotti,에로스 라마초티
Piero Gros,피에로 그로스
Gianfranco Zola,잔프랑코 졸라
Vittorio De Sica,비토리오 데 시카
Roberto Rossellini,로베르토 로셀리니
Frank Capra,프랭크 캐프라
Alessandro Blasetti,알레산드로 블라세티
Pietro Germi,피에트로 제르미
Cristian Zaccardo,크리스티안 차카르도
Italo Calvino,이탈로 칼비노
Luca Castellazzi,루카 카스텔라치
Giuseppe Pella,주세페 펠라
Norberto Bobbio,노르베르토 보비오
Ferruccio Tagliavini,페루치오 탈리아비니
