Lionel Messi,리오넬 메시
Gennaro Gattuso,젠나로 가투소
Massimo Troisi,마시모 트로이시
Ettore Scola,에토레 스콜라
Stefano Cerioni,스테파노 체리오니
Lina Wertmüller,리나 베르트뮐러
Federica Brignone,페데리카 브리뇨네
Leonardo David,레오나르도 다비드
Kristian Ghedina,크리스티안 게디나
Paola Ruffo di Calabria,벨기에 왕비 파올라
Francesco Rosi,프란체스코 로시
Dario Fo,다리오 포
Renato Dirnei Florêncio,헤나투 지르네이 플로렌시우 산투스
Oscar Luigi Scalfaro,오스카르 루이지 스칼파로
Roberto Risso,로베르토 리소
Michelangelo Antonioni,미켈란젤로 안토니오니
Franco Zeffirelli,프란코 체피렐리
Augusto De Luca,아우구스토 데 루카
Camila Giorgi,카밀라 조르지
Antonio Candreva,안토니오 칸드레바
Carlo Azeglio Ciampi,카를로 아첼리오 참피
Augusto Genina,아우구스토 제니나
Ugo Gregoretti,우고 그레고레티
Sergio Corbucci,세르지오 코르부치
Valentina Cervi,발렌티나 체르비
Angelo Di Livio,안젤로 디 리비오
Emiliano Sala,에밀리아노 살라
Maria Rosa Quario,마리아 로사 콰리오
Massimiliano Blardone,마시밀리아노 블라르도네
Giorgio Chiellini,조르조 키엘리니
Davide Simoncelli,다비데 시몬첼리
Federico Marchetti,페데리코 마르케티
Alessandro Del Piero,알레산드로 델 피에로
Antonio Segni,안토니오 세니
Francesco Cossiga,프란체스코 코시가
Sandro Pertini,산드로 페르티니
Giorgio Napolitano,조르조 나폴리타노
Elio Petri,엘리오 페트리
Giuseppe Tornatore,주세페 토르나토레
Mario Bava,마리오 바바
Liliana Cavani,릴리아나 카바니
Aldo Fabrizi,알도 파브리지
Vittorio Gassman,비토리오 가스만
Ugo Tognazzi,우고 토냐치
Ugo Pirro,우고 피로
Alessandro Matri,알레산드로 마트리
Corrado Pardini,코라도 파르디니
Diego Abatantuono,디에고 아바탄투오노
Robert De Niro,로버트 드니로
Monica Bellucci,모니카 벨루치
Massimo Bertolini,마시모 베르톨리니
Giacomo Furia,자코모 푸리아
Noemi,노에미
Nino Manfredi,니노 맘프레디
Salvatore Quasimodo,살바토레 콰시모도
Luigi Zampa,루이지 잠파
Marcello Mastroianni,마르첼로 마스트로야니
Anna Magnani,안나 마냐니
Fabrizio Donato,파브리치오 도나토
Leo Ortolani,레오 오르톨라니
Papa Benedetto XVI,교황 베네딕토 16세
Massimo Oddo,마시모 오도
Eugenio Montale,에우제니오 몬탈레
Giuseppe Ermini,주세페 에르미니
Sophia Loren,소피아 로렌
Lucas Piazón,루카스 피아손
Joël Retornaz,조엘 레토르나
Alberto Tomba,알베르토 톰바
Giovanni Gronchi,조반니 그론키
Luigi Einaudi,루이지 에이나우디
Filippo Inzaghi,필리포 인차기
Cornelio Sommaruga,코르넬리오 솜마루가
Giuseppe Saragat,주세페 사라가트
Zeno Colò,체노 콜로
Andrea Bocelli,안드레아 보첼리
Giovanni Leone,조반니 레오네
Luciano Pavarotti,루치아노 파바로티
Papa Giovanni Paolo I,교황 요한 바오로 1세
Romano Prodi,로마노 프로디
Ferzan Özpetek,페르잔 외즈페테크
Antonio Pietrangeli,안토니오 피에트란젤리
Marcello Lippi,마르첼로 리피
Enrico De Nicola,엔리코 데 니콜라
Giorgia Würth,조르자 뷔르트
Emanuele Filiberto di Savoia,에마누엘레 필리베르토 디 사보이아
Papa Pio XII,교황 비오 12세
Rocco Siffredi,로코 시프레디
Ermanno Wolf-Ferrari,에르만노 볼프-페라리
Paolo Di Canio,파올로 디 카니오
Angelo Sodano,안젤로 소다노
Gianni Infantino,잔니 인판티노
Alberto Lattuada,알베르토 라투아다
Gustav Thöni,구스타프 퇴니
Deborah Compagnoni,데보라 콤파뇨니
Alberto Ascari,알베르토 아스카리
Cesare Pavese,체사레 파베세
Martin Scorsese,마틴 스코세이지
Nino Farina,에밀리오 주세페 파리나
Markus Lanz,마르쿠스 란츠
Andrea Pirlo,안드레아 피를로
Pietro Mennea,피에트로 멘네아
Beatrice Weder di Mauro,베아트리체 베데르 디마우로
Michele Besso,미셸 베소
Zucchero Fornaciari,주케로 포나치아리
Tarcisio Bertone,타르치시오 베르토네
Gina Lollobrigida,지나 롤로브리지다
Luciano Liggio,루차노 리조
Giovanni Trapattoni,조반니 트라파토니
Ricardo Martinelli,리카르도 마르티넬리
Ludovico Einaudi,루도비코 에이나우디
Iván Piris,이반 피리스
Danilo Gallinari,다닐로 갈리나리
Marco Borriello,마르코 보리엘로
Mario Soldati,마리오 솔다티
Gabriel Heinze,가브리엘 에인세
Romeo Bertini,로메오 베르티니
Valerio Arri,발레리오 아리
Christian Abbiati,크리스티안 아비아티
Gabriele Detti,가브리엘레 데티
Leo Franco,레오나르도 프랑코
Milena Gabanelli,밀레나 가바넬리
Enrico Fermi,엔리코 페르미
Agnolo Bronzino,브론치노
Livio Berruti,리비오 베루티
Gae Aulenti,가에 아울렌티
Parmigianino,파르미자니노
Anita Pallenberg,아니타 팔렌버그
Renato Schifani,레나토 스키파니
Totò,토토
Pier Luigi Bersani,피에르 루이지 베르사니
Eugenio Calabi,에우제니오 칼라비
Sara Simeoni,사라 시메오니
Matteo Darmian,마테오 다르미안
Piero Gros,피에로 그로스
Gianfranco Zola,잔프랑코 졸라
Marco Orsi,마르코 오르시
Fabio Quagliarella,파비오 콸리아렐라
Desirée Rancatore,데시레 랑카토레
Matteo Renzi,마테오 렌치
Fabio Cannavaro,파비오 칸나바로
Beppe Grillo,베페 그릴로
Silvana Mangano,실바나 만가노
José Altafini,조제 알타피니
Amauri,아마우리 카르발류 지 올리베이라
Pietro Anastasi,피에트로 아나스타시
Antonietta Di Martino,안토니에타 디마르티노
Daniele Greco,다니엘레 그레코
Marco Pannella,마르코 파넬라
Gundi Busch,군디 부슈
Roberto Baggio,로베르토 바조
Federico Fellini,페데리코 펠리니
Massimo D'Alema,마시모 달레마
Romeo Benetti,로메오 베네티
Assunta Legnante,아순타 레냔테
Alberto Sordi,알베르토 소르디
Yves Montand,이브 몽탕
Mario Balotelli,마리오 발로텔리
Luigi Bertolini,루이지 베르톨리니
Roberta Vinci,로베르타 빈치
Giovanni Mardersteig,조반니 마르더슈타이크
Giancarlo Bercellino,잔카를로 베르첼리노
Kaspar Capparoni,카스퍼 카파로니
Kid Crème,키드 크렘
Claudia Cardinale,클라우디아 카르디날레
Manolo Gabbiadini,마놀로 가비아디니
Giulietta Masina,줄리에타 마시나
Alida Valli,알리다 발리
Mariangela Melato,마리안젤라 멜라토
Mario Monti,마리오 몬티
Umberto Bossi,움베르토 보시
Monica Vitti,모니카 비티
Pippo Baudo,피포 바우도
Zita di Borbone-Parma,부르봉파르마의 치타
Sergio Brio,세르조 브리오
Felice Borel,펠리체 보렐
Umberto Eco,움베르토 에코
Giampiero Boniperti,잠피에로 보니페르티
Andrea Riccardi,안드레아 리카르디
Marco Benassi,마르코 베나시
Fabrizio Miccoli,파브리치오 미콜리
Marco Di Vaio,마르코 디 바이오
Roberto Mancini,로베르토 만치니
Lola Pagnani,롤라 파냐니
Virna Lisi,비르나 리시
Giovanna Mezzogiorno,조반나 메초조르노
Vittorio Mezzogiorno,비토리오 메초조르노
Edmond Fischer,에드먼드 피셔
Antonio Cabrini,안토니오 카브리니
Mauro Icardi,마우로 이카르디
Renato Dulbecco,레나토 둘베코
Margherita Hack,마르게리타 해크
Alex Schwazer,알렉스 슈바처
Claudio Pizarro,클라우디오 피사로
Maria Montessori,마리아 몬테소리
Francesca Piccinini,프란체스카 피치니니
Andrea Barzagli,안드레아 바르찰리
Roberto Bettega,로베르토 베테가
Gianluigi Buffon,잔루이지 부폰
Simone Collio,시모네 콜리오
Silvio Berlusconi,실비오 베를루스코니
Stephan El Shaarawy,스테판 엘 샤라위
Dario Argento,다리오 아르젠토
Renato Corsetti,레나토 코르세티
Marco Donadel,마르코 도나델
Stefano Mauri,스테파노 마우리
Giulio Andreotti,줄리오 안드레오티
Duccio di Buoninsegna,두초
Annibale Bergonzoli,안니발레 베르곤촐리
Alberto Paloschi,알베르토 팔로스키
Giovanna Ralli,조반나 랄리
Anna Maria Pierangeli,피어 안젤리
Frank Capra,프랭크 카프라
Emma Bonino,엠마 보니노
Luchino Visconti,루키노 비스콘티
Arturo Toscanini,아르투로 토스카니니
Ilona Staller,일로나 스탈레르
