室伏広治,무로후시 고지
イチロー,스즈키 이치로
葛飾北斎,가쓰시카 호쿠사이
尾田栄一郎,오다 에이치로
岸本斉史,키시모토 마사시
長澤徹,나가사와 데쓰
鋤柄昌宏,스키가라 마사히로
八十祐治,야소 유지
栗原類,쿠리하라 루이
上皇后美智子,상황후 미치코
若木民喜,와카키 타미키
ビートたけし,키타노 타케시
松坂大輔,마쓰자카 다이스케
三木武吉,미키 부키치
野村吉三郎,노무라 기치사부로
三根和起,미네 가즈키
伊達忠宗,다테 다다무네
淵田美津雄,후치다 미쓰오
伊達吉村,다테 요시무라
芥川龍之介,아쿠타가와 류노스케
桂太郎,가쓰라 다로
杉原千畝,스기하라 지우네
庵野秀明,안노 히데아키
二葉亭四迷,후타바테이 시메이
JUJU,JUJU (가수)
大正天皇,다이쇼 천황
寿美菜子,코토부키 미나코
虚淵玄,우로부치 겐
新房昭之,신보 아키유키
堀江由衣,호리에 유이
金元寿子,카네모토 히사코
安部公房,아베 코보
田中耕一,다나카 고이치
三池崇史,미이케 다카시
野依良治,노요리 료지
河野洋平,고노 요헤이
松尾芭蕉,마쓰오 바쇼
菅直人,간 나오토
吉田暢,요시다 도루
矢神久美,야가미 쿠미
阿澄佳奈,아스미 카나
雪舟,셋슈
折笠富美子,오리카사 후미코
釘宮理恵,쿠기미야 리에
花澤香菜,하나자와 카나
沢城みゆき,사와시로 미유키
川瀬晶子・(声優),카와세 아키코
まつもとゆきひろ,마츠모토 유키히로
左幸子,히다리 사치코
野澤洋輔,노자와 요스케
岡田英次,오카다 에이지
佐藤順一,사토 준이치 (애니메이션 감독)
美空ひばり,미소라 히바리
田中義一,다나카 기이치
本多猪四郎,혼다 이시로
山部赤人,야마베노 아카히토
都はるみ,미야코 하루미
早川沙世,하야카와 사요
ブリキ・(イラストレーター),브리키 (일러스트레이터)
大島洋平,오시마 요헤이
結下みちる,유이모토 미치루
つぐみ・(女優),츠구미
三石琴乃,미츠이시 코토노
山口彊,야마구치 쓰토무
小野寺五典,오노데라 이쓰노리
加藤英美里,카토 에미리
加藤紘一,가토 고이치 (1939년)
大島理森,오시마 다다모리
高垣彩陽,타카가키 아야히
松来未祐,마츠키 미유
伊藤かな恵,이토 카나에
矢野顕子,야노 아키코
日笠陽子,히카사 요코
斎藤千和,사이토 치와
戸松遥,토마츠 하루카
黒澤明,구로사와 아키라
原田眞人,하라다 마사토
平山清次,히라야마 기요쓰구
利根川進,도네가와 스스무
白川英樹,시라카와 히데키
原嘉道,하라 요시미치
南部信順,난부 노부유키
香川真司,가가와 신지
頼山陽,라이 산요
上川あや,가미카와 아야
鈴木章,스즈키 아키라 (화학자)
