日本,일본
アニメ・(日本のアニメーション作品),일본의 애니메이션
国際宇宙ステーション,국제우주정거장
内閣府,일본 내각부
東京大学,도쿄 대학
金剛組,곤고구미
天皇誕生日,천황탄생일
南海高野線,난카이 고야선
鴨川・(淀川水系),가모가와강
宮古列島,미야코 제도
中国電力,주고쿠 전력
茨城県,이바라키현
長崎歴史文化博物館,나가사키 역사문화박물관
任天堂,닌텐도
日本グランプリ・(4輪),일본 그랑프리
東アジア,동아시아
2002・FIFAワールドカップ,2002년 FIFA 월드컵
都島駅,미야코지마역
中崎町駅,나카자키초역
四天王寺前夕陽ヶ丘駅,시텐노지마에유히가오카역
宮城県,미야기현
眼鏡橋・(長崎市),메가네교 (나가사키시)
東区・(広島市),히가시구 (히로시마시)
西区・(広島市),니시구 (히로시마시)
日本の科学技術,일본의 과학과 기술
佐伯区,사에키구
西武鉄道,세이부 철도
東梅田駅,히가시우메다역
京成電鉄,게이세이 전철
国立科学博物館,국립과학박물관
青空文庫,아오조라 문고
小田急電鉄,오다큐 전철
日本海,동해
桜田門外の変,사쿠라다문 밖의 변
浜田山駅,하마다야마역
仙台市,센다이시
芸妓,게이샤
春日市,가스가시
久喜市,구키시
福島県,후쿠시마현
偕楽園,가이라쿠엔
新郷村,신고촌
明石市,아카시시
豊丘村,도요오카촌
ユニクロ,유니클로
春日井市,가스가이시
栃木市,도치기시
河内郡,가와치군
那珂川町,나카가와정 (도치기현)
ひろしま美術館,히로시마 미술관
御成敗式目,고세이바이시키모쿠
東京都,도쿄도
安佐南区,아사미나미구
南区・(広島市),미나미구 (히로시마시)
安佐北区,아사키타구
安芸区,아키구
家人,케닌
御家人,고케닌
グラバー園,구라바엔
栃木県,도치기현
隠れ里,숨겨진 마을
東シナ海,동중국해
中区・(広島市),나카구 (히로시마시)
長崎新地中華街,나가사키 신치주카가이
ドラゴンボール,드래곤볼
日本語,일본어
四日市市,욧카이치시
函館市,하코다테시
福岡市,후쿠오카시
NHK秋田放送局,NHK 아키타 방송국
青森県,아오모리현
コナミグループ,코나미
岐阜市,기후시
明治大学,메이지 대학
H.C.栃木日光アイスバックス,HC 도치기 닛코 아이스벅스
盆栽,분재
二軒茶屋駅,니켄차야역
京都精華大前駅,교토세이카다이마에역
富士見ヶ丘駅,후지미가오카역
北東アジア,동북아시아
円・(通貨),일본 엔
アイヌ語,아이누어
神戸市,고베시
ダイハツ工業,다이하쓰
ダットサン,닷선
守口駅,모리구치역 (오사카부)
鎮西大社諏訪神社,스와 신사 (나가사키시)
フットサル日本代表,일본 풋살 국가대표팀
日本二十六聖人記念館,일본 26 성인 기념관
野江内代駅,노에우친다이역
岩手県,이와테현
東芝,도시바
九段下駅,구단시타역
国道駅,고쿠도역
清水区,시미즈구
磯子駅,이소고역
神保町駅,진보초역
三越前駅,미쓰코시마에역
南海加太線,난카이 가다선
東武野田線,도부 노다선
千葉県,지바현
関目高殿駅,세키메타카도노역
千林大宮駅,센바야시오미야역
源氏物語,겐지모노가타리
日本の漫画,일본 만화
三洋電機,산요 전기
尖閣諸島,센카쿠 열도
1940年東京オリンピック,1940년 하계 올림픽
文の里駅,후미노사토역
飛島・(山形県),도비시마섬 (야마가타현)
久六島,큐로쿠섬
粟島・(新潟県),아와시마섬 (니가타현)
甑島列島,고시키지마 열도
名古屋駅,나고야역
見島,미시마섬
小竹向原駅,고타케무카이하라역
有明海,아리아케해
地下鉄赤塚駅,지카테쓰아카쓰카역
明治神宮前駅,메이지진구마에역
新御茶ノ水駅,신오차노미즈역
平和台駅・(東京都),헤이와다이역 (도쿄도)
八代海,야쓰시로해
大森駅・(東京都),오모리역 (도쿄도)
岩手県第1区,이와테현 제1구
愛知県,아이치현
志賀駅,시가역
日本の城,일본의 성
広島市現代美術館,히로시마시 현대미술관
狛江市,고마에시
山田上口駅,야마다카미구치역
氷川台駅,히카와다이역
松下駅,마쓰시타역
西武池袋線,세이부 이케부쿠로선
平和公園,평화공원 (나가사키시)
忍者,닌자
朝鮮海峡,대한해협
対馬,쓰시마섬
八重山語,야에야마어
与那国語,요나구니어
沖縄語,오키나와어
1940年札幌オリンピック,1940년 동계 올림픽
西永福駅,니시에이후쿠역
京王新線,게이오 신선
大野郡,오노군
Progress・of・Theoretical・and・Experimental・Physics,이론 및 실험 물리학의 진보
本田技研工業,혼다
青函トンネル,세이칸 터널
インフィニティ・(日産自動車),인피니티
京王高尾線,게이오 다카오선
いすゞ自動車,이스즈 자동차
小菅村,고스게촌
造田駅,조다역
市川・船橋戦争,이치카와·후나바시 전쟁
君が代,일본의 국가
本郷三丁目駅,혼고산초메역
端岡駅,하시오카역
北条市,호조시
与論島,요론섬
諏訪之瀬島,스와노세섬
沖永良部島,오키노에라부섬
金刀比羅宮,고토히라궁
1964年東京オリンピック,1964년 하계 올림픽
縄文時代,조몬 시대
対馬海峡,쓰시마 해협
朝鮮語,한국어
神楽坂駅,가구라자카역
川崎駅,가와사키역
竹橋駅,다케바시역
南千住駅,미나미센주역
茅場町駅,가야바초역
門前仲町駅,몬젠나카초역
落合駅・(東京都),오치아이역 (도쿄도)
京都市,교토시
1972年札幌オリンピック,1972년 동계 올림픽
1998年長野オリンピック,1998년 동계 올림픽
高井戸駅,다카이도역
余部橋梁,아마루베 철교
名古屋鉄道,나고야 철도
三木市,미키시
アイヌ,아이누
東京都庁舎,도쿄도청사
白金高輪駅,시로카네타카나와역
大阪都構想,오사카도 구상
都道府県,도도부현
住吉駅・(東京都),스미요시역 (도쿄도)
地下鉄成増駅,지카테쓰나리마스역
AKB48,AKB48
半蔵門駅,한조몬역
新御徒町駅,신오카치마치역
押上駅,오시아게역
朝熊駅,아사마역
水天宮前駅,스이텐구마에역
上野御徒町駅,우에노오카치마치역
見附島・(石川県),미쓰케지마
清澄白河駅,기요스미시라카와역
勤労感謝の日,근로감사의 날
広島空港,히로시마 공항
広島国際アニメーションフェスティバル,히로시마 국제 애니메이션 페스티벌
浮世草子,우키요조시
福島第一原子力発電所,후쿠시마 제1 원자력 발전소
湊川の戦い,미나토강 전투
広島湾,히로시마만
森下駅・(東京都),모리시타역 (도쿄도)
白金台駅,시로카네다이역
月島駅,쓰키시마역
御伽草子,오토기조시
蔵前駅,구라마에역
西大橋駅,니시오하시역
麻布十番駅,아자부주반역
宇佐市,우사시
東新宿駅,히가시신주쿠역
国立広島原爆死没者追悼平和祈念館,국립 히로시마 원폭사망자 추도 평화기념관
アキュラ,아큐라
シャープ,샤프 (기업)
パナソニックホールディングス,파나소닉홀딩스
日立製作所,히타치 제작소
秋田県,아키타현
名古屋市,나고야시
九州,규슈
広島市,히로시마시
天竜川,덴류강
三菱電機,미쓰비시 전기
トヨタ自動車,토요타 자동차
妙高市,묘코시
服部緑地,핫토리료쿠치
吉賀町,요시카정
須佐駅,스사역
横浜国際総合競技場,닛산 스타디움 (요코하마시)
伝法駅,덴포역
下里駅,시모사토역
新越谷駅,신코시가야역
草津白根山,구사쓰시라네산
いなべ市,이나베시
承暦,조랴쿠 (1077년)
広島大学,히로시마 대학
長崎大学,나가사키 대학
東京メトロポリタンテレビジョン,도쿄 메트로폴리탄 텔레비전
原爆の子の像,원폭의 아이의 동상
大久保駅・(東京都),오쿠보역 (도쿄도)
町人,조닌
本州,혼슈
北海道,홋카이도
日本手話,일본 수화
大阪市,오사카시
栃木県第3区,도치기현 제3구
宮古空港,미야코 공항
琉球諸語,류큐어파
沖縄北部方言,구니가미어
カプコン,캡콤
天叢雲剣,쿠사나기의 검
三菱自動車工業,미쓰비시 자동차공업
Wiiリモコン,Wii 리모컨
東京スカイツリー,도쿄 스카이트리
親潮,오야시오 해류
鹿児島県,가고시마현
黒潮,쿠로시오 해류
普天間基地移設問題,후텐마 기지 이전 문제
730・(交通),730 (교통)
日清食品,닛신식품
四国,시코쿠
X-Seed・4000,X-Seed 4000
姫路駅,히메지역
赤村,아카촌
神籬,신리 (신토)
新生党,신생당
京都府,교토부
加賀市,가가시
ジェットスター・ジャパン,젯스타 재팬
我孫子前駅,아비코마에역
二見浦駅,후타미노우라역
岩美町,이와미정
池の浦シーサイド駅,이케노우라시사이드역
田丸駅,다마루역
宮川駅,미야가와역
矢部村,야베촌
池上通信機,이케가미통신기
鹿児島市,가고시마시
レクサス,렉서스
マツダ,마쓰다
東京駅,도쿄역
名古屋テレビ塔,나고야 TV탑
村上駅・(千葉県),무라카미역 (지바현)
東急目黒線,도큐 메구로선
1998年長野オリンピックのアイスホッケー競技,1998년 동계 올림픽 아이스하키
阿久根市,아쿠네시
出水市,이즈미시 (가고시마현)
いちき串木野市,이치키쿠시키노시
独立行政法人,독립행정법인
小坂町・(岐阜県),오사카정
2004年アテネオリンピックの柔道競技,2004년 하계 올림픽 유도
つばさ・(列車),쓰바사 (열차)
吉祥寺,기치조지
明治神宮,메이지 신궁
魚沼田中駅,우오누마타나카역
ロアッソ熊本,로아소 구마모토
三加和町,미카와정 (구마모토현)
宝永大噴火,호에이 대분화
ハンドボール日本男子代表,일본 핸드볼 국가대표팀
青森駅,아오모리역
元町駅・(兵庫県),모토마치역 (효고현)
