日本,일본
河内郡,가와치군
隠れ里,숨겨진 마을
長崎新地中華街,나가사키 차이나타운
中区,나카 구 (히로시마 시)
安佐南区,아사미나미구
南区,미나미구
豊丘村,도요오카촌
新郷村,신고촌
那珂川町,나카가와정
ピクシブ百科事典識別子,픽시브 백과사전 ID
栃木県,도치기현
日本の元号,일본의 연호
国際宇宙ステーション,국제우주정거장
全国地方公共団体コード,일본 전국지방공공단체 코드
国立国会図書館典拠ID,NDL 전거 ID
コナミグループ,코나미
岐阜市,기후시
栃木市,도치기시
日本のアニメ,일본 애니메이션
春日井市,가스가이시
ユニクロ,유니클로
ひろしま美術館,히로시마 미술관
御成敗式目,고세이바이시키모쿠
盆栽,분재
CEROレーティング,CERO 등급
H.C. 栃木日光アイスバックス,HC 닛코 아이스벅스
明治大学,메이지 대학
偕楽園,가이라쿠엔
南海高野線,난카이 전기 철도 고야선
天皇誕生日,천황탄생일
安佐北区,아사키타구
安芸区,아키구
グラバー園,구라바엔
家人,게닌
御家人,고케닌
国立国会図書館書誌ID,일본 국립국회도서관 서지 ID
高校コード,일본 고등학교 코드
明石市,아카시시
四日市市,욧카이치시
東シナ海,동중국해
MOVIE WALKER PRESS映画識別子,무비 워커 ID
函館市,하코다테시
allcinema映画識別子,올시네마 영화 ID
KINENOTE映画識別子,KINENOTE 영화 ID
NHK秋田放送局,NHK 아키타 방송국
青森県,아오모리현
福島県,후쿠시마현
桜田門外の変,사쿠라다문 밖의 변
仙台市,센다이시
久喜市,구키시
東芝,도시바
北東アジア,동북아시아
富士見ヶ丘駅,후지미가오카역
Anime News Networkアニメ識別子,Anime News Network 애니메이션 ID
JMDb映画識別子,JMDb 영화 ID
LINE MUSIC アルバムID,라인 뮤직 앨범 ID
日本全国書誌番号,일본 전국서지번호
映倫区分,일본 영화윤리위원회 등급
法人番号,일본 법인번호
長崎歴史文化博物館,나가사키 역사문화박물관
佐伯区,사에키구
東区,히가시구
西区,니시구
日本の科学技術,일본의 과학과 기술
眼鏡橋,메가네교
東京都,도쿄도
三洋電機,산요 전기
名古屋駅,나고야역
任天堂,닌텐도
金剛組,곤고구미
中国電力,주고쿠 전력
春日市,가스가시
内閣府,일본 내각부
2002 FIFAワールドカップ,2002년 FIFA 월드컵
円,일본 엔
宮城県,미야기현
福岡市,후쿠오카시
東アジア,동아시아
釜山海峡,서수로
対馬海峡,동수로
日本海,동해
磯子駅,이소고역
国立科学博物館,국립과학박물관
アイヌ語,아이누어
清水区,시미즈구
千葉県,지바현
日中関係,일본-중화인민공화국 관계
東武野田線,도부 철도 노다 선
神保町駅,진보초역
南海加太線,난카이 전기 철도 가다 선
三越前駅,미쓰코시마에역
九段下駅,구단시타역
国道駅,고쿠도역
飛島,도비시마섬
久六島,큐로쿠섬
粟島,아와시마섬
見島,미시마섬
甑島列島,고시키지마 열도
二軒茶屋駅,니켄차야역
京都精華大前駅,교토세이카다이마에역
ダイハツ工業,다이하쓰
ダットサン,닷선
浜田山駅,하마다야마역
宮古列島,미야코 제도
鴨川,가모가와강
JAAF 選手ID,JAAF ID
気象庁震度データベースID,JMA 지진 진도 데이터베이스 ID
画数,획수
気象庁震度階級,이 지진의 일본 기상청 진도 계급
東京大学,도쿄 대학
大阪都構想,오사카도 구상
AKB48,AKB48
ドラゴンボール,드래곤볼
ジェフユナイテッド市原・千葉リザーブズ,제프 유나이티드 이치하라 지바 리저브즈
文の里駅,후미노사토역
尖閣諸島,센카쿠 열도
半蔵門駅,한조몬역
上野御徒町駅,우에노오카치마치역
川崎駅,가와사키역
竹橋駅,다케바시역
茅場町駅,가야바초역
南千住駅,미나미센주역
神楽坂駅,가구라자카역
門前仲町駅,몬젠나카초역
1940年東京オリンピック,1940년 하계 올림픽
神戸市,고베시
1964年東京オリンピック,1964년 하계 올림픽
pixivユーザー識別子,픽시브 사용자 ID
気象庁マグニチュード,이 지진의 일본 기상청 규모
日本タレント名鑑識別子,일본탤런트명감 ID
アメーバブログアメーバ識別子,아메바 블로그 계정명
Jリーグ選手識別子,J리그 데이터 사이트 ID
JMDb人物と企業識別子,JMDb 인물·회사 ID
地下鉄成増駅,지카테쓰나리마스역
住吉駅,스미요시역
新御徒町駅,신오카치마치역
清澄白河駅,기요스미시라카와역
押上駅,오시아게역
水天宮前駅,스이텐구마에역
Yahoo! JAPAN タレントデータベース識別子,야후! 재팬 인물 ID
