Tokyo,도쿄
Sapporo,삿포로 시
Nagoya,나고야 시
Yokohama,요코하마 시
Osaka,오사카 시
Honshū Island,혼슈
Kyushu,규슈
Kyoto,교토 시
Kobe,고베 시
Japan,일본
Fukuoka,후쿠오카 시
Shikoku,시코쿠
Kawasaki,가와사키 시
Chiba,지바 시
Matsuyama,마쓰야마 시
Niigata,니가타 시
Takamatsu,다카마쓰 시
Shizuoka,시즈오카 시
Hiroshima,히로시마 시
Eastern Asia,동아시아
Hokkaido,홋카이도
Hakodate,하코다테 시
Aomori,아오모리 시
Morioka,모리오카 시
Akita,아키타 시
Anjō,안조 시
Nara-shi,나라 시
Naha,나하 시
Nagasaki,나가사키 시
Matsue,마쓰에 시
Maebashi,마에바시 시
Kumamoto,구마모토 시
Yamaguchi,야마구치 시
Utsunomiya,우쓰노미야 시
Tsu,쓰 시
Tottori,돗토리 시
Tokyo Prefecture,도쿄 도
Tokushima,도쿠시마 시
Saga,사가 시
Ōtsu,오쓰 시
Okinawa,오키나와 현
Okayama,오카야마 시
Ōita,오이타 시
Kōfu,고후 시
Kitakyushu,기타큐슈 시
Kawaguchi,가와구치 시
Kanazawa,가나자와 시
Kagoshima,가고시마 시
Hamamatsu,하마마쓰 시
Gifu-shi,기후 시
Honchō,후나바시 시
Kushiro,구시로 시
Kitami,기타미 시
Hirosaki,히로사키 시
Asahikawa,아사히카와 시
Narita,나리타 시
Kōriyama,고리야마 시
Iwaki,이와키 시
Ishinomaki,이시노마키 시
Ichinoseki,이치노세키 시
Ichihara,이치하라 시
Hitachi,히타치 시
Otaru,오타루 시
Beppu,벳푸 시
Ashikaga,아시카가 시
Niihama,니이하마 시
Niigata-ken,니가타 현
Nagasaki Prefecture,나가사키 현
Nagareyama,나가레야마 시
Nagaoka,나가오카 시
Musashino,무사시노 시
Moriguchi,모리구치 시
Miyakonojō,미야코노조 시
Mishima,미시마 시
Matsumoto,마쓰모토 시
Matsudo,마쓰도 시
Machida,마치다 시
Kurume,구루메 시
Kure,구레 시
Kurashiki,구라시키 시
Kumagaya,구마가야 시
Atsugi,아쓰기 시
Akashi,아카시 시
Zama,자마 시
Yonago,요나고 시
Yokosuka,요코스카 시
Yokkaichi,욧카이치 시
Yaizu,야이즈 시
Urayasu,우라야스 시
Uji,우지 시
Ueda,우에다 시
Ube,우베 시
Tsuyama,쓰야마 시
Toyota,도요타 시
Toyohashi,도요하시 시
Tokorozawa,도코로자와 시
Tochigi,도치기 시
Takasaki,다카사키 시
Takarazuka,다카라즈카 시
Takaoka,다카오카 시
Suzuka,스즈카 시
Suita,스이타 시
Shimonoseki,시모노세키 시
Seto,세토 시
Satsumasendai,사쓰마센다이 시
Sasebo,사세보 시
Sakai,사카이 시
Ōmuta,오무타 시
Ōme,오메 시
Okazaki,오카자키 시
Odawara,오다와라 시
Numazu,누마즈 시
Nobeoka,노베오카 시
Nishio,니시오 시
Koshigaya,고시가야 시
Komaki,고마키 시
Koga,고가 시
Kisarazu,기사라즈 시
Kiryū,기류 시
Kazo,가조 시
Kawanishi,가와니시 시
Kawagoe,가와고에 시
Kasukabe,가스카베 시
Kasugai,가스가이 시
Kashiwa,가시와 시
Kariya,가리야 시
Karatsu,가라쓰 시
Kamakura,가마쿠라 시
Kakegawa,가케가와 시
Kagoshima-ken,가고시마 현
Iwakuni,이와쿠니 시
Itami,이타미 시
Isesaki,이세사키 시
Ise,이세 시
Isahaya,이사하야 시
Inazawa,이나자와 시
Iida,이다 시
Ichinomiya,이치노미야 시
Ibaraki,이바라키 시
Hiratsuka,히라쓰카 시
Himeji,히메지 시
Hatsukaichi,하쓰카이치 시
Handa,한다 시
Hadano,하다노 시
Hachiōji,하치오지 시
Fukuyama,후쿠야마 시
Fukuchiyama,후쿠치야마 시
Fujisawa,후지사와 시
Fujinomiya,후지노미야 시
Fuji,후지 시
Chigasaki,지가사키 시
Asaka,아사카 시
Okinawa,오키나와 시
Nasushiobara,나스시오바라 시
