Pyongyang,평양직할시
Democratic People’s Republic of Korea,조선민주주의인민공화국
Hamhŭng,함흥시
Chongjin,청진시
Wŏnsan,원산
Namp’o,남포
Hŭngnam,흥람
Sinŭiju,신의주시
Kaesŏng,개성시
Eastern Asia,동아시아
Kanggye,강계
Hyesan,혜산시
Hambuk,함경북도
Hamnam,咸南
Haeju,해주
Puksubaek-san,북수백산
Chagang-do,자강도
Rason,라선특별시
Ryanggang,兩江道
Songnim-ni,송림리
Pyongyang,평양직할시
South Pyongan,平安南道
North Pyongan,平北
Kangwŏn-do,강원도
Hwanghae-namdo,황해남도
Hwanghae-bukto,黃海北道
Asia,아시아
Namp’odae-san,남포대산
Hyesan-dong,혜산동
Aoji,아오지
Tuun-bong,두운봉
Uiju Airport,의주비행장
Sunan,순안
Chaeryŏng-ŭp,재령읍
Anju,안주
Kalma Airport,원산공항
Pyongyang Sunan International Airport,평양순안국제공항
Chongjin Airport,어랑공항
Songwŏn-gun,송원군
Sŏngjŏn-dan,성전단
Sŏnggan-gun,성간군
Sŏnbong-gun,선봉군
Sinp’o-si,신포시
Sinhŭng-gun,신흥군
Sijung-gun,시중군
Sangjiktu,상직두
Samsu-gun,삼수군
Samjiyŏn-gun,삼지연
Sakchu-gun,삭주군
Kyŏngwŏn,새별군
Pyŏktong-gun,벽동군
Puryŏng-gun,부령
P’ungsŏ-gun,풍서군
Kimhyŏnggwŏn-gun,김형권군
Pujŏn-gun,부전군
Ipyŏng,이평
Poch’ŏn-gun,보천
Paegam-gun,백암
Ŏrang-gun,어랑군
Onsŏng-gun,온성군
Nangnim-gun,랑림군
Rajin,라진
Hwasŏng-gun,화성군
Myŏngch’ŏn-gun,명천군
Musan-gun,무산군
Mulban-gol,물반골
Manp’o-si,만포시
Kyŏngsŏng-gun,경성
Kop’ung-gun,고풍군
Kimjŏngsuk-kun,김정숙군
Kimch’aek-si,김책시
Kilchu-gun,길주군
Kapsan-ŭp,갑산읍
Kapsan-gun,갑산군
Kanggye-si,강계시
Kanggu-dong,강구동
Iwŏn-gun,리원군
Huti-ho,후티호
Hyesan-si,혜산
Hwap’yŏng-gun,화평군
Hwadae-gun,화대군
Hŭich’ŏn-si,회천시
Kimhyŏngjik-kun,김형직군
Hongwŏn-gun,홍원군
Hoeryŏng,회령시
Hŏch’ŏn-gun,허천군
Chunggang-gun,중강
Chungam-dong,중암동
Ch’osan-gun,초산군
Ch’ŏnma-gun,천마
Ch’ŏngjin-si,청진
Ch’ŏndŏgi-gol,천덕이골
Chŏnch’ŏn-gun,전천군
Chasŏng-gun,자성군
Ch’angsŏng-gun,창성군
Changjin-gun,장진군
Changgang-gun,장강군
Todang-gol,도당골
Hoeyang-dong,회양사
Sangdŏgi,상덕
Nugŏ-dong,누거동
Yŏnsa-gun,연사군
Yŏnhwa-san,연화산
Ryongnimdong,룡림동
Yongnim-gun,룡림군
Yŏnggwang-gun,영광군
Wiwŏn-gun,위원군
Usi-gun,우시군
Unsan-gun,운산군
Unhŭng-gun,운흥군
Kyŏnghŭng,경흥
Uiju County,의주군
Tongsin-gun,동신군
Tonggol-gol,동골골
Tongch’ang-gun,동창군
Tŏksŏng-gun,덕성군
Tanch’ŏn-gun,단천군
Taehŭng-gun,대흥군
Taehongdan-gun,대홍단군
Taegwan-gun,대관군
Ch’ilsŏng-dong,중평
Sam-ch’on,삼촌
Sŭngjibaegam,승지백암
Hajiktu,하직두
Mokkuksa,목국사
Samnakkol,삼낙골
Kusŏk-tong,구석동
Tŭngmal,등말
Onp’yŏng,온두루지
P’ungdŏng-ni,풍덕리
Myŏngsang-dong,명상동
Kalbakkol,갈밭골
T’aet’an-gun,태탄
Taesŏng-guyŏk,대성
Taedong-gun,대동
Taedonggang,대동강
T’aech’ŏn-gun,태천군
Sŭngho-gun,승호군
Sunch’ŏn-si,순천시
Sunan,순안
Sukch’ŏn-gun,숙천
Such’ŏng-dong,수청동
Suan-gun,수안군
Sŏsŏng-guyŏk,서성구역
Sŏn’gyo-guyŏk,선교
Songnim-si,송림시
Songhwa-gun,송화군
Sŏngch’ŏn-gun,성천군
Sŏnch’ŏn-gun,선천군
Sŏktong-ni,청룡리
Sŏhŭng-gun,서흥군
Sŏgwangsa,석왕사
Sinyang-gun,신양군
Sinwŏn-gun,신원군
Sinp’yŏng-gun,신평군
Sinp’yŏng,신평
Sinmak,신막
Sin’gye-gun,신계군
Sinch’ŏn-gun,신천군
Sinanju,신안주
Sep’o-gun,세포군
Sariwŏn-si,사리원시
Sangwŏn-gun,상원군
Samsŏk-kuyŏk,삼석
Samch’ŏn-gun,삼천군
Sambong-ni,삼봉리
Sadong-guyŏk,사동구역
P’yŏngwŏn-gun,평원군
P’yŏngsŏng-si,평성시
P’yŏngsan-gun,평산군
P’yŏnggang-gun,평강군
P’yŏngch’ŏn-guyŏk,평천구역
Pongch’ŏn-gun,봉천
Pyŏksŏng-gun,벽성군
Pukch'ang,북창군
Pot’onggang-guyŏk,보통강
Posal-li,보산리
Pŏptong-gun,법동군
Pongsan-gun,봉산군
Yongch’ŏn-gun,룡천군
Tŏkch’ŏn-si,덕천시
Kangsŏ-guyŏk,강서구역
Yŏnt’an-gun,연탄군
Yŏnsan-gun,연산군
Yŏn’gyo-ri,연교리
Nyŏngwŏn-gun,녕원군
Ryongsŏng-guyŏk,룡성구역
Ryongsŏng i-dong,용성2동
Yonggang-gun,룡강군
Nyŏngbyŏn-gun,녕변군
Yŏnan,연안
Yŏmju-gun,염주군
Ryŏkp’o-guyŏk,력포구역
Yodŏk-kun,요덕군
Yangdŏk-kun,양덕
Wŏnsan-si,원산시
Wŏngi-dong,원기동
Wŏldae-do,우래도
Ŭnp’a-gun,은파군
Unjŏn-gun,운전군
Unjong-ni,운종리
Ŭnch’ŏn-gun,은천
Ŭllyul-gun,은률군
Ŏi-dong,의동
T'osan'-gun,토산군
Tongnim-gun,동림군
Tongjŏng-ho,동정호
Tongdaewŏn-guyŏk,동대원
T’ongch’ŏn-gun,통천군
Tŏkkogae-ri,덕고개리
P’ihyŏn-gun,피현군
Parigol,발이골
P’anmun-gun,판문군
P’an’gyo-gun,판교군
Panghyŏn-dong,방현동
Palmak,발막
Pakch’ŏn-gun,포천군
Paech’ŏn-gun,배천
Ongjin-gun,옹진군
Onch’ŏn-gun,온천군
Tongan,동안
Nodong-ni,노동리
Nangnang,락랑
Namsanyŏng-ni,남산영리
Nagwŏn-gun,락원군
Naengjŏng-dong,냉정동
Mundŭng-mal,문등말
Mundŏk-kun,문덕
Munch’ŏn-si,문천시
Moranbong,모란봉구역
Man’gyŏngdae,만경대구역
Maengsan-gun,맹산
Kwaksan,곽산
Kwaksan-gun,곽산군
Kwail-gun,과일군
Kusŏng-si,구성시
Kusŏng,구성
Kŭn-gol,큰골
Kŭmya-gun,금야군
Kŭmgang-san,금강산
Kŭmgang-gun,금강군
Kŭmdae-ri,각금리
Kŭmch’ŏn-gun,금천
Kujang-gun,구장군
Kuam-ho,구암호
Kowŏn-gun,고원군
Koumgol,거음골
Kosŏng-gun,고성군
Kosan,고산
Kosan-gun,고산
Koksan-ŭp,곡산
Koksan-gun,곡산군
Kimhwa-gun,김화
Kangnyŏng-gun,강령군
Kangnam-gun,강남
Kangdong-gun,강동
Kaesŏng-si,개성시
Kaep’ung-gun,개풍군
Kaech’ŏn-si,개천시
Kaatkol,가앗골
Insan-gun,린산군
Ich’ŏn-gun,이천군
Hyŏngjesan-guyŏk,형제산구역
Hyangsan-gun,향산군
Hwangju-ŭp,황주읍
Hwangju-gun,황주군
Hoeyang-gun,회양군
Hoech'ang,회창군
Hamju-gun,함주군
Hamhŭng-si,함흥시
Haeju-si,해주
Chŭngsan-gun,증산군
Chung,중
Chunghwa-gun,중화군
Chun-maŭl,주마을
Karaekkol,가래골
Ch’ŏrwŏn'-gun,철원군
Ch’ŏnnae-gun,천내군
Chongpyong County,정평군
Ch’ŏngnam-gu,청남구
Chŏngju,정주
Chŏngju-gun,정주군
Ch’ŏngdan-gun,청단
Ch’ŏlsan-gun,철산군
Changyŏn,장연
Changyŏn-gun,장연군
Changp’yŏng,장평
Changp’ung-gun,장풍군
Ch’angdo-gun,창도군
Chaeryŏng-gun,재령군
Anju-si,안주시
Anbyŏn-gun,안변군
Anak-kun,안악군
Anak,안악
Hanggu-guyŏk,항구구역
Waudo-guyŏk,와우도구역
Nŏmjinmak,느진막
Chongdalgol,종달골
Tarak-gol,다락골
Paedŏk,배덕
Sindo-gun,신도군
Pyŏngmu-ri,병무동
Kilsach’am,길사참
Kaltae-ri,갈대리
Ŭnsan-gun,은산군
Ch’ŏllima-guyŏk,천리마구역
Taean-guyŏk,대안구역
Sudong-gu,수동
Yongyŏn-gun,룡연군
Samho-gol,삼호골
Kŏnnendegi,건넨데기
Yŏjinha-ch’on,여진하촌
Ŭnjŏng-guyŏk,은정구역
Ta-dong,다동
Suhwak-tong,수확동
Such’im-ni,수참동
Such’im-dong,수침동
Ssangbujae,쌍부재
Ssangbong-dong,쌍봉동
Ogaram-dan,오갈암단
Sori-dong,소리동
Son-gol,손골
Sŏnggan-ŭp,성간읍
Songdŏk,송덕
Somusu,소무수
Solsam-dong,솔삼동
Sŏhwadŏk,서화덕
Sŏgi-gol,석이골
Sinyangp’yŏng,신양평
Sinp’ung-ni,신풍리
Sinjŏl-li,신전리
Sinjang-ni,신장리
Sinhŭng-dong,신흥동
San’gup’o,산구포
Sang-dong,상동
Sangch’op’yŏng,상초평
Sangch’op’yŏng,상초평
Sangbaekt’ŏ,상백터
Samha-ri,삼하리
Saebanmok,새밭목
Puksu-san,북수산
Pangp’o,방포
Paek-tong,백동
Ŏmyŏnbo,엄연보
Ŏdaejil-lodongjagu,어대진
Nŏlbŭndol-ch’on,넓은돌촌
No-gol,노골
Nanch’i-dong,난치동
Nam-p’o,남포
Rajŏk,라적
Musu-dan,무수단
Mant’ap-san,만탑산
Mak-p’yŏng,막평
Kyebangdurugŏri,계방두루
Kwanam-dong,관암동
K’waeyo-sŏm,쾌요섬
Kujil-li,구진리
Kuam,구암
Kongjŏn-gol,공전골
Komdŏk,곰덕
Kŏmamdŏk,검암덕
Kip’ŭn’gae,깊은개
Karŭn-dan,갈음단
Kan’gok,간곡
Kangha-ri,강하리
Kanggŏn-dong,강건동
Kaema-kowŏn,개마고원
Yŏnmongmaŭl,연목마을
Insul-li,인순리
In’gahaech’am,인가해동
Igalp’o,이갈포
Yongsu-dong,용수동
Hŭibang-dong,희방동
Kimhyŏngjik,김형직
Hoemok-tong,회목동
Hoban-dong,호반동
Hanwŏnch’i,한원치
Hankkŭt,한끗
Hanam-ch’on,하남촌
Hambak-tong,함박동
Ha-ch’on,하촌
Chungp’yŏng,중평
Chungdok-tong,중독동
Chung-ch’on,중촌
Chungch’angp’yŏng,중창평
Chungbugŭn,중부근
Ch’ŏnsŏkt’ŏ,천석터
Chŏk-chi,적지
Ch’ojang-dong,초장동
Ch’ayu-dong,차유동
Ch’asamdongt’ap-tong,차삼동탑동
Changal-li,장안리
Ch’albangdŏgi,찰방덕이
Chech’ŏnmul,제천물
Aal-li,아안리
An’gye-ri,안계리
Sin-dong,신동
Ch’oeobong,최오봉
Hŭlli-dong,흘리동
Sinhŭngdŏgi,신흥덕이
Swint’ŏ,쉰터
Wŏnam,원암
Sindŏng-ni,신덕리
Sinjŏnsu,신전수
Nasan-dong,나산동
Tŏksan-dong,덕산동
Sangnae-dong,상내동
Taeŭnp’o,대은포
Tap-tong,답동
Paenamugol,배나무골
Koubong-dong,고우봉동
Pansong,반송
Kippau,깃바우
Pommi-gol,봄미골
Yongmi-dong,용미동
Kaeryŏngdae,개령대
P’yŏngjiwŏn,평지원
Kanjang,간장
Kayang-ni,가양리
Unjŏl-li,운전리
Yongsu-ri,용수리
P’ora-ri,포라리
Kyerim-dong,계림동
P’yŏngch’on-dong,평촌동
Song-ch’on,송촌
Yuch’ŏl-li,유천리
Punji-ri,분지리
Sŏn’gyŏng-dong,선경동
Poksu-ri,복수리
Wŏn’-gol,원골
Yangmul-li,양문리
Pubyŏl-li,부변리
Tokpong,독봉
Changgang-ni,장강리
Changdong-ni,장동리
Han’gagubi,한가구비
Soryongbong-ni,소룡봉리
Ryudong-ni,류동리
Puhŭng-dong,부흥동
Turong-gol,두롱골
Tohŭng-dong,도흥동
Nam-ch’on,남촌
Sŭngjidŏk,승지덕
Haksŏl-li,학선리
Kanggol,강골
Sangnŭpchae,상늪재
Puhuwŏn,부후원
Obongdŏk,오봉덕
Kuryongso,구룡소
Hŭktari,흑다리
Tokchanggol,독장골
Chagŭnmalgŭndam,작은맑은담
Yŏnjagi-maŭl,연자기마을
Kobakkol-maŭl,고바우
Changhŭng-dong,장흥동
Samsup’yŏng,삼수평
Yup’yŏng-nodongjagu,유평로동자구
Yŏnjin-dong,용진동
Yŏnhwa-ri,연화리
Yongnim-ŭp,룡림읍
Yongho,용호
Yongch’ŏn-dong,용천동
Ryongbuk-nodongjagu,용북구
Wŏl-li,원리
Unhŭng-ŭp,운흥읍
Top’i-ch’on,도피촌
Tongsal-lodongjagu,동산로동자구
Tŏngmal-li,덕만리
Tongdŏk-tong,동덕동
Tongbang-dong,동방동
Tohwa-dong,도화동
Hoban-nodabgjagu,호반로동자구
Taeri-dong,대리동
Taejang-dong,대장동
P’ungsan-dong,풍산동
Kangsan-dong,강산동
Yup’yong-dong,유평동
Ch’unbanggol,춘방골
Angol-maŭl,큰말
Namjŏlsu,남절수
Sangji-dong,상지동
Yujŏng,유정
Hongsal-ch’on,홍살촌
Hwangp’yong,황평
Chŏngt’ap,정탑
Sinhŭng-dong,신흥동
Podŏgi,보덕이
Noksaengdŏgi,녹생덕이
Pangŭidŏgi,방의덕이
Chigyŏngam,지경암
Pangp’o,방포
Majŏk-kol,마적골
Ch’ŏnhwa-dong,천화동
Ch’oesŭng-dong,최승동
Saebattŏgi,새밭덕이
Komusan Il-tong,고무산1동
Kŭmsŏng-ho,금성호
Yongjŏl-li,용전리
Songjŏng-ni,송정리
P’arhang-ni,팔항리
Hwayang-ni,화양리
Ch’ŏnt’ae-ri,천태리
Yoho-ri,요호리
Misal-li,미산리
Kugŭnnŏ,구근너
Taehŭng-ni,대흥리
Kwangdong-ni,광독리
Koeam-ni,괴암리
Sangul-li,상운리
Panggye-ri,방계리
Sasal-li,사산리
Songhyŏl-li,송현리
Sigun’gae,시군개
Susaeng-dong,수생동
Kalch’ŏl-li,갈전리
Hanbakkol,한밭골
Chagae-dong,자개동
Munbang-dong,문방동
Kulgol,굴골
Chŏlgol,절골
Tangmol,당몰
Sojanggol,소장골
Choronggol,조롱골
Ŭn’gak-tong,은각동
Siktang-dong,식당동
Ch’ogu-dong,초구동
Ssukkol,쑥골
Ryongnim-dong,룡림동
Ryongul-li,룡운리
Changjaegol,장재골
Chiksu,직수
Sinp’unggol,신풍골
Umugol,우무골
Ch’amp’an-dong,참판동
Kosŏng,고성
Mukpang,묵방
Samgŏ-ri,삼거리
Samyŏnggol,사명골
Wŏnang-dong,원앙동
Hwanhŭihyŏn,환희현
Yŏngunjŏng,영운정
Yongp’o-maŭl,룡포마을
Kang-ch’on,강촌
Yongch’u il-tong,룡추일동
Ami-san,아미산
Changjegung-dong,장제궁동
Taesŏngsan-yuwŏnji,대성산유원지
Nŭngnado-yuwŏnji,능라도유원지
Ryonggung il-tong,룡궁일동
Sŏngsu-ri,성수리
P’altok,팔독
Chogaesŏm,조개섬
