Seoul,서울특별시
Gwangju,광주광역시
Incheon,인천광역시
Busan,부산광역시
Daegu,대구광역시
Daejeon,대전광역시
Suwon,수원시
Republic of Korea,대한민국
Ulsan,울산광역시
Goyang-si,고양시
Changwon,창원시
Seongnam-si,성남시
Eastern Asia,동아시아
Hallasan,한라산
Chuncheon,춘천
Jeonju,전주시
Cheongju-si,청주시
Cheonan,天安市
Jeju City,제주시
Andong,안동시
Gyeongsangbuk-do,경상북도
Gyeongju,경주시
Gunsan,군산시
Kimhae,김해시
Gimcheon,김천
Iksan,익산시
Chungju,충주
Bucheon-si,부천시
Osan,오산시
Asan,아산
Jeollanam-do,전라남도
Jirisan,지리산
Chinju,진주시
Ansan-si,안산시
Incheon International Airport,인천국제공항
Sejong,世宗
Gyeongsan-si,경산시
Gyeonggi-do,경기도
Gwangju,광주광역시
Gwangju,광주시
Guri-si,구리시
Gumi,龜尾市
Gongju,공주시
Gangwon,강원도
Gangneung,강릉시
Icheon-si,이천시
Hwaseong-si,화성시
Chungcheongnam-do,충청남도
Chungcheongbuk-do,충청북도
Pyeongtaek,평택시
Pohang,포항
Mungyeong,문경
Mokpo,목포
Miryang,밀양시
Yangsan,양산
Yangju,양주
Wŏnju,원주시
Suncheon,순천
Seosan,서산시
Seoraksan,설악산
Jeollabuk-do,전라북도
Anyang-si,안양시
Anseong,안성
Yeosu,여수시
Gyeongsangnam-do,경상남도
Hanam,하남
Namyangju,남양주시
Jeju International Airport,제주국제공항
Asia,아시아
Gimpo International Airport,김포국제공항
Sejong-si,세종특별자치시
Jeongeup,정읍시
Koch'ang,고창
Incheon,인천광역시
Hongch’ŏn,홍천군
Pyeongchang,평창군
Busan,부산광역시
Nonsan,논산시
Masan,마산
Yeongju,영주
Yeoju,여주시
Yesan,예산군
Wanju,완주
Ulsan,울산광역시
Uijeongbu-si,의정부시
Daejeon,대전광역시
Daegu,대구광역시
Seoul,서울특별시
Sokcho,속초
Cheongsong gun,청송
Jeju-do,제주특별자치도
Changnyeong,창녕
Muan International Airport,무안국제공항
Gunsan Airport,군산공항
Yeosu/Suncheon Airport,여수공항
Busan / Gimhae International Airport,김해국제공항
Sacheon Airport,사천공항
Seoul Air Base,서울공항
Saha-gu,사하구
Yeosu Gu Hang,여수구항
Yeosu Sin-Hang,여수신항
Gyeongsan-si,경산시
Gyeongpoho,경포호
Kyebang-san,계방산
Gwangyang-si,광양시
Kwangwŏl-li,광원리
Gwangsan-gu,광산구
Gwangju-si,광주시
Gwanak-gu,관악구
Guam-ri,구암리
Kuŭm-ni,구읍리
Kusal-li,구산리
Gurye-gun,구례군
Kurye,구례
Guro-gu,구로구
Gunwi-gun,군위군
Kunwi,군위
Gunsan-si,군산시
Geumsan-gun,금산군
Gimpo-si,김포시
Gimje-si,김제시
Gumi-si,구미시
Kŭmgang-ni,금강리
Geumchon-dong,금촌동
Goyang-si,고양시
Goseong-gun,고성군
Goseong-gun,고성군
Goryeong-gun,고령군
Koho-ri,고포리
Gongju-si,공주시
Kongjŏl-li,공전리
Komang-ni,고막리
Gokseong-gun,곡성군
Geoje-si,거제시
Goheung-gun,고흥군
Goesan-gun,괴산군
Geochang-gun,거창군
Gochang-gun,고창군
Gimhae-si,김해시
Kiltu-ri,길두리
Gijang,기장
Gangseo-gu,강서구
Gangneung-si,강릉시
Gangnam-gu,강남구
Gangjin-gun,강진군
Ganghwa-gun,강화군
Gangcheonri,강천리
Gakhoeri,각회리
Kaeksal-li,객산리
Inje-gun,인제군
Imsil-gun,임실군
Imsil,임실
Rinsen-ri,임전리
Iksan-si,익산시
Icheon-si,이천시
Hwasun-gun,화순군
Hwasun,화순
Paroho,파로호
Hwacheon,화천군
Hwaam-ni,화암리
Haktong-ni,흥학리
Hongseong-gun,홍성군
Hongcheon-gun,홍천군
Hoeryong-ni,회룡리
Hoengseong-gun,횡성군
Hoegok-ri,회곡리
Hapcheon-gun,합천군
Hanteo,한터
Hamyang-gun,함양군
Hampyeong-gun,함평군
Hampyeongsaengtaegongwon,함평생태공원
Hambaek-san,咸白山
Haman-gun,함안군
Kaigen-ri,해원리
Haenam-gun,해남군
Haenam,해남
Hadong-gun,하동군
Yeongju-si,영주시
Chwaul-li,좌운리
Tongyeong-si,통영시
Chungju-si,충주시
Jung-gu,중구
Jung-gu,중구
Chuncheon-si,춘천시
Jumunjin,주문진
Sancheong-gun,산청군
Pyeongtaek,평택시
Pyeongchang-gun,평창군
Buyeo-gun,부여군
Bunin-ri,분원리
Bucheon-si,부천시
Buan-gun,부안군
Boeun-gun,보은군
Boseong-gun,보성군
Boryeong-si,보령시
Buphang,법흥리
Bonghwa-gun,봉화군
Ponghang-ni,봉학리
Pohang-si,포항시
Pocheon-si,포천시
Pangch’ul-li,방춘리
Paju-si,파주시
Okcheon-gun,옥천군
Osal-li,오산리
Nonsan-si,논산시
Battei-ri,벌정리
Namyangju-si,남양주시
Namwon,남원시
Namhae-gun,남해군
Naju-si,나주시
Naju,나주
Naeseongdongni,내성동리
Naedong-ni,내동리
Muju-gun,무주군
Mugal-li,묵안리
Muan-gun,무안군
Mokpo-si,목포시
Miryang-si,밀양시
Mapo-gu,마포구
Mantoku-ri,만덕리
Heunghae,흥해
Enhei-ri,연평리
Yeonil,연일
Yeongwol-gun,영월군
Neietsu,영월
Yeongsinjigu,영신지구
Yongsin-ni,영신리
Yongsan-gu,용산구
Hogye-ri,호계리
Eiden-ri,영전리
Yongjamdong,용잠동
Yongin-si,용인시
Yongil-li,용일리
Suroe-ri,영관리
Yeonggwang-gun,영광군
Yeongdeungpo-gu,영등포구
Yeongdong-gun,영동군
Yeongdeok-gun,영덕군
Yeongdo-gu,영도구
Yeongdo,영도
Yeongcheon-si,영천시
Yongbal-li,용반리
Yeongam-gun,영암군
Nanren-ri,연동리
Yeoncheon-gun,연천군
Yeoju-si,여주시
Yeosu-si,여수시
Yesan-gun,예산군
Yecheon-gun,예천군
Yangyang-gun,양양군
Yangsan-si,양산시
Yangpyeong-gun,양평군
Yanggu-gun,양구군
Yanggu,양구
Wonju-si,원주시
Inshin-ri,원진리
Gyeongju,경주시
Wolmun-ri,월문리
Ayeom,아염
Wando-gun,완도군
Eunpyeong-gu,은평구
Unden-ri,운전리
Eumseong-gun,음성군
Ulleung-gun,울릉군
Ulju-gun,울주군
Uljin-gun,울진군
Uiseong-gun,의성군
Uiryeong-gun,의령군
Uijeongbu-si,의정부시
Tokugan-ri,득암리
Enko-ri,연호리
Dongnae-gu,동래구
Dongjak-gu,동작구
Donghae-si,동해시
Tonghae-ri,동해리
Dong-gu,동구
Dongducheon,동두천시
Dongdaemun-gu,동대문구
Deokso-ri,덕소리
Todong-ni,도청리
Dobong-gu,도봉구
Danyang-gun,단양군
Tannae,단천리
Dangjin-si,당진시
Tangjin,당진시
Tangam-ni,당암리
Damyang-gun,담양군
Dalseong-gun,달성군
Taeya-ri,대야리
Taesal-li,대산리
Taeha-dong,태하리
Daedeok-gu,대덕구
T’aebaek,태백
