파브릭스 아르티스,Pabriks Artis
카린시 아르투르스 크리샤니스,Kariņš Arturs Krišjānis
크레메르스 기돈스,Krēmers Gidons
포르진기스 크리스탑스,Porziņģis Kristaps
사레이카 비네타,Sareika Vineta
얀손스 마리스 이바르스 게오르크스,Jansons Mariss Ivars Georgs
베요니스 라이몬츠,Vējonis Raimonds
쿠친스키스 마리스,Kučinskis Māris
가란차 엘리나,Garanča Elīna
돔브로우스키스 발디스,Dombrovskis Valdis
자틀레르스 발디스,Zatlers Valdis
세바스토바 아나스타시야,Sevastova Anastasija
라트비아,Latvija
오스타펜코 옐레나,Ostapenko Jeļena
슈켈레 안드리스,Šķēle Andris
비케 프레이베르가 바이라,Viķe Freiberga Vaira
자틀레르스 발디스,Valdis Zatlers
베르진시 안드리스,Bērzinš Andris
세바스토바 아나스타시야,Anastasija Sevastova
벤츠필스,Ventspils
리가,Rīga
피에발그스 안드리스,Piebalgs Andris
리예파야,Liepāja
크리스토판스 빌리스,Kristopans Vilis
다우가프필스,Daugavpils
