Aleksandrs Starkovs,알렉산드르스 스타르코우스
Ernests Gulbis (tenisists),에르네스츠 굴비스
Mihails Barišņikovs,미하일 바리시니코프
Kārlis Ulmanis,카를리스 울마니스
Artjoms Rudņevs,아르툠스 루드네우스
Juris Hartmanis,유리스 하르트마니스
Vasilijs Stepanovs,바실리스 스테파노우스
Mihails Tāls,미하일스 탈스
Rainis,라이니스
Egils Levits,에길스 레비츠
Andrejs Perepļotkins,안드레이스 페레플료트킨스
Andris Bērziņš (Latvijas prezidents),안드리스 베르진슈 (라트비아의 대통령)
Latvieši,라트비아인
Inta Kļimoviča-Drēviņa,인타 클리모비차
Jānis Lūsis (vieglatlēts),야니스 루시스
Sandis Ozoliņš,산디스 오졸린슈
Valdis Dombrovskis,발디스 돔브로우스키스
Guntis Ulmanis,군티스 울마니스
Mariss Jansons,마리스 얀손스
Ainārs Kovals,아이나르스 코발스
Jānis Čakste,야니스 착스테
Aigars Fadejevs,아이가르스 파데예우스
Staņislavs Olijars,스타니슬라우스 올리야르스
Vaira Vīķe-Freiberga,바이라 비케프레이베르가
Vadims Vasiļevskis,바딤스 바실레우스키스
Edvīns Bietags,에드빈스 비에탁스
Jevgeņijs Saproņenko,예우게니스 사프로넨코
Igors Vihrovs,이고르스 비흐로우스
Mārtiņš Rubenis,마르틴슈 루베니스
Oskars Dankers,오스카르스 당케르스
Viktors Ščerbatihs,빅토르스 슈체르바티흐스
Indulis Emsis,인둘리스 엠시스
Kārlis Skrastiņš,카를리스 스크라스틴슈
Viktors Arājs,빅토르스 아라이스
Martins Dukurs,마르틴스 두쿠르스
Moriss Halle,모리스 할레
Jānis Daliņš,야니스 달린슈
Arnis Mednis,아르니스 메드니스
Kaspars Gorkšs,카스파르스 고르크슈
Aleksandrs Cauņa,알렉산드르스 차우냐
Vitālijs Astafjevs,비탈리스 아스타페우스
Andris Nelsons,안드리스 넬손스
Gustavs Zemgals,구스타우스 젬갈스
Valdis Zatlers,발디스 자틀레르스
Vilis Krištopans,빌리스 크리슈토판스
"Andris Bērziņš (politiķis, 1951)",안드리스 베르진슈 (라트비아의 총리)
Aigars Kalvītis,아이가르스 칼비티스
Miša Maiskis,미샤 마이스키
Afanasijs Kuzmins,아파나시스 쿠즈민스
Alberts Kviesis,알베르츠 크비에시스
Vasilijs Kononovs,바실리 코노노프
Jēkabs Peterss,야코프 페테르스
Juris Silovs (vieglatlēts),유리스 실로프스
Oskars Bārtulis,오스카르스 바르툴리스
Tomass Dukurs,토마스 두쿠르스
Ksenija Solo,크세니야 솔로
Māris Verpakovskis,마리스 베르파코우스키스
Ivars Godmanis,이바르스 고드마니스
Marija Naumova,마리야 나우모바
Aija Andrejeva,아이야 안드레예바
Anastasija Sevastova,아나스타시야 세바스토바
Ineta Radēviča,이네타 라데비차
Māris Štrombergs,마리스 슈트롬베르크스
Artūrs Irbe,아르투르스 이르베
Dainis Kūla,다이니스 쿨라
Eduards Kalniņš (ministrs),에두아르츠 칼닌슈
Augusts Kirhenšteins,아우구스츠 키르헨슈테인스
Ausma Ziedone-Kantāne,아우스마 지에도네칸타네
Viktorija Modesta,빅토리아 모데스타
Uvis Kalniņš,우비스 칼닌슈
Vladislavs Gutkovskis,블라디슬라우스 구트코우스키스
Jānis Paukštello,야니스 파욱슈텔로
Deniss Čerkovskis,데니스 체르코우스키스
Ināra Mūrniece,이나라 무르니에체
Agate Muceniece,아가테 무체니에체
Jana Sekste,야나 섹스테
Ilze Ķuzule-Skrastiņa,일제 추줄레스크라티냐
Romualds Ražuks,로무알츠 라죽스
Beness Aijo,아이조 베네스
Pauls Kalniņš (politiķis),파울스 칼닌슈
Andris Keišs,안드리스 케이슈
Ēriks Pelcis,에릭스 펠치스
Gundars Celitāns,군다르스 첼리탄스
Laura Rizoto,라우라 히조투
Aleksandrs Jackēvičs,알렉산드르스 야츠케비치
Vsevolods Zeļonijs,브세볼로스 젤로니스
Baiba Broka (aktrise),바이바 브로카 (배우)
Vilis Daudziņš,빌리스 다우진슈
Māris Kučinskis,마리스 쿠친스키스
Tobu,토부
Uldis Pūcītis,울디스 푸치티스
Georgijs Kuļikovs,게오르기스 쿨리코우스
Aļona Ostapenko,옐레나 오스타펜코
Pjotrs Avens,페트르 아벤
Juris Bērziņš,유리스 베르진시
Raimonds Vējonis,라이몬츠 베요니스
Aminata Savadogo,아미나타 사바도고
Kristīne Nevarauska-Atkočūne,크리스티네 네바라우스카
Ieva Lagūna,이에바 라구나
Igors Šiškins,이고르스 시슈킨스
Edgars Rinkēvičs,에드가르스 린케비치
Jeļena Maļuka,옐레나 루블레우스카
Jānis Pīnups,야니스 피눕스
Deandrē Jedlins,디안드레 예들린
Arturs Krišjānis Kariņš,크리샤니스 카린슈
Ģirts Ķesteris,지르츠 체스테리스
Arsens Miskarovs,아르센스 미스카로우스
Ingūna Butāne,잉구나 부타네
Atis Slakteris,아티스 슬락테리스
Samanta Tīna,사만타 티나
Laimdota Straujuma,라임도타 스트라우유마
Zemgus Girgensons,젬구스 기르겐손스
Rūdolfs Gaitars,루돌프스 가이타르스
Kristaps Porziņģis,크리스탑스 포르진지스
Ingrīda Andriņa,잉그리다 안드리냐
Helga Dancberga,헬가 단츠베르가
Evika Siliņa,에비카 실리냐
Ārons Bogoļubovs,아론스 보골루보프스
