Latvija,라트비아
Irbes šaurums,이르베 해협
Latvijas Futbola federācija,라트비아 축구 연맹
Jūrmala,유르말라
Piltene,필테네
Latvijas rajoni,라트비아의 구
Eiro,유로
Rīga,리가
Aknīste,아크니스테
Rīgas Tehniskā universitāte,리가 기술대학교
Lietuvieši,리투아니아인
Kurzeme,쿠를란트
Latvijas ģerbonis,라트비아의 국장
Rīgas radio un televīzijas tornis,리가 라디오 및 텔레비전 타워
Jaunjelgava,야우넬가바
Limbažu rajons,림바지구
Baltijas jūra,발트해
Daugava,다우가바강
Latvijas futbola izlase,라트비아 축구 국가대표팀
Latviešu mitoloģija,라트비아 신화
Jelgava,옐가바
Tukums,투쿰스
Aizkraukle,아이스크라우클레
Jēkabpils,예캅필스
Strūves ģeodēziskais loks,스트루베 측지 아크
Rēzekne,레제크네
Varakļānu novads,바라클랴니시
Valpurģu nakts,발푸르기스의 밤
Ainaži,아이나지
Sigulda,시굴다
Saeima,사에이마
PSRS basketbola izlase,소련 농구 국가대표팀
Inguši,인구시인
Krāslava,크라슬라바
Rumāņi,루마니아인
Salacgrīva,살라츠그리바
Jidišs,이디시어
Latviešu valoda,라트비아어
Gauja,가우야강
Gulbenes novads,굴베네시
Latgale,라트갈레
Baškīri,바시키르인
Bauska,바우스카
Baltijas Asambleja,발트 의회
Baltkrievu valoda,벨라루스어
Rīgas rajons,리가구
Lībieši,리보니아인
Saldus rajons,살두스구
Aizkraukles rajons,아이스크라우클레구
Zemgale,젬갈레
Starptautiskā lidosta "Rīga",리가 국제공항
Lielupe,리엘루페강
Latvijas Valsts prezidents,라트비아의 대통령
Balvi,발비
Latvijas Universitāte,라트비아 대학교
Latvija Eirovīzijas dziesmu konkursā,라트비아의 유로비전 송 콘테스트 참가
Tukuma rajons,투쿰스구
Dobele,도벨레
Valmieras rajons,발미에라구
Kuldīgas rajons,쿨디가구
Talsu rajons,탈시구
Jēkabpils rajons,예캅필스구
Ogres rajons,오그레구
Liepājas rajons,리에파야구
FK Daugava Rīga (2003),FK 다우가바 리가
