Judith Nisse Shklar,주디스 슈클라
Mihails Barišņikovs,미하일 바리시니코프
Ernests Gulbis,에르네스츠 굴비스
Kārlis Ulmanis,카를리스 울마니스
Edvīns Bietags,에드빈스 비에타그스
Jānis Lūsis,야니스 루시스
Guntis Ulmanis,군티스 울마니스
latvieši,라트비아인
Andris Bērziņš,안드리스 베르진슈
Sandis Ozoliņš,산디스 오졸린슈
Oskars Dankers,오스카르스 당케르스
Viktors Arājs,빅토르스 아라이스
Kārlis Skrastiņš,카를리스 스크라스틴슈
Juris Hartmanis,유리스 하르트마니스
Igors Vihrovs,이고르스 비흐로프스
Jevgēņijs Saproņenko,예브게니스 사프로넨코
Valdis Dombrovskis,발디스 돔브롭스키스
Artjoms Rudņevs,아르툠스 루드네우스
Mārtiņš Rubenis,마르틴슈 루베니스
Vitālijs Maksimenko,비탈리스 막시멩코
Viktors Ščerbatihs,빅토르스 슈체르바티흐스
Vasilijs Stepanovs,바실리스 스테파노우스
Ainārs Kovals,아이나르스 코발스
Arnis Mednis,아르니스 메드니스
Rainis,라이니스
Aleksandrs Starkovs,알렉산드르스 스타르코우스
Egils Levits,에길스 레비츠
Romāns Vainšteins,로만스 바인슈테인스
Inta Kļimoviča-Drēviņa,인타 클리모비차
Kaspars Gorkšs,카스파르스 고르크슈
Aleksandrs Cauņa,알렉산드르스 차우나
Viktors Ignatjevs,빅토르스 이그나테우스
Mihails Tāls,미하일 탈리
Jānis Mediņš,야니스 메딘슈
Maija Eichhorn,마이야 아이히호른
Dāvis Bertāns,다비스 베르탄스
Andrejs Perepļotkins,안드레이스 페레플료트킨스
Herberts Vasiļjevs,헤르베르츠 바실레우스
Vilis Krištopans,빌리스 크리슈토판스
Jānis Daliņš,야니스 달린슈
Sergejs Žoltoks,세르게이스 졸톡스
Jānis Sprukts,야니스 스프룩츠
Zigurds Lanka,지구르츠 랑카
Aigars Fadejevs,아이가르스 파데예프스
Jānis Čakste,야니스 차크스테
Raimonds Pauls,라이몬츠 파울스
Vaira Vīķe-Freiberga,바이라 비케프레이베르가
Aija Bārzdiņa,아이야 바르즈디냐
Aigars Kalvītis,아이가르스 칼비티스
Ivars Godmanis,이바르스 고드마니스
Valdis Zatlers,발디스 자틀레르스
Andris Bērziņš,안드리스 베르진슈
Miša Maiskis,미샤 마이스키
Afanasijs Kuzmins,아파나시스 쿠즈민스
Alberts Kviesis,알베르츠 크비에시스
Vitālijs Astafjevs,비탈리스 아스타페우스
Gustavs Zemgals,구스탑스 젬갈스
Dairis Bertāns,다이리스 베르탄스
Aija Andrejeva,아이야 안드레예바
Anastasija Sevastova,아나스타시야 세바스토바
Ineta Radēviča,이네타 라데비차
Andris Nelsons,안드리스 넬손스
Māris Verpakovskis,마리스 베르파코우스키스
Vasilijs Kononovs,바실리 코노노프
Jēkabs Peterss,야코프 페테르스
Harijs Vītoliņš,하리스 비톨린슈
Mairis Briedis,마이리스 브리에디스
Mariss Jansons,마리스 얀손스
Artūrs Irbe,아르투르스 이르베
Staņislavs Olijars,스타니슬라우스 올리야르스
Dainis Kūla,다이니스 쿨라
Māris Štrombergs,마리스 슈트롬베르크스
Marija Naumova,마리야 나우모바
Augusts Kirhenšteins,아우구스츠 키르헨슈테인스
Vadims Vasiļevskis,바딤스 바실레프스키스
Elīna Garanča,엘리나 가랑차
Moriss Halle,모리스 할레
Martins Dukurs,마르틴스 두쿠르스
Renārs Kaupers,레나르스 카우페르스
Indulis Emsis,인둘리스 엠시스
Nils Ušakovs,닐스 우샤코우스
Kristīne Opolais,크리스틴 오폴라이스
Jāzeps Vītols,야젭스 비톨스
Ausma Ziedone-Kantāne,아우스마 지에도네칸타네
Jēkabs Mediņš,예캅스 메딘슈
Ksenija Solo,크세니야 솔로
Ģederts Eliass,제데르츠 엘리아스
Edvīns Ozoliņš,에드빈스 오졸린슈
Sigvards Kļava,시그바르츠 클랴바
Nora Ikstena,노라 익스테나
Oskars Bārtulis,오스카르스 바르툴리스
Juris Silovs,유리스 실로프스
Juris Razgulajevs,유리스 라즈굴라예우스
Eduards Kalniņš (ministrs),에두아르츠 칼닌슈
Haralds Silovs,하랄츠 실로우스
Tomass Dukurs,토마스 두쿠르스
Marts Pujāts,마르츠 푸야츠
Jānis Reirs,야니스 레이르스
Vitālijs Manskis,비탈리 만스키
Jānis Domburs,야니스 돔부르스
Katrīna Krumpāne,카트리나 크룸파네
Vladislavs Gutkovskis,블라디슬라우스 구트코우스키스
Irina Odojevceva,이리나 오도옙체바
Deniss Čerkovskis,데니스 체르코프스키스
Ināra Mūrniece,이나라 무르니에체
Agate Muceniece,아가테 무체니에체
Gundars Celitāns,군다르스 첼리탄스
Jānis Paukštello,야니스 파욱슈텔로
Valters Frīdenbergs,발테르스 프리덴베르크스
Valdis Pelšs,발디스 펠슈
Olga Zadvornova,올가 코르사크
Romualds Ražuks,로무알츠 라죽스
Arvils Ašeradens,아르빌스 아셰라덴스
Samanta Tīna,사만타 티나
Pauls Kalniņš,파울스 칼닌슈
Vsevolods Zeļonijs,브세볼로스 젤로니스
Jana Sekste,야나 섹스테
Valērijs Šabala,발레리스 샤발라
Ēriks Pelcis,에릭스 펠시스
Beness Aijo,아이조 베네스
Raimonds Vējonis,라이몬즈 베요니스
Lauris Reiniks,라우리스 레이닉스
Lūcija Garūta,루치야 가루타
Laura Rizoto,라우라 히조투
Uldis Pūcītis,울디스 푸치티스
Artūrs Silagailis,아르투르스 실라가일리스
Arvis Viguls,아르비스 비굴스
Pjotrs Avens,페트르 아벤
Kristaps Porziņģis,크리스탑스 포르진지스
Guntars Godiņš,군타르스 고딘시
Inese Zandere,이네세 잔데레
Ada Svetlova,아다 스베틀로바
Ģirts Ķesteris,지르츠 체스테리스
Jeļena Rubļevska,옐레나 루블레프스카
Ilze Ķuzule-Skrastiņa,일제 추줄레스크라티냐
Rūdolfs Gaitars,루돌프스 가이타르스
Diāna Marcinkēviča,디아나 마르칭케비차
