Latvija,라트비아
Jūrmala,유르말라
Irbes šaurums,이르베 해협
LOK sportista identifikators,라트비아 올림픽 위원회 선수 ID
ESR stacijas kods,ESR 역 코드
Baltijas Asambleja,발트 의회
Sigulda,시굴다
Piltene,필테네
Latvijas rajoni,라트비아의 구
latviešu mitoloģija,라트비아 신화
Latvijas futbola izlase,라트비아 축구 국가대표팀
Saeima,사에이마
Limbažu rajons,림바지구
Rīgas radio un televīzijas tornis,리가 라디오 및 텔레비전 타워
Jēkabpils rajons,예캅필스구
Liepājas rajons,리예파야 구
Aizkraukles rajons,아이스크라우클레구
Saldus rajons,살두스구
Latvijas ģerbonis,라트비아의 국장
Jaunjelgava,야우넬가바
Latvijas Futbola federācija,라트비아 축구 협회
Tukums,투쿰스
lietuvieši,리투아니아인
Varakļānu novads,바라클랴니시
Strūves ģeodēziskais loks,스트루베 측지 아크
Līvi,리보니아인
Rumāņi,루마니아인
Jelgava,옐가바
Rīga,리가
Ainaži,아이나지
Aizkraukle,아이스크라우클레
jidišs,이디시어
Salacgrīva,살라츠그리바
eiro,유로
Bauskas rajons,바우스카구
Dobeles rajons,도벨레구
Valkas rajons,발카구
Gulbenes novads,굴베네시
Tukuma rajons,투쿰스구
Valmieras rajons,발미에라구
Kuldīgas rajons,쿨디가구
Zemgale,젬갈레
Lielupe,리엘루페강
ATVK kods,ATVK ID
LNB identifikators,라트비아 국립도서관 ID
PSRS basketbola izlase,소련 농구 국가대표팀
Baltijas jūra,발트해
Kurzeme,쿠를란트
Gauja,가우야강
Latgale,라트갈레
Krāslava,크라슬라바
Bauska,바우스카
Ludzas rajons,루자구
Rīgas "Dinamo",디나모 리가
Preiļu rajons,프레일리구
Rēzekne,레제크네
Dobele,도벨레
Ogre,오그레
latviešu valoda,라트비아어
Rīgas rajons,리가구
Jēkabpils,예캅필스
Latvijas Valsts prezidents,라트비아의 대통령
Valpurģu nakts,발푸르기스의 밤
Salaspils,살라스필스
Rīgas Tehniskā universitāte,리가 기술대학교
Aknīste,아크니스테
Balvi,발비
baškīri,바시키르인
Baltijas valstis,발트 3국
Starptautiskā lidosta "Rīga",리가 국제공항
Kandava,칸다바
FB Gulbene,FB 굴베네
Krāslavas rajons,크라슬라바구
Latvija Olimpiskajās spēlēs,올림픽 라트비아 선수단
Cēsu rajons,체시스구
Gulbenes rajons,굴베네구
Talsu rajons,탈시구
Ogres rajons,오그레구
Saldus,살두스
Ludza,루자
Daugavpils rajons,다우가프필스구
Vidzeme,비제메
Pērkonkrusts,천둥십자당
FK Ventspils,FK 벤츠필스
Eiropas autoceļš E67,유럽 고속도로 67호선
Lielvārdes novads,리엘바르데시
Grobiņa,그로비냐
inguši,인구시인
Daugavpils,다우가프필스
Madonas rajons,마도나구
Latvija Eirovīzijas dziesmu konkursā,라트비아의 유로비전 송 콘테스트 참가
Vaiņodes novads,바이뇨데시
Latvijas eiro monētas,라트비아의 유로 주화
Preiļi,프레일리
baltkrievu valoda,벨라루스어
Eiropas autoceļš E22,유럽 고속도로 22호선
Rīgas pils,리가성
Talsi,탈시
Valka,발카
Latvijas Universitāte,라트비아 대학교
latgaliešu rakstu valoda,라트갈레어
sēļu valoda,셀로니아어
Dzelzceļa līnija Jelgava—Reņģe,글루다-렌제 선
Dzelzceļa līnija Rīga—Lugaži,리가-루가지 선
Jelgavas rajons,옐가바구
Daugava,다우가바강
Alūksnes rajons,알룩스네구
Naukšēnu novads,나욱셰니시
Dzelzceļa līnija Torņakalns—Tukums II,토르냐칼른스-투쿰스 II 선
Ventspils rajons,벤츠필스구
Rēzeknes rajons,레제크네구
krievs,러시아인
Rīgas Valsts 1. ģimnāzija,리가 국립 제1 김나지움
latvieši,라트비아인
Madona,마도나
Aizkraukles novads,아이스크라우클레 시
Kokneses novads,코크네세시
Baltijas valstu okupācija,소련의 발트3국 점령
FK Jelgava,FK 옐가바
FK Daugava,FK 다우가파 리가
Liepājas starptautiskā lidosta,리예파야 국제공항
Dobeles novads,도벨레 시
.lv,.lv
Alūksne,알룩스네
lībiešu valoda,리브어
Latvijas administratīvais iedalījums,라트비아의 행정 구역
Gulbene,굴베네
Ventspils,벤츠필스
FC Daugava,FC 다우가파
