Riga,리가
Liepāja,리예파야
Daugavpils,다우가프필스
Republic of Latvia,라트비아
Valmiera,발미에라
Rēzekne,레제크네
Jēkabpils,예캅필스
Riga International Airport,리가 국제공항
Ventspils Municipality,벤츠필스시
Ventspils,벤츠필스
Valka Municipality,발카시
Tukums,투쿰스
Tukuma novads,투쿰스시
Talsi,탈시
Sigulda,시굴다
Salaspils,살라스필스
Ogres novads,오그레시
Ludza,루자
Liepāja,리예파야
Kuldīga,쿨디가
Krāslava,크라슬라바
Jelgava,옐가바
Jēkabpils Municipality,예캅필스 시
Gulbenes novads,굴베네시
Dobele,도벨레
Daugavpils municipality,다우가프필스 시
Daugavpils,다우가프필스
Cēsu Novads,체시스시
Cēsis,체시스
Bauska,바우스카
Alūksnes Novads,알룩스네시
Olaines Novads,올라이네시
Ķekavas Novads,체카바시
Salaspils Novads,살라스필스시
Jēkabpils,예캅필스
Līvānu Novads,리바니시
Varakļānu Novads,바라클랴니시
Krustpils Novads,크루스트필스 시
Ropažu Novads,로파지시
Aizkraukle,아이스크라우클레
Ainaži,아이나지
Valka,발카
Saldus,살두스
Preiļi,프레일리
Madona,마도나
Limbaži,림바지
Gulbene,굴베네
Balvi,발비
Alūksne,알룩스네
Europe,유럽
Lielvārde,리엘바르데
Daugava,다우가바 강
Ogre,오그레
