Lech Wałęsa,레흐 바웬사
Donald Tusk,도날트 투스크
Kazimierz II Sprawiedliwy,카지미에시 2세
Kazimierz III Wielki,카지미에시 3세
Leszek Czarny,레셰크 2세
Przemysł II,프셰미수 2세
Konrad I mazowiecki,콘라트 1세 (폴란드)
Laurent Koscielny,로랑 코시엘니
Lech Kaczyński,레흐 카친스키
Jerzy Stuhr,예지 스투흐르
Jan Frycz,얀 프리치
Franciszek Smuda,프란치셰크 스무다
Julius Axelrod,줄리어스 액설로드
Kazimierz Bein,카지미에시 베인
Stanisław Wojciechowski,스타니스와프 보이치에호프스키
Marek Belka,마레크 벨카
Włodzimierz Cimoszewicz,브워지미에시 치모셰비치
Jerzy Buzek,예지 부제크
Karol Stefan Habsburg,카를 슈테판 폰 외스터라이히 대공
Natalia Avelon,나탈리아 아벨론
Jan Paweł II,교황 요한 바오로 2세
Władysław III Laskonogi,브와디스와프 3세 라스코노기
Zygmunt I Stary,지그문트 1세
Tomasz Majewski,토마시 마예프스키
Władysław II Wygnaniec,브와디스와프 2세 비그나니에츠
Władysław I Herman,브와디스와프 1세 헤르만
Maria Skłodowska-Curie,마리 퀴리
Krzysztof Kieślowski,크쥐시토프 키에슬로프스키
Anni Friesinger-Postma,아니 프리징거포스트마
Zbigniew Boniek,즈비그니에프 보니에크
Otylia Jędrzejczak,오틸리아 옝제이차크
Andrzej Wajda,안제이 바이다
Paul Baran (informatyk),폴 배런
Thomas Godoj,토마스 고도이
Wojciech Jaruzelski,보이치에흐 야루젤스키
Paweł Kukiz,파베우 쿠키스
Stephanie Kwolek,스테퍼니 퀄렉
Eugen Polanski,오이겐 폴란스키
Zbigniew Zamachowski,즈비그니에프 자마호프스키
Anita Włodarczyk,아니타 브워다르치크
Stanisław Lem,스타니스와프 렘
Leszek Miller,레셰크 밀레르
Władysław Raczkiewicz,브와디스와프 라치키에비치
Aleksander Kwaśniewski,알렉산데르 크바시니에프스키
Isaac Bashevis Singer,아이작 바셰비스 싱어
Agata Kulesza,아가타 쿨레샤
Tadeusz Reichstein,타데우시 라이히슈타인
Adam Kokoszka,아담 코코슈카
Wisława Szymborska,비스와바 심보르스카
Henryk Sienkiewicz,헨리크 시엔키에비치
Sławomir Mrożek,스와보미르 므로제크
Jarosław Kaczyński,야로스와프 카친스키
Waldemar Pawlak,발데마르 파블라크
Tadeusz Mazowiecki,타데우시 마조비에츠키
Kazimierz Marcinkiewicz,카지미에시 마르친키에비치
Alexander Granach,알렉산더 그라나흐
Adam Mickiewicz,아담 미츠키에비치
Raymond Kopa,레몽 코파
Leon Jogiches,레오 요기헤스
Monika Sozanska,모니카 조찬스카
Mieszko II Lambert,미에슈코 2세
Lestek,레스테크
Józef Gosławski,유제프 고스와프스키 (조각가)
Kazimierz Funk,카지미르 풍크
