Polska,폴란드
Nysa Łużycka,나이세강
Świętochłowice,시비엥토흐워비체
Orlica (rzeka),오를리체강
Województwo opolskie,오폴레주
Auschwitz-Birkenau,아우슈비츠 강제 수용소
Województwo mazowieckie,마조프셰주
Ekstraklasa w piłce nożnej,엑스트라클라사
Województwo małopolskie,마워폴스카주
Język niemiecki,독일어
Grudzień,12월
Województwo lubelskie,루블린주
Województwo lubuskie,루부시주
Poznań,포즈난
Szeszupa,셰슈페강
Łyna,위나강
Mierzeja Helska,헬반도
Węgorapa,안그라파강
Oświęcim,오시비엥침
Iława,이와바
Pałac w Wilanowie,빌라누프궁
Toruń,토룬
Województwo podkarpackie,포드카르파츠키에주
Województwo podlaskie,포들라스키에주
Województwo łódzkie,우치주
Województwo dolnośląskie,돌니실롱스크주
Województwo kujawsko-pomorskie,쿠야비포모제주
Głogów,그워구프
Zamek w Malborku,말보르크성
Warszawa,바르샤바
Wisła,비스와강
Województwo pomorskie,포모제주
Lista prezydentów Polski,폴란드의 국가원수
Język wilamowski,빌라모비체어
Język ukraiński,우크라이나어
Gdynia,그디니아
Jidysz,이디시어
Gniezno,그니에즈노
Województwo śląskie,실롱스크주
Babsk (województwo łódzkie),밥스크
Język romski,롬어
Szczecin,슈체친
Język białoruski,벨라루스어
Język litewski,리투아니아어
Województwo świętokrzyskie,시비엥토크시스키에주
Województwo warmińsko-mazurskie,바르미아마주리주
Śląsk,실레시아
Morze Bałtyckie,발트해
Małopolska,마워폴스카
Tychy,티히
Województwo wielkopolskie,비엘코폴스카주
Województwo zachodniopomorskie,서포모제주
Odra,오데르강
Łódź,우치
Katowice,카토비체
Rzeszów,제슈프
Przyjaźń-84,프렌드십 게임
Zamek Królewski na Wawelu,바벨성
Gmina (Polska),그미나
Mistrzostwa Europy w Piłce Nożnej 2012,UEFA 유로 2012
Grodzisk Wielkopolski,그로지스크비엘코폴스키
Białystok,비아위스토크
Nowy Sącz,노비송치
Konin,코닌
Kalisz,칼리시
Giełda Papierów Wartościowych w Warszawie,바르샤바 증권거래소
Narew,나레프강
Ełk,에우크
Operacja wschodniokarpacka,두클라 고개 전투
Język polski,폴란드어
Niezależny Samorządny Związek Zawodowy „Solidarność”,독립자치노동조합 '연대'
Racibórz,라치부시
Język rusiński,루신어
Wronki,브론키
Leszno,레슈노
Polacy,폴인
Lech Poznań,레흐 포즈난
Karpaty,카르파티아산맥
Ostrów Wielkopolski,오스트루프비엘코폴스키
Koszalin,코샬린
Gdańsk,그단스크
Wrocław,브로츠와프
Tarnobrzeg,타르노브제크
Etnolekt śląski,실레시아어
Powiat olsztyński,올슈틴군
Olsztyn,올슈틴
Końskowola,코인스코볼라
Kraków,크라쿠프
Wolin (miasto),볼린 (도시)
Sopot,소포트
Opole,오폴레
Powiat siedlecki,시에들체군
Język jaćwiński,수도비아어
Język połabski,폴라브어
Łęczna,웽치나
Świdnica,시비드니차
Uznam,우제돔섬
Skierniewice,스키에르니에비체
Język kaszubski,카슈브어
Język karaimski,카라임어
Międzyrzec Podlaski,미엥지제츠포들라스키
Sanok,사노크
Język pruski,고대 프로이센어
Warta,바르타강
Bitwa pod Grunwaldem,타넨베르크 전투 (1410년)
Chrzanów,흐샤누프
Kurów (powiat puławski),쿠루프
Słubice,스우비체
Łużyce,루사티아
Kutno,쿠트노
Łuków,우쿠프
Język cerkiewnosłowiański,교회 슬라브어
Lublin,루블린
.pl,.pl
Związek Ludowo-Narodowy,대중인민연합
Polonez (taniec),폴로네즈
Polskie Linie Lotnicze LOT,LOT 폴란드 항공
Bydgoszcz,비드고슈치
Świnoujście,시비노우이시치에
Ziębice,지엥비체
Police,폴리체
Senat Rzeczypospolitej Polskiej,폴란드 상원
Sejm Rzeczypospolitej Polskiej,폴란드 하원
Przemyśl,프셰미실
Biała Podlaska,비아와포들라스카
Polesie,폴레시아
Wieluń,비엘룬
Powiat poznański,포즈난군
Chorzów,호주프
Zgierz,즈기에시
Zabrze,자브제
Pomorze,포메라니아
Babia Góra,바비아 구라
Kielce,키엘체
Bytom,비톰
Obóz Narodowo-Radykalny,국민급진기지 (1934년)
Sokolnictwo,매사냥
Rząd Rzeczypospolitej Polskiej na uchodźstwie,폴란드 망명정부
Częstochowa,쳉스토호바
Polska Partia Socjalistyczna,폴란드 사회당
Wielkopolska,비엘코폴스카
Elbląg,엘블롱크
Radom,라돔
Gorzów Wielkopolski,고주프비엘코폴스키
Sosnowiec,소스노비에츠
Słupsk,스웁스크
Zielona Góra,지엘로나구라
Płock,프워츠크
Żabno,자브노
Gliwice,글리비체
Beskidy,베스키디산맥
Łomża,웜자
Brzeg (miasto),브제크
Wadowice,바도비체
Karkonosze,크르코노셰산맥
Zamach 20 lipca,7·20 음모
Trasa europejska,유럽 고속도로
Stargard,스타르가르트
Legnica,레그니차
San,산강
Znicz Pruszków (piłka nożna),즈니치 프루슈쿠프
Polskie Stronnictwo Ludowe,폴란드 인민당
Powiat sępoleński,셍풀노군
Żelazowa Wola,젤라조바볼라
Tarnów,타르누프
Powiat pucki,푸츠크군
Żory,조리 (도시)
Bielsko-Biała,비엘스코비아와
Włocławek,브워츠와베크
Powiat tucholski,투홀라군
Rybnik,리브니크
Dąbrowa Górnicza,동브로바구르니차
Jastrzębie-Zdrój,야스트솅비에즈드루이
Ruda Śląska,루다실롱스카
Kołobrzeg,코워브제크
Łowicz,워비치
Żyrardów,지라르두프
Powiat pszczyński,프슈치나군
Stadion Śląski,실롱스키 경기장
Wałbrzych,바우브지흐
Powiat giżycki,기지츠코군
Nowy Targ,노비타르크
Chełm,헤움
Suwałki,수바우키
Lubin,루빈 (폴란드)
Powiat gliwicki,글리비체군
Powiat pińczowski,핀추프군
Pustynia Błędowska,브웬도프스카 사막
Powiat staszowski,스타슈프군
E36 (trasa europejska),유럽 고속도로 36호선
Szlak bursztynowy,호박의 길
Widzew Łódź (piłka nożna),비제프 우치
Święta państwowe w Polsce,폴란드의 공휴일
Złoty,폴란드 즈워티
Grudziądz,그루지옹츠
Powiat hrubieszowski,흐루비에슈프군
Nowa Ruda,노바루다
Akcja Wyborcza Solidarność,우파연대선거행동
Powiat (Polska),폴란드의 군
Wojska Lądowe,폴란드 육군
Powiat mogileński,모길노군
Telewizja Polska,폴란드 텔레비전
Powiat wyszkowski,비슈쿠프군
Komunistyczna Partia Polski,폴란드 공산당
Złotów,즈워투프
Polskie Koleje Państwowe,폴란드 국철
Sochaczew,소하체프
Powiat chodzieski,호지에시군
Powiat czarnkowsko-trzcianecki,차른쿠프트슈치안카군
Futuryzm,미래주의
Powiat żuromiński,주로민군
Kędzierzyn-Koźle,켕지에진코질레
Karpacz,카르파츠
Powiat tomaszowski (województwo łódzkie),토마슈프군 (우치주)
Powiat gnieźnieński,그니에즈노군
Powiat grodziski (województwo wielkopolskie),그로지스크군 (비엘코폴스카주)
Powiat gostyński,고스틴군
Powiat jarociński,야로친군
Powiat kaliski,칼리시군
Powiat kolski,코워군
Powiat malborski,말보르크군
Powiat kępiński,켕프노군
Powiat leszczyński,레슈노군
Powiat międzychodzki,미엥지후트군
Powiat obornicki,오보르니키군
Powiat krotoszyński,크로토신군
Powiat koniński,코닌군
Powiat kościański,코시치안군
Powiat ostrowski (województwo wielkopolskie),오스트루프군 (비엘코폴스카주)
Powiat ostrzeszowski,오스트셰슈프군
Powiat pilski,피와군
Powiat pleszewski,플레셰프군
Powiat piski,피시군
Powiat nowotomyski,노비토미실군
Powiat rawicki,라비치군
Powiat szamotulski,샤모투위군
Powiat wolsztyński,볼슈틴군
Powiat turecki,투레크군
Powiat wągrowiecki,봉그로비에츠군
Powiat słupecki,스우프차군
Powiat wrzesiński,브제시니아군
Powiat złotowski,즈워투프군
Powiat średzki (województwo wielkopolskie),시로다군 (비엘코폴스카주)
Powiat kolneński,콜노군
Busko-Zdrój,부스코즈드루이
Piła (miasto),피와
Powiat przasnyski,프샤스니시군
Górnik Zabrze,구르니크 자브제
Powiat śremski,시렘군
Wisła (miasto),비스와
TV Puls,TV 풀스
Pruska Kolej Wschodnia,프로이센 동방철도
Powiat szczycieński,슈치트노군
Powiat ostródzki,오스트루다군
Kopalnia Soli „Wieliczka”,비엘리치카 소금광산
Powiat wielicki,비엘리치카군
Powiat nowomiejski,노베미아스토군
Krynica-Zdrój,크리니차즈드루이
Oleśnica,올레시니차
RWE (koncern),RWE
Polska w Konkursie Piosenki Eurowizji,폴란드의 유로비전 송 콘테스트 참가
Rusini karpaccy,루신인
Polska na Letnich Igrzyskach Olimpijskich 2008,2008년 하계 올림픽 폴란드 선수단
Powiat opolski (województwo opolskie),오폴레군 (오폴레주)
Powiat prudnicki,프루드니크군
Powiat oleski,올레스노군
Powiat głubczycki,그우프치체군
Powiat brzeski (województwo opolskie),브제크군
Ostrołęka,오스트로웽카
Powiat kędzierzyńsko-kozielski,켕지에진코질레군
