Kazimierz II Sprawiedliwy,카지미에시 2세
Kazimierz III Wielki,카지미에시 3세
Lech Wałęsa,레흐 바웬사
Andrzej Wajda,안제이 바이다
Konrad I mazowiecki,콘라트 1세
Leszek Czarny,레셰크 2세
Zygmunt I Stary,지그문트 1세
Władysław II Wygnaniec,브와디스와프 2세 비그나니에츠
Władysław III Laskonogi,브와디스와프 3세 라스코노기
Max Fleischer,맥스 플라이셔
Laurent Koscielny,로랑 코시엘니
Donald Tusk,도날트 투스크
Thomas Godoj,토머스 고도이
Paul Baran,폴 배런
Piotr Fronczewski,피오트르 프론체프스키
Jan Frycz,얀 프리치
Jan Paweł II,교황 요한 바오로 2세
Emilia Krakowska,에밀리아 크라코프스카
Zbigniew Zamachowski,즈비그니에프 자마호프스키
Jerzy Stuhr,예지 슈투르
Przemysł II,프셰미수 2세
Władysław I Herman,브와디스와프 1세 헤르만
Tomasz Majewski,토마시 마예프스키
Krzysztof Kieślowski,크지슈토프 키에실로브스키
Franciszek Smuda,프란치셰크 스무다
Lech Kaczyński,레흐 카친스키
Eugen Polanski,오이겐 폴란스키
Maria Skłodowska-Curie,마리 퀴리
Stephanie Kwolek,스테퍼니 퀄렉
Magdalena Parys,마그달레나 파리스
Julius Axelrod,줄리어스 액설로드
Jadwiga Chojnacka,야드비가 호이나츠카
Elżbieta Wierzbicka,엘주비에타 비에주비츠카
Jan Englert,얀 엔글레르트
Rafał Bigus,라파우 비구스
Tomasz Jankowski,토마시 얀코프스키
Maciej Zieliński,마치에이 지엘린스키
Franciszek Macharski,프란치셰크 마하르스키
Aleksander Polaczek,알렉산더 폴라체크
Maksymilian Więcek,막시밀리안 비엥체크
Krystyna Feldman,크리스티나 펠드만
Otylia Jędrzejczak,오틸리아 옝제이차크
Paweł Kukiz,파베우 쿠키스
Bartosz Arłukowicz,바르토시 아르우코비치
Zbigniew Boniek,즈비그니에프 보니에크
Isaac Bashevis Singer,아이작 바셰비스 싱어
Anita Włodarczyk,아니타 브워다르치크
Stanisław Lem,스타니스와프 렘
Agnieszka Brugger,아그니에슈카 브루거
Wojciech Jaruzelski,보이치에흐 야루젤스키
Leszek Miller,레셰크 밀레르
Agata Kulesza,아가타 쿨레샤
Janina Ochojska,야니나 오호이스카
Sławomir Mrożek,스와보미르 므로제크
Anni Friesinger-Postma,아니 프리징거포스트마
Alexander Granach,알렉산더 그라나흐
Albert Battel,알베르트 바텔
Marek Belka,마레크 벨카
Magdalena Mroczkiewicz,마그달레나 므로치키에비치
Bernard Chrzanowski,베르나르트 흐샤노프스키
Majka Jeżowska,마이카 예조프스카
Jagna Marczułajtis-Walczak,야그나 마르추와이티스
Paulina Ligocka,파울리나 리고츠카
Stanisław Wojciechowski,스타니스와프 보이치에호프스키
Adam Mickiewicz,아담 미츠키에비치
Ryszard Rynkowski,리샤르트 린코프스키
Irena Santor,이레나 산토르
Marian Błazinski,마리안 블라친스키
Władysław Raczkiewicz,브와디스와프 라츠키예비츠
Aleksander Kwaśniewski,알렉산데르 크바시니에프스키
Leszek Balcerowicz,레셰크 발체로비치
Benoît Mandelbrot,브누아 만델브로
Józef Hebda,유제프 헤브다
Kazimierz Bein,카지미에시 베인
Jerzy Buzek,예지 부제크
Jan Twardowski,얀 트바르도프스키
Marian Woronin,마리안 보로닌
Tadeusz Reichstein,타데우시 라이히슈타인
Lestek,레스테크
Mieszko II Lambert,미에슈코 2세
Ryszard Szurkowski,리샤르트 슈르코프스키
Kazimierz Funk,카지미르 풍크
Miroslav Klose,미로슬라프 클로제
Bezprym,베스프림
Waldemar Pawlak,발데마르 파블라크
Hanna Suchocka,한나 수호츠카
Łukasz Fabiański,우카시 파비안스키
