Łyna,위나강
Nysa Łużycka,나이세강
Polska,폴란드
Mierzeja Helska,헬반도
Węgorapa,안그라파강
grudzień,12월
województwo lubelskie,루블린주
Auschwitz-Birkenau,아우슈비츠 강제 수용소
województwo kujawsko-pomorskie,쿠야비포모제주
Oświęcim,오시비엥침
Głogów,그워구프
Iława,이와바
Ekstraklasa w piłce nożnej,엑스트라클라사
Zamek w Malborku,말보르크성
jidysz,이디시어
województwo dolnośląskie,돌니실롱스크주
Szeszupa,셰슈페강
województwo mazowieckie,마조프셰주
województwo małopolskie,마워폴스카주
województwo lubuskie,루부시주
Gniezno,그니에즈노
Świętochłowice,시비엥토흐워비체
identyfikator NUKAT,NUKAT ID
województwo opolskie,오폴레주
województwo podkarpackie,포드카르파츠키에주
województwo łódzkie,우치주
województwo podlaskie,포들라스키에주
Owińska,오빈스카
język niemiecki,독일어
Kluczbork,클루치보르크
identyfikator filmu w Filmweb.pl,Filmweb.pl 영화 ID
identyfikator osoby w Filmweb.pl,Filmweb.pl 인물 ID
Swarzędz,스바젱츠
Pobiedziska,포비에지스카
Tychy,티히
Chodzież,호지에시
Orlica,오를리체강
Zespół Pałacowy w Wilanowie,빌라노우궁
unikatowy identyfikator NLP,NLP ID (구식)
identyfikator w Filmweb.pl,Filmweb.pl ID
Kalisz,칼리시
Toruń,토룬
język ukraiński,우크라이나어
Babsk,밥스크
Zamek Królewski na Wawelu,바벨성
Mistrzostwa Europy w Piłce Nożnej 2012,UEFA 유로 2012
identyfikator aplikacji w GOG,GOG 애플리케이션 ID
identyfikator osoby w bazie „Ludzie nauki” (dawnej),폴란드 과학자 ID
identyfikator w filmpolski.pl,FilmPolski.pl ID
Szamotuły,샤모투위
Puszczykowo,푸슈치코보
Luboń,루본
identyfikator PLWABN,PLWABN ID
województwo pomorskie,포모제주
język litewski,리투아니아어
lista prezydentów Polski,폴란드의 국가원수
Śląsk,실롱스크
Konin,코닌
Grodzisk Wielkopolski,그로지스크비엘코폴스키
województwo warmińsko-mazurskie,바르미아마주리주
język białoruski,벨라루스어
Leszno,레슈노
województwo wielkopolskie,비엘코폴스카주
województwo świętokrzyskie,시비엥토크시스키에주
Poznań,포즈난
Wronki,브론키
Września,브제시니아
język romski,롬어
Ostrów Wielkopolski,오스트루프비엘코폴스키
Małopolska,마워폴스카
województwo śląskie,실롱스크주
język wilamowski,빌라모비체어
województwo zachodniopomorskie,서포모제주
gmina,그미나
Przyjaźń-84,프렌드십 게임
Operacja wschodniokarpacka,두클라 고개 전투
Ełk,에우크
Gdynia,그디니아
Lech Poznań,레흐 포즈난
Giełda Papierów Wartościowych w Warszawie,바르샤바 증권거래소
Narew,나레프강
Racibórz,라치부시
etnolekt śląski,실레지아어
Warszawa,바르샤바
Język rusiński,루신어
Szczebrzeszyn,슈체브제신
Kraków,크라쿠프
Koło,코워
Koszalin,코샬린
Tarnobrzeg,타르노브제크
Wisła,비스와강
Szczecin,슈체친
język kaszubski,카슈브어
powiat olsztyński,올슈틴군
Morze Bałtyckie,발트해
Rzeszów,제슈프
Sopot,소포트
Słubice,스우비체
Kutno,쿠트노
Warta,바르타강
Katowice,카토비체
bitwa pod Grunwaldem,타넨베르크 전투
język cerkiewnosłowiański,교회 슬라브어
Odra,오데르강
Łęczna,웽치나
Olsztyn,올슈틴
Łużyce,루사티아
Łuków,우쿠프
Opole,오폴레
Nowy Sącz,노비송치
Ziębice,지엥비체
Police,폴리체
Polska Partia Socjalistyczna,폴란드 사회당
