Warsaw,바르샤바
Łódź,우치
Kraków,크라쿠프
Republic of Poland,폴란드
Gdańsk,그단스크
Poznań,포즈난
Wrocław,브로츠와프
Lublin,루블린
Bydgoszcz,비드고슈치
Katowice,카토비체
Szczecin,슈체친
Kielce,키엘체
Rzeszów,제슈프
Białystok,비아위스토크
Gorzów Wielkopolski,고주프비엘코폴스키
Gdynia,그디니아
Opole,오폴레
Toruń,토룬
Zielona Góra,지엘로나구라
Siedlce,시에들체
Radom,라돔
Tarnów,타르누프
Nowy Sącz,노비송치
Greater Poland Voivodeship,비엘코폴스카주
West Pomeranian Voivodeship,서포모제주
Bielsko-Biala,비엘스코비아와
Dąbrowa Górnicza,동브로바구르니차
Częstochowa,쳉스토호바
Chorzów,호주프
Bytom,비톰
Grudziądz,그루지옹츠
Głogów,그워구프
Gliwice,글리비체
Elbląg,엘블롱크
Konin,코닌
Kalisz,칼리시
Słupsk,스웁스크
Rybnik,리브니크
Ruda Śląska,루다실롱스카
Legnica,레그니차
Koszalin,코샬린
Płock,프워츠크
Wałbrzych,바우브지흐
Tychy,티히
Świętochłowice,시비엥토흐워비체
Zabrze,자브제
Włocławek,브워츠와베크
Kętrzyn,켕트신
Przemyśl,프셰미실
Zamość,자모시치
Łomża,웜자
Kurów,쿠루프
Tarnobrzeg,타르노브제크
Suwałki,수바우키
Ostrołęka,오스트로웽카
Międzyrzec Podlaski,미엥지제츠포들라스키
Chełm,헤움
Biała Podlaska,비아와포들라스카
Lublin Voivodeship,루블린주
Lesser Poland Voivodeship,마워폴스카주
Podkarpackie Voivodeship,포드카르파츠키에주
Warmian-Masurian Voivodeship,바르미아마주리주
Lower Silesian Voivodeship,돌니실롱스크주
Województwo Łódzkie,우치주
Lubusz Voivodeship,루부시주
Bełchatów,베우하투프
Będzin,벵진
Chrzanów,흐샤누프
Gniezno,그니에즈노
Jelenia Góra,옐레니아구라
Jaworzno,야보주노
Mysłowice,미스워비체
Stargard,스타르가르트슈체친스키
Sopot,소포트
Siemianowice Śląskie,시에미아노비체실롱스키에
Lubin,루빈
Łowicz,워비치
Łobez,워베스
Leszno,레슈노
Radomsko,라돔스코
Racibórz,라치부시
Piotrków Trybunalski,피오트르쿠프트리부날스키
Piła,피와
Oświęcim,오시비엥침
Wieluń,비엘룬
Świnoujście,시비노우이시치에
Żory,조리
Zgierz,즈기에시
Zakopane,자코파네
Sanok,사노크
Sandomierz,산도미에시
Rysy,리시산
Wołomin,보워민
Wieliczka,비엘리치카
Giżycko,기지츠코
Ciechanów,치에하누프
Krosno,크로스노
Końskowola,코인스코볼라
Trojany,트로야니
Sochaczew,소하체프
Skierniewice,스키에르니에비체
Bochotnica,보호트니차
Europe,유럽
Cieszyn,치에신
Kołobrzeg,코워브제크
Nysa,니사
Nowa Ruda,노바루다
Słubice,스우비체
Police,폴리체
Piekary Śląskie,피에카리실롱스키에
Wadowice,바도비체
Ustka,우스트카
Tarnowskie Góry,타르노프스키에구리
Żywiec,지비에츠
Zgorzelec,즈고젤레츠
Łęczna,웽치나
Szczawnica,슈차브니차
Nidzica,니지차
Marki,마르키
Babsk,밥스크
Przemyśl,프셰미실
Katowice,카토비체
Toruń,토룬
Suwałki,수바우키
Kielce,키엘체
Piekary Śląskie,피에카리실롱스키에
Lublin,루블린
Sosnowiec,소스노비에츠
Olsztyn,올슈틴
Brzeziny,브셰지니
Kamień Pomorski,카미엔포모르스키
Lubsko,룹스코
Westerplatte,베스테르플라테
Szczekociny,슈체코치니
Kraków,크라쿠프
Poznań,포즈난
Stadion Miejski,스타디온 미에이스키
Olsztyn Airport,올슈틴
Usedom Island,우제돔 섬
Górnik Zabrze,구르니크 자브제
