Hebe Camargo,이비 카마르구
Leandro Damião,레안드루 다미앙
João Carlos dos Santos,주앙 카를루스 두스 산투스
Thiago Alcântara,티아고 알칸타라
Júlio Baptista,줄리우 바프티스타
Gisele Bündchen,지젤 번천
Paulo Coelho,파울로 코엘료
"Ricardinho (futebolista, 1976)",히카르지뉴
Luiz Adriano,루이스 아드리아누
Helena Ignez,엘레나 이그네스
Marcinho (futebolista),마르시우 미란다 프레이타스 로차 다 시우바
José Paulo Bezerra Maciel Junior,파울리뉴 (1988년 7월)
Nélson Luís Kerchner,네우송 루이스 케르슈네르
Alexandre Paes Lopes,알렉상드르 로페스
Ayrton Senna,아이르통 세나
Jamelli,파울루 자멜리
Valdir Benedito,발디르 베네디토
Nádson,나드송 호드리게스 지 소자
Pelé,펠레
Zilda Arns,지우다 아른스
Juninho Pernambucano,주니뉴 페르남부카누
Hulk (futebolista),헐크 (축구 선수)
Kléber Laube Pinheiro,클레베르 라우비 피녜이루
Ricardo Alexandre dos Santos,히카르두 알레샨드리 두스 산투스
Heitor Villa-Lobos,에이토르 빌라로부스
Mário de Andrade,마리우 지 안드라지
Oscar Niemeyer,오스카르 니에메예르
Glória Pires,글로리아 피르스
Alessandra Ambrósio,알레산드라 암브로지우
Adriana Lima,아드리아나 리마
Bernard Anício Caldeira Duarte,베르나르드
Alexandre Pato,알레샨드리 파투
Donizete Oliveira,도니제치 올리베이라
Oscar dos Santos Emboaba Júnior,오스카르 두스 산투스 임보아바 주니오르
Renato Dirnei Florêncio,헤나투 지르네이 플로렌시우 산투스
Zinho,지뉴
Sinha,안토니오 나엘손
Felipe Melo,펠리피 멜루
Bebeto,베베투
Roger Silva,호제르 호드리게스 다 시우바
Bernardo Fernandes da Silva,베르나르도 페르난드스 다 시우바
Ramon Menezes,하몽 메니지스 우브네르
Ramires (futebolista),하미리스
Carolina Dieckmann,카롤리나 지에크망
Júlio César Soares Espíndola,줄리우 세자르 소아리스 이스핀돌라
Brandão (futebolista),에바에베르송 레무스 다 시우바
