Xanana Gusmão,샤나나 구스망
Abel Xavier,아벨 사비에르
José Sócrates,조제 소크라트스
Paulo Ferreira (futebolista),파울루 페헤이라
Assunção Cristas,아순상 크리스타스
Carla Sacramento,카를라 사크라멘토
Bruno Alves,브루누 알베스
Nuno Gomes,누누 고메스
Ana Padrão,아나 파드라오
Silvestre Varela,실베스트르 바렐라
José Saramago,주제 사라마구
Ederzito António Macedo Lopes,에데르지투 안토니우 마세두 로페스
Maniche,마니시
José Manuel Durão Barroso,조제 마누엘 두랑 바호주
Francisco da Costa Gomes,프란시스쿠 다 코스타 고메스
Vitorino Antunes,비토리누 안투느스
Francisco Lázaro,프란시스쿠 라자루
Eduardo Mondlane,에두아르두 몬들라느
Marcos Aoás Corrêa,마르키뉴스
Bruno Martins Indi,브루누 마르팅스 인디
João Vieira Pinto,주앙 핀투
Vieirinha,비에이리냐
Cristiano Ronaldo,크리스티아누 호날두
João Pedro da Silva Pereira,주앙 페드루 다 실바 페헤이라
Rui Manuel César Costa,후이 코스타
Ricardo Quaresma,히카르두 쿠아레즈마
Joaquim de Almeida,조아킹 드 알메이다
Manuela Machado,마누엘라 마샤두
Soledad Miranda,솔레다드 미란다
Lúcia Moniz,루시아 모니스
António Egas Moniz,안토니우 에가스 모니스
António Lobo Antunes,안토니우 로부 안투느스
Rita Blanco,리타 블랑코
Manoel de Oliveira,마노엘 드 올리베이라
Miguel Torga,미겔 토르가
Aníbal Cavaco Silva,아니발 카바쿠 실바
João César Monteiro,주앙 세자르 몬테이루
Zico,지쿠
Leonor Silveira,레오노어 실베이라
Catarina Wallenstein,카타리나 발렌스테인
Carlos Lopes (atleta),카를루스 로페스
Rui Patrício,후이 파트리시우
Hugo Viana,우구 비아나
Petit (futebolista),프티 (포르투갈의 축구 선수)
Pedro Passos Coelho,페드루 파수스 코엘류
Sandro Ranieri Guimarães Cordeiro,산드루 하니에리
Eliseu Pereira dos Santos,일리제우
António Ramalho Eanes,안토니우 하말류 이아느스
Simão Sabrosa,시망 사브로자
Manuel Pinto da Costa,마누엘 핀투 다 코스타
Zita Seabra,지타 세아브라
Luís Miguel Brito Garcia Monteiro,미겔 몬테이루
Daniel Fernandes,다니에우 페르난드스
Fernando Santos (treinador de futebol),페르난두 산투스
Sara Martins,사라 마틴스
Mariza,마리자
Filipa Sousa,필리파 소자
Vânia Fernandes,바니아 페르난드스
Tiago Mendes,티아구 멘데스
José Mourinho,조제 무리뉴
Vítor Baía,비토르 바이아
Manuel Henrique Tavares Fernandes,마누엘 페르난드스
Eduardo dos Reis Carvalho,에두아르두 카르발류
Rolando Jorge Pires da Fonseca,홀란두 조르즈 피르스 다 폰세카
Bebé (futebolista),베베 (축구 선수)
Danny,다니 미겔
Fernando Meira,페르난두 메이라
William Silva de Carvalho,윌리앙 카르발류
Nelson Évora,넬송 에보라
Paulo Futre,파울로 푸트레
Fernando Mendes Soares Gomes,페르난두 고메스
Hugo Almeida,우구 알메이다
André Villas-Boas,안드레 빌라스보아스
Amílcar Cabral,아밀카르 카브랄
Nelly Furtado,넬리 퍼타도
Ânderson Luís da Silva,루이장
José Bosingwa,조제 보싱와
Rúben Amorim,후벵 아모링
Universidade de Coimbra,코임브라 대학교
Jorge Ribeiro,조르즈 히베이루
Nuno Bettencourt,누노 베텐코트
Manuel Galrinho Bento,마누엘 갈리뉴 벤투
António Damásio,안토니오 다마지오
Marcello Caetano,마르셀루 카에타누
Costinha (futebolista),코스티냐
Jorge Manuel Almeida Gomes de Andrade,조르즈 안드라드
António Guterres,안토니우 구테흐스
Nuno Espírito Santo,누누 이스피리투 산투
Henrique Hilário,엔히케 일라리우
Hélder Postiga,엘데르 포스티가
Liedson,리에드송
Pedro Pauleta,파울레타
Amália Rodrigues,아말리아 호드리게스
Agacão IV,아가 칸 4세
Olegário Benquerença,올레가리우 벵케렌사
Philippe Coutinho,필리피 코치뉴
Nuno Valente,누누 발렌트
Nélson Oliveira,넬송 올리베이라
Soraia Chaves,소라이아 샤베스
Cédric Soares,세드리크 소아르스
Roberto Luís Gaspar Deus Severo,베투 (1976년)
António de Oliveira Salazar,안토니우 드 올리베이라 살라자르
Manuel II de Portugal,마누엘 2세 (포르투갈)
Rosa Mota,호자 모타
João Moutinho,조앙 모티뉴
Carlos Queiroz,카를루스 케이로스
Fernando Couto,페르난두 코투
Ricardo Costa (futebolista),히카르두 코스타
Samora Machel,사모라 마셸
António Alberto Bastos Pimparel,베투 (1982년)
Carmen Miranda,카르멩 미란다
Agustina Bessa-Luís,오거스티나 루이스
Luís Miguel Cintra,루이스 미구엘 신트라
Luís Neto,루이스 네투
Nani,나니
Mário Soares,마리우 소아르스
Jorge Sampaio,조르즈 삼파이우
Eusébio,에우제비우
Kevin Gameiro,케뱅 가메이로
Paulo Sousa,파울루 소자
José Luís Peixoto,조제 루이스 페이쇼투
Custódio Miguel Dias de Castro,쿠스토디우 카스트루
Roman Abramovich,로만 아브라모비치
Paulo Bento (treinador de futebol),파울루 벤투
Luís Figo,루이스 피구
Ana Moreira,안나 모레이라
Eduardo Manuel Martinho Vingada,넬루 빙가다
Fábio Coentrão,파비우 코엔트랑
Dulce Pontes,둘스 폰트스
Fernanda Ribeiro,페르난다 히베이루
Maria de Medeiros,마리아 드 메데이루스
"Maria Ana de Bragança, Grã-duquesa do Luxemburgo",포르투갈 인판타 마리아 아나
Pedro Mendes,페드루 멘드스
Ricardo Esteves,히카르두 에스테베스
Ricardo Alexandre Martins Soares Pereira,히카르두 페레이라
Ricardo Nuno Queirós Nascimento,히카르두 나시멘투
Pepe (futebolista),페페 (1983년 2월)
Maria João Pires,마리아 조앙 피레스
Sérgio Conceição,세르지우 콘세이상
Daniela Ruah,대니얼라 루아
Artur Jorge,아르투르 조르즈
Miguel Lopes,미겔 로페스
Rúben Micael,후벵 미카엘
"Duda (futebolista, 1980)",두다 (축구 선수)
Fernando Pessoa,페르난두 페소아
André Gomes (futebolista português),안드레 고메스
Isabel de Castro (atriz),이사벨 드 카스트로
Amélia de Orleães,아멜리 도를레앙
"Maria Antónia de Bragança, duquesa de Parma",마리아 안토니아 드 브라간사
Filipa Azevedo,필리파 아제베두
Maria Pia de Saboia,마리아 피아 디 사보이아 왕녀
Pedro Santana Lopes,페드루 산타나 로페스
Teresa Madruga,테레사 마드루가
Ricardo Trêpa,리카도 트리파
Vítor Pereira,비토르 페레이라
José Afonso,조제 아폰수
Tiago Apolónia,티아구 아폴로니아
Raul Meireles,하울 메이렐르스
