Brasil,브라질
Mato Grosso do Sul,마투그로수두술주
Osasco,오자스쿠
Campinas,캄피나스
Lista do Patrimônio Mundial no Brasil,브라질의 세계유산
Ipatinga Futebol Clube,이파칭가 FC
Rio Araguaia,아라과이아강
Fortaleza,포르탈레자
Embraer,엠브라에르
Pelotas,펠로타스
Rio Japurá,자푸라강
São Paulo,상파울루
São Paulo (estado),상파울루주
Monte Roraima,호라이마산
Curitiba,쿠리치바
Caxias do Sul,카시아스두술
Tocantins,토칸칭스주
Porto Velho,포르투벨류
Real (moeda brasileira),브라질 헤알
Brasília,브라질리아
TV Globo,TV 글로부
Língua portuguesa,포르투갈어
Recife,헤시피
Rio Madeira,마데이라강
Carapicuíba,카라피쿠이바
Fernando de Noronha,페르난두 지 노로냐
Sergipe,세르지피주
Rio Amazonas,아마존강
Grande Prêmio do Brasil,브라질 그랑프리
UTC−2,UTC−02:00
Letões,라트비아인
Planalto Brasileiro,브라질고원
Rio Negro (Amazonas),네그루강 (아마존)
Bagé,바제
Trópico de Capricórnio,남회귀선
Língua iídiche,이디시어
Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽
Rio de Janeiro,리우데자네이루
Rio Xingu,싱구강
Distrito Federal (Brasil),연방구 (브라질)
Rio Paraná,파라나강
Recopa Sul-Americana de 2013,2013년 레코파 수다메리카나
Amazônia,아마존 우림
Campeonato Brasileiro de Futebol,캄페오나투 브라질레이루 세리이 A
Niterói,니테로이
Palmas,파우마스 (토칸칭스주)
Oriental Brewery,OB 맥주
Natal (Rio Grande do Norte),나타우
Universidade Federal de Minas Gerais,미나스제라이스 연방대학교
Rio Paraguai,파라과이강
Macapá,마카파
Chaco,그란차코
Maringá,마링가
Petrobras,페트로브라스
Rio Uaupés,바우페스강
Copa do Mundo FIFA de 1950,1950년 FIFA 월드컵
Florianópolis,플로리아노폴리스
Grêmio Barueri,그레미우 바루에리
Boa Vista (Roraima),보아비스타 (호라이마주)
Aeroporto Internacional de Curitiba,아폰수 페나 국제공항
Monumento Natural dos Morros do Pão de Açúcar e da Urca,팡지아수카르산
Sport Club do Recife,스포르트 헤시피
Figueirense Futebol Clube,피게이렌시 FC
Parque Ibirapuera,이비라푸에라 공원
Rio Içá,푸투마요강
Paraná,파라나주 (브라질)
Clube de Regatas do Flamengo,CR 플라멩구
Estádio Olímpico Nilton Santos,이스타디우 올림피쿠 니우통 산투스
Grande Prêmio do Brasil de 2008,2008년 브라질 그랑프리
Grande Prêmio do Brasil de 2009,2009년 브라질 그랑프리
Grande Prêmio do Brasil de 2010,2010년 브라질 그랑프리
Grande Prêmio do Brasil de 2012,2012년 브라질 그랑프리
Grande Prêmio do Brasil de 2011,2011년 브라질 그랑프리
Hino Nacional Brasileiro,브라질의 국가
Ilha da Queimada Grande,케이마다그란지섬
Pampa,팜파스
Associação Atlética Ponte Preta,AA 폰치 프레타
Copa das Confederações FIFA de 2013,2013년 FIFA 컨페더레이션스컵
São Bernardo do Campo,상베르나르두두캄푸
Grêmio Foot-Ball Porto Alegrense,그레미우
Anápolis,아나폴리스 (고이아스주)
Linha do equador,적도
Rio Purus,푸루스강
Rio Uruguai,우루과이강
Língua hixcariana,히슈카랴나어
Ciclone Catarina,사이클론 카타리나
Clube Náutico Capibaribe,나우치쿠 카피바리비
Fortaleza Esporte Clube,포르탈레자 EC
Armas Nacionais do Brasil,브라질의 국장
Lituanos,리투아니아인
Guarulhos,구아룰류스
Baía de Guanabara,구아나바라만
Fusos horários no Brasil,브라질 시간
Copa do Mundo FIFA de 2014,2014년 FIFA 월드컵
Brasil nos Jogos Olímpicos de Verão de 1920,1920년 하계 올림픽 브라질 선수단
Rio São Francisco,상프란시스쿠강
Cruzeiro Esporte Clube,크루제이루 이스포르치 클루비
Ribeirão Preto,히베이랑프레투
Nova Iguaçu,노바이구아수
Cone Sul,코노 수르
Sepultura (banda),세풀투라
