Portugal,포르투갈
Rio Vouga,보가강
Ilha da Madeira,마데이라섬
Metro do Porto,포르투 지하철
Rio Mondego,몬데구강
Francesinha,프란세지냐
Qualificações para o Campeonato Europeu de Futebol de 2004,UEFA 유로 2004 예선
Lisboa,리스본
Rio Sado,사두강
Casamento entre pessoas do mesmo sexo em Portugal,포르투갈의 동성결혼
Tratado de Lisboa (2007),리스본 조약 (2007년)
Porto,포르투
Sporting Clube de Portugal,스포르팅 CP
.pt,.pt
Língua tétum,테툼어
Sporting Clube de Braga,SC 브라가
Língua portuguesa,포르투갈어
Grande Prémio de Portugal,포르투갈 그랑프리
Euro,유로
Coimbra,코임브라
Torres Novas,토흐스노바스
Comboios de Portugal,포르투갈 철도
Braga,브라가
Língua galega,갈리시아어
Funchal,푼샬
Açores,아소르스 제도
Praia da Vitória,프라이아다비토리아
Língua mirandesa,미란다어
Madeira (região autónoma),마데이라 제도
Península Ibérica,이베리아반도
Alentejo,알렌테주 지방
Euronext,유로넥스트
Cartaxo,카르타슈
Ribatejo,히바테주주
Matosinhos,마토지뉴스
Campeonato Europeu de Futebol de 2004,UEFA 유로 2004
Estradas europeias,유럽 고속도로
Macaronésia,마카로네시아
Supercopa da UEFA de 2004,2004년 UEFA 슈퍼컵
Estádio Municipal de Braga,이스타디우 무니시팔 드 브라가
Covilhã,코빌량
Partido Socialista (Portugal),사회당 (포르투갈)
Transferência da soberania de Macau,마카오 반환
Associação Naval 1.º de Maio,아소시아상 나발 1º 드 마이우
Porto Santo,포르투산투섬
Região do Centro,센트루 지방
Região do Norte,노르트 지방
Região de Lisboa,리스보아 지방
Vinho da Madeira,마데이라 포도주
Rio Tejo,타구스강
Rio Douro,도루강
Língua árabe,아랍어
Ilhas Selvagens,셀바젱스 제도
Algarve,알가르브 지방
Rio Minho,미뉴강
Rio Guadiana,과디아나강
Taça de Portugal,타사 드 포르투갈
Ilhas Desertas,데제르타스 제도
Língua asturiana,아스투리아스어
Palácio Nacional de Sintra,신트라궁
Estação Ferroviária de Lisboa-Santa Apolónia,산타아폴로니아역
Entidade intermunicipal,만코무니다드
Resende (Portugal),헤젠드
Viseu,비제우
Ponta do Sol (Madeira),폰타두솔
Aeroporto Francisco Sá Carneiro,프란시스쿠 사 카르네이루 공항
Rio Maior,히우마이오르
Supercopa da UEFA de 2003,2003년 UEFA 슈퍼컵
Terceira Travessia do Tejo,제3테주교
Sport Lisboa e Benfica,SL 벤피카
Futebol Clube do Porto,FC 포르투
Estrada europeia 806,유럽 고속도로 806호선
Estrada europeia 805,유럽 고속도로 805호선
Vila do Conde,빌라두콘드
Moura,모라 (베자현)
Portimão,포르티망
Grupo Desportivo de Chaves,GD 샤베스
Al-Andalus,알안달루스
Paços de Ferreira,파수스드페헤이라
Sacavém,사카벵
Estrada europeia 80,유럽 고속도로 80호선
Vinhais (Portugal),비냐이스
Bloco de Esquerda,좌파연합 (포르투갈)
Ordem dos Frades Menores,작은형제회
Linha do Sul,술선
Seleção Portuguesa de Futebol Feminino,포르투갈 여자 축구 국가대표팀
Corvo (Açores),코르부섬
União Nacional,국민연합 (포르투갈)
Arouca,아로카
Vila Franca do Campo,빌라프랑카두캄푸
Armada Inglesa,드레이크-노리스 원정
Ribeira Grande (Açores),히베이라그란드 (아소르스 제도)
Gil Vicente Futebol Clube,질 비센트 FC
Taça da Liga,타사 다 리가
Pombal (Portugal),폼발
Esposende,이스포젠드
Vizela,비젤라
Castro Verde,카스트루베르드
Portugal nos Jogos Olímpicos de Verão de 2000,2000년 하계 올림픽 포르투갈 선수단
Portugal nos Jogos Olímpicos de Verão de 1912,1912년 하계 올림픽 포르투갈 선수단
Portugal nos Jogos Olímpicos de Inverno de 2010,2010년 동계 올림픽 포르투갈 선수단
Estádio Municipal de Aveiro,이스타디우 무니시팔 드 아베이루
Cuba (Portugal),쿠바 (포르투갈)
Santo Tirso,산투티르수
Loures,로르스
Benavente,베나벤트
Armamar,아르마마르
Nordeste (Açores),노르데스트
Lagoa (Açores),라고아 (아소르스 제도)
Santa Maria da Feira,산타마리아다페이라
Vulcão dos Capelinhos,카펠리뉴스 화산
Português europeu,유럽 포르투갈어
Sátão,사탕 (포르투갈)
Moedas de euro portuguesas,포르투갈의 유로 주화
Povoação (Açores),포보아상
Ansião,안시앙
Oeiras (Portugal),오에이라스
Montanha do Pico,피쿠산
Casa Pia Atlético Clube,카사 피아 AC
Salpicão,살피캉
Partido Ecologista "Os Verdes",생태당 "녹색"
Faro,파루 (도시)
A Portuguesa,포르투갈의 국가
Final da Liga Europa da UEFA de 2010–11,2011 UEFA 유로파리그 결승전
Estação Ferroviária de Porto - São Bento,상벤투역
Penafiel,페나피엘
Gondomar,곤도마르
CDS – Partido Popular,인민당 (포르투갈)
Estádio Dr. Magalhães Pessoa,이스타디우 Dr. 마갈량이스 페소아
Estádio D. Afonso Henriques,이스타디우 D. 아폰수 엔히크스
Estádio do Bessa Século XXI,이스타디우 두 베사 XXI
Loulé,롤레
Alenquer (Portugal),알렝케르
Tábua,타부아 (포르투갈)
Trofa,트로파
Portugal na Primeira Guerra Mundial,제1차 세계 대전 기간의 포르투갈
Estádio Cidade de Coimbra,이스타디우 시다드 드 코임브라
Brasões de antigos territórios portugueses,포르투갈 식민지의 문장
Vinho verde,비뉴 베르드
Primeira Liga de 2012–13,프리메이라리가 2012-13
Elevador de Santa Justa,산타주스타 리프트
Primeira República Portuguesa,포르투갈 제1공화국
Lagoa (Algarve),라고아 (알가르브 지방)
Alfama,알파마
Alcanena,알카네나
Mafra (Portugal),마프라
Portel (Portugal),포르텔
Graciosa,그라시오자섬
Mosteiro de Alcobaça,알코바사 수도원
Palácio Nacional de Queluz,켈루스궁
Horta,오르타 (아소르스 제도)
Maia,마이아 (포르투갈)
Cabo da Roca,호카곶
Guimarães,기마랑이스
Partido Social Democrata (Portugal),사회민주당 (포르투갈)
Évora,에보라
Super Bock,슈퍼복
Dialeto árabe andalusino,안달루시아 아랍어
Redondo,헤돈두
Praça do Comércio,코메르시우 광장
Furnas (Povoação),푸르나스 화산
Universidade de Lisboa,리스본 대학교
Setúbal,세투발
Coruche,코루시
Supertaça Cândido de Oliveira,수페르타사 칸디두 드 올리베이라
Hino dos Açores,아소르스 제도의 국가
Paralelo 39 N,북위 39도
Padrão dos Descobrimentos,발견기념비
Estação Ferroviária de Coimbra,코임브라역
Mora (Portugal),모라 (에보라현)
Mosteiro da Batalha,바탈랴 수도원
Ponte de D. Maria Pia,마리아 피아 다리
Praça D. Pedro IV,호시우 광장
Igreja de São Francisco (Porto),상 프란시스쿠 교회
Ilha da Culatra,쿨라트라섬
Portugueses,포르투갈인
Alcochete,알코셰트
Madalena (Açores),마달레나 (아소르스 제도)
Santa Cruz das Flores,산타크루스다스플로르스
Vila do Porto,빌라두포르투
Gastronomia de Portugal,포르투갈 요리
Primeira Liga,프리메이라리가
Guerra Colonial Portuguesa,포르투갈 식민지 전쟁
Lista de monarcas de Portugal,포르투갈 국왕
"Dia de Portugal, de Camões e das Comunidades Portuguesas",포르투갈의 날
Sesimbra,세짐브라
Vila do Corvo,빌라두코르부
Mourão,모랑 (포르투갈)
Exposição Mundial de 1998,1998년 세계 박람회
Linha do Norte,노르트선
Hispânia,히스파니아
Palácio Nacional de Belém,벨렝궁
Vinho do Porto,포르투 포도주
Sintra,신트라
Amadora,아마도라
Teatro Nacional de São Carlos,상카를루스 국립극장
White Airways,화이트 항공
Portugália Airlines,TAP 익스프레스
Tratado de Saragoça (1529),사라고사 조약
Santa Cruz da Graciosa,산타크루스다그라시오자
Portimonense Sporting Clube,포르티모넨스 SC
EuroAtlantic Airways,유로 애틀랜틱 항공
Clube Desportivo de Mafra,CD 마프라
Velas,벨라스
Vila Nova de Gaia,빌라노바드가이아
Rio Ave Futebol Clube,히우 아브 FC
Sporting Clube Olhanense,SC 올랴넨스
Fátima,파티마 (포르투갈)
Sismo de Lisboa de 1755,1755년 리스본 지진
Portalegre (Portugal),포르탈레그르
Economia de Portugal,포르투갈의 경제
Estoril,이스토릴
Revolução de 25 de Abril de 1974,카네이션 혁명
Angra do Heroísmo,앙그라두에로이즈무
Sertã,세르탕
Estremoz,이스트레모스
Câmara de Lobos,카마라드로부스
Leixões Sport Club,레이숑이스 SC
Paralelo 40 N,북위 40도
Paralelo 33 N,북위 33도
Paralelo 37 N,북위 37도
Paredes,파레드스
Grupo Desportivo Estoril Praia,GD 이스토릴 프라이아
Deolinda,데올린다
Castelo de São Jorge,상조르즈성
Sertanense Futebol Clube,세르타넨세 FC
Nisa,니자 (포르투갈)
SATA Air Açores,SATA 에어 아소르스
Implantação da República Portuguesa,1910년 10월 5일 혁명
Lista de partidos políticos em Portugal,포르투갈의 정당
Aeroporto Cristiano Ronaldo,마데이라 공항
Desaparecimento de Madeleine McCann,매들린 매캔 실종 사건
Expedição de Magalhães,마젤란-엘카노 주항
Estação Roma,호마역
Lajes do Pico,라즈스두피쿠
São Roque do Pico,상호크두피쿠
Calheta (Açores),칼례타 (아소르스 제도)
Lusofonia,포르투갈어권
Primeiro-Ministro de Portugal,포르투갈의 총리
Estádio Algarve,이스타디우 알가르브
Algarve Cup,알가르브컵
Póvoa de Varzim,포보아드바르징
Brasão de armas de Portugal,포르투갈의 국장
Rádio e Televisão de Portugal,포르투갈 공영방송
Região Vinhateira do Alto Douro,알투도루 포도주 산지
Vinhos portugueses,포르투갈 포도주
Leiria,레이리아
Ponta Delgada,폰타델가다
Distrito de Lisboa,리스보아현
TAP Air Portugal,TAP 포르투갈 항공
Viana do Castelo,비아나두카스텔루
Ilha do Faial,파이알섬
Santa Cruz (Madeira),산타크루스 (마데이라 제도)
Paralelo 42 N,북위 42도
Paralelo 41 N,북위 41도
Igreja Católica em Portugal,포르투갈의 로마 가톨릭교회
Império Português,포르투갈 제국
Merino,메리노
Alcobaça (Portugal),알코바사
Lajes das Flores,라즈스다스플로르스
Torre Vasco da Gama,바스쿠 다 가마 타워
Clube de Futebol União,CF 우니앙
Vitória Futebol Clube,비토리아 FC
Ilha de São Miguel,상미겔섬
Distrito de Aveiro,아베이루현
Ilha do Pico,피쿠섬
Falcoaria,매사냥
Clube Desportivo Feirense,CD 페이렌스
Aeroporto Internacional de Faro,파루 공항
Estádio Nacional do Jamor,이스타디우 나시오날
Fantasporto,판타스포르투
Jogos da Lusofonia,루소포니아 경기 대회
Ponte de D. Luís (Porto),동 루이스 다리
União Desportiva de Leiria,UD 레이리아
Museu Nacional de Arte Antiga,국립 고미술관
Barcelos,바르셀루스
Beja,베자 (포르투갈)
Igreja de São Vicente de Fora,상비센트드포라 수도원
Ilha Terceira,테르세이라섬
Torre de Belém,벨렝탑
Clube de Futebol Os Belenenses,CF 벨레넨스스
Ilha das Flores (Açores),플로르스섬
Boavista Futebol Clube,보아비스타 FC
Sport Clube Beira-Mar,SC 베이라마르
Nelas,넬라스
Club Sport Marítimo,CS 마리티무
Clube Desportivo Nacional,CD 나시오날
Barreiro,바헤이루
Ilha de Santa Maria,산타마리아섬
Palácio dos Estaus,에스타우스궁
Moreirense Futebol Clube,모레이렌스 FC
Fórum de Governança da Internet,인터넷 거버넌스 포럼
Alfa Pendular,알파 펜둘라르
Vitória Sport Clube,비토리아 SC
Porto Moniz,포르투모니스
Machico,마시쿠
Distrito de Portalegre,포르탈레그르현
Batalha do Douro (1809),제2차 포르투 전투
Ponte Vasco da Gama,바스쿠 다 가마 다리
Nossa Senhora de Fátima,파티마의 성모
Alandroal,알란드로알
Ponte 25 de Abril,4월 25일 다리
Estrada europeia 82,유럽 고속도로 82호선
Elvas,엘바스
Associação Académica de Coimbra – Organismo Autónomo de Futebol,아카데미카 드 코임브라
Lagos (Portugal),라구스
Distrito de Leiria,레이리아현
Distrito de Santarém,산타렝현
Distrito de Faro,파루현
Distrito de Coimbra,코임브라현
Biblioteca Nacional de Portugal,포르투갈 국립도서관
Convento de Cristo,그리스도 수도원
Serra da Estrela,이스트렐라산맥
Futebol Clube de Arouca,FC 아로카
Futebol Clube Famalicão,FC 파말리캉
Futebol Clube de Penafiel,FC 페나피엘
Futebol Clube de Vizela,FC 비젤라
Metropolitano de Lisboa,리스본 지하철
Sporting Clube Farense,SC 파렌스
Estremadura,이스트레마두라주
Ilha de São Jorge,상조르즈섬
Ribeira Brava (Madeira),히베이라브라바 (마데이라 제도)
Águeda,아게다
Assembleia da República,포르투갈 공화국의회
Olhão,올량
Clube Desportivo Santa Clara,CD 산타클라라
Silves (Portugal),실베스
Doula,둘라
Clube Desportivo de Tondela,CD 톤델라
Estádio do Dragão,이스타디우 두 드라강
Mosteiro dos Jerónimos,제로니무스 수도원
Distrito de Viseu,비제우현
Cascais,카스카이스
Seleção Portuguesa de Futebol,포르투갈 축구 국가대표팀
Distrito de Castelo Branco,카스텔루브랑쿠현
Vila Real de Santo António,빌라헤알드산투안토니우
Portugal nos Jogos Olímpicos,올림픽 포르투갈 선수단
Santana (Madeira),산타나 (마데이라 제도)
Guarda,구아르다
Distrito da Guarda,구아르다현
Santarém (Portugal),산타렝 (포르투갈)
Distrito de Évora,에보라현
Distrito de Setúbal,세투발현
Supercopa da UEFA de 2011,2011년 UEFA 슈퍼컵
Calheta (Madeira),칼례타 (마데이라 제도)
Segunda Liga,리가 포르투갈 2
Prémio Camões,카몽이스상
Varzim Sport Club,바르징 SC
Óbidos,오비두스
Hi Fly,하이플라이
Ordem de Santiago,산티아고 기사단
Valpaços,발파수스
Atlético Clube de Portugal,아틀레티코 클루베 데 포르투갈
Aeroporto João Paulo II,요한 바오로 2세 공항
Aeroporto do Porto Santo,포르투산투 공항
Estádio José Alvalade,이스타디우 조제 알발라드
Marinha Grande,마리냐그란드
Campeonato Nacional de Futebol Feminino,캄페오나투 나시오날 페미니누
Bragança (Portugal),브라간사 (포르투갈)
Sporting Clube da Covilhã,SC 코빌량
Ílhavo,일랴부
Caldo verde,칼두 베르드
Partido Comunista Português,포르투갈 공산당
Presidente da República Portuguesa,포르투갈의 대통령
Distrito de Beja,베자현
Distrito do Porto,포르투현
Autoestrada A1,A1 고속도로 (포르투갈)
São Vicente (Madeira),상비센트 (마데이라 제도)
Federação Portuguesa de Futebol,포르투갈 축구 연맹
Distrito de Viana do Castelo,비아나두카스텔루현
Padrão (descobrimentos),파드랑
Estado Português da Índia,포르투갈령 인도
