Hebe Camargo,이비 카마르구
João Carlos dos Santos,주앙 카를루스 두스 산투스
Leandro Damião,레안드루 다미앙
Deodoro da Fonseca,데오도루 다 폰세카
Carlos Alexandre Souza Silva,카를루스 알레산드리 소자 시우바
Reinaldo da Cruz Oliveira Nascimento,헤이나우두 다 크루스 올리베이라
Bernard Anício Caldeira Duarte,베르나르
Alexandre Pato,알레샨드리 파투
Juninho Pernambucano,주니뉴 페르남부카누
Oscar Niemeyer,오스카르 니에메예르
José Paulo Bezerra Maciel Junior,파울리뉴
Ayrton Senna,아이르통 세나
Éverton Leandro dos Santos Pinto,에베르통 산투스
Hulk,지바니우두 비에이라 지 소자
Rafael Farias Tavares,마그눙 하파에우 파리아스 타바레스
Leandro Montera da Silva,레안드루 몬테라 다 시우바
Edmilson dos Santos Silva,에드미우송 두스 산투스 시우바
Ramires,하미리스
Pelé,펠레
Mário de Andrade,마리우 데 안드라데
Willian Borges da Silva,윌리안 보르제스 다 실바
Júlio Baptista,줄리우 바프티스타
Luiz Adriano,루이스 아드리아누
Ricardo Luís Pozzi Rodrigues,히카르지뉴
Ricardo Alexandre dos Santos,히카르두 알레샨드리 두스 산투스
Bebeto,베베투
Felipe Melo,펠리페 멜루
Antônio Naelson Matias,안토니오 나엘손
Helena Ignez,엘레나 이그네스
Heitor Villa-Lobos,에이토르 빌라로부스
João Havelange,주앙 아벨란제
Zilda Arns,지우다 아른스
Juan Silveira dos Santos,주앙 시우베이라 두스 산투스
Márcio Miranda Freitas Rocha da Silva,마르시우 미란다 프레이타스 로차 다 시우바
Valdir Benedito,발디르 베네디토
Neymar,네이마르
Gisele Bündchen,지젤 번천
Zinho,지뉴
Kléber Laube Pinheiro,클레베르 라우비 피녜이루
Elano,일라누
Nilmar,니우마르
Paulo Coelho,파울로 코엘료
Erwin Kräutler,에르빈 크로이틀러
Pita,에드발두 올리베이라 차베스
Lúcio,루시우
Zizinho,지지뉴
Pedro II do Brasil,페드루 2세
Nélson Luís Kerchner,넬슨 루이스 케르슈너
Fumagalli,푸마갈리
Paulo Roberto Jamelli Júnior,파울루 자멜리
Nádson Rodrigues de Souza,나드송 호드리게스 지 소자
Carlos Alberto Souza dos Santos,카를루스 아우베르투 소자 두스 산투스
Anderson Andrade Antunes,안드라지 안투니스 안데르송
Alessandra Ambrósio,알레산드라 암브로지우
Adilson Ferreira de Souza,아디우송 페헤이라 지 소자
Brandão,에바에베르송 레무스 다 시우바
Julio Cesar Soares Espíndola,줄리우 세자르 소아리스 이스핀돌라
Roger Silva,호제르 호드리게스 다 시우바
Alexandre Paes Lopes,알렉상드르 로페스
Donizete Oliveira,도니제치 올리베이라
Caio Koch-Weser,카이오 코흐베저
Adriana Lima,아드리아나 리마
Jorge Amado,조르지 아마두
Anderson Bamba,안데르송 밤바
Carolina Dieckmann,카롤리나 지에크망
Monica Iozzi,모니카 이오지
Glória Pires,글로리아 피르스
