Abel Xavier,아벨 사비에르
António Lobo Antunes,안토니우 로부 안투느스
Carla Sacramento,카를라 사크라멘토
Xanana Gusmão,샤나나 구스망
Rita Blanco,리타 블랑코
Cristiano Ronaldo,크리스티아누 호날두
José Sócrates,조제 소크라트스
Paulo Ferreira,파울루 페헤이라
Rui Manuel César Costa,후이 코스타
João Pedro da Silva Pereira,주앙 페드루 다 실바 페헤이라
Assunção Cristas,아순상 크리스타스
Francisco da Costa Gomes,프란시스쿠 다 코스타 고므스
Vitorino Antunes,비토리누 안투니스
Francisco Lázaro,프란시스쿠 라자루
Lúcia Moniz,루시아 모니즈
Miguel Torga,미겔 토르가
Catarina Furtado,카타 리나 퍼 타도
Laura Soveral,라우라 소베랄
João Vieira Pinto,주앙 핀투
Adelino André Vieira Freitas,비에이리냐
Éderzito António Macedo Lopes,에데르지투 안토니우 마세두 로페스
Silvestre Varela,실베스트르 바렐라
Bruno Alves,브루누 알베스
Soledad Miranda,솔레다드 미란다
Eduardo Mondlane,에두아르도 몬들라네
Manuela Machado,마누엘라 마차도
Artur Antunes Coimbra,코임브라 지코
Simão Sabrosa,시망 사브로자
Joaquim de Almeida,조아킹 드 알메이다
Camilo Pessanha,카밀루 페사냐
Ricardo Quaresma,히카르두 쿠아레즈마
Maniche,마니시
José Saramago,주제 사라마구
José Manuel Durão Barroso,조제 마누엘 두랑 바호주
Manoel de Oliveira,마노엘 드 올리베이라
Marcos Aoás Corrêa,마르쿠스 아오아스 코헤아
António Egas Moniz,안토니오 에가스 모니스
José Bosingwa,조제 보싱와
André Villas-Boas,안드레 빌라스보아스
Paulo Futre,파울로 푸트레
Sandro Ranieri Guimarães Cordeiro,산드루 라니에리
António Ramalho Eanes,안토니우 하말류 이아느스
Ana Padrão,아나 파드라오
Nuno Gomes,누누 고메스
Bruno Martins Indi,브루누 마르팅스 인디
Catarina Wallenstein,카타리나 발렌스테인
Leonor Silveira,레오노어 실베이라
Rui Patrício,후이 파트리시우
Tiago Mendes,티아구 멘데스
Amílcar Cabral,아밀카르 카브랄
Liédson,리에드송
Rúben Amorim,후벤 아모링
João César Monteiro,주앙 세자르 몬테이루
Pedro Passos Coelho,페드루 파수스 코엘류
Paulo Portas,파울루 포르타스
Filipe Morais,필리프 모라이스
Zita Seabra,지타 세아브라
"Maria Ana de Bragança, Grã-duquesa do Luxemburgo",마리아 아나 드 포르투갈 왕녀
Maria de Medeiros,마리아 데 메데이로주
Vítor Baía,비토르 바이아
Manuel Henrique Tavares Fernandes,마누엘 페르난드스
Lídia Jorge,리디아 조르즈
Fernando Manuel Costa Santos,페르난두 산투스
Daniel Fernandes,다니에우 페르난드스
Fernando Gomes,페르난두 고메스
Ânderson Luís da Silva,루이장
Nelly Furtado,넬리 퍼타도
José Mourinho,조제 모리뉴
Carlos Lopes,카를루스 로페스
João Moutinho,주앙 모티뉴
Manuel Pinto da Costa,마넬 핀투 다 코스타
Luís Miguel Brito Garcia Monteiro,미겔 몬테이루
Pedro Pauleta,파울레타
Samora Machel,사모라 마셸
Hélder Postiga,엘데르 포스티가
Henrique Hilário,엔리케 일라리우
Hugo Almeida,우구 알메이다
Costinha,코스티냐
Jorge Manuel Almeida Gomes de Andrade,조르즈 안드라드
Eduardo dos Reis Carvalho,에두아르두 두스 헤이스 카르발류
Jorge Ribeiro,조르즈 히베이루
Mariza,마리자
Sérgio Ricardo da Silva Pinto,세르지우 핀투
Eliseu,엘리세우
Petit,프티
Hugo Viana,우구 비아나
Nelson Évora,넬송 에보라
Aníbal Cavaco Silva,아니발 카바쿠 실바
Filipa Sousa,필리파 소자
Vânia Fernandes,바니아 페르난드스
Universidade de Coimbra,코임브라 대학교
Olegário Benquerença,올레가리우 벵케렌사
Sara Martins,사라 마틴스
Rosa Mota,로자 모타
Danny,다니 미겔
Marcelo Caetano,마르셀루 카에타누
Amália Rodrigues,아말리아 호드리게스
