Mato Grosso do Sul,마투그로수두술주
Osasco,오자스쿠
lista do Património Mundial no Brasil,브라질의 세계유산
Tocantins,토칸칭스주
Rio Araguaia,아라과이아강
Porto Velho,포르투벨류
Curitiba,쿠리치바
Fortaleza,포르탈레자
São José,상조제
Ipatinga Futebol Clube,이파칭가 FC
Embraer,엠브라에르
São Paulo,상파울루주
Monte Roraima,호라이마산
português,포르투갈어
Campinas,캄피나스
Brasil,브라질
Caxias do Sul,카시아스두술
Rio Madeira,마데이라강
Grande Prémio do Brasil,브라질 그랑프리
São Paulo,상파울루
Sergipe,세르지피주
Recife,헤시피
língua iídiche,이디시어
Rio Japurá,자푸라강
UTC−2,UTC-02
Bagé,바제
real,브라질 헤알
Rio Negro,네그루강
Pelotas,펠로타스
Rio de Janeiro,리우데자네이루
classificação ClassInd,ClassInd 등급
Rio Xingu,싱구강
Povo letão,라트비아인
Rio Paraná,파라나강
Natal,나타우
número da legenda no TSE,TSE 번호
Trópico de Capricórnio,남회귀선
Rio Uaupés,바우페스강
Paraná,파라나주
Recopa Sul-Americana de 2013,2013년 레코파 수다메리카나
Planalto Brasileiro,브라질고원
Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽
Floresta amazônica,아마존 우림
identificador em CPDOC,CPDOC ID
Carapicuíba,카라피쿠이바
Clube de Regatas do Flamengo,CR 플라멩구
Estádio Nilton Santos,주앙 아벨란제 올림픽 스타디움
Fernando de Noronha,페르난두 지 노로냐
Rio Paraguai,파라과이강
Palmas,파우마스
Distrito Federal,연방구
Universidade Federal de Minas Gerais,미나스제라이스 연방대학교
Rio Purus,푸루스강
Hixkaryana,히슈카랴나어
Olinda,올린다
Grêmio Barueri,그레미우 바루에리
Rio Uruguai,우루과이강
linha do equador,적도
Copa do Mundo FIFA de 1950,1950년 FIFA 월드컵
Florianópolis,플로리아노폴리스
Furacão Catarina,사이클론 카타리나
Niterói,니테로이
São Luís,상루이스
Gloster Meteor,글로스터 미티어
Sport Club Corinthians Paulista,SC 코린치앙스 파울리스타
Brasil nos Jogos Olímpicos de Verão de 2004,2004년 하계 올림픽 브라질 선수단
Macapá,마카파
Botafogo de Futebol e Regatas,보타포구 FR
Brasil nos Jogos Olímpicos de Verão de 1920,1920년 하계 올림픽 브라질 선수단
Sinop,시노프
Cristo Redentor,구세주 그리스도상
Grande Prêmio do Brasil de 2008,2008년 브라질 그랑프리
Grande Prémio do Brasil de 2009,2009년 포뮬러 원 브라질 그랑프리
Campeonato do Mundo de Futebol FIFA de 2014,2014년 FIFA 월드컵
Grande Prêmio do Brasil de 2010,2010년 포뮬러 원 브라질 그랑프리
Grande Prêmio do Brasil de 2011,2011년 포뮬러 원 브라질 그랑프리
Grande Prêmio do Brasil de 2012,2012년 브라질 그랑프리
Oriental Brewery,OB 맥주
Cascavel,방울뱀
Hino Nacional Brasileiro,브라질의 국가
Clube Náutico Capibaribe,나우치쿠 카피바리비
Santos Futebol Clube,산투스 FC
Fluminense Football Club,플루미넨시 FC
Sociedade Esportiva Palmeiras,SE 파우메이라스
Lituanos,리투아니아인
língua pirarrã,피라항어
Línguas muras,무라어
Brasília,브라질리아
Rio São Francisco,상프란시스쿠강
Ilha Queimada Grande,Ilha da Queimada Grande
Brasil nos Jogos Olímpicos de Verão de 2012,2012년 하계 올림픽 브라질 선수단
Brasil nos Jogos Olímpicos de Verão de 2008,2008년 하계 올림픽 브라질 선수단
Língua vêneta,베네토어
Aeroporto Internacional Afonso Pena,아폰수 페나 국제공항
Boa Vista,보아비스타
São Gonçalo,상곤살루
Pampas,팜파스
São Bernardo do Campo,상베르나르두두캄푸
TV Globo,헤지 글로부
CT Yakult,야쿠르트 야구 아카데미
bandeira do Brasil,브라질의 국기
Carnaval do Rio de Janeiro,리우 카니발
Catalão,카탈랑
rio Amazonas,아마존강
Brasão de armas do Brasil,브라질의 국장
Cruzeiro Esporte Clube,크루제이루 EC
fusos horários no Brasil,브라질 시간
Maringá,마링가
Ribeirão Preto,히베이랑프레투
Coronel Fabriciano,코로네우파브리시아누
Paraíba,파라이바주
Sport Club Internacional,SC 인테르나시오나우
Final do Campeonato Mundial de Clubes da FIFA de 2000,2000년 FIFA 클럽 세계 선수권 대회 결승전
São Paulo Futebol Clube,상파울루 FC
Rio Tocantins,토칸칭스강
Campeonatos estaduais de futebol do Brasil,브라질의 주별 리그
Museu de Arte de São Paulo,상파울루 미술관
Campeonato Brasileiro de Futebol,브라질 세리 A
Sport Club do Recife,스포르트 헤시피
Associação Atlética Ponte Preta,AA 폰치 프레타
Guarulhos,구아룰류스
