Lisbon,리스본
Setúbal,세투발
Portuguese Republic,포르투갈
Funchal,푼샬
Ponta do Pico,피쿠 산
Azores,아조레스
Sintra,신트라
Distrito de Setúbal,세투발현
Distrito de Santarém,산타렝현
Distrito de Portalegre,포르탈레그르현
Distrito de Lisboa,리스보아현
Distrito de Leiria,레이리아현
Fátima,파티마
Distrito de Faro,파루현
Distrito de Évora,에보라현
Estoril,이스토릴
Distrito de Castelo Branco,카스텔루브랑쿠현
Distrito de Beja,베자현
Ponta Delgada,폰타델가다
Madeira,마데이라 제도
Distrito de Viseu,비제우현
Distrito de Vila Real,빌라헤알현
Distrito de Viana do Castelo,비아나두카스텔루현
Distrito do Porto,포르투현
Distrito da Guarda,구아르다현
Distrito de Coimbra,코임브라현
Distrito de Bragança,브라간사현
Distrito de Braga,브라가현
Ponta Delgada-João Paulo II Airport,요한 바오로 2세 공항
Madeira Airport,마데이라 공항
Lisbon Humberto Delgado Airport,리스본 포르텔라 공항
Santa Cruz,산타크루스
Óbidos,오비두스
Iberian Peninsula,이베리아반도
Cabo da Roca,호카곶
Azores,아소르스 제도
Figueira da Foz,피게이라다포스
Europe,유럽
Ilhas Selvagens,셀바젱스 제도
Nazaré,나자레
Calheta,칼례타
Douro,도루 강
Portalegre,포르탈레그르
Mosteiro dos Jerónimos,제로니무스 수도원
Aveiro,아베이루
Beja,베자
Braga,브라가
Guimarães,기마랑이스
Covilhã,코빌량
Coimbra,코임브라
Évora,에보라
Faro,파루
Lagos,라구스
Leiria,레이리아
Paços de Ferreira,파수스드페헤이라
Vila Nova de Gaia,빌라노바드가이아
Valença,발렌사
Viana do Castelo,비아나두카스텔루
Viseu,비제우
Ponta Delgada,폰타델가다
Praia da Vitória,프라이아다비토리아
Velas,벨라스
Santa Maria Island,산타마리아섬
Ribeira Grande,히베이라그란드
Lajes das Flores,라즈스다스플로르스
Lagoa,라고아
Horta,오르타
Tondela,톤델라
Fundão,푼당
Porto,포르투
Torre de Belém,벨렝탑
Santa Cruz das Flores,산타크루스다스플로르스
Santa Cruz da Graciosa,산타크루스다그라시오자
Furnas,푸르나스 화산
Vila do Corvo,빌라두코르부
Calheta,칼례타
Castelo de São Jorge,상조르즈 성
Padrão dos Descobrimentos,발견기념비
Estádio do Bessa,이스타디우 두 베사 XXI
Rossio,호시우 광장
Praça do Comércio,코메르시우 광장
Castelo Branco,카스텔루브랑쿠
Redondo,헤돈두
Fátima,파티마
Espinho,이스피뉴
