Alexandra Stan,알렉산드라 스탄
Ikechi Anya,이케치 안야
Inna,이나 (가수)
George Emil Palade,조지 에밀 펄레이드
Alexandra Nechita,알렉산드라 네치타
Liviu Librescu,리비우 리브레스쿠
Dan Balan,단 벌란
Cristian Mungiu,크리스티안 문지우
Constantin Brâncuși,콘스탄틴 브랑쿠시
Herta Müller,헤르타 뮐러
Ion Antonescu,이온 안토네스쿠
Simona Halep,시모나 할레프
Mihai Răzvan Ungureanu,미하이 러즈반 운구레아누
Iolanda Balaș,이올란다 발라슈
Nadia Comăneci,나디아 코마네치
Elena Ceaușescu,엘레나 차우셰스쿠
Octavian Goga,옥타비안 고가
Gheorghe Popescu,게오르게 포페스쿠
Răzvan Raț,러즈반 라츠
Nicolae Timofti,니콜라에 티모프티
Regina Maria a României,에든버러의 마리아
Sergiu Celibidache,세르주 첼리비다케
Traian Băsescu,트라이안 버세스쿠
Regina Elisabeta a Greciei,엘리사베타 아 로므니에이 왕녀
Marian Aliuță,마리안 알리우차
Cătălina Ponor,커털리나 포노르
Dinu Lipatti,디누 리파티
Ștefan Radu,슈테판 라두
Tristan Tzara,트리스탕 차라
Andreo Cseh,체흐 언도르
Laura Badea,라우라 바데아
Eugen Ionescu,외젠 이오네스코
György Kurtág,죄르지 쿠르탁
Alina Alexandra Dumitru,알리나 두미트루
Lavinia Miloșovici,라비니아 밀로쇼비치
Monica Roșu,모니카 로슈
Anamaria Marinca,아나마리아 마린카
Alma Gluck,알마 글루크
Gabriela Szabó,가브리엘라 사보
Aurelia Dobre,아우렐리아 도브레
Emil Boc,에밀 보크
Emil Constantinescu,에밀 콘스탄티네스쿠
Ciprian Marica,치프리안 마리카
Petru Groza,페트루 그로자
Edward Maya,에드워드 마야
Corneliu Zelea Codreanu,코르넬리우 젤레아 코드레아누
Chivu Stoica,키부 스토이카
Dudu Georgescu,두두 제오르제스쿠
Paul Celan,파울 첼란
Nicolae Văcăroiu,니콜라에 버커로이우
Angela Gheorghiu,안젤라 게오르기우
Bogdan Lobonț,보그단 로본츠
Ana Pauker,아나 파우커
Vlad Filat,블라드 필라트
Victor Ponta,빅토르 폰타
Sorin Ghionea,소린 기오네아
Alexandru Averescu,알렉산드루 아베레스쿠
Maia Morgenstern,마이아 모르겐스테른
Sandra Izbașa,산드라 이즈바샤
Gheorghe Hagi,게오르게 하지
Jean Negulesco,진 네글레스코
Alexandra Maria Lara,알렉산드라 마리아 라라
Ecaterina Szabó,에카테리나 사보
Elena Gheorghe,엘레나 게오르게
Ion Iliescu,이온 일리에스쿠
Adrian Neaga,아드리안 네아가
Ana Maria Brânză,아나 마리아 포페스쿠
Paula Ivan,파울라 이반
Doina Melinte,도이나 멜린테
Harvey Keitel,하비 카이텔
Gheorghe Zamfir,게오르그 잠피르
Simona Amânar,시모나 아므나르
Ana Blandiana,아나 블란디아나
Linda Maria Baros,린다 마리아 바로스
Gabriel Tamaș,가브리엘 타마슈
Viorel Moldovan,비오렐 몰도반
Mihai Mălaimare Jr.,미하이 멀라이마레 주니어
Paula Seling,파울라 셀린그
Daniela Silivaș,다니엘라 실리바슈
Mircea Lucescu,미르체아 루체스쿠
Gheorghe Dinică,게오르게 디니커
Daniel Niculae,다니엘 니쿨라에
Constantina Diță-Tomescu,콘스탄티나 디처
George Enescu,제오르제 에네스쿠
Emil Cioran,에밀 시오랑
Adrian Mutu,아드리안 무투
Adrian Pintea,아드리안 핀테아
Pavel Badea,파벨 바데아
Robert Steinberg,로베르트 스테인베르그
