Bucharest,부쿠레슈티
România,루마니아
Constanţa,콘스탄차
Iaşi,이아시
Timişoara,티미쇼아라
Craiova,크라이오바
Cluj-Napoca,클루지나포카
Galaţi,갈라치
Tulcea,툴체아
Târgu Jiu,트르구지우
Suceava,수체아바
Slatina,슬라티나
Sibiu,시비우
Satu Mare,사투마레
Râmnicu Vâlcea,름니쿠블체아
Oradea,오라데아
Buzău,부저우
Braşov,브라쇼브
Drobeta-Turnu Severin,드로베타투르누세베린
Alba Iulia,알바이울리아
Zalău,잘러우
Vaslui,바슬루이
Henri Coandă International Airport,헨리 코안더 국제공항
Vrancea,브란체아주
Teleorman,텔레오르만주
Suceava,수체아바주
Roman,로만
Prahova,프라호바주
Olt,올트주
Maramureş,마라무레슈주
Lugoj,루고지
Covasna,코바스나주
Cluj,클루지주
Caraş-Severin,카라슈세베린주
Braşov,브라쇼브주
Botoşani,보토샤니주
Dolj,돌지주
Deva,데바
Bistriţa-Năsăud,비스트리차너서우드주
Bârlad,브를라드
Argeş,아르제슈주
Alexandria,알렉산드리아
Ilfov,일포브주
Vâlcea,블체아주
Turnu Măgurele,투르누머구렐레
Tulcea,툴체아주
Târgu Secuiesc,트르구세쿠이에스크
Timiş,티미슈주
Sinaia,시나이아
Sibiu,시비우주
Satu Mare,사투마레주
Sălaj,설라지주
Neamţ,네암츠주
Mureş,무레슈주
Mehedinţi,메헤딘치주
Medgidia,메드지디아
Mangalia,만갈리아
Constanța,콘스탄차주
Călăraşi,컬러라시주
Buzău,부저우주
Brăila,브러일라주
Iaşi,이아시주
Ialomiţa,이알로미차주
Hunedoara,후네도아라주
Gorj,고르지주
Giurgiu,지우르지우주
Galaţi,갈라치주
Dâmboviţa,듬보비차주
Bihor,비호르주
Bacău,바커우주
Arad,아라드주
Alba,알바주
Europe,유럽
Sighișoara,시기쇼아라
Zimnicea,짐니체아
Urziceni,우르지체니
Siret,시레트
Salonta,살론타
Calafat,칼라파트
Buftea,부프테아
Olt,올트 강
Carpathians,카르파티아 산맥
