"Достоевский, Фёдор Михайлович",표도르 도스토옙스키
"Перельман, Григорий Яковлевич",그리고리 페렐만
"Антюх, Наталья Николаевна",나탈리야 안튜흐
"Звягинцев, Андрей Петрович",안드레이 즈뱌긴체프
"Гергиев, Валерий Абисалович",발레리 게르기예프
"Рихтер, Святослав Теофилович",스뱌토슬라프 리흐테르
"Ельцин, Борис Николаевич",보리스 옐친
"Ухов, Иван Сергеевич",이반 우호프
"Зыбина, Галина Ивановна",갈리나 지비나
"Леонтьев, Валерий Яковлевич",발레리 레온티예프
"Касперский, Евгений Валентинович",유진 카스퍼스키
"Фридман, Даниэль Григорьевич",다니엘 프리드만
"Набиуллина, Эльвира Сахипзадовна",옐비라 나비울리나
"Кисин, Евгений Игоревич",예브게니 키신
"Крамник, Владимир Борисович",블라디미르 크람니크
"Самсонов, Сергей Викторович",세르게이 삼소노프
"Ан, Виктор",빅토르 안
"Попович, Павел Романович",파벨 포포비치
"Чичерова, Анна Владимировна",안나 치체로바
"Каниськина, Ольга Николаевна",올가 카니시키나
"Исинбаева, Елена Гаджиевна",옐레나 이신바예바
"Солженицын, Александр Исаевич",알렉산드르 솔제니친
"Нетребко, Анна Юрьевна",안나 네트렙코
"Пугачёва, Алла Борисовна",알라 푸가초바
"Петрова, Надежда Викторовна",나디아 페트로바
"Белобородова, Татьяна Викторовна",타티야나 리센코
"Кокорин, Александр Александрович",알렉산드르 코코린
"Белоглазов, Сергей Алексеевич",세르게이 벨로글라조프
Нюша,뉴샤
МакSим,막심 (가수)
"Гайдар, Егор Тимурович",예고르 가이다르
"Скворцов, Николай Валерьевич",니콜라이 스크보르초프
"Щедрин, Родион Константинович",로디온 셰드린
"Раппопорт, Ксения Александровна",크세니야 라포포르트
"Прохоров, Александр Михайлович",알렉산드르 프로호로프
"Шарапова, Мария Юрьевна",마리야 샤라포바
"Гамзатов, Расул Гамзатович",라술 감자토프
"Апаликов, Николай Сергеевич",니콜라이 아팔리코프
"Брызгалов, Илья Николаевич",일리야 브리즈갈로프
"Боярская, Елизавета Михайловна",옐리자베타 보야르스카야
"Павлюченко, Роман Анатольевич",로만 파블류첸코
"Лебедев, Сергей Николаевич (государственный деятель)",세르게이 레베데프
"Герасимов, Валерий Васильевич",발레리 게라시모프
"Сигал, Стивен",스티븐 시걸
"Калашников, Михаил Тимофеевич",미하일 칼라시니코프
"Басов, Николай Геннадиевич",니콜라이 바소프
"Тютин, Фёдор Анатольевич",표도르 튜틴
"Курникова, Анна Сергеевна",안나 쿠르니코바
"Путин, Владимир Владимирович",블라디미르 푸틴
"Политковская, Анна Степановна",안나 폴릿콥스카야
"Кириленко, Мария Юрьевна",마리야 키릴렌코
"Дементьева, Елена Вячеславовна",옐레나 데멘티예바
"Борчин, Валерий Викторович",발레리 보르친
"Билан, Дима Николаевич",디마 빌란
"Сильнов, Андрей Александрович",안드레이 실노프
"Ишаев, Виктор Иванович",빅토르 이샤예프
"Литвиненко, Александр Вальтерович",알렉산드르 리트비넨코
Кирилл (патриарх Московский),모스크바 총대주교 키릴
"Пажитнов, Алексей Леонидович",알렉세이 파지트노프
"Карпов, Анатолий Евгеньевич",아나톨리 카르포프
"Сафин, Марат Мубинович",마라트 사핀
"Абрамович, Роман Аркадьевич",로만 아브라모비치
"Самургашев, Вартерес Вартересович",바르테레스 사무르가셰프
Согдиана (певица),소그디아나 페도린스카야
"Ковалёв, Николай Анатольевич",니콜라이 코발료프 (펜싱 선수)
"Успенский, Эдуард Николаевич",예두아르트 우스펜스키
"Терешкова, Валентина Владимировна",발렌티나 테레시코바
"Гинзбург, Виталий Лазаревич",비탈리 긴즈부르크
"Смыслов, Василий Васильевич",바실리 스미슬로프
"Новосёлов, Константин Сергеевич",콘스탄틴 노보셀로프
"Гойщик, Татьяна Геннадьевна",타티야나 고이시치크
"Спасский, Борис Васильевич",보리스 스파스키
Тимати,티마티
"Рытхэу, Юрий Сергеевич",유리 릿헤우
"Мамедов, Ильгар Яшар оглы",일가르 마메도프
"Аршавин, Андрей Сергеевич",안드레이 아르샤빈
"Петров, Василий Иванович (маршал)",바실리 이바노비치 페트로프
"Соколов, Сергей Леонидович",세르게이 소콜로프 (원수)
"Нойштедтер, Роман Петрович",로만 노이슈테터
"Бекетов, Александр Владимирович",알렉산드르 베케토프
"Язов, Дмитрий Тимофеевич",드미트리 야조프
"Куликов, Виктор Георгиевич",빅토르 쿨리코프
"Титов, Герман Степанович",게르만 티토프 (우주비행사)
"Чумичева, Ксения",크세니아 추미체바
"Зобнин, Роман Сергеевич",로만 조브닌
"Савицкая, Светлана Евгеньевна",스베틀라나 사비츠카야
"Огарков, Николай Васильевич",니콜라이 오가르코프
"Саитов, Олег Элекпаевич",올레크 사이토프
"Нетто, Игорь Александрович",이고리 네토
"Ходорковский, Михаил Борисович",미하일 호도르콥스키
"Леонов, Алексей Архипович",알렉세이 레오노프
"Навальный, Алексей Анатольевич",알렉세이 나발니
"Лужков, Юрий Михайлович",유리 루시코프
"Коллонтай, Александра Михайловна",알렉산드라 콜론타이
"Пашинин, Олег Алексеевич",올레크 파시닌
"Янбаев, Ренат Рудольфович",레나트 얀바예프
"Латынина, Лариса Семёновна",라리사 라티니나
"Медведев, Дмитрий Анатольевич",드미트리 메드베데프
Zedd,제드 (음악가)
"Дзагоев, Алан Елизбарович",알란 자고예프
"Депардьё, Жерар",제라르 드파르디외
"Чикатило, Андрей Романович",안드레이 치카틸로
"Янаев, Геннадий Иванович",겐나디 야나예프
"Зубков, Виктор Алексеевич",빅토르 줍코프
"Оздоев, Магомед Мустафаевич",마고메트 오즈도예프
"Белоглазов, Анатолий Алексеевич",아나톨리 벨로글라조프
"Янсонс, Марис Арвидович",마리스 얀손스
"Шнитке, Альфред Гарриевич",알프레트 시닛케
"Ашкенази, Владимир Давидович",블라디미르 아시케나지
"Арнольд, Владимир Игоревич",블라디미르 아르놀트
"Ботвинник, Михаил Моисеевич",미하일 보트빈니크
"Шевчук, Юрий Юлианович",유리 솁추크
"Башмет, Юрий Абрамович",유리 바시메트
"Власов, Юрий Петрович",유리 블라소프
"Ростропович, Мстислав Леопольдович",므스티슬라프 로스트로포비치
"Комбаров, Кирилл Владимирович",키릴 콤바로프
"Зюганов, Геннадий Андреевич",겐나디 주가노프
"Матвиенко, Валентина Ивановна",발렌티나 마트비옌코
"Воронин, Владимир Николаевич",블라디미르 보로닌
"Фрадков, Михаил Ефимович",미하일 프랏코프
"Дуров, Павел Валерьевич",파벨 두로프
"Каспаров, Гарри Кимович",가리 카스파로프
Алексий II,모스크바 총대주교 알렉세이 2세
"Горбачёв, Михаил Сергеевич",미하일 고르바초프
"Петров, Станислав Евграфович",스타니슬라프 페트로프
"Сокуров, Александр Николаевич",알렉산드르 소쿠로프
"Бондарчук, Сергей Фёдорович",세르게이 본다르추크
"Алфёров, Жорес Иванович",조레스 알표로프
"Давыденко, Николай Владимирович",니콜라이 다비덴코
"Попов, Александр Степанович",알렉산드르 포포프 (물리학자)
"Пантаева, Ирина Владленовна",이리나 판타예바
"Поветкин, Александр Владимирович",알렉산드르 포벳킨
"Карелин, Александр Александрович",알렉산드르 카렐린
"Жирков, Юрий Валентинович",유리 지르코프
"Черномырдин, Виктор Степанович",빅토르 체르노미르딘
"Шойгу, Сергей Кужугетович",세르게이 쇼이구
"Привалова, Ирина Анатольевна",이리나 프리발로바
"Михалков, Никита Сергеевич",니키타 미할코프
"Кончаловский, Андрей Сергеевич",안드레이 콘찰롭스키
"Лавров, Сергей Викторович",세르게이 라브로프
"Шевчук, Евгений Васильевич",예브게니 솁추크
"Грызлов, Борис Вячеславович",보리스 그리즐로프
"Анюков, Александр Геннадьевич",알렉산드르 아뉴코프
"Абрикосов, Алексей Алексеевич",알렉세이 알렉세예비치 아브리코소프
"Билялетдинов, Динияр Ринатович",디니야르 빌랼레트디노프
"Кузнецова, Светлана Александровна",스베틀라나 쿠즈네초바
"Басков, Николай Викторович",니콜라이 바스코프
"Галкина, Екатерина Владимировна",예카테리나 갈키나
"Петров, Алексей Александрович",알렉세이 페트로프 (역도 선수)
"Малышева, Екатерина Александровна",예카테리나 말리셰바 (스피드 스케이팅)
"Умаров, Доку Хамадович",도쿠 우마로프
"Денисов, Игорь Владимирович",이고리 데니소프
"Зырянов, Константин Георгиевич",콘스탄틴 지랴노프
"Дибиров, Тимур Магомедович",티무르 디비로프
"Ковальчук, Илья Валерьевич",일리야 코발추크
"Плетнёв, Михаил Васильевич",미하일 플레트뇨프
"Транденков, Игорь Леонидович",이고르 트란덴코프
Колосс (Marvel Comics),콜로서스 (마블 코믹스)
"Галстян, Арсен Жораевич",아르센 갈스탼
"Манин, Юрий Иванович",유리 마닌
"Касьянов, Михаил Михайлович",미하일 카시야노프
"Жириновский, Владимир Вольфович",블라디미르 지리놉스키
"Павлов, Валентин Сергеевич",발렌틴 파블로프
"Дапкунайте, Ингеборга",잉게보르가 답쿠나이테
"Белов, Сергей Александрович",세르게이 벨로프
"Гурченко, Людмила Марковна",류드밀라 구르첸코
"Кержаков, Александр Анатольевич",알렉산드르 케르자코프
"Борщевский, Николай Константинович",니콜라이 보르솁스키
"Дудинцев, Владимир Дмитриевич",블라디미르 두진체프
