"Мигунова, Елена Сергеевна",옐레나 미구노바
Григорий Яковлевич Перельман,그리고리 페렐만
Фёдор Михайлович Достоевский,표도르 도스토옙스키
"Трунёв, Максим Рудольфович",막심 트루뇨프
Андрей Петрович Звягинцев,안드레이 즈뱌긴체프
Валерий Фёдорович Быковский,발레리 비콥스키
Сергей Александрович Кирдяпкин,세르게이 키르댭킨
Иван Сергеевич Ухов,이반 우호프
Павел Романович Попович,파벨 포포비치
Сергей Владимирович Мандреко,세르게이 만드레코
Святослав Теофилович Рихтер,스뱌토슬라프 리흐테르
Расул Гамзатович Гамзатов,라술 감자토프
"Детков, Станислав Валерьевич",스타니슬라프 뎃코프
Светлана Сергеевна Болдыкова,스베틀라나 볼디코바
Борис Николаевич Ельцин,보리스 옐친
Валерий Абисалович Гергиев,발레리 게르기예프
Родион Константинович Щедрин,로디온 슈체드린
Наталья Николаевна Антюх,나탈리야 안티유흐
Валерий Яковлевич Леонтьев,발레리 레온티에프
Сергей Николаевич Лебедев,세르게이 레베데프
Виктор Ан,빅토르 안
T-killah,티 킬라
Евгений Касперский,유진 카스퍼스키
Глюк’oZa,글루 코자
Валерий Васильевич Герасимов,발레리 게라시모프
Анна Юрьевна Нетребко,안나 네트렙코
"Чичерова, Анна Владимировна",안나 치체로바
Стивен Сигал,스티븐 시걸
Эльвира Сахипзадовна Набиуллина,옐비라 나비울리나
Михаил Ботвинов,미하일 보트비노프
Даниэль Фридман,다니엘 프리드만
Александр Александрович Кокорин,알렉산드르 코코린
Сергей Алексеевич Белоглазов,세르게이 벨로글라조프
Александр Исаевич Солженицын,알렉산드르 솔제니친
Николай Геннадиевич Басов,니콜라이 바소프
Алла Пугачёва,알라 푸가초바
"Кисин, Евгений Игоревич",예브게니 키신
Владимир Крамник,블라디미르 크람니크
Борис Акунин,보리스 아쿠닌
"Кугрышев, Дмитрий Дмитриевич",드미트리 쿠그리셰프
Нюша,뉴샤
"Козлов, Вячеслав Анатольевич",뱌체슬라프 코즐로프
МакSим,막심
Галина Ивановна Зыбина,갈리나 지비나
Дарья Витальевна Пищальникова,다리야 피샬니코바
Елена Гаджиевна Исинбаева,옐레나 이신바예바
Андрей Романович Чикатило,안드레이 치카틸로
Татьяна Викторовна Лысенко,타티야나 리센코
Валентина Владимировна Терешкова,발렌티나 테레시코바
Анна Степановна Политковская,안나 폴릿콥스카야
Олег Константинович Попов,올레크 포포프
"Тютин, Фёдор Анатольевич",표도르 튜틴
Согдиана,소그디아나 페도린카야
"Павлюченко, Роман Анатольевич",로만 파블류첸코
"Кондратьев, Максим Валерьевич",막심 콘드라체프
Илья Николаевич Брызгалов,일리야 브리즈갈로프
Дмитрий Пучков,드미트리 푸치코프
"Гунина, Валентина Евгеньевна",발렌티나 구니나
"Самсонов, Сергей Викторович",세르게이 삼소노프
Светлана Германовна Пархоменко,스베틀라나 파르호멘코
Елена Вячеславовна Дементьева,엘레나 데멘티에바
Евгения Александровна Манюкова,예브게니야 마뉴코바
Патриарх Кирилл,모스크바 총대주교 키릴
Виктор Иванович Ишаев,빅토르 이샤예프
Иван Сергеевич Бабиков,이반 바비코프
"Скворцов, Николай Валерьевич",니콜라이 스크보르초프
Мария Юрьевна Шарапова,마리야 샤라포바
"Бесов, Олег Владимирович",올레크 블라디미로비치 베소프
Егор Тимурович Гайдар,예고르 가이다르
Дима Билан,디마 빌란
Ксения Александровна Раппопорт,크세니야 라포포트
Ольга Николаевна Каниськина,올가 카니시키나
Татьяна Сергеевна Чернова,타티야나 체르노바
"Гуськов, Александр Александрович",알렉산드르 구시코프
Алексей Алексеевич Муравлёв,알렉세이 무라블료프
Владимир Антонович Дыбо,블라디미르 디보
Виталий Лазаревич Гинзбург,비탈리 긴즈부르크
Анна Сергеевна Курникова,안나 쿠르니코바
Владимир Владимирович Путин,블라디미르 푸틴
Юрий Сергеевич Рытхэу,유리 릿헤우
Татьяна Валерьевна Архипова,타티야나 아르히포바
Эдуард Успенский,예두아르트 우스펜스키
Николай Анатольевич Ковалёв,니콜라이 코발례프
Михаил Тимофеевич Калашников,미하일 칼라시니코프
"Степанов, Александр Александрович",알렉산더 스테파노프
Юрий Юлианович Шевчук,유리 솁추크
Андрей Сергеевич Аршавин,안드레이 아르샤빈
Алексей Пажитнов,알렉세이 파지트노프
"Петрусёва, Наталья Анатольевна",나탈리야 페트루쇼바
Елизавета Михайловна Боярская,옐리자베타 보야르스카야
Николай Сергеевич Апаликов,니콜라이 아팔리코프
Сергей Леонидович Соколов,세르게이 소콜로프
Василий Иванович Петров,바실리 이바노비치 페트로프
Дмитрий Тимофеевич Язов,드미트리 야조프
Дмитрий Анатольевич Медведев,드미트리 메드베데프
Анна Семёновна Андреева,안나 안드레예바
"Самургашев, Вартерес Вартересович",바르테레스 사무르가셰프
Мария Юрьевна Кириленко,마리아 키릴렌코
Надежда Викторовна Петрова,나디아 페트로바
Сергей Фёдорович Бондарчук,세르게이 본다르추크
Андрей Викторович Губин,안드레이 구빈
Юрий Сергеевич Осипов,유리 오시포프
Алексей Ефимович Учитель,알렉세이 우치텔
Виктор Георгиевич Куликов,빅토르 쿨리코프
Николай Васильевич Огарков,니콜라이 오가르코프
Александр Вальтерович Литвиненко,알렉산드르 리트비넨코
Борис Васильевич Спасский,보리스 스파스키
Ирина Робертовна Бочкарёва,이리나 투로바
Тимати,티마티
Борис Григорьевич Колкер,보리스 콜케르
Магомет Измайлович Исаев,마고메트 이사예프
Роман Мухадинович Узденов,로만 우즈데노프
Марат Мубинович Сафин,마라트 사핀
Анатолий Евгеньевич Карпов,아나톨리 카르포프
Николай Георгиевич Озолин,니콜라이 오졸린
"Комбаров, Кирилл Владимирович",키릴 콤바로프
Михаил Моисеевич Ботвинник,미하일 보트비닉
Станислав Евграфович Петров,스타니슬라프 페트로프
Жерар Депардьё,제라르 드파르디외
Никита Михалков,니키타 미할코프
Александр Михайлович Прохоров,알렉산드르 프로호로프
Геннадий Иванович Янаев,겐나디 야나예프
Наталья Сергеевна Коростелёва,나탈리야 코로스텔료바
Олег Элекпаевич Саитов,올레크 사이토프
Юрий Петрович Власов,유리 블라소프
Иван Иванович Охлобыстин,이반 옥시글로비스틴
"Нетто, Игорь Александрович",이고리 네토
"Рыбаков, Ярослав Владимирович",야로슬라프 리바코프
"Фомичёв, Александр Юрьевич",알렉산드르 포미초프
Валерий Викторович Борчин,발레리 보르친
Денис Геннадьевич Нижегородов,데니스 니제고로도프
Андрей Александрович Сильнов,안드레이 실노프
"Хамдамов, Рустам Усманович",루스탐 함다모프
Владимир Викторович Морозов,블라디미르 모로조프
Роман Аркадьевич Абрамович,로만 아브라모비치
"Смыслов, Василий Васильевич",바실리 스미슬로프
Анфиса Чехова,안 피사 체 코바
Константин Сергеевич Новосёлов,콘스탄틴 노보셀로프
"Гойщик, Татьяна Геннадьевна",타티아나 고이시치크
Александр Васильевич Масляков,알렉산드르 마슬랴코프
Александр Сокуров,알렉산드르 소쿠로프
Лариса Семёновна Латынина,라리사 라티니나
Александр Владимирович Бекетов,알렉산드르 베케토프
Роман Петрович Нойштедтер,로만 노이슈테터
Сергей Викторович Лавров,세르게이 라브로프
Лев Гумилёв,레프 구밀료프
"Радулов, Игорь Валерьевич",이고리 라둘로프
Кирилл Леонидович Князев,키릴 크냐제프
Магомед Мустафаевич Оздоев,마고메트 오즈도예프
Галина Филипповна Турова,갈리나 투로바
Сергей Константинович Попов,세르게이 포포프
Олег Алексеевич Пашинин,올레크 파시닌
Ренат Рудольфович Янбаев,레나트 얀바예프
"Ушакова, Арина Андреевна",안나 우샤코바
Доку Хаматович Умаров,도쿠 우마로프
Михаил Борисович Ходорковский,미하일 호도르콥스키
Ирина Викторовна Гайдамачук,이리나 가이다마추크
"Павлова, Наталья Евгеньевна",나탈리야 파블로바
Илья Львович Олейников,일리아 올레이니코프
Ильгар Яшарович Мамедов,일가르 마메도프
Александра Михайловна Коллонтай,알렉산드라 콜론타이
Андрей Сергеевич Кончаловский,안드레이 콘찰로프스키
Алексей Архипович Леонов,알렉세이 레오노프
