Moscow,모스크바
Novosibirsk,노보시비르스크
Yekaterinburg,예카테린부르크
Saint Petersburg,상트페테르부르크
Kazan,카잔
Russian Federation,러시아
Omsk,옴스크
Chelyabinsk,첼랴빈스크
Samara,사마라
Rostov-na-Donu,로스토프나도누
Yuzhno-Sakhalinsk,유즈노사할린스크
Blagoveshchensk,블라고베셴스크
Vladivostok,블라디보스토크
Khabarovsk,하바롭스크
Irkutsk,이르쿠츠크
Petropavlovsk-Kamchatsky,페트로파블로프스크 캄차스키
Kyzyl,키질
Krasnoyarsk,크라스노야르스크
Khanty-Mansiysk,한티만시스크
Kemerovo,케메로보
Tyumen,튜멘
Tomsk,톰스크
Barnaul,바르나울
Groznyy,그로즈니
Krasnodar,크라스노다르
Cheboksary,체복사리
Kaliningrad,칼리닌그라드
Izhevsk,이젭스크
Smolensk,스몰렌스크
Petrozavodsk,페트로자보츠크
Perm,페름
Penza,펜자
Orenburg,오렌부르크
Saratov,사라토프
Volgograd,볼고그라드
Vladikavkaz,블라디캅카스
Yaroslavl,야로슬라블
Voronezh,보로네시
Syktyvkar,식팁카르
Ulyanovsk,울리야놉스크
Ufa,우파
Tver,트베리
Kirov,키로프
Makhachkala,마하치칼라
Lipetsk,리페츠크
Murmansk,무르만스크
Astrakhan,아스트라한
Nakhodka,나홋카
Birobidzhan,비로비잔
Angarsk,안가르스크
Amur Oblast,아무르주
Yakutsk,야쿠츠크
Ulan-Ude,울란우데
Primorskiy Kray,프리모르스키 지방
Khabarovskiy Kray,하바롭스크 지방
Chita,치타
Sakhalin Oblast,사할린주
Sakhalin,사할린 섬
Magadan Oblast,마가단주
Magadan,마가단
Kamchatka Krai,캄차카
Chukotskiy Avtonomnyy Okrug,축치 자치구
Anadyr,아나디리
Salekhard,살레하르트
Omsk Oblast,옴스크주
Novosibirsk Oblast,노보시비르스크주
Novokuznetsk,노보쿠즈네츠크
Nizhnevartovsk,니즈네바르톱스크
Kurgan,쿠르간
Gorno-Altaysk,고르노알타이스크
Respublika Altay,알타이 공화국
Chelyabinsk Oblast,첼랴빈스크주
Yamalo-Nenetskiy Avtonomnyy Okrug,야말로네네츠 자치구
Ural Mountains,우랄 산맥
Tyumenskaya Oblast’,튜멘주
Respublika Tyva,투바 공화국
Sverdlovsk Oblast,스베르들롭스크주
Altayskiy Kray,알타이 지방
Achinsk,아친스크
Abakan,아바칸
Ivanovo,이바노보
Kursk,쿠르스크
Berezniki,베레즈니키
Belgorod,벨고로드
Kostroma,코스트로마
Elista,옐리스타
Dzerzhinsk,제르진스크
Cherkessk,체르케스크
Cherepovets,체레포베츠
Bryansk,브랸스크
Respublika Kareliya,카렐리야 공화국
Kamyshin,카미신
Kaluga,칼루가
Kalmykiya,칼미크 공화국
Novocherkassk,노보체르카스크
Velikiy Novgorod,벨리키노브고로드
Novaya Zemlya,노바야제믈랴 제도
Nizhnekamsk,니즈네캄스크
Sochi,소치
Perm Krai,페름 지방
Orël,오룔
Saratovskaya Oblast,사라토프주
Saransk,사란스크
Rybinsk,리빈스크
Ryazan’,랴잔
Rostov Oblast,로스토프주
Shakhty,샤흐티
Pskov,프스코프
Yoshkar-Ola,요시카르올라
Yelets,옐레츠
Vologda Oblast,볼로그다주
Vologda,볼로그다
Volgograd Oblast,볼고그라드주
Vladimir,블라디미르
Vyborg,비보르크
Tolyatti,톨리야티
Tambov,탐보프
Taganrog,타간로크
Ukhta,우흐타
Tver Oblast,트베리주
Tula,툴라
Maykop,마이코프
Komi,코미 공화국
Kislovodsk,키슬로보츠크
Kirov Oblast,키로프주
Magnitogorsk,마그니토고르스크
Nevinnomyssk,네비노미스크
Nenetskiy Avtonomnyy Okrug,네네츠 자치구
Naberezhnyye Chelny,나베레즈니예첼니
Murmansk Oblast,무르만스크주
Bashkortostan,바시키르 공화국
Armavir,아르마비르
Arkhangelsk Oblast,아르한겔스크주
Yevrey (Jewish) Autonomous Oblast,유대인 자치주
Ussuriysk,우수리스크
Bratsk,브라츠크
Shadrinsk,샤드린스크
Serov,세로프
Rubtsovsk,룹촙스크
Norilsk,노릴스크
Miass,미아스
Mezhdurechensk,메즈두레첸스크
Kurgan Oblast,쿠르간주
Respublika Khakasiya,하카스 공화국
Kansk,칸스크
Ishim,이심
Vorkuta,보르쿠타
Verkhnyaya Pyshma,베르흐냐야피시마
Surgut,수르구트
Biysk,비스크
Berdsk,베르츠크
Belovo,벨로보
Seversk,세베르스크
Vladimirskaya Oblast’,블라디미르주
Respublika Mariy-El,마리옐 공화국
Nizhny Novgorod Oblast,니즈니노브고로드주
Glazov,글라조프
Gelendzhik,겔렌지크
Gatchina,가치나
Gubkin,굽킨
Kursk Oblast,쿠르스크주
Belgorod Oblast,벨고로드주
Krasnodarskiy Kray,크라스노다르 지방
Kovrov,코브로프
Kostroma Oblast,코스트로마주
Buzuluk,부줄루크
Bryansk Oblast,브랸스크주
Dimitrovgrad,디미트로브그라드
Derbent,데르벤트
Dagestan,다게스탄 공화국
Kaluga Oblast,칼루가주
Korolev,코롤료프
Novocheboksarsk,노보체복사르스크
Novgorod Oblast,노브고로드주
Noginsk,노긴스크
Odintsovo,오딘초보
Obninsk,오브닌스크
Novorossiysk,노보로시스크
Novomoskovsk,노보모스콥스크
Smolensk Oblast,스몰렌스크주
Peterhof,페테르고프
Penza Oblast,펜자주
Orsk,오르스크
Oryol Oblast,오룔주
Orekhovo-Zuyevo,오레호보주예보
Samara Oblast,사마라주
Ryazan Oblast,랴잔주
Severodvinsk,세베로드빈스크
Sarov,사로프
Pyatigorsk,퍄티고르스크
Pskov Oblast,프스코프주
Sterlitamak,스테를리타마크
Stavropol Kray,스타브로폴 지방
Staryy Oskol,스타리오스콜
Yeysk,예이스크
Volgodonsk,볼고돈스크
Yaroslavl Oblast,야로슬라블주
Votkinsk,봇킨스크
Voronezh Oblast,보로네시주
Zlatoust,즐라토우스트
Zelenodolsk,젤레노돌스크
Tikhvin,티흐빈
Tambov Oblast,탐보프주
Ulyanovsk Oblast,울리야놉스크 주
Respublika Mordoviya,모르도바 공화국
Mineralnye Vody,미네랄니예보디
Michurinsk,미추린스크
Kolpino,콜피노
Kolomna,콜롬나
Kirovo-Chepetsk,키로보체페츠크
Kineshma,키네슈마
Lyubertsy,류베르치
Leningrad Oblast,레닌그라드주
Khimki,힘키
Neftekamsk,넵테캄스크
Nazran’,나즈란
Mytishchi,미티시치
Murom,무롬
Moscow Oblast,모스크바주
Sheremetyevo International Airport,셰레메티예보 국제공항
Balashikha,발라시하
Balakovo,발라코보
Azov,아조프
Astrakhan Oblast,아스트라한주
Arzamas,아르자마스
Magas,마가스
Vilyuchinsk,빌류친스크
Neryungri,네륜그리
Mirny,미르니
Lesozavodsk,레소자보츠크
Komsomolsk-on-Amur,콤소몰스크나아무레
Belogorsk,벨로고르스크
Amursk,아무르스크
Udachny,우다치니
Tynda,틴다
Fokino,포키노
Partizansk,파르티잔스크
Nikolayevsk-on-Amure,니콜라옙스크나아무레
Korsakov,코르사코프
Novoaltaysk,노보알타이스크
Nizhneudinsk,니즈네우딘스크
Minusinsk,미누신스크
Megion,메기온
Kuybyshev,쿠이비셰프
Dudinka,두딘카
Chernogorsk,체르노고르스크
Zelenogorsk,젤레노고르스크
Raduzhny,라두즈니
Barabinsk,바라빈스크
Asino,아시노
Asbest,아스베스트
Anzhero-Sudzhensk,안제로수젠스크
Aleysk,알레이스크
Borovichi,보로비치
Borisoglebsk,보리소글렙스크
Bor,보르
Apatity,아파티티
Anapa,아나파
Aleksin,알렉신
Aleksandrov,알렉산드로프
Agryz,아그리스
Respublika Adygeya,아디게야 공화국
Malgobek,말고벡
Gorodets,고로데츠
Ivanovo Oblast,이바노보주
Ishimbay,이심바이
Gusev,구세프
Gudermes,구데르메스
Kungur,쿤구르
Kstovo,크스토보
Krymsk,크림스크
Blagoveshchensk,블라고베셴스크
Birsk,비르스크
Beslan,베슬란
Beloretsk,벨로레츠크
Belaya Kholunitsa,벨라야홀루니차
Krasnogorsk,크라스노고르스크
Krasnoarmeysk,크라스노아르메이스크
Krasnoarmeysk,크라스노아르메이스크
Kotlas,코틀라스
Elektrostal’,옐렉트로스탈
Dubna,두브나
Chekhov,체호프
Chechenskaya Respublika,체첸 공화국
Chapayevsk,차파옙스크
Buguruslan,부구루슬란
Donetsk,도네츠크
Domodedovo,도모데도보
Dmitrov,드미트로프
Dedovsk,데돕스크
Chuvashskaya Respublika,추바시 공화국
Kaspiysk,카스피스크
Karachayevo-Cherkesiya,카라차예보체르케스카야 공화국
Karabulak,카라불라크
Kandalaksha,칸달락샤
Kanash,카나시
Kaliningrad Oblast,칼리닌그라드주
Kalach-na-Donu,칼라치나도누
Kabardino-Balkarskaya Respublika,카바르디노발카르 공화국
Novodvinsk,노보드빈스크
North Ossetia-Alania,북오세티야 공화국
Sovetsk,소베츠크
Pechory,페초리
Pechora,페초라
Rzhev,르제프
Rostov,로스토프
Severomorsk,세베로모르스크
Sestroretsk,세스트로레츠크
Serpukhov,세르푸호프
Ramenskoye,라멘스코예
Zainsk,자인스크
Velikiye Luki,벨리키예루키
Uzlovaya,우즐로바야
Volkhov,볼호프
Vyksa,빅사
Vsevolozhsk,브세볼로시스크
Voskresensk,보스크레센스크
Tula Oblast,툴라주
Tuapse,투압세
Monchegorsk,몬체고르스크
Klintsy,클린치
Klin,클린
Kirovsk,키롭스크
Kirishi,키리시
Kingisepp,킨기세프
Kimry,킴리
Lukhovitsy,루호비치
Luga,루가
Lomonosov,로모노소프
Lipetsk Oblast,리페츠크주
Leninogorsk,레니노고르스크
Sankt-Peterburg,상트페테르부르크
Labinsk,라빈스크
Kushva,쿠시바
Nerekhta,네레흐타
Nar'yan-Mar,나리얀마르
Naro-Fominsk,나로포민스크
Mozdok,모즈도크
Shuya,슈야
Shumerlya,슈메를랴
Baksan,박산
Argun,아르군
Apsheronsk,압셰론스크
Baltiysk,발티스크
Krasnoyarsk Yemelyanovo Airport,예밀야노보 공항
Krasnoznamensk,크라스노즈나멘스크
Khabarovsk Novy Airport,하바롭스크 공항
Ugolny Airport,우고니 공항
Yelizovo Airport,페트로파블롭스크캄차즈키 공항
Pulkovo Airport,풀코보 국제공항
Nalchik Airport,날치크
Zavitinsk,자비틴스크
Vanino,바니노
Uglegorsk,우글레고르스크
Nerchinsk,네르친스크
Lensk,렌스크
Kirensk,키렌스크
Bikin,비킨
Babushkin,바부시킨
Aldan,알단
Zakamensk,자카멘스크
Vilyuysk,빌류이스크
Tura,투라
Svirsk,스비르스크
Skovorodino,스코보로디노
Pokrovsk,포크롭스크
Srednekolymsk,스레드네콜림스크
Pevek,페베크
Okhotsk,오호츠크
Dolinsk,돌린스크
Bilibino,빌리비노
Nazyvayevsk,나지바예프스크
Mariinsk,마린스크
Kurtamysh,쿠르타미시
Kirovgrad,키로브그라드
Kalachinsk,칼라친스크
Inta,인타
Divnogorsk,디브노고르스크
Dalmatovo,달마토보
Borodino,보로디노
Turan,투란
Tayshet,타이셰트
Bogotol,보고톨
Belokurikha,벨로쿠리하
Aramil,아라밀
Ak-Dovurak,악도부락
Akademgorodok,아카뎀고로도크
Pavlovo,파블로보
Znamensk,즈나멘스크
Alagir,알라기르
Aleksandrovsk,알렉산드롭스크
Abinsk,아빈스크
Abdulino,압둘리노
Manturovo,만투로보
Mamadysh,마마디시
Maloyaroslavets,말로야로슬라베츠
Gorokhovets,고로호베츠
Gorbatov,고르바토프
Golitsyno,골리치노
Ivangorod,이반고로드
Gvardeysk,그바르데이스크
Kudymkar,쿠딤카르
Kronstadt,크론시타트
Bolkhov,볼호프
Boksitogorsk,복시토고르스크
Bogoroditsk,보고로디츠크
Bezhetsk,베제츠크
Belozërsk,벨로제르스크
Belomorsk,벨로모르스크
Belaya Kalitva,벨라야칼리트바
Kostomuksha,코스토묵샤
Galich,갈리치
Gagarin,가가린
Gadzhiyevo,가지예보
Furmanov,푸르마노프
Elektrougli,옐렉트로우글리
Elektrogorsk,옐렉트로고르스크
Dorogobuzh,도로고부시
Chernyakhovsk,체르냐홉스크
Buynaksk,부이낙스크
Buturlinovka,부투를리놉카
Buinsk,부인스크
Bronnitsy,브로니치
Desnogorsk,데스노고르스크
Davlekanovo,다블레카노보
Danilov,다닐로프
Chudovo,추도보
Kasimov,카시모프
Kashira,카시라
Kashin,카신
Karabanovo,카라바노보
Kamennogorsk,카멘노고르스크
Kambarka,캄바르카
Primorsk,프리모르스크
Porkhov,포르호프
Pokrov,포크로프
Nurlat,누를라트
Novozybkov,노보집코프
Staraya Russa,스타라야루사
Sovetsk,소베츠크
Sortavala,소르타발라
Soligalich,솔리갈리치
Sokol,소콜
Slavyansk-na-Kubani,슬라뱐스크나쿠바니
Petushki,페투시키
Pavlovsk,파블롭스크
Pavlovsk,파블롭스크
Ostashkov,오스타시코프
Olonets,올로네츠
Safonovo,사포노보
Semiluki,세밀루키
Pushchino,푸시치노
Pudozh,푸도시
Svetlogorsk,스베틀로고르스크
Sukhinichi,수히니치
Strunino,스트루니노
Yefremov,예프레모프
Venëv,베네프
Urus-Martan,우루스마르탄
Volosovo,볼로소보
Volokolamsk,볼로콜람스크
Vysotsk,비소츠크
