王明娟,왕밍쥐안
唐奕·(游泳运动员),탕이 (수영 선수)
陈定,천딩
張昊,장하오 (피겨스케이팅 선수)
李彦宏,리옌훙
周作人,저우쭤런
周永康,저우융캉
周洋,저우양 (쇼트트랙 선수)
張鑫·(自由式滑雪運動員),장신 (스키 선수)
张小平·(拳击运动员),장샤오핑
董建華,둥젠화
曾蔭權,쩡인취안
马凯·(官员),마카이
邓朴方,덩푸팡
赵克志,자오커즈
趙宏博,자오훙보
赵树理,자오수리
莊則棟,좡쩌둥
庄泳,좡융
卓琳,줘린
江泽民,장쩌민
丁玲,딩링
錢琳,첸링
哈金,하진 (소설가)
俞正声,위정성
梁振英,렁춘잉
巴金,바진
莫言,모옌
张庆伟,장칭웨이
张帅·(网球运动员),장솨이
周小川,저우샤오촨
周迅,저우쉰
周文重,저우원중
邹市明,쩌우스밍
胡锦涛,후진타오
丁宁,딩닝
刘亦菲,류이페이
龐清,팡칭
杜丽,두리 (사격 선수)
佟文,퉁원
易思玲,이쓰링
习近平,시진핑
朱俊·(擊劍運動員),주쥔 (펜싱 선수)
朱国,주궈
朱建华,주젠화
朱小丹,주샤오단
朱启南,주치난
孙雯,쑨원 (축구인)
李磊·(1992年),리레이 (1992년생 축구 선수)
赵紫阳,자오쯔양
巩立姣,궁리자오
張樂平,장러핑
张娟娟,장쥐안쥐안
张继科,장지커
黄现璠,황샨판
赵季平,자오지핑
赵乐际,자오러지
郑智,정즈
仲满,중만
周海滨,저우하이빈
邓颖超,덩잉차오
李冰冰,리빙빙
梁洛施,이사벨라 롱
李晓霞,리샤오샤
王北星,왕베이싱
阳蕾,양레이
胡耀邦,후야오방
張元·(導演),장위안 (영화 감독)
张怡宁,장이닝
白岩松,바이옌쑹
毛泽东,마오쩌둥
张梓琳,장쯔린
朱光亚,주광야
赵本山,자오번산
張治中,장즈중
周继红,저우지훙
周璐璐,저우루루
周强,저우창
邢慧娜,싱후이나
刘春红,류춘훙
温家宝,원자바오
杨利伟,양리웨이
潘玉良,판위량
载沣,자이펑
劉德華,유덕화
余文樂,여문락
郭富城,곽부성
黎明,여명 (배우)
趙薇,자오웨이
巩俐,궁리
廖辉,랴오후이
陈凯歌,천카이거
郑洁,정제 (테니스 선수)
曹磊·(举重运动员),차오레이
朱茵,주인 (배우)
王曼麗,왕만리
胡海峰,후하이펑
严隽琪,옌쥔치
萨顶顶,사딩딩
罗雪娟,뤄쉐쥐안
庞佳颖,팡자잉
許鞍華,허안화
阿兰·卡瓦略,알랑 (1989년)
李娜,리나 (테니스 선수)
楊陽·(短道速滑),양양 (1977년)
金庸,김용 (1924년)
刘洋·(航天员),류양 (우주비행사)
邓小平,덩샤오핑
第十四世达赖喇嘛,제14대 달라이 라마
李鹏,리펑
朱镕基,주룽지
余男,위난
王军霞,왕쥔샤
郜林,가오린
曾咏韩,윙 (가수)
王丽萍·(竞走运动员),왕리핑 (경보 선수)
李建国·(1946年),리젠궈
刘翔,류샹
热比娅·卡德尔,레비야 카디르
徐静蕾,쉬징레이
毛远新,마오위안신
艾克森,이우케종
鄭佩佩,정페이페이
孙玉洁,쑨위제
吳靜鈺,우징위
利智,니나 리
任慧,런후이
穆爽爽,무솽솽
李娜·(击剑运动员),리나 (펜싱 선수)
陈露,천루
邹凯,쩌우카이
陳馮富珍,마거릿 챈
许其亮,쉬치량
谭雪,탄쉐
张春桥,장춘차오
张大庆,장다칭
張丹·(花樣滑冰運動員),장단 (피겨스케이팅 선수)
叶圣陶,예성타오
龙云,룽윈
孙福明,쑨푸밍
周恩来,저우언라이
李克强,리커창
王岐山,왕치산
高行健,가오싱젠
高禮澤,가오리쩌
賈秀全,자슈취안
谢富治,셰푸즈
吴敏霞,우민샤
李小冉,리샤오란
刘子歌,류쯔거
劉芳·(音樂家),류팡
伏明霞,푸밍샤
邓亚萍,덩야핑
陈冲·(演员),조앤 첸
申雪,선쉐
于静,위징 (스피드스케이팅 선수)
張柏芝,장백지
汤唯,탕웨이
刘少奇,류사오치
李沁谣,준준
楊揚,양양 (1976년)
江青,장칭
彭帅,펑솨이
艾未未,아이웨이웨이
宋庆龄,쑹칭링
郎朗,랑랑
叶诗文,예스원
王濛·(短道速滑运动员),왕멍 (쇼트트랙 선수)
李连杰,이연걸
王娇,왕자오 (레슬링 선수)
郭文珺,궈원쥔
郭晶晶,궈징징
侯玉琢,허우위줘
李士俊,리시쥔
林鄭月娥,캐리 람
章子怡,장쯔이
杨振宁,양전닝
薄熙来,보시라이
李宗仁,리쭝런
李嘉誠,리자청
王光美,왕광메이
贺子珍,허쯔전
李妮娜,리니나
乐靖宜,러징이
习仲勋,시중쉰
阿兰·达瓦卓玛,Alan (가수)
周星馳,주성치
孙杨,쑨양
李先念,리셴녠
陈光诚,천광청
洪金宝,홍금보
陳文媛,진문원
李源潮,리위안차오
颜惠庆,옌후이칭
李泽厚,리쩌허우
林憶蓮,린이롄
刘晓波,류샤오보
陈伯达,천보다
李康敏,허먼 리
张高丽,장가오리
张德江,장더장
魏京生,웨이징성
元彪,원표
释印顺,성정
梁朝偉,양조위
丁俊晖,딩쥔후이
杨斯,볼로 영
陈祖德,천주더
李可染,이가염
高岗,가오강
白恩培,바이언페이
王海,왕하이
吳京·(演員),우징
冯正虎,펑정후
吳鶯音,우잉인
陈星汉,제노바 첸
吴仪,우이
韩正,한정
张靓颖,장량잉
张艺谋,장이머우
杨洁篪,양제츠
陳敏之,천민즈
甘婷婷,간팅팅
