九龍塘,가우룽통
城門河,싱문강
香港回歸,홍콩 반환
國際金融中心·(香港),제2 국제금융센터
湄公河,메콩강
宏村,홍춘
西递村,시디춘
香港大學,홍콩 대학
香港中文大學,홍콩 중문 대학
明十三陵,명십삼릉
内蒙古自治区,내몽골 자치구
釣魚臺列嶼,센카쿠 열도
东部裕固语,동부 유구르어
同济大学,퉁지 대학
西城区,시청구
中国共产党第一次全国代表大会会址,중국공산당 제1차 전국대표대회 회지
龙华寺·(上海),롱화쓰
黑潮,쿠로시오 해류
长征系列运载火箭,창정 로켓
南京市,난징시
中华人民共和国,중화인민공화국
珠穆朗瑪峰,에베레스트산
和記黃埔,허치슨 왐포아
灣仔站·(香港),완자이역
青馬大橋,칭마 대교
北京市,베이징시
广州市,광저우시
成都市,청두시
黄龙风景名胜区,황룽 풍경구
武当山,우당산
颐和园,이화원
九寨沟风景名胜区,주자이거우 풍경구
清华大学,칭화 대학
北京大学,베이징 대학
国家历史文化名城,국가역사문화명성
香坊区,샹팡구
乌鲁木齐市,우루무치시
鄂温克语,에벤크어
.hk,.hk
成华区,청화구
福建省,푸젠성
长江,장강
杭州市,항저우시
蒙古族,몽골인
戈壁,고비 사막
人民日报,인민일보
武陵源,무릉원
江苏省,장쑤성
廉政公署·(香港),염정공서
港元,홍콩 달러
彝语南部方言,니쑤어
图们江,두만강
中国奥林匹克委员会,중국 올림픽 위원회
浙江省,저장성
郑州市,정저우시
西安市,시안시
天山山脉,톈산산맥
喜马拉雅山脉,히말라야산맥
西藏自治区,티베트 자치구
大运河,대운하
2008年夏季奥林匹克运动会关岛代表团,2008년 하계 올림픽 괌 선수단
海南省,하이난성
鸭绿江,압록강
昆山市,쿤산시
绍兴市,사오싱시
湖州市,후저우시
无锡市,우시시
藏区,티베트
闽中语,민중어
傈僳语,리수어
安多方言,암도 티베트어
晋语,진어
富裕县,푸위현
阳朔县,양숴현
莆仙語,푸셴어
甘肃省,간쑤성
康方言,캄 티베트어
沭阳县,수양현
女真語,여진어
苏州市,쑤저우시
温州市,원저우시
中国共产党,중국공산당
太平山·(香港),빅토리아 피크
喀喇昆仑山脉,카라코람산맥
國泰航空,캐세이퍼시픽 항공
北京首都国际机场,베이징 수도 국제공항
拉萨市,라싸시
阿尔泰山脉,알타이산맥
香港國際機場,홍콩 국제공항
达斡尔语,다우르어
保安语,바오안어
东乡语,둥샹어
布里亞特語,부랴트어
宁波市,닝보시
上海中心大厦,상하이 타워
中国大陆,중국 대륙
哈尔滨市,하얼빈시
徐汇区,쉬후이구
卫拉特语,오이라트어
江西省,장시성
黑龙江,아무르강
香港立法會,홍콩 입법회
全国人民代表大会,전국인민대표대회
四川省,쓰촨성
黑龙江省,헤이룽장성
2008年夏季奥林匹克运动会,2008년 하계 올림픽
自治区·(中华人民共和国),자치구 (중화인민공화국)
台湾省·(中华人民共和国),타이완성 (중화인민공화국)
镇江市,전장시
宁夏回族自治区,닝샤 후이족 자치구
中國大獎賽,중국 그랑프리
汉语,중국어
喬戈里峰,K2
土族语,몽구오르어
瓦罕语,와키어
景颇语,징포어
客家话,하카어
克木语,크무어
彝语北部方言,눠쑤어
贛語,간어
.mo,.mo
克什米尔,카슈미르
山东省,산둥성
西部裕固语,서부 유구르어
香港島,홍콩섬
钱塘江,첸탕강
图瓦语,투바어
印度河,인더스강
黄河,황하
全国人民代表大会常务委员会,전국인민대표대회 상무위원회
香港電影金像獎,홍콩 영화 금상장
中国人民政治协商会议,중국인민정치협상회의
盐城市,옌청시
泰州市,타이저우시 (장쑤성)
扬州市,양저우시
南通市,난퉁시
满语,만주어
淮安市,화이안시
色勒库尔语,사리콜리어
撒拉语,살라르어
云南省,윈난성
莫高窟,막고굴
徐州市,쉬저우시
连云港市,롄윈강시
宿迁市,쑤첸시
香港,홍콩
河北省,허베이성
裕固族,위구족
標準藏語,표준 티베트어
民主黨·(香港),민주당 (홍콩)
民主建港協進聯盟,민주건항협진연맹
香港工會聯合會,홍콩 공회련합회
公民黨·(香港),공민당 (홍콩)
自由黨·(香港),자유당 (홍콩)
常州市,창저우시 (장쑤성)
金华市,진화시
嘉兴市,자싱시
衢州市,취저우시
台州市,타이저우시 (저장성)
吴语,우어
景德镇市,징더전시
河南省,허난성
文化大革命,문화대혁명
成都平原,청두 평원
国际饭店,궈지판뎬
香港仔,헝공자이
新疆维吾尔自治区,신장 위구르 자치구
东海,동중국해
吉林省,지린성
白語,바이어 (언어)
唐山市,탕산시
秦皇岛市,친황다오시
邯郸市,한단시
邢台市,싱타이시
北京理工大学,베이징 이공대학
上海市,상하이시
佛山市,포산시
辽宁省,랴오닝성
富拉尔基区,푸라얼지구
柴达木盆地,차이다무 분지
阜新市,푸신시
凤阳县,펑양현 (추저우시)
佛光寺·(五台),포광사
浠水县,시수이현 (황강시)
朝鮮語,한국어
香港警務處,홍콩 경무처
中国建设银行,중국건설은행
中国农业银行,중국농업은행
察哈尔部,차하르부
上古汉语,상고 한어
拉祜語,라후어
澳門土生葡語,마카오어
侗语,동어
广州白云国际机场,광저우 바이윈 국제공항
丽水市,리수이시
石家庄市,스자좡시
舟山市,저우산시
广州话,광둥어
旁遮普語,펀자브어
布拉马普特拉河,브라마푸트라강
湖南省,후난성
保定市,바오딩시
官话,관화
蒙古语,몽골어
揭阳市,제양시
上海浦东国际机场,상하이 푸둥 국제공항
黄山,황산 (산)
额尔古纳河,아르군강
拉达克语,라다크어
青海省,칭하이성
薩爾溫江,땅륀강
閩東語,민둥어
承德市,청더시
张家口市,장자커우시
沧州市,창저우시 (허베이성)
廊坊市,랑팡시
哈萨克语,카자흐어
柯尔克孜语,키르기스어
中国工商银行,중국공상은행
闽南语,민난어
闽北语,민베이어
东亚,동아시아
维吾尔族,위구르족
山塘街,샨탕제
湖北省,후베이성
大跃进,대약진 운동
衡水市,헝수이시
沧浪区,창랑구
珠海市,주하이시
乌孜别克语,우즈베크어
中亚,중앙아시아
东北亚,동북아시아
贵州省,구이저우성
山西省,산시성 (산서성)
夏尔巴语,셰르파어
汕头市,산터우시
韶关市,사오관시
比亚迪汽车,비야디 자동차
沈阳市,선양시
艾努语,애이누어
2008年夏季奧林匹克運動會男子籃球賽,2008년 하계 올림픽 농구 남자
明孝陵,효릉 (명)
集宁区,지닝구
鸡西市,지시시
南海,남중국해
惠州市,후이저우시
肇庆市,자오칭시
黄海,황해
秦始皇兵马俑,병마용
湛江市,잔장시
陕西省,산시성 (섬서성)
江门市,장먼시
东南亚,동남아시아
