党委书记,당 서기
釣魚台列嶼,센카쿠 열도
大圍站,다웨이 역
國際金融中心,국제금융센터
郑州市,정저우시
东部裕固语,동부 유구르어
廉政公署,염정공서
大世界站,다스제 역
湄公河,메콩강
龙华寺,롱화쓰
南京市,난징시
CALIS规范数据库记录控制号,CALIS
中华人民共和国行政区划代码,중국 지역 관리 코드
蒙古族,몽골인
香港回歸,홍콩 반환
城門河,싱문강
九龍塘,주룽탕
广州市,광저우시
珠穆朗瑪峰,에베레스트산
成都市,청두시
中國共產黨第一次全國代表大會會址,중국 공산당 제1차 전국대표대회 회지
阳朔县,양숴현
富裕县,푸위현
佛教数字资源中心ID,BDRC ID
香港影庫電影編號,홍콩영화데이터베이스 영화 ID
中国水库名称代码,중국 저수지 명칭 코드
百度贴吧名,바이두톄바 게시판명
内蒙古自治区,내몽골 자치구
明十三陵,명십삼릉
中国铁路车站代码（TMIS）,중국 TMIS 역 코드
和記黃埔,허치슨 왐포아
灣仔站,완즈 역
青馬大橋,칭마 대교
港元,홍콩 달러
柳州博物馆,류저우 박물관
豆瓣电影编号,더우반 필름 영화 ID
同济大学,통지 대학
.hk,.hk
中华人民共和国,중화인민공화국
清华大学,칭화 대학
乌鲁木齐市,우루무치시
中國歷代人物傳記資料庫編號,CBDB ID
新浪微博用户账号,시나 웨이보 ID
香港影庫個人編號,HKMDb 인물 ID
知乎话题标识符,즈후 주제 ID
保安语,바오안어
2008年夏季奥林匹克运动会关岛代表团,2008년 하계 올림픽 괌 선수단
大运河,대운하
萌娘百科標識符,모에소녀위키 문서명
福建省,푸젠성
H萌娘標識符,H모에소녀 문서명
西城区,시청구
甘肃省,간쑤성
國泰航空,캐세이퍼시픽 항공
北京首都國際機場,베이징 서우두 국제공항
香港中文大學,홍콩 중문 대학
黄龙风景名胜区,황룽 풍경구
九寨沟风景名胜区,주자이거우 풍경구
颐和园,이화원
香港大學,홍콩 대학
北京大学,베이징 대학
中国图书分类码,중국 도서관 분류법
国内统一连续出版物号,CN
戈壁,고비 사막
海南省,하이난성
鄂温克语,예벤키어
成华区,청화구
中国历史地理信息系统编号,CHGIS ID
笔划数,획수
浙江省,저장성
克木语,크무어
客家话,하카어
布里亞特語,부랴트어
藏区,티베트
Bangumi角色标识符,Bangumi 캐릭터 ID
豆瓣读书作者标识符,豆瓣读书 저자 ID
豆瓣图书标识符,豆瓣 도서 ID
豆瓣舞台剧编号,豆瓣 드라마 ID
景颇语,징포어
豆瓣游戏标识符,豆瓣 게임 ID
知乎用戶名,즈후 사용자명
哔哩哔哩用户标识符,빌리빌리 사용자 ID
香港國際機場,홍콩 국제공항
宏村,홍춘
色勒库尔语,사리콜리어
撒拉语,살라르어
无锡市,우시시
北京市,베이징시
湖州市,후저우시
豆瓣音乐标识符,豆瓣 음악 ID
豆瓣音乐艺术家编号,豆瓣音乐 음악가 ID
豆瓣阅读作者编号,豆瓣阅读 저자 ID
豆瓣阅读作品编号,豆瓣阅读 전자책 ID
豆瓣小站名,豆瓣 음악가 사이트 이름
豆瓣用户名,豆瓣 계정명
江苏省,장쑤성
苏州市,쑤저우시
图瓦语,투바어
柴达木盆地,차이다무 분지
阜新市,푸신시
太平山,빅토리아 피크
满语,만주어
西藏自治区,티베트 자치구
温州市,원저우시
中国共产党,중국공산당
喜马拉雅山脉,히말라야산맥
宁波市,닝보시
西部裕固语,서부 유구르어
彝語北部方言,이어
藏语,티베트어
贛語,간어
武陵源,무릉원
达斡尔语,다우르어
东乡语,둥샹어
长征系列运载火箭,창정 로켓
西递村,시디춘
武当山,우당산
天山山脈,톈산산맥
富拉尔基区,푸라얼지구
喀喇昆仑山脉,카라코람산맥
杭州市,항저우시
云南省,윈난성
佛山市,포산시
瓦罕语,와히어
土族语,몽구오르어
中國大陸,중국 대륙
上海中心大厦,상하이 타워
克什米尔,카슈미르
長江,창 강
紹興市,사오싱시
昆山市,쿤산시
香港立法會,홍콩 입법회
喬戈里峰,K2
莫高窟,막고굴
山東省,산둥성
豆瓣影人编号,豆瓣电影 인물 ID
黑龙江省,헤이룽장성
白語,바이어
上古汉语,상고 한어
哈尔滨市,하얼빈시
拉达克语,라다크어
黄山,황산
全国人民代表大会,전국인민대표대회
全国人民代表大会常务委员会,전국인민대표대회 상무위원회
上海浦东国际机场,상하이 푸둥 국제공항
侗语,동어
拉祜語,라후어
澳門土生葡語,마카오어
鸭绿江,압록강
阿尔泰山脉,알타이산맥
黑龙江,아무르강
閩東語,민둥어
闽北语,민북어
拉萨市,라싸시
景德镇市,징더전시
彝语南部方言,니쑤어
.cn,.cn
河南省,허난성
印度河,인더스강
新疆维吾尔自治区,신장 위구르 자치구
非經營性網站備案編號,인터넷 콘텐츠 제공자 라이선스 등록 번호
TikTok用户名,TikTok 계정명
中国人民政治协商会议,중국인민정치협상회의
香港電影金像獎,홍콩 영화 금상장
西安市,시안시
黃河,황하
成都平原,청두 평원
香港仔,애버딘
中国－巴基斯坦关系,중화인민공화국-파키스탄 관계
中華人民共和國與梵蒂岡關係,바티칸 시국-중화인민공화국 관계
香港島,홍콩섬
国家历史文化名城,국가역사문화명성
香坊区,샹팡구
黑潮,쿠로시오 해류
人民日报,인민일보
微信号,위챗 ID
灰机Wiki站点标识符,훼이지위키 서버 식별자
裕固族,위구족
吳語,우어
黄海,황해
钱塘江,첸탕강
四川省,쓰촨성
广州白云国际机场,광저우 바이윈 국제공항
吉林省,지린성
国际饭店,궈지판뎬
夏尔巴語,셰르파어
傣仂語,타이루어
南海,남중국해
闽南语,민난어
中國大獎賽,중국 그랑프리
人民币,런민비
中文,중국어
莆仙語,보선어
康方言,캄 티베트어
公民黨,공민당
自由黨,자유당
香港工會聯合會,홍콩 공회련합회
.mo,.mo
茂名市,마오밍시
闽中语,민중어
柳州市,류저우시
北京理工大学,베이징 이공대학
晋语,진어
傈僳语,리수어
安多方言,암도 티베트어
湖北省,후베이성
布拉马普特拉河,브라마푸트라강
湖南省,후난성
浠水县,시수이현
凤阳县,펑양현
佛光寺 (五台山),포광사
徐汇区,쉬후이구
江西省,장시성
辽宁省,랴오닝성
圖們江,두만강
中国奥林匹克委员会,중국 올림픽 위원회
官话,중국 관화
東清鐵路,동청 철도
轰-6,H-6
天宁区,톈닝구
亞洲公路3號線,아시안 하이웨이 3호선
尚义县,샹이현
威县,웨이현
中国工商银行股份有限公司,중국공상은행
东海,동중국해
香港,홍콩
2008年夏季奥林匹克运动会,2008년 하계 올림픽
卫拉特语,오이라트어
中國－土耳其關係,중화인민공화국-터키 관계
中以关系,이스라엘-중화인민공화국 관계
中国－伊朗关系,이란-중화인민공화국 관계
青海省,칭하이성
東亞,동아시아
河北省,허베이성
比亚迪汽车,비야디 자동차
民主黨,민주당
朝鮮語,한국어
中亚,중앙아시아
女真語,여진어
沭阳县,수양현
四川盆地,쓰촨 분지
龙门石窟,룽먼 석굴
安徽省,안후이성
重庆轨道交通1号线,충칭 궤도교통 1호선
宁南县,닝난현
湟中区,황중현
大伊朗,대이란
香港警務處,홍콩 경찰
察哈爾部,차하르
揭阳市,제양시
集宁区,지닝구
文化大革命,문화대혁명
上海市,상하이시
额尔古纳河,아르군강
中国啤酒,중국의 맥주
大鹏新区,다펑 신구
龙华区,룽화 신구
坪山区,핑산 신구
中国农业银行,중국농업은행
中国建设银行,중국건설은행
艾努语,애이누어
2008年夏季奧林匹克運動會男子籃球賽,2008년 하계 올림픽 농구 남자
明孝陵,효릉
乌兹别克语,우즈베크어
贵州省,구이저우성
蒙古语,몽골어
怒江,살윈강
哈薩克語,카자흐어
台湾海峡通道,타이완 해협 해저터널 프로젝트
老边区,라오볜구
岳塘区,웨탕구
沈阳市,선양시
三沙市,싼사시
永州市,융저우시
宁夏回族自治区,닝샤 후이족 자치구
