Beijing,베이징
Tianjin,톈진 시
Shenzhen,선전 시
Wuhan,우한 시
Guangzhou,광저우
Shanghai,상하이
People’s Republic of China,중국
Chengdu,청두 시
Xi’an,시안 시
Nanjing,난징
Shenyang,선양
Harbin,하얼빈 시
Changchun,창춘 시
Shijiazhuang,스자좡 시
Hefei,허페이 시
Hangzhou,항저우
Zhengzhou,정저우 시
Fuzhou,푸저우 시
Dongguan,둥관 시
Chongqing,충칭 시
Changsha,창사 시
Kunming,쿤밍 시
Jinan,지난 시
Ürümqi,우루무치 시
Hohhot,후허하오터 시
Taiyuan,타이위안 시
Xining,시닝 시
Xiamen,샤먼 시
Haikou,하이커우 시
Guiyang,구이양 시
Nanning,난닝 시
Nanchang,난창 시
Zibo,쯔보 시
Yinchuan,인촨 시
Foshan,포산 시
Qingdao,칭다오 시
Lanzhou,란저우 시
Suzhou,쑤저우 시
Lhasa,라사
Eastern Asia,동아시아
Zhangjiakou,장자커우 시
Siping,쓰핑 시
Qiqihar,치치하얼 시
Liaoyang,랴오양 시
Jinzhou,진저우 시
Jilin,지린 시
Jiamusi,자무쓰 시
Heihe,헤이허 시
Fuxin,푸신 시
Fushun,푸순 시
Datong,다퉁 시
Daqing,다칭 시
Dandong,단둥 시
Chengde,청더 시
Benxi,번시 시
Baotou,바오터우 시
Anshan,안산 시
Zunyi,쭌이 시
Zigong,쯔궁 시
Zhuzhou,주저우 시
Shangqiu,상추 시
Tangshan,탕산 시
Taizhou,타이저우 시
Sichuan Sheng,쓰촨 성
Shiyan,스옌 시
Xinyu,신위 시
Xinyang,신양 시
Xingtai,싱타이 시
Xiaogan,샤오간 시
Xianyang,셴양 시
Zhuhai,주하이 시
Xiangtan,샹탄 시
Wuzhou,우저우 시
Wuxi,우시 시
Changde,창더 시
Wuhu,우후 시
Wenzhou,원저우 시
Weinan,웨이난 시
Weihai,웨이하이 시
Weifang,웨이팡 시
Huizhou,후이저우 시
Hubei Sheng,후베이 성
Huangshi,황스 시
Huaibei,화이베이 시
Heze,허쩌 시
Hengyang,헝양 시
Hanzhong,한중 시
Changzhi,창즈 시
Handan,한단 시
Guilin,구이린 시
Guigang,구이강 시
Yueyang,웨양 시
Ningbo,닝보 시
Neijiang,네이장 시
Nanyang,난양 시
Nantong,난퉁 시
Nanchong,난충 시
Mianyang,몐양 시
Meizhou,메이저우 시
Meishan,메이산 시
Maoming,마오밍 시
Luzhou,루저우 시
Luoyang,뤄양 시
Luohe,뤄허 시
Longyan,룽옌 시
Puning,푸닝 시
Zhaotong,자오퉁 시
Zhaoqing,자오칭 시
Zhangzhou,장저우 시
Anyang,안양 시
Zaozhuang,짜오좡 시
Kunshan,쿤산 시
Yunfu,윈푸 시
Yulin,위린 시
Yongzhou,융저우 시
Yichun,이춘 시
Yichang,이창 시
Yibin,이빈 시
Yantai,옌타이 시
Yangzhou,양저우 시
Yancheng,옌청 시
Shangrao,상라오 시
Ganzhou,간저우 시
Fuzhou,푸저우 시
Fuyang,푸양 시
Fujian Sheng,푸젠 성
Dongying,둥잉 시
Dazhou,다저우 시
Dalian,대련
Shaoxing,소흥
Shaoguan,사오관 시
Shantou,산터우 시
Shaanxi,산시 성
Sanya,싼야 시
Jieyang,지에양 시
