Dortmund,多特蒙德
Berlin,柏林
Köln,科隆
Rhein,莱茵河
Oder,奧得河
Bochum,波鸿
Deutschland,德国
Ich bin ein Berliner,我是柏林人
Borken,博尔肯
St. Cäcilien,聖則濟利亞教堂
Ostsee,波罗的海
Düren,迪伦
Uetersen,于特森
Wanfried,万弗里德
Bielefeld,比勒费尔德
Wuppertal,伍珀塔尔
Volkswagen,大众汽车
Leipzig,莱比锡
Nürnberg,纽伦堡
Bayreuth,拜罗伊特
Detmold,代特莫尔德
Duisburg,杜伊斯堡
Deutsche Sprache,德语
Bonn,波恩
Lüneburg,吕讷堡
Bocholt,博霍爾特·(德國)
Arnsberg,阿恩斯貝格
Berlin-Wannsee,万湖
Köln Hauptbahnhof,科隆火车总站
Eschwege,埃施韦格
Felsberg (Hessen),费尔斯贝格
Hamburg-Altstadt,汉堡旧城
Hamburg-St. Pauli,圣保利区
Briedern,布里登·(莱茵兰-普法尔茨州)
Hamburg-Neustadt,汉堡新城
Essen,埃森
Heilbronn,海尔布隆
Warburg,瓦尔堡
Hamburg-HafenCity,漢堡港城
Ludwigsburg,路德维希堡
Norderstedt,諾德施泰特
Langenzenn,朗根岑
Hamburg-Billwerder,比尔维尔德
Bamberg,班贝格
Brandenburg an der Havel,哈弗尔河畔勃兰登堡
Celle,策勒·(德国)
Weinsberg,魏恩斯贝格
Mannheim,曼海姆
Baden-Württemberg,巴登-符腾堡
Bayern,巴伐利亚
Aachen,亚琛
Stuttgart,斯图加特
Dinslaken,丁斯拉肯
Karlsruhe,卡尔斯鲁厄
Hamburg,汉堡
Plauen,普劳恩
Attendorn,阿滕多恩
Drolshagen,德罗尔斯哈根
Lennestadt,伦讷施塔特
Olpe,奧爾珀
Aschaffenburg,阿沙芬堡
Olfe (Werse),奧爾費河
Werse,韋爾瑟河
Lippstadt,利普施塔特
Unna,翁納
Aalen,阿倫·(巴登-符騰堡)
Technische Universität Hamburg,汉堡工业大学
Hamburg-Niendorf,宁多夫·(汉堡)
Bezirk Hamburg-Mitte,汉堡中区
Bezirk Altona,阿尔托纳区
Bezirk Hamburg-Nord,汉堡北区
Hamburger Stadtpark,漢堡市立公園
Bezirk Wandsbek,万茨贝克区
Bezirk Eimsbüttel,艾姆斯比特尔区
Bremerhaven,不来梅哈芬
Beckum,贝库姆
Drensteinfurt,德伦施泰因富特
Weimar,魏玛
Kerpen,凯尔彭
Neubrandenburg,新勃兰登堡
Finnentrop,芬嫩特罗普
Kirchhundem,基希洪德姆
Medebach,梅德巴
Olsberg,奥尔斯贝格
Berlin Hauptbahnhof,柏林火车总站
Hemer,黑默
Iserlohn,伊瑟隆
Ahlen,阿伦·(北莱茵-威斯特法伦州)
Bezirk Bergedorf,贝格多夫区
Bezirk Harburg,哈尔堡·(汉堡)
Sendenhorst,森登霍斯特
Ems,埃姆斯河
Elbe,易北河
Weser,威悉河
Oelde,厄尔德
Fulda,富尔达
Hamburger Hafen,汉堡港
Grevenbroich,格雷文布羅赫
Neunkirchen (Siegerland),诺因基兴·(锡根-维特根施泰因县)
Erndtebrück,恩特布吕克
Wilnsdorf,维尔恩斯多夫
Bestwig,贝斯特维希
Winterberg,温特贝格
Holzwickede,霍尔茨维克德
Reeperbahn,绳索街
Landshut,兰茨胡特
Eslohe (Sauerland),埃斯洛厄
Selm,塞尔姆
Fröndenberg/Ruhr,弗伦登贝格
Münster,明斯特
Mönchengladbach,门兴格拉德巴赫
Augsburg,奥格斯堡
Metropolregion Hamburg,漢堡大都市區
Neuwied,新維德
Herford,黑爾福德
Bad Berleburg,巴特贝勒堡
Freudenberg (Siegerland),弗罗伊登贝格·(北莱茵-威斯特法伦州)
Werne,韦尔讷
Bönen,伯嫩
Netphen,内特芬
Hilchenbach,希尔兴巴赫
Burbach (Siegerland),布尔巴赫·(北莱茵-威斯特法伦州)
Ruhr,鲁尔河
Peene,佩訥河
Mecklenburg-Vorpommern,梅克伦堡-前波莫瑞
Mosel,摩澤爾河
Main,美因河
Sassenberg,萨森贝格
Schleswig-Holstein,石勒苏益格-荷尔斯泰因
Telgte,泰尔格特
Braunschweig,不伦瑞克
Gelsenkirchen,盖尔森基兴
Warendorf,瓦伦多夫
Dormagen,多爾馬根
Hamburger Rathaus,汉堡市政厅
Herten,黑尔滕
Bergheim,贝格海姆·(北莱茵-威斯特法伦州)
Kempten (Allgäu),肯普滕
Bergneustadt,贝格诺伊施塔特
Hückeswagen,许克斯瓦根
Radevormwald,拉德福姆瓦尔德
Waldbröl,瓦尔德布勒尔
Wiehl,维尔·(北莱茵-威斯特法伦)
Garbsen,加布森
Chemnitz,开姆尼茨
