Dortmund,多特蒙德
St. Cäcilien,聖則濟利亞教堂
Berlin,柏林
GND-Kennung,GND ID
Bayerische Schutzgebiete-ID,巴伐利亚州保护区标识
Berliner Schutzgebiets-ID,柏林保护区ID
Köln,科隆
Volkswagen,大众汽车
GEOFON-ID,GEOFON地震資料庫ID
Mecklenburg-Vorpommern Schutzgebiete-ID,梅克伦堡-前波美拉尼亚保护区ID
Sachsen-Anhalt Schutzgebiete-ID,萨克森-安哈尔特州保护区ID
OFDb-Personen-ID,OFDb人物标识符
Borken,博尔肯
Ich bin ein Berliner,Ich bin ein Berliner
WiiG-Spiele-ID,WiiG識別碼
Eschwege,埃施韦格
LUBW Schutzgebiets-Nr,LUBW 保护区编号
Uetersen,于特森
Deutsch,德语
Wanfried,万夫里德
Briedern,布里德尔恩
Hamburg-Altstadt,汉堡旧城
Neustadt,汉堡新城
Rothenburgsort,罗滕博格特
GamersGlobal Spiel ID,GamersGlobal遊戲識別碼
Kicker.de-Spieler-ID (veraltetes Schema),Kicker.de球员ID（前格式）
Deutschland,德國
Finkenwerder,芬克威尔德
Ostsee,波罗的海
Basketball Bundesliga UUID,德國籃球甲級聯賽識別碼
USK-Altersfreigabe,USK评级
Felsberg,费尔斯贝尔格
Where-On-Earth-ID,WOEID
Munzinger-Personenkennung,蒙青格尔人物编号
Billstedt,比爾施泰特
Rhein,莱茵河
Amtlicher Regionalschlüssel,德国地区编号
Bundesautobahn 93,德国93号高速公路
Bundesautobahn 73,德国73号高速公路
Bundesautobahn 81,德国81号高速公路
St. Pauli,圣保利区
HafenCity,漢堡港城
Kreisschlüssel,德國縣編號
Düren,迪伦
DNB-Editionen-ID,DNB版本
Amtlicher Gemeindeschlüssel,德国市镇编号
FSK-Altersfreigabe,FSK電影評級
Bundesautobahn 94,德国94号高速公路
Bundesautobahn 95,德国95号高速公路
Bundesautobahn 96,德国96号高速公路
Oder,奧得河
Bonn,波恩
Leipzig,莱比锡
Bergedorf,贝格多夫区
Bramfeld,布拉姆菲尔德
Ludwigsburg,路德维希堡
Heilbronn,海尔布隆
Wandsbek,汉堡-万德斯贝克
Duisburg,杜伊斯堡
Altona,阿尔托纳区
Wannsee,万湖
Köln Hauptbahnhof,科隆火车总站
Hamburg-Mitte,汉堡中区
Hamburg-Nord,汉堡北区
OFDb-Film-ID,在線電影數據庫標識符
Stellingen,斯泰林根區
Niendorf,宁多夫
Rotherbaum,罗瑟鲍姆
Schnelsen,施内尔森
Ottensen,汉堡-奥滕森
Weinsberg,魏恩斯贝格
Essen,埃森
Stuttgart,史特加
Neuwerk,諾伊韋克
Altona-Altstadt,阿爾托納老城區
Peene,佩訥河
Warburg,瓦尔堡
Wuppertal,伍珀塔尔
Nürnberg,纽伦堡
Eimsbüttel,艾姆斯比特尔区
Wandsbek,万德斯贝克区
Harburg,哈尔堡
Bochum,波鸿
Aachen,亚琛
Drolshagen,德罗尔斯哈根
Bayern,巴伐利亚州
Donau,多瑙河
Kirchhundem,基尔逊德姆
OMDb-Film-ID,开放媒体数据库电影编号
Lennestadt,伦讷施塔特
Ems,埃姆斯河
Baden-Württemberg,巴登-符腾堡
Bielefeld,比勒费尔德
Weser,威悉河
Olpe,奧爾珀
Karlsruhe,卡尔斯鲁厄
Bundesautobahn 99,德国99号高速公路
Attendorn,阿滕多尔恩
Bundesfinanzamtsnummer,德国税务局编号
Blankenese,白沙岛
Eidelstedt,汉堡-埃德斯特德
Saale,薩勒河
Mastodon-Adresse,Mastodon地址
Technische Universität Hamburg,漢堡－哈爾堡工業大學
Olsberg,奥尔斯贝尔格
Finnentrop,菲嫩特罗普
Ruhr,鲁尔河
Elbe,易北河
Iserlohn,伊瑟隆
Mannheim,曼海姆
Obersorbisch,上索布语
Piratenpartei Deutschland,德國海盜黨
Bestwig,贝斯特维希
Romani,罗姆语
Langenzenn,朗根岑
Kongokonferenz,柏林西非會議
Olfe,奧爾費河
Holzwickede,霍尔茨维克德
Markgröningen,马尔克格勒宁根
Freiberger Mulde,弗賴貝格穆爾德河
Bergedorf,伯格多夫
Billwerder,比尔维尔德
Mosel,摩澤爾河
Niedersorbisch,下索布语
Hemer,黑梅尔
Main,美因河
Mulde,穆尔德河
Hamburg,汉堡
Neckar,內卡河
Bönen,伯嫩
Medebach,梅德巴
Werne,韦尔讷
Beckum,贝库姆
Winterberg,温特贝格
Wilhelmsburg,威廉堡
Berlin Hauptbahnhof,柏林站
Eslohe,埃斯洛黑
Enz,恩茨河
Hilchenbach,希爾興巴赫
Selm,塞尔姆
Bad Berleburg,巴德贝尔莱堡
Erndtebrück,埃尔恩特布吕克
Nordsee,北海
Spree,施普雷河
Fröndenberg/Ruhr,弗伦登贝格
Lemgo,莱姆戈
Alsterdorf,汉堡-阿尔斯特多夫
Werse,韋爾瑟河
Potsdam,波茨坦
Netphen,内特芬
Langenhorn,朗根霍恩
Burbach,布尔巴赫
Neunkirchen,新基兴
Inn,因河
Eschelbronn,埃舍尔布龙
Ahlen,阿伦
Drensteinfurt,德伦施泰因富特
Stuttgarter Fernsehturm,斯圖加特電視塔
Nettetal,内特塔尔
Düsseldorf,杜塞爾多夫
Oranienburg,奥拉宁堡
Kiel,基尔
Havel,哈弗爾河
Gifhorn,吉夫霍恩
Coburg,科堡
Kaufbeuren,考夫博伊伦
Sendenhorst,森登霍尔斯特
Freudenberg,弗罗伊登贝尔格
Weiden in der Oberpfalz,魏登
Elde,埃爾德河
Weißenfels,魏森费尔斯
Wiesbaden,威斯巴登
Münster,明斯特
Münsterland,明斯特兰
Niedersachsen,下萨克森州
Augsburg,奥格斯堡
Freiberg,弗莱贝格
Bremerhaven,不来梅哈芬
Hamburger Stadtpark,漢堡城市公園
Oelde,厄尔德
Schleswig-Holstein,石勒苏益格-荷尔斯泰因
Sachsen,萨克森自由州
Nordrhein-Westfalen,北莱茵-威斯特法伦
Hessen,黑森州
Engelskirchen,恩格尔斯基尔兴
Mecklenburg-Vorpommern,梅克伦堡－前波美拉尼亚
