Berlin,柏林
Hamburg,汉堡市
Köln,科隆
Munich,慕尼黑
Federal Republic of Germany,德国
Stuttgart,斯图加特
Frankfurt am Main,法蘭克福
Düsseldorf,杜塞尔多夫
Essen,埃森
Bremen,不来梅
Wiesbaden,威斯巴登
Hannover,汉诺威
Erfurt,埃尔福特
Dresden,德累斯顿
Leipzig,莱比锡
Kiel,基尔
Mainz,美因茨
Magdeburg,马格德堡
Saarbrücken,萨尔布吕肯
Nürnberg,纽伦堡
Worms,沃尔姆斯
Witten,维滕
Bremerhaven,不来梅哈芬
Braunschweig,不伦瑞克
Bonn,波恩
Bochum,波鸿
Bielefeld,比勒费尔德
Gera,格拉
Gelsenkirchen,盖尔森基兴
Baden-Baden,巴登-巴登
Augsburg,奥格斯堡
Schwerin,什未林
Wetzlar,韦茨拉尔
Solingen,索林根
Ulm,乌尔姆
Trier,特里尔
Würzburg,维尔茨堡
Hamm,哈姆
Heilbronn,海尔布隆
Heidelberg,海德堡
Chemnitz,开姆尼茨
Göttingen,哥廷根
Fürth,菲尔特
Darmstadt,达姆施塔特
Erlangen,埃尔朗根
Duisburg,杜伊斯堡
Dortmund,多特蒙德
Koblenz,科布倫茨
Leverkusen,勒沃库森
Kassel,卡塞爾市
Karlsruhe,卡尔斯鲁厄
Krefeld,克雷费尔德
Konstanz,康斯坦茨
Jena,耶拿
Mannheim,曼海姆
Ludwigshafen am Rhein,路德维希港
Lübeck,吕贝克
Neuss,诺伊斯
Salzgitter,薩爾茨吉特
Rostock,罗斯托克
Oberhausen,奥伯豪森
Paderborn,帕德博恩
Osnabrück,奥斯纳布吕克
Oldenburg,奥尔登堡
Münster,明斯特
Mönchengladbach,门兴格拉德巴赫
Moers,默爾斯
Potsdam,波茨坦
Pforzheim,普福尔茨海姆
Regensburg,雷根斯堡
Zugspitze,楚格峰
Aachen,亚琛
Wolfsburg,沃尔夫斯堡
Wilhelmshaven,威廉港
Bergedorf,贝格多夫区
Brandenburg,勃兰登堡
Brandenburg an der Havel,哈弗尔河畔勃兰登堡
Bottrop,博特罗普
Bayreuth,拜罗伊特
Bavaria,巴伐利亚州
Bamberg,班堡
Ahlen,阿伦
Görlitz,格尔利茨
Gladbeck,格拉德貝克
Gießen,吉森
Baden-Württemberg,巴登-符腾堡
Arnsberg,阿恩斯貝格
Speyer,施派尔
Schleswig-Holstein,石勒苏益格-荷尔斯泰因
Weimar,魏玛
Stralsund,施特拉爾松德
Stolberg,施托尔贝格
Sindelfingen,辛德尔芬根
Velbert,費爾貝特
Uetersen,于特森
Tübingen,蒂宾根
Zwickau,茨维考
Zittau,齐陶
Wuppertal,伍珀塔尔
Harburg,汉堡区
Hameln,哈默爾恩
Altona,阿尔托纳区
Gütersloh,居特斯洛
Hildesheim,希尔德斯海姆
Hessen,黑森州
Herne,黑尔讷
Flensburg,弗伦斯堡
Eschweiler,埃施韦勒
Cottbus,科特布斯
Charlottenburg,夏洛滕堡
Castrop-Rauxel,卡斯特罗普-劳克塞尔
Greifswald,格赖夫斯瓦尔德
