Douglas Adams,道格拉斯·亚当斯
Tim Berners-Lee,蒂姆·伯纳斯-李
Patrick Stewart,帕特里克·斯图尔特
John Barnes,约翰·巴恩斯
Rob Page,羅布·佩吉
Charles K. Kao,高錕
Timothy Dalton,蒂莫西·道尔顿
Scott Loach,史葛·路治
Lee Hodson,李·霍德森
Leanne Wood,莉安·伍德
Nyron Nosworthy,奈伦·诺斯沃西
Tom Ince,湯姆·恩斯
James DeGale,詹姆斯·德盖尔
Michael Carrick,迈克尔·卡里克
Arthur Balfour,阿瑟·貝爾福
Adrian Mariappa,阿德里安·馬里亞柏
Jimmy Wales,吉米·威爾斯
Danny Graham (footballer),丹尼·格拉咸
Tom Cleverley,汤姆·克莱维利
Ben Foster (footballer),賓·科士打·(足球運動員)
Marlon King,馬龍·京治
Han Suyin,韩素音
Sarah Walker (badminton),莎拉·沃克
Monty Python,蒙提·派森
Robin Williams (academic),罗宾·威廉姆斯·(学者)
Helen Richardson-Walsh,海伦·理查森-沃尔什
Nicola White,妮古拉·怀特
Laura Bartlett,劳拉·巴特利特
Laura Unsworth,劳拉·昂斯沃思
Hannah Macleod,汉娜·麦克劳德
Alex Danson,亚历克丝·丹森
Judi Dench,茱蒂·丹契
Emily Maguire (field hockey),埃米莉·马圭尔
Ashleigh Ball (field hockey),阿什莉·鲍尔·(曲棍球运动员)
Clifford Edmund Bosworth,克利福德·埃德蒙德·博斯沃思
Anne Panter,安妮·潘特
Henry Gray,亨利·格雷
Chloe Rogers,克洛艾·罗杰斯
David Cameron,戴维·卡梅伦
"David James (footballer, born 1970)",大卫·詹姆斯
Kate Bush,凱特·布希
Sean Dyche,肖恩·戴彻
Kenny Jackett,肯尼·杰基特
Eddie Redmayne,埃迪·雷德梅尼
Scott Adkins,斯科特·阿金斯
Hertha Ayrton,赫莎·艾尔顿
Vanessa Branch,范妮莎·布兰奇
Richard G. Morris,理查德·G·莫里斯
Marvin Sordell,马尔文·索德尔
John Rhys-Davies,约翰·里斯-戴维斯
Ashley Young,艾殊利·楊格
Alma Deutscher,阿尔玛·多伊彻
Ralph Fiennes,雷夫·范恩斯
David Mitchell (author),大卫·米切尔·(作家)
Kieran Gibbs,基蘭·基比斯
Charlie Chaplin,查理·卓别林
Queen Elizabeth The Queen Mother,伊莉莎白王太后
Frank Lloyd,弗蘭克·洛伊德
Gordon Brown,戈登·布朗
Stephen Hawking,史蒂芬·霍金
Charles Oman,查尔斯·欧曼
Sacha Baron Cohen,沙查·巴隆·科恩
Doris Lessing,多丽丝·莱辛
Virginia Woolf,弗吉尼亚·吴尔夫
J. R. R. Tolkien,J·R·R·托爾金
Alex Salmond,亚历克斯·萨尔蒙德
Charles Roden Buxton,查尔斯·罗登·巴克斯顿
Neville Chamberlain,内维尔·张伯伦
Jessie J,洁西·J
James Bevis,詹姆斯·贝维斯
Desmond Llewelyn,戴斯蒙·李維林
"Michael Johnson (footballer, born 1988)",迈克尔·约翰逊·(1988年)
Chris Smalling,克里斯·斯莫林
Jonny Evans,乔尼·埃文斯
Carl Jenkinson,卡尔·詹金森
Harold Pinter,哈罗德·品特
Theo Walcott,西奥·沃尔科特
John Lennon,约翰·列侬
Gladwyn Jebb,格拉德温·杰布
Friedrich Hayek,弗里德里希·哈耶克
John Eustace,约翰·尤斯塔斯
Troy Deeney,特罗伊·迪尼
Jonathan Hogg,喬納森·霍格
Chris Iwelumo,克里斯·埃维鲁莫
Jonathan Bond,喬納森·邦德
