George Washington,乔治·华盛顿
Jack Bauer,傑克·鮑爾
Carolyn Bertozzi,卡罗琳·贝尔托西
Chris Rock,基斯·洛克
John McCain,約翰·麥凱恩
Barack Obama,贝拉克·奥巴马
Kevin Mitnick,凯文·米特尼克
Claire Holt,克莱尔·霍尔特
Julia Mancuso,朱莉娅·曼库索
Lisa Raymond,麗莎·雷蒙
Picabo Street,皮卡布·斯特里特
Thomas Jefferson,托马斯·杰斐逊
Jonny Lee Miller,強尼·李·米勒
Tom DeLonge,湯姆·德朗
Karen Bardsley,卡伦·巴兹利
Abraham Lincoln,亚伯拉罕·林肯
Ned Beatty,尼德·巴蒂
James Coburn,詹姆士·柯本
Miley Cyrus,麥莉·希拉
Stephanie Kwolek,斯蒂芬妮·克沃勒克
Mick Foley,米克·佛利
Maria Klawe,瑪利亞·克拉維
Dwayne Johnson,巨石強森
Daphne Koller,達芙妮·科勒
John Adams,约翰·亚当斯
Jon Abrahams,喬·阿布拉漢姆斯
Jimmy Wales,吉米·威爾斯
Peyton Manning,培頓·曼寧
Prince (musician),王子·(音樂家)
Ruzena Bajcsy,露勳娜·巴伊奇
Tiger Woods,老虎伍茲
James Madison,詹姆斯·麦迪逊
James Monroe,詹姆斯·门罗
Larry Sanger,拉里·桑格
Ken Jennings,肯·詹宁斯
George W. Bush,乔治·沃克·布什
Emily Dickinson,埃米莉·狄更生
Ping Fu,傅苹
Ward Cunningham,沃德·坎宁安
Valerie Solanas,瓦萊麗·索拉納斯
Deval Patrick,德瓦尔·帕特里克
John Quincy Adams,约翰·昆西·亚当斯
Andrew Jackson,安德鲁·杰克逊
Martin Van Buren,马丁·范布伦
Elvis Presley,埃爾維斯·皮禮士利
Jenna Jameson,珍娜·詹姆森
Elena Kagan,艾蕾娜·卡根
Clarence Thomas,克拉倫斯·托馬斯
John Roberts,約翰·羅伯茨
Bob Dylan,鲍勃·迪伦
Sonia Sotomayor,索尼娅·索托马约尔
John Paul Stevens,約翰·保羅·史蒂文斯
Ruth Bader Ginsburg,露絲·貝德·金斯堡
Stephen Breyer,史蒂芬·布雷耶
Sandra Day O'Connor,桑德拉·戴·奧康納
Samuel Alito,塞繆爾·阿利托
Linda Lovelace,琳達·拉芙蕾絲
Clancy Brown,克蘭西·布朗
Carl Sagan,卡尔·萨根
Troian Bellisario,托瑞安·艾沃瑞·贝莉萨里奥
Jennette McCurdy,詹妮特·麥柯迪
Antonin Scalia,安東寧·斯卡利亞
Maggie Simpson,玛吉·辛普森
Homer Simpson,霍默·辛普森
Marge Simpson,玛琦·辛普森
Anthony Kennedy,安東尼·肯尼迪
Nelson Rockefeller,纳尔逊·洛克菲勒
William Henry Harrison,威廉·亨利·哈里森
Anna Faris,安娜·法瑞絲
Zach Gilford,扎克·基爾福德
Patti Smith,帕蒂·史密斯
Bill Maher,標·馬艾
Rachel Maddow,雷切尔·玛多
Mitt Romney,米特·羅姆尼
Vince Gilligan,文斯·吉利根
Frank Herbert,弗兰克·赫伯特
Franklin D. Roosevelt,富兰克林·德拉诺·罗斯福
Jonathan Winters,乔纳森·温特斯
Michael Bloomberg,迈克尔·布隆伯格
Edmund H. Hansen,埃德蒙德·汉森
David Rockefeller,大卫·洛克菲勒
Axl Rose,埃克索尔·罗斯
James K. Polk,詹姆斯·诺克斯·波尔克
Chloë Grace Moretz,克蘿伊·葛蕾絲·摩蕾茲
Neil Young,尼爾·楊
John Knoll,约翰·诺尔
Stevie Wonder,史蒂维·旺德
John Tyler,约翰·泰勒
Beck,貝克·(歌手)
Zachary Taylor,扎卡里·泰勒
Martin Luther King Jr.,马丁·路德·金
Meryl Streep,梅麗·史翠普
Gordon Freeman,戈登·弗里曼
Corbin Bleu,柯賓·布魯
Serena Williams,塞雷娜·威廉姆斯
Anita Borg,安妮塔·博格
Kevin Costner,凯文·科斯特纳
Aaliyah,阿莉雅·达纳·霍顿
Marilyn Monroe,玛丽莲·梦露
Scrooge McDuck,史高治·麦克达克
Carl Barks,卡尔·巴克斯
Britney Spears,布蘭妮·斯皮爾斯
Evelyn Berezin,艾芙琳·別列津
Nicholas Meyer,尼古拉斯·迈耶
Joseph Brodsky,约瑟夫·亚历山德罗维奇·布罗茨基
Albert Einstein,阿尔伯特·爱因斯坦
Lynn Conway,琳·康維
"Weird Al" Yankovic,「怪人奧爾」揚科維奇
John Bardeen,约翰·巴丁
Daniel Craig,丹尼尔·克雷格
Barbra Streisand,芭芭拉·史翠珊
Jon Huntsman Jr.,洪博培
John Adair,约翰·亚岱尔
Venus Williams,维纳斯·威廉姆斯
Shafi Goldwasser,莎菲·戈德瓦塞尔
Marlene Dietrich,瑪蓮娜·迪特利希
Harry S. Truman,哈里·S·杜鲁门
Stan Coveleski,史丹·柯弗列斯基
Charlotte Froese Fischer,夏洛特·弗羅塞·菲舍爾
Jimmy Kimmel,吉米·坎摩爾
Joan Lorring,琼·洛林
Jason Lee (actor),傑森·李
Larry Page,拉里·佩奇
Bill Clinton,比尔·克林顿
Miranda Cosgrove,米蘭達·蔻思葛芙
Herman Melville,赫尔曼·梅尔维尔
David Paterson,大衛·帕特森·(政治人物)
Andrew Cuomo,安德鲁·库默
President of the United States,美国总统
Cher,雪兒
Dave Grohl,戴夫·格羅爾
Ron Paul,榮·保羅
Eliot Spitzer,艾略特·斯皮策
Margaret Hamilton (software engineer),玛格丽特·汉密尔顿
Bill Gates,比尔·盖茨
Bruce Springsteen,布魯斯·斯普林斯汀
Gary Gygax,加里·吉盖克斯
Bruno Mars,布鲁诺·马尔斯
Molly Holzschlag,莫莉·霍茲西拉格
Judy Garland,朱迪·加兰
George Pataki,乔治·保陶基
Kurt Cobain,科特·柯本
Grace Hopper,葛麗絲·霍普
Lindsay Davenport,林赛·达文波特
Nikki Haley,妮基·黑利
Mark Sanford,馬克·桑福德
Jennifer Capriati,珍妮弗·卡普里亚蒂
Andy Warhol,安迪·沃荷
Herbert Matthews,赫伯特·马修斯
John Boehner,約翰·博納
Andrew Johnson,安德鲁·约翰逊
Katherine Johnson,凱瑟琳·強森
Millard Fillmore,米勒德·菲尔莫尔
Neil Armstrong,尼尔·阿姆斯特朗
Janis Joplin,珍妮絲·賈普林
Cyndi Lauper,辛蒂·羅波
Tim Lincecum,蒂姆·林斯肯
Ernst Mayr,恩斯特·瓦尔特·迈尔
Greta Garbo,葛丽泰·嘉宝
Juan Trippe,胡安·特里普
Bart Simpson,巴特·辛普森
Douglas Shearer,道格拉斯·希勒
Walt Disney,華特·迪士尼
Franklin Pierce,富兰克林·皮尔斯
Éva Tardos,陶爾多什·埃娃
Tracy Morgan,崔西·摩根
Louis C.K.,路易·C·K
Jason Richardson,贾森·理查德森
Félix Sánchez (hurdler),费利克斯·桑切斯
Erik Kynard,埃里克·金纳德
Madonna,麥當娜
Carmelita Jeter,卡美莉塔·傑特
Mario,马力欧·(角色)
Lil Wayne,小韋恩
Henry Ford,亨利·福特
Charles Lindbergh,查爾斯·林德伯格
Aries Merritt,阿里斯·梅里特
Justin Gatlin,贾斯廷·加特林
Thomas Edison,托马斯·爱迪生
Frank Lloyd Wright,弗蘭克·勞埃德·賴特
Enrico Fermi,恩里科·费米
Eminem,Eminem
Buddy Holly,巴迪·霍利
Eddie Cochran,艾迪·科克兰
Dawn Harper-Nelson,唐·哈珀-纳尔逊
George Soros,乔治·索罗斯
50 Cent,50·Cent
Michelle Obama,米歇爾·奧巴馬
Paula Creamer,帕菈·克萊莫
Angelina Jolie,安吉丽娜·朱莉
Christian Taylor (athlete),克里斯汀·泰勒
Will Claye,威尔·克莱耶
Ella Fitzgerald,艾拉·費茲潔拉
James Buchanan,詹姆斯·布坎南
Angelo Taylor,安杰洛·泰勒
Kerron Clement,克伦·克莱门特
Louis Armstrong,路易斯·阿姆斯特朗
James Brown,詹姆士·布朗
DeeDee Trotter,迪迪·特罗特
Sanya Richards-Ross,桑娅·理查兹
Allyson Felix,艾麗森·菲利克斯
Dan O'Brien,丹·奥布赖恩
Chuck Berry,查克·贝里
Lisa Simpson,莉萨·辛普森
Marcel Duchamp,馬塞爾·杜尚
Jimi Hendrix,吉米·亨德里克斯
Beth Ditto,贝丝·迪托
Susan Polgar,波尔加·苏珊
Curtis LeMay,柯蒂斯·李梅
Kanye West,肯伊·威斯特
Ashton Eaton,阿仕頓·伊頓
Trey Hardee,崔·哈迪
Stanley Kubrick,斯坦利·库布里克
Dr. Dre,Dr.·Dre
Steven Spielberg,斯蒂芬·斯皮尔伯格
