Pioneer plaque,先驅者鍍金鋁板
Massachusetts,麻薩諸塞州
Puerto Rico,波多黎各
Illinois,伊利诺伊州
"San Juan, Puerto Rico",圣胡安·(波多黎各)
"Portland, Oregon",波特蘭·(俄勒岡州)
Space Needle,太空針塔
Bloomberg Television,彭博電視
IBM Watson,沃森·(人工智能程序)
Lower Manhattan,曼哈顿下城
Times Square–42nd Street station,時報廣場-42街／港務局客運總站車站
"Cass County, North Dakota",卡斯縣·(北達科他州)
Gullah language,古拉語
"Hartford, Connecticut",哈特福
List of municipalities in Washington,华盛顿州城市列表
World Trade Center (1973–2001),世界貿易中心·(1973年至2001年)
1960 Winter Olympics,1960年冬季奥林匹克运动会
"Lee County, Texas",李縣·(德克薩斯州)
"Grand County, Utah",格蘭德縣·(猶他州)
New Mexico,新墨西哥州
"Saint Paul, Minnesota",圣保罗·(明尼苏达州)
Atlantic 10 Conference,大西洋10联盟
"Dover, Delaware",多佛·(特拉华州)
English language,英语
"Santa Fe, New Mexico",圣菲·(新墨西哥州)
"Sabine County, Texas",沙賓縣·(德克薩斯州)
"Barnes County, North Dakota",巴恩斯縣·(北達科他州)
"Leal, North Dakota",忠实·(北达科他州)
"Cicero, New York",西塞罗·(纽约州)
Sons of Liberty,自由之子
"Summerhaven, Arizona",薩默哈芬·(亞利桑那州)
"White Rock, South Dakota",怀特罗克·(南达科他州)
"Las Cruces, New Mexico",拉斯克鲁塞斯·(新墨西哥州)
"Roswell, New Mexico",羅斯維爾·(新墨西哥州)
Kepler Cascades,開普勒瀑布
Chicago,芝加哥
University of Southern California,南加州大学
Mississippi,密西西比州
"Augusta, Maine",奥古斯塔·(缅因州)
"Annapolis, Maryland",安纳波利斯
Waymo,Waymo
California State Route 57,57号加利福尼亚州州道
California State Route 78,78号加利福尼亚州州道
Flag of South Carolina,南卡羅萊納州州旗
Korean Air Lines Flight 007,大韓航空007號班機空難
Atlanta,亚特兰大
"Durham, North Carolina",德罕·(北卡羅來納州)
DLNA,数字生活网络联盟
Arkansas River,阿肯色河
Google Search,Google搜索
"Alice, North Dakota",爱丽丝·(北达科他州)
"Lincoln, Nebraska",林肯·(内布拉斯加州)
54th Academy Awards,第54届奥斯卡金像奖
"Benson County, North Dakota",本森縣·(北達科他州)
Larry O'Brien Championship Trophy,拉里·奧布賴恩冠軍獎盃
Rolling Stone,滾石·(雜誌)
Polynesia,玻里尼西亞
"Springfield, Ohio",斯普林菲尔德·(俄亥俄州)
55th Academy Awards,第55届奥斯卡金像奖
Bloomberg L.P.,彭博有限合夥企業
Sun Microsystems,昇陽電腦
"Fort Worth, Texas",沃斯堡
"Liberty County, Texas",利伯蒂县·(得克萨斯州)
"Weber County, Utah",韋伯縣
"Clarkston Heights-Vineland, Washington",克拉克斯頓高地-葡萄園·(華盛頓州)
Ivy League,常春藤盟校
Texas A%26M University,得克萨斯农工大学
University of Texas at Austin,德克薩斯大學奧斯汀分校
Wall Street,华尔街
NBC,全国广播公司
"Austin, Texas",奧斯汀
"Independence, Missouri",独立城·(密苏里州)
2012 Major League Baseball season,2012年美國職棒大聯盟球季
Indianapolis 500,印第安納波利斯500
"Tenderloin, San Francisco",田德隆
Belarusian language,白俄罗斯语
Salad,沙律
The New York Times,纽约时报
"Gonzales County, Texas",岡薩雷斯縣·(德克薩斯州)
"Brazoria County, Texas",布拉佐里亞縣
Great Train Wreck of 1918,納什維爾鐵路列車相撞事故
U.S. Open Cup,美國公開盃
"Hettinger, North Dakota",黑廷格·(北达科他州)
"Salem, Illinois",塞勒姆·(伊利諾伊州)
"St. Helena, California",圣海伦娜·(加利福尼亚州)
"Chippewa County, Wisconsin",契皮瓦縣·(威斯康辛州)
Willamette River,威拉米特河
Adobe Inc.,Adobe
"Caldwell County, Texas",考德威爾縣·(德克薩斯州)
Chevrolet,雪佛兰
GMC (automobile),GMC·(汽車)
Creative Commons,知识共享
Florida Film Critics Circle Awards 2008,第13届佛罗里达影评人协会奖
HTC Windows Phone 8S,Windows·Phone·8S·by·HTC
Kickstarter,Kickstarter
NBA All-Star Game Kobe Bryant Most Valuable Player award,NBA全明星賽高比·拜仁最有價值球員
Tongva language,维沃特语
"Toxey, Alabama",托克斯伊·(阿拉巴马州)
"Union Grove, Alabama",尤宁格罗夫·(阿拉巴马州)
"Gordonville, Alabama",戈登斯维尔·(阿拉巴马州)
"Attalla, Alabama",阿塔拉·(阿拉巴马州)
"Marion, Arkansas",馬里昂·(阿肯色州)
"Sullivan County, New Hampshire",沙利文縣·(新罕布什爾州)
"Woburn, Massachusetts",沃本·(麻薩諸塞州)
AT%26T,AT%26T
Grumman F-14 Tomcat,F-14雄貓式戰鬥機
"Salem, Oregon",塞勒姆·(俄勒冈州)
Christine Falls,克里斯汀瀑布
"Issaquah, Washington",伊瑟阔
Lewis Falls,刘易斯瀑布
"Charleston, South Carolina",查尔斯顿·(南卡罗来纳州)
"New London County, Connecticut",新倫敦縣·(康涅狄格州)
"Coffee Springs, Alabama",咖啡泉·(阿拉巴马州)
"St. Florian, Alabama",圣弗洛里安·(阿拉巴马州)
"Cardiff, Alabama",加的夫·(阿拉巴马州)
"Hammondville, Alabama",哈蒙德维尔·(阿拉巴马州)
"South Vinemont, Alabama",南维蒙特·(阿拉巴马州)
"Cuba, Alabama",古巴·(阿拉巴马州)
"Lisman, Alabama",利斯曼·(阿拉巴马州)
"Lanett, Alabama",拉内特·(阿拉巴马州)
"Brookline, Massachusetts",布鲁克莱恩·(马萨诸塞州)
Bukharian (Judeo-Tajik dialect),布哈里安語·(猶太-塔吉克語)
Xbox Live Arcade,Xbox·Live·Arcade
"Coosada, Alabama",克萨塔·(阿拉巴马州)
"Cross County, Arkansas",克羅斯縣·(阿肯色州)
"Yavapai County, Arizona",亞瓦派縣
"Butler, Alabama",巴特勒·(阿拉巴马州)
"Midland County, Michigan",密德蘭縣·(密歇根州)
"Blytheville, Arkansas",布萊西維爾
"Parkdale, Arkansas",帕克代爾·(阿肯色州)
"Tallassee, Alabama",塔拉西·(阿拉巴马州)
"Delta Junction, Alaska",德尔塔章克申·(阿拉斯加州)
"Foley, Alabama",弗利·(阿拉巴马州)
"Golovin, Alaska",戈洛文·(阿拉斯加州)
"Paragould, Arkansas",帕拉固德
"Slocomb, Alabama",斯洛克伯·(阿拉巴马州)
"Dover, Arkansas",多佛·(阿肯色州)
"Melbourne, Arkansas",墨尔本·(阿肯色州)
"Willcox, Arizona",威尔科克斯·(亚利桑那州)
Chicago Tribune,芝加哥論壇報
"Logan County, North Dakota",洛根縣·(北達科他州)
Boston College,波士顿学院
"Waltham, Massachusetts",沃尔瑟姆·(马萨诸塞州)
"Foster County, North Dakota",福斯特縣·(北達科他州)
"Lowell, Massachusetts",洛厄尔·(马萨诸塞州)
"Portland, Maine",波特蘭·(緬因州)
"Middlesex County, Connecticut",米德爾塞克斯郡·(康乃狄克州)
Rhode Island School of Design,羅德島設計學院
"Windham County, Connecticut",溫德姆縣·(康乃狄克州)
"Glendale, Arizona",格蘭岱爾
"Grannis, Arkansas",格蘭尼斯·(阿肯色州)
"Prattville, Alabama",普拉特维尔·(阿拉巴马州)
"Scottsboro, Alabama",斯科茨博罗·(亚拉巴马州)
"Augusta, Arkansas",奥古斯塔·(阿肯色州)
"Fulton, Arkansas",富爾頓·(阿肯色州)
"Salesville, Arkansas",塞爾斯維爾·(阿肯色州)
"Glenwood, Arkansas",格倫伍德·(阿肯色州)
"Prichard, Alabama",普里查德·(亚拉巴马州)
"New Hope, Alabama",新希望·(阿拉巴马州)
"Palmer, Alaska",帕尔默
"Whittier, Alaska",惠蒂尔·(阿拉斯加州)
"Selma, Alabama",塞尔玛·(阿拉巴马州)
"Wales, Alaska",威尔士·(阿拉斯加州)
"Center Point, Alabama",森特波因特·(阿拉巴马州)
Academy Award for Best Original Song,奥斯卡最佳原创歌曲奖
"Oneida County, New York",奧奈達縣·(紐約州)
"Otsego County, New York",奧齊戈縣·(紐約州)
"Anderson, Alaska",安德森·(阿拉斯加州)
"Barling, Arkansas",巴林·(阿肯色州)
"Tuckerman, Arkansas",塔克曼·(阿肯色州)
"Blevins, Arkansas",布萊溫斯·(阿肯色州)
Grand Canyon,大峽谷
"Goodnews Bay, Alaska",古德纽斯贝·(阿拉斯加州)
"Gould, Arkansas",古爾德·(阿肯色州)
"Keiser, Arkansas",凱澤·(阿肯色州)
"Decatur, Arkansas",迪凯特·(阿肯色州)
"Lake Village, Arkansas",萊克村·(阿肯色州)
"Rison, Arkansas",賴森·(阿肯色州)
"Emmonak, Alaska",埃莫纳克·(阿拉斯加州)
"Evergreen, Conecuh County, Alabama",埃弗格林·(阿拉巴马州)
"Lewisville, Arkansas",刘易斯维尔·(阿肯色州)
"Akutan, Alaska",阿库坦·(阿拉斯加州)
"Arkansas City, Arkansas",阿肯色城·(阿肯色州)
"Dardanelle, Arkansas",达达尼尔·(阿肯色州)
"Gentry, Arkansas",金特里·(阿肯色州)
"Marmaduke, Arkansas",馬默杜克·(阿肯色州)
"Tontitown, Arkansas",通蒂敦·(阿肯色州)
"Clarksville, Arkansas",克拉克斯維爾·(阿肯色州)
"Harrison, Arkansas",哈里森·(阿肯色州)
"Tulip, Indiana",圖利普·(印地安納州)
"Shungnak, Alaska",申纳克·(阿拉斯加州)
"Winfield, Alabama",温菲尔德·(阿拉巴马州)
Great Salt Lake,大盐湖
"Imperial County, California",因皮里尔县·(加利福尼亚州)
Reconciliation (United States Congress),国会预算调和
"Holly Grove, Arkansas",霍利格羅夫·(阿肯色州)
"Roanoke, Alabama",罗阿诺克·(阿拉巴马州)
"Washington, Arkansas",華盛頓·(阿肯色州)
"Mississippi County, Arkansas",密西西比縣·(阿肯色州)
"Sevier County, Arkansas",塞維爾縣·(阿肯色州)
"Sharp County, Arkansas",夏普县·(阿肯色州)
"Ohatchee, Alabama",奥哈治·(阿拉巴马州)
"Section, Alabama",塞克森·(阿拉巴马州)
"Allgood, Alabama",奥尔古德·(亚拉巴马州)
"Locust Fork, Alabama",洛克斯特福克·(阿拉巴马州)
"Watson, Arkansas",沃森·(阿肯色州)
"Winthrop, Arkansas",溫思羅普·(阿肯色州)
"Eddy County, North Dakota",埃迪縣·(北達科他州)
Isabella Stewart Gardner Museum,伊莎貝拉嘉納藝術博物館
"Worcester, Massachusetts",伍斯特·(马萨诸塞州)
"Aurora, Colorado",奥罗拉·(科罗拉多州)
"Chesapeake, Virginia",切萨皮克·(弗吉尼亚州)
"Lecompte, Louisiana",勒孔特·(路易斯安那州)
"Litchfield County, Connecticut",利奇菲爾德縣·(康涅狄格州)
Canadian Shield,加拿大地盾
"Harrell, Arkansas",哈勒爾·(阿肯色州)
"Little Flock, Arkansas",利特爾弗羅克·(阿肯色州)
"Avondale, Arizona",埃文代尔·(亚利桑那州)
"Litchfield Park, Arizona",利奇菲尔德公园·(亚利桑那州)
"Forrest City, Arkansas",福雷斯特城·(阿肯色州)
"Haines, Alaska",海恩斯·(阿拉斯加州)
"Hydaburg, Alaska",海达堡·(阿拉斯加州)
Subway Series,地鐵大戰
Apollo 10,阿波罗10号
Camping World Stadium,露營世界體育場
"Malvern, Arkansas",馬耳威恩·(阿肯色州)
"Marion, Alabama",马里恩·(阿拉巴马州)
