George Washington,乔治·华盛顿
Carolyn Bertozzi,卡罗琳·贝尔托齐
Chris Rock,基斯·洛克
Kim Carnes,金·卡恩斯
Maria Klawe,玛利亚·克拉维
Adam Carolla,亞當·卡羅拉
Patrice O'Neal,帕特里斯·歐尼爾
Jack Bauer,傑克·鮑爾
Kevin Mitnick,凱文·大衛·米特尼克
Mildred Cohn,米爾德里德·科恩
Daphne Koller,Daphne Koller
Julia Mancuso,朱莉娅·曼库索
Picabo Street,皮卡布·斯特里特
Lisa Raymond,麗莎·雷蒙德
Claire Holt,克莱尔·霍尔特
Nancy Lynch,南希·林奇
George Tchobanoglous,乔治·托巴诺戈勒斯
John McCain,約翰·麥凱恩
Jonny Lee Miller,約翰·李·米勒
Mary L. Good,瑪麗·古德
Anna J. Harrison,安娜·J·哈里森
Miley Cyrus,麥莉·希拉
Stephanie L. Kwolek,斯蒂芬妮·克沃勒克
Barack Obama,贝拉克·奥巴马
Deval Patrick,德瓦尔·帕特里克
Susan Landau,蘇珊·蘭朵
Jon Abrahams,喬·阿布拉漢姆斯
Rodger Bumpass,罗杰布巴斯
Valerie Solanas,瓦萊麗·索拉納斯
Dwayne Johnson,巨石強森
Karen Bardsley,卡伦·巴兹利
Ken Jennings,肯·詹宁斯
Tiger Woods,泰格·伍兹
Mr. Lawrence,劳伦斯先生
Jimmy Bennett,吉米·貝內特
Melissa Fahn,梅麗莎·法恩
Louise Nevelson,路易斯·奈佛遜
Abraham Lincoln,亞伯拉罕·林肯
James Coburn,詹姆士·柯本
Ned Beatty,尼德·巴蒂
Thomas Jefferson,托马斯·杰斐逊
Catherine Coleman,凯瑟琳·科尔曼
Mary Peters Fieser,玛丽·费瑟
Sonia Sotomayor,索尼娅·索托马约尔
Elena Kagan,艾蕾娜·卡根
John Adams,約翰·亞當斯
Larry Sanger,拉里·桑格
Mark Hoppus,馬克·霍普斯
Tom DeLonge,汤姆·德隆格
Mick Foley,米克·佛利
James Madison,詹姆斯·麥迪遜
George W. Bush,喬治·沃克·布什
Jimmy Wales,吉米·威爾斯
Ruzena Bajcsy,露勳娜·巴伊奇
Nancy Leveson,南希·利維森
James Monroe,詹姆斯·门罗
Martin Van Buren,马丁·范布伦
Sally Floyd,莎莉·佛洛伊德
Peyton Manning,培頓·威廉斯·曼寧
Emily Dickinson,艾米莉·迪金森
Anna Faris,安娜·法瑞絲
Prince,王子
Jonathan Winters,乔纳森·温特斯
Alison Lohman,艾莉森·洛曼
Troian Bellisario,托瑞安·艾沃瑞·贝莉萨里奥
Marlene Dietrich,瑪蓮·德烈治
James K. Polk,詹姆斯·诺克斯·波尔克
Jennette McCurdy,詹妮特·麥柯迪
Ping Fu,傅苹
Joyce K. Reynolds,喬伊斯·雷諾茲
Ruth Bader Ginsburg,魯思·金斯伯格
John Paul Stevens,約翰·保羅·史蒂文斯
Franklin Delano Roosevelt,富兰克林·德拉诺·罗斯福
John Quincy Adams,约翰·昆西·亚当斯
Patti Smith,帕蒂·史密斯
Mitt Romney,米特·羅姆尼
Jenna Jameson,珍娜·詹姆森
Bob Dylan,鲍勃·迪伦
Linda Lovelace,琳達·拉芙蕾絲
Alastair G. W. Cameron,艾利絲泰爾·卡麥倫
Carl Sagan,卡尔·萨根
Stephen Breyer,史蒂芬·布雷耶
Zach Gilford,扎克·基爾福德
Bill Maher,標·馬艾
Clancy Brown,克兰西·布朗
Farciot Edouart,法乔特·埃多特
Edmund H. Hansen,戴維·莫里斯
Marge Simpson,玛琦·辛普森
Sandra Day O'Connor,桑德拉·戴·奧康納
Martin Luther King Jr.,马丁·路德·金
Sandra Lerner,桑德拉·勒納
Frank Herbert,弗兰克·赫伯特
Zachary Taylor,扎卡里·泰勒
Maggie Simpson,玛吉·辛普森
William Henry Harrison,威廉·亨利·哈里森
John Tyler,约翰·泰勒
David Rockefeller,大卫·洛克菲勒
David DeCoteau,大衛·迪考提奧
Elvis Presley,埃尔维斯·普雷斯利
Homer Simpson,霍默·辛普森
Vince Gilligan,文斯·吉利根
Ward Cunningham,沃德·坎宁安
Rachel Maddow,雷切尔·马多
John Gaeta,約翰·加埃塔
John Knoll,约翰·诺尔
Daniel Craig,丹尼尔·克雷格
Chloë Grace Moretz,科洛·莫瑞兹
Anthony Kennedy,安東尼·肯尼迪
Nelson Rockefeller,纳尔逊·洛克菲勒
Scott Farrar,斯科特·法勒
Robert Legato,勞勃·李加多
Albert Arnold Gillespie,A.阿诺德·吉莱斯皮
Joseph Zito,约瑟夫·齐托
Jack Sholder,杰克·舒德
"Weird Al" Yankovic,「怪人奧爾」揚科維奇
Kat Walsh,汪舒凱
Richard Edlund,理查德·埃德倫
Fred Sersen,弗雷德·塞森
Carl Barks,卡尔·巴克斯
Louis King,路易斯·金
Andrew Jackson,安德鲁·杰克逊
Beck,貝克
Clarence Thomas,克拉倫斯·托馬斯
Samuel Alito,塞繆爾·阿利托
Marilyn Monroe,玛丽莲·梦露
Antonin Scalia,安東寧·斯卡利亞
Joseph Brodsky,约瑟夫·布罗茨基
Barbra Streisand,芭芭拉·瓊·史翠珊
John Roberts,約翰·格洛佛·羅伯茨
Nicholas Meyer,尼古拉斯·迈耶
Stefen Fangmeier,史提芬·方美亞
Neil Young,尼爾·楊
Joan Lorring,琼·洛林
Lynn Conway,琳·康維
Danese Cooper,丹尼斯·庫柏
Carly Rose Sonenclar,卡麗·羅斯·塞尼克萊爾
Ezra Klein,埃兹拉·克莱因
Michael Bloomberg,迈克尔·布隆伯格
Stevie Wonder,史提夫·汪达
Axl Rose,埃克索爾·羅斯
Cher,雪兒
Corbin Bleu,柯賓·布魯
Jean Bartik,珍·巴蒂克
Evelyn Berezin,艾芙琳·貝瑞森
Gordon Freeman,戈登·弗里曼
Mark Oliver Everett,马克·奥利佛·埃弗雷特
Craig Barron,克萊格·巴朗
Kevin Costner,凯文·科斯特纳
Anita Borg,安妮塔·博格
Maxine D. Brown,玛克辛·布朗
Kevin Yagher,凯文·雅格
Gordon Jennings,戈登·詹宁斯
John Frazier,約翰·費濟爾
Ron Howard,罗恩·霍华德
Kurt Cobain,科特·柯本
Britney Spears,布蘭妮·斯皮爾斯
Douglas Shearer,道格拉斯·希勒
L. B. Abbott,L·B·阿伯特
Juan Trippe,胡安·特里普
Scrooge McDuck,史高治·麦克老鸭
Franklin Pierce,富蘭克林·皮爾斯
Albert Einstein,阿尔伯特·爱因斯坦
John Adair,约翰·亚岱尔
Charlotte Froese Fischer,夏洛特·弗羅塞·菲舍爾
Meryl Streep,梅麗·史翠普
Larry Page,拉里·佩奇
Walt Disney,華特·迪士尼
Eric Barba,艾瑞克·巴爾巴
Andrew Johnson,安德鲁·约翰逊
Dave Grohl,戴夫·格羅爾
James Buchanan,詹姆斯·布坎南
Ken Ralston,肯·羅爾斯頓
Danielle Bunten Berry,丹妮·邦騰
Coco Austin,可可·奥斯丁
Miranda Cosgrove,米蘭達·科斯格羅夫
Serena Williams,塞雷娜·威廉姆斯
Venus Williams,维纳斯·威廉姆斯
James Meredith,詹姆斯·莫瑞德斯
Cynthia Dwork,辛西娅·德沃克
Mario,马力欧
Herman Melville,赫尔曼·梅尔维尔
Bruno Mars,布鲁诺·马尔斯
Jules Dubois,朱爾斯·杜波依斯
Harry S. Truman,哈利·S·杜魯門
Eugenio Calabi,歐金尼奧·卡拉比
Henry Ford,亨利·福特
Millard Fillmore,米勒德·菲尔莫尔
Jimmy Kimmel,吉米·坎摩爾
Dorothy E. Denning,多萝西·E·丹宁
Bill Gates,比尔·盖茨
Rashad Khalifa,哈里發
Susan Polgar,波尔加·苏珊
Pamela Kyle Crossley,柯嬌燕
Stan Coveleski,史丹·柯佛列斯基
Susan L. Graham,苏珊·L·格拉汉姆
Beth Ditto,贝丝·迪托
Jason Lee,贾森·李
Sanya Richards-Ross,桑娅·理查兹
Thomas Edison,托马斯·爱迪生
Allyson Felix,艾麗森·菲利克斯
Shafrira Goldwasser,莎菲·戈德瓦塞尔
Enrico Fermi,恩里科·费米
"Jon Huntsman, Jr.",洪博培
Janis Joplin,珍妮絲·賈普林
Paula Creamer,帕菈·克萊莫
Bruce Springsteen,布鲁斯·斯普林斯廷
Angelina Jolie,安吉丽娜·朱莉
John Bardeen,约翰·巴丁
Tim Lincecum,蒂姆·林斯肯
Steven Spielberg,斯蒂芬·斯皮爾伯格
Humphrey Tonkin,汉弗莱·托金
Ernst Mayr,恩斯特·瓦尔特·迈尔
LaShawn Merritt,拉肖恩·梅里特
Jeremy Wariner,杰里米·韦林纳
Tony Romo,托尼·罗莫
Michelle Obama,米歇爾·奧巴馬
Molly Holzschlag,莫莉·霍茲西拉格
Greta Garbo,葛丽泰·嘉宝
Bart Simpson,巴特·辛普森
George Soros,喬治·索羅斯
Neil Armstrong,尼尔·阿姆斯特朗
Andy Warhol,安迪·沃荷
Aaliyah,艾莉娅
Bill Clinton,比爾·克林頓
Walter Dix,沃尔特·迪克斯
Shawn Crawford,肖恩·克劳福德
Noam Chomsky,诺姆·乔姆斯基
Nikola Tesla,尼古拉·特斯拉
Spencer Fullerton Baird,斯賓塞·富勒頓·貝爾德
Evi Nemeth,伊維·尼梅斯
Arnold Palmer,阿诺德·帕尔默
Jack Nicklaus,傑克·尼克勞斯
Eminem,阿姆
Judy Garland,朱迪·加兰
Gary Gygax,加里·吉盖克斯
Dave Arneson,大衛·亞耐森
Lori McCreary,洛莉·麥克雷里
Glenda Schroeder,格倫達·施羅德
Cyndi Lauper,辛蒂·羅波
Marissa Mayer,梅麗莎·梅爾
Betty Holberton,貝蒂·霍爾伯頓
DeeDee Trotter,迪迪·特罗特
Dan O'Brien,丹·奥布赖恩
Frank Lloyd Wright,弗蘭克·勞埃德·賴特
Moby,莫比
Margaret Hamilton,瑪格麗特·汉密尔顿
Bernard Madoff,伯納·馬多夫
Justin Gatlin,贾斯廷·加特林
Black Francis,布萊克·弗朗西斯
Gerald Ford,杰拉尔德·福特
Carmelita Jeter,卡美莉塔·傑特
Pete Sampras,皮特·森柏斯
Leonel Manzano,莱昂内尔·莱昂内尔
Aries Merritt,阿里斯·梅里特
Lisa Simpson,莉萨·辛普森
Ella Fitzgerald,艾拉·費茲潔拉
Marcel Duchamp,馬塞爾·杜象
Grey DeLisle,格蕾·德莱勒
Reese Hoffa,里斯·霍法
Jimi Hendrix,吉米·亨德里克斯
Will Claye,威尔·克莱耶
Nikki Haley,妮基·黑利
Chris Evert,克里斯·埃弗特
David Oliver,大衛·奥利弗
Erik Kynard,埃里克·金纳德
David Neville,戴维·内维尔
David Payne,大卫·佩恩
Dr. Dre,德瑞医生
Mark Sanford,馬克·桑福德
Rosalind Picard,罗莎琳·皮卡德
Louis Armstrong,路易斯·阿姆斯特朗
Charles Lindbergh,查爾斯·林德伯格
Eddie Cochran,艾迪·科克兰
Pharrell Williams,法瑞尔·威廉姆斯
Félix Sánchez,菲力克斯·桑切茲
Richard Nixon,理查德·尼克松
Hanna R. Hall,漢娜·R·霍爾
Jason Richardson,贾森·理查德森
Jean E. Sammet,珍·薩姆梅特
David Paterson,大衛·帕特森
Eliot Spitzer,艾略特·斯皮策
Lindsay Davenport,林赛·达文波特
Lyndon B. Johnson,林登·約翰遜
Jennifer Capriati,珍妮弗·卡普里亚蒂
Madonna,麥當娜
Sarah Allen,莎拉·艾伦
George Pataki,乔治·保陶基
James Brown,詹姆士·布朗
Phoebe Cates-Kline,菲比·凯茨
Grace Hopper,葛麗絲·霍普
Bill Hader,小威廉·托馬斯·哈德
Sharon Van Etten,莎伦·范埃滕
Dana Randall,達娜·藍道爾
Snoop Dogg,史努比狗狗
Jim Hodges,吉姆·霍奇斯
David Beasley,大卫·比斯利
Buddy Holly,巴迪·霍利
Hava Siegelmann,哈瓦·西格爾曼
Barbara Simons,芭芭拉·西蒙斯
Andrew Cuomo,安德鲁·库默
Carl W. Ackerman,亚更曼
Tupac Shakur,吐派克·夏庫爾
John F. Kennedy,约翰·肯尼迪
Dawn Harper-Nelson,道恩·哈珀-尼尔森
Kellie Wells,凯莉·韦尔斯
Ashton Eaton,阿什顿·伊顿
50 Cent,50 Cent
Fred Armisen,弗雷德·阿米森
Seth Meyers,塞斯·梅耶斯
Trey Hardee,崔·哈迪
Chuck Berry,查克·贝里
Christian Taylor,克里斯汀·泰勒
David Lynch,大卫·林奇
Stanley Kubrick,斯坦利·库布里克
Frances Allen,法兰·艾伦
Lance Armstrong,兰斯·阿姆斯特朗
Leah Jamieson,利亞·賈米森
Allen Ginsberg,艾爾文·艾倫·金斯堡
Katherine Johnson,凱瑟琳·強森
President of the United States,美國總統
John Boehner,約翰·博納
Edward Teller,愛德華·泰勒
Chet Baker,查特·贝克
John Doggett,約翰·多格特
Tina Fey,蒂娜·菲
Bode Miller,伯德·米勒
Jason Sudeikis,詹森•斯德基斯
Brittney Reese,布莉妮·瑞絲
Buzz Aldrin,巴兹·奥尔德林
Joe Biden,乔·拜登
