Ana de la Reguera,安娜·狄拉·雷格拉
Fray Tormenta,暴風修士
María del Rosario Espinoza,玛丽亚·埃斯皮诺萨
Álvaro Gaxiola,阿尔瓦罗·加克西奥拉
Stephen Austin,史蒂芬·F·奧斯汀
André-Pierre Gignac,安德雷-皮埃爾·吉尼亞克
Gerónimo,傑羅尼莫
Frida Kahlo,芙烈達·卡蘿
Pável Pardo,帕韦尔·帕尔多
Luis Echeverría Álvarez,路易斯·埃切维里亚
Plutarco Elías Calles,普卢塔科·埃利亚斯·卡列斯
Héctor Moreno,埃克托·莫雷诺
Jorge Campos (futbolista),豪尔赫·坎波斯
Lila Downs,利拉·唐斯
Lorena Ochoa,蘿瑞納·歐秋雅
Porfirio Díaz,波菲里奥·迪亚斯
Lupe Vélez,卢佩·贝莱斯
Alberto Valdés Ramos,阿尔韦托·巴尔德斯·拉莫斯
Carlos Fuentes,卡洛斯·富恩特斯
Norberto Rivera Carrera,諾伯·里韋拉·卡雷拉
Lucas Barrios,卢卡斯·巴里奥斯
José López Portillo,何塞·洛佩斯·波蒂略
Katy Jurado,凯蒂·胡拉多
Antonio Jasso,安东尼奥·哈索
Kate del Castillo,凱特·戴卡斯提洛
Adolfo Bautista,阿道弗·包蒂斯塔
Francisco León de la Barra,弗朗西斯科·莱昂·德拉巴拉
Pedro Lascuráin,佩德羅·拉斯庫賴因
Manuel Ávila Camacho,曼努埃尔·阿维拉·卡马乔
Manuel Uribe Garza,曼努埃爾·烏里韋
Andrés Guardado,安德烈斯·瓜尔达多
Mario Molina (químico),马里奥·莫利纳
Louis C.K.,路易·C·K
Vicente Guerrero,比森特·格雷罗
Miguel Alemán Valdés,米格爾·阿萊曼·巴爾德斯
Jonathan dos Santos,莊拿芬·杜斯山度士
Esteban Gutiérrez (piloto),埃斯特万·古铁雷斯
Diego Luna,狄亞哥·盧納
Jared Borgetti,哈雷德·博尔格蒂
Guadalupe Victoria,瓜达卢佩·维多利亚
Venustiano Carranza,贝努斯蒂亚诺·卡兰萨
Manuel M. Ponce,曼努埃尔·庞塞
Edith González,埃迪特·冈萨雷斯
Antonio Carbajal,安东尼奥·卡瓦哈尔
Pablo Barrera,巴勃罗·巴雷拉
Omar Bravo,奥马尔·布拉沃
Gerardo Torrado,赫拉多·托拉多
Alfonso Cuarón,艾方索·柯朗
Belem Guerrero Méndez,贝莱姆·格雷罗
Javier Lozano Barragán,沙勿略·洛萨诺·巴拉甘
León Trotski,列夫·托洛茨基
Ricardo Osorio,里卡多·奥索里奥
David Alfaro Siqueiros,大卫·阿尔法罗·西凯罗斯
Paul Aguilar,保罗·尼古拉斯·阿吉拉尔
Efraín Juárez,埃弗拉因·华雷斯
Javier Hernández Balcázar,哈维尔·埃尔南德斯
Gustavo Díaz Ordaz,古斯塔沃·迪亚斯·奥尔达斯
Carlos Salinas de Gortari,卡洛斯·萨利纳斯
Magdaleno Mercado,马格达莱诺·梅尔卡多
José Joaquín de Herrera,何塞·華金·德·埃雷拉
Francisco Carvajal,弗朗西斯科·卡瓦哈尔
Sebastián Lerdo de Tejada,塞瓦斯蒂安·莱尔多·德·特哈达
