Diego Velázquez,委拉斯開茲
Alfonso XII de España,阿方索十二世
Lionel Messi,利昂内尔·梅西
Amadeo I de España,阿玛迪奥一世·(西班牙)
Miguel Hidalgo y Costilla,米格尔·伊达尔戈·伊·科斯蒂利亚
Joaquín Rodrigo,霍亞金·羅德利果
Carlos VI del Sacro Imperio Romano Germánico,查理六世·(神圣罗马帝国)
Raúl Albiol,魯爾·艾比奧爾
José María Aznar,何塞·玛丽亚·阿斯纳尔
Carlos III de España,卡洛斯三世·(西班牙)
Pichichi (futbolista),皮奇奇
Jenaro Pérez Villaamil,赫纳罗·佩雷斯·比利亚米尔
Asier Illarramendi,阿希爾·伊利亞拉門迪
Daniel Barenboim,丹尼尔·巴伦博伊姆
Jorge Bagration de Mujrani,豪尔赫·德·巴格拉季昂
Marcelo Vieira,马塞洛·维埃拉
Manuel Cardona Castro,曼努埃尔·卡多纳
José Ortega y Gasset,何塞·奧特加·加塞特
Francisco de Goya,弗朗西斯科·戈雅
Salvador Dalí,萨尔瓦多·达利
Garbiñe Muguruza,加尔维涅·穆古拉扎
Daniel Brühl,丹尼爾·布爾
Mariana de Neoburgo,诺伊堡的玛丽亚·安娜
José Antonio Primo de Rivera,何塞·安东尼奥·普里莫·德里维拉
Joan-Enric Vives,霍安·恩里克·比韦斯-西西利亚
Felipe II de España,腓力二世·(西班牙)
Rafael Alberti,拉法埃尔·阿尔维蒂
Juan Gris,胡安·格里斯
Ana de Austria (reina de Francia),安妮·德·奧地利
Montserrat Caballé,蒙特塞拉特·卡芭葉
Shakira,夏奇拉
Pablo Picasso,巴勃羅·畢卡索
Sergio Rodríguez Gómez,塞爾吉奧·羅德里格斯
José Echegaray,何塞·埃切加赖
Dani Carvajal,丹尼尔·卡瓦哈尔
Julio Iglesias,胡利奥·伊格莱西亚斯
Joan Miró,胡安·米羅
Juan José Linz,胡安·林茲
Carlos Cuéllar,卡洛斯·库拉尔
Sergi Gómez,塞爾吉·戈麥斯
María Teresa de Austria (1638-1683),西班牙的玛丽-泰蕾莎
Artur Mas,阿圖爾·馬斯
Rafael Nadal,拉斐爾·拿度
Simón Bolívar,西蒙·玻利瓦尔
Paco de Lucía,帕科·德卢西亚
Ronaldinho,罗纳尔迪尼奥
Felipe III de España,腓力三世·(西班牙)
Hernán Cortés,埃爾南·科爾特斯
Itziar Ituño,伊齊爾·伊圖諾
José María Sánchez-Silva y García-Morales,何塞·玛丽亚·桑切斯-席尔瓦
Carlos X de Francia,查理十世·(法兰西)
Jesús Fernández (futbolista),捷西斯·費蘭迪斯
