Copa Mundial de Fútbol de 1986,1986年國際足協世界盃
México,墨西哥
Valle de México,墨西哥谷
Televisa,特莱维萨
Conector NEMA,NEMA聯結器
Municipio de Chimalhuacán,奇馬爾瓦坎
Golfo de California,加利福尼亚湾
Idioma ayapaneco,阿亚帕涅科语
Mexicali,墨西加利
Río Colorado,科羅拉多河
Compañía Mexicana de Aviación,墨西哥航空
Municipio de Ocosingo,奧科辛戈
Lucha libre profesional,職業摔角
Oaxaca de Juárez,瓦哈卡
Hermosillo,埃莫西约
Desierto de Sonora,索诺拉沙漠
Día de Muertos,亡灵节
Basílica de Santa María de Guadalupe,瓜达卢佩圣母圣殿
Idioma español,西班牙语
Cráter de Chicxulub,希克蘇魯伯隕石坑
Espanglish,西班牙英語
Copa Mundial de Fútbol de 1970,1970年國際足協世界盃
Canal de Yucatán,尤卡坦海峡
Lago de Chapala,查帕拉湖
Estadio Azteca,阿茲特克體育場
Hermanos de las Escuelas Cristianas,喇沙會
RWE,莱茵集团
Ciudad de México,墨西哥城
México en los Juegos Olímpicos de Pekín 2008,2008年夏季奥林匹克运动会墨西哥代表团
Zacatecas (Zacatecas),萨卡特卡斯
Morelia,莫雷利亚
Ciudad Victoria,維多利亞城·(墨西哥)
Aguascalientes (Aguascalientes),阿瓜斯卡连特斯
Himno Nacional Mexicano,墨西哥国歌
Nuevo Laredo,新拉雷多
Chihuahua,奇瓦瓦州
Mar Caribe,加勒比海
Liga de Ascenso de México,墨西哥足球甲級聯賽
Coahuila,科阿韋拉州
Saltillo,萨尔蒂约
Las Californias,加利福尼亞省
Día del maestro,教师节
Palacio de Iturbide,伊图尔维德宫
Ciudad Universitaria (Universidad Nacional Autónoma de México),大学城·(墨西哥城)
Península de Yucatán,尤卡坦半岛
Ejército Zapatista de Liberación Nacional,萨帕塔民族解放军
León de Los Aldama,莱昂·(墨西哥)
Gobierno provisional de México,墨西哥臨時政府
Abierto Mexicano de Tenis,墨西哥网球公开赛
Peso mexicano,墨西哥比索
Chichén Itzá,奇琴伊察
Chiapas,恰帕斯州
Baja California,下加利福尼亞州
Estado de Veracruz,韋拉克魯斯州
Gran Premio de México,墨西哥城大奖赛
México en los Juegos Olímpicos de Londres 2012,2012年夏季奧林匹克運動會墨西哥代表團
Estadio Beto Ávila,貝托·阿維拉棒球運動場
Meridiano 105 oeste,西经105度线
Estado de Guerrero,格雷羅州
Diócesis de Papantla,天主教帕潘特拉教區
Yucatán,尤卡坦州
Tuxtla Gutiérrez,图斯特拉古铁雷斯
Sierra Madre Oriental,東馬德雷山脈
Zamora de Hidalgo,萨莫拉-德伊达尔戈
Zapopan,萨波潘
Tepic,特皮克
Anexo:Gran Premio de México de 1989,1989年墨西哥大獎賽
Gastronomía de México,墨西哥飲食
Chilpancingo de los Bravo,奇爾潘辛戈
Cancún,坎昆
Cuernavaca,庫埃納瓦卡
Zihuatanejo,锡瓦塔内霍
Juegos Olímpicos de México 1968,1968年夏季奥林匹克运动会
Academia de San Carlos,圣卡洛斯学院
San Luis Potosí (ciudad),圣路易斯波托西
Yidis,意第緒語
Explosiones de Guadalajara de 1992,1992年瓜達拉哈拉大爆炸
Guadalajara (México),瓜达拉哈拉·(墨西哥)
Segundo Imperio mexicano,墨西哥第二帝國
Toluca de Lerdo,托卢卡
Ciudad Nezahualcóyotl,内萨瓦尔科约特尔城
Villahermosa (Tabasco),比亚埃尔莫萨
San Francisco de Campeche,坎佩切
Chihuahua (Chihuahua),奇瓦瓦市
Golfo de Campeche,坎佩切湾
Guanajuato (Guanajuato),瓜纳华托
Cuauhtémoc (Chihuahua),夸烏特莫克城
Colima,科利馬州
Colima (Colima),科利马
Golfo de México,墨西哥湾
Morelos,莫雷洛斯州
Matrimonio entre personas del mismo sexo en México,墨西哥同性婚姻
Río Bravo,格蘭德河
San Pedro Tlaquepaque,特拉克帕克
Culiacán,库利亚坎
Uxmal,乌斯马尔
La Paz (Baja California Sur),拉巴斯·(南下加利福尼亚州)
Aeroméxico,墨西哥國際航空
Aeroméxico Connect,墨西哥国际连接航空
AeroUnion,联盟货运航空
Chocolate caliente,热巧克力
Lenguas zapotecas,萨波特克语
Jalisco,哈利斯科州
San Luis Potosí,聖路易斯波托西州
Querétaro,克雷塔羅州
Diócesis de Mazatlán,天主教馬薩特蘭教區
Pachuca de Soto,帕丘卡
Municipio de Comondú,科蒙都
Selección de fútbol de México,墨西哥國家足球隊
Revolución mexicana,墨西哥革命
Municipio de Naucalpan de Juárez,瑙卡尔潘
Placa norteamericana,北美洲板塊
Partido Verde Ecologista de México,墨西哥生态主义绿党
Quiahuiztlán,基亚维斯特兰
Torreón (Coahuila),托雷翁
Tigres de Quintana Roo,金塔納羅奧老虎
Náhuatl,納瓦特爾語
Michoacán,米却肯州
Durango,杜蘭戈州
Idioma maya,猶加敦馬雅語
Lago de Texcoco,特斯科科湖
Mérida (México),梅里達·(墨西哥)
Diócesis de Netzahualcóyotl,天主教內薩瓦爾科約特爾教區
Nayarit,納亞里特州
Mesoamérica,中部美洲
