Idioma catalán,加泰罗尼亚语
Darníus,达尔纽斯
Figueras,菲格拉斯
Alfar (Gerona),阿尔法·(赫罗纳省)
Fortiá,福尔蒂亚
Garriguella,加里格利亚
Camprodón,坎普罗东
Alto Ampurdán,上安普尔丹
Rabós,拉沃斯
Fútbol Club Barcelona,巴塞罗那足球俱乐部
Mataró,马塔罗
Queralbs,克拉尔夫斯
Planolas,普拉诺拉斯
Argentona,阿尔亨托纳
San Juan de las Abadesas,圣胡安-德拉斯阿巴德萨斯
Ribas de Freser,弗雷塞河畔里瓦斯
Ripoll,里波尔
Portbou,波尔沃·(西班牙)
Navata (Gerona),纳瓦塔
Mollet de Peralada,莫列特-德佩拉拉达
Capmany,卡普马尼
La Junquera,拉洪克拉
Galicia,加利西亚·(西班牙)
Villar del Arzobispo,阿尔索维斯波村
Sistema de ligas de fútbol de España,西班牙足球联赛系统
Asturias,阿斯图里亚斯
Cantabria,坎塔布里亚
Pontevedra,蓬特韦德拉
Santa Coloma de Farnés,圣科洛马-德法尔内斯
Sils,锡尔斯
Provincia de Gerona,赫羅納省
Palau de Santa Eulalia,帕劳-德圣欧拉利娅
Ordis,奥尔迪斯
Pedret y Marsá,佩德雷特和马尔萨
Pau (Gerona),保村·(赫罗纳省)
Palau Sabardera,帕劳-萨瓦尔德拉
Barcelona,巴塞罗那
Madrid,马德里
Gran Premio de Europa,欧洲大奖赛
Generalidad de Cataluña,加泰隆尼亞政府
Riumors,留莫尔斯
Puerto de la Selva,塞尔瓦港
Historia de España,西班牙歷史
San Lorenzo de la Muga,圣洛伦索-德拉穆加
San Miguel de Fluviá,圣米格尔-德弗卢维亚
Rosas (Gerona),罗萨斯
Pont de Molíns,蓬特-德莫林斯
Economía de España,西班牙经济
Pontós,蓬托斯·(赫罗纳省)
Pirineos,比利牛斯山
Mislata,米斯拉塔
Calella,卡莱利亚
San Cipriano de Vallalta,圣西普里亚诺-德巴利亚尔塔
San Pol de Mar,滨海圣波尔
Bruñola,布鲁尼奥拉
Caldas de Malavella,卡尔达斯-德马拉韦利亚
Riells,列尔斯·(赫罗纳省)
Fogás de Tordera,福加斯-德托尔德拉
Riudarenas,留达雷内斯
La Línea de la Concepción,拉利内阿-德拉康塞普西翁
San Pablo de Seguríes,圣巴勃罗-德塞古列斯
Perelada,佩雷拉达
Vallfogona,巴尔福戈纳
Tosas,托萨斯
Setcasas,塞特卡萨斯
Lloret de Mar,滨海略雷特
Vilallonga de Ter,特尔河畔比拉利翁加
Tosa de Mar,滨海托萨
Blanes,布拉内斯
Osor,奥索尔
Amer,阿梅尔·(赫罗纳省)
Arbucias,阿武西亚斯
Anglés,安格莱斯
España,西班牙
Idioma español,西班牙语
Gerona,赫罗纳
Espolla,埃斯波利亚
Garrigás,加里加斯
