André-Pierre Gignac,安德雷·皮埃爾·吉尼亞克
Stephen F. Austin,史蒂芬·F.奥斯汀
Álvaro Gaxiola,阿尔瓦罗·加克西奥拉
Roque González Garza,罗克·冈萨雷斯·加尔萨
Porfirio Díaz,波菲里奥·迪亚斯
Genaro García Luna,杰纳罗·加西亚·卢纳
Manuel Camacho,曼努埃尔·卡马乔
Gerardo Torrado,赫拉多·托拉多
Pedro Armendáriz,佩德罗·阿门达里斯
Manuel M. Ponce,曼努埃尔·庞塞
Manuel Uribe Garza,曼努埃爾·烏里韋
Tulio Demicheli,圖里奧·德米切利
Adolfo Miguel Castaño Fonseca,亞道夫·彌額爾·卡斯塔尼奧-豐塞卡
Norberto Rivera Carrera,諾爾維托·里韋拉·卡雷拉
Mariana Bayón,马里亚纳·巴永
Adolfo Antonio Suárez Rivera,阿多夫·蘇亞雷斯·里維拉
Adolfo Bautista,巴迪斯達
Lucas Barrios,卢卡斯·巴里奥斯
Héctor Moreno,埃克托·莫雷诺
Jorge Campos,金保斯
Gerónimo,傑羅尼莫
Carlos Pellicer Cámara,卡洛斯·佩莱瑟
Venustiano Carranza,贝努斯蒂亚诺·卡兰萨
Diego Luna,狄亞哥·盧納
Pedro Lascuráin,佩德罗·拉斯库赖因·帕雷德斯
Manuel Ávila Camacho,曼努埃尔·卡马乔
María del Rosario Espinoza Espinoza,玛丽亚·埃斯皮诺萨
Dominika Paleta,多米尼卡·帕莱塔
Pedro Rodríguez de la Vega,佩德羅··羅德里格斯 (賽車手)
Ángel Reyna,安赫尔·雷纳
Carlos Slim,卡洛斯·斯利姆
Frida Kahlo,芙烈達·卡蘿
Anahí,阿纳希·普恩特
Javier Hernández Balcázar,哈维尔·埃尔南德斯
Adolfo Sánchez Vázquez,阿道弗·桑切斯·巴斯克斯
Francisco León de la Barra,弗朗西斯科·莱昂·德拉巴拉
Pablo Barrera Acosta,巴勃罗·巴雷拉
Omar Bravo,奥马尔·布拉沃
Fray Tormenta,暴風修士
Guadalupe Victoria,瓜达卢佩·维多利亚
Enrique del Moral,恩里克·德爾·多明格斯
Zuria Vega,苏莉雅·韦加
Ana de la Reguera,安娜·迪·拉·洛奎拉
Plutarco Elías Calles,普卢塔科·埃利亚斯·卡列斯
José López Portillo,何塞·洛佩斯·波蒂略
Katy Jurado,凱提·朱拉多
Miguel Alemán Valdés,米格尔·阿莱曼·巴尔德斯
Carlos Fuentes,卡洛斯·富恩特斯
Belem Guerrero Méndez,贝莱姆·格雷罗
Juan Carreño Sandoval,胡安·卡雷尼奥
Francisco Fonseca,弗朗西斯科·丰塞卡
Jared Borgetti,哈雷德·博尔格蒂
Carlos Salinas de Gortari,卡洛斯·薩利納斯·戈塔裡
Gustavo Díaz Ordaz,古斯塔沃·迪亞斯·奧爾達斯
Louis C.K.,路易·C·K
Vicente Guerrero,比森特·格雷罗
Esteban Gutiérrez,埃斯特万·古铁雷斯
Diego Rivera,迭戈·里韋拉
Edith González,埃迪特·冈萨雷斯
Antonio Carbajal,安东尼奥·卡瓦哈尔
Eduardo Capetillo,爱德华多·卡佩蒂洛
Mario Molina,马里奥·莫利纳
David Alfaro Siqueiros,大衛·阿爾法羅·西凱羅斯
Rosario Castellanos,罗萨里奥·卡斯特利亚诺斯
Kate del Castillo,凯特·德尔·卡斯蒂洛
Antonio Jasso,安东尼奥·哈索
Ricardo Rodríguez de la Vega,里卡多·羅德里格斯 (賽車手)
Daniel Bautista Rocha,丹尼尔·包蒂斯塔
Javier Lozano Barragán,哈维尔·洛萨诺·巴拉甘
Andrés Guardado,安德烈斯·瓜尔达多
Héctor Rebaque,黑克托·雷巴奎
Jonathan dos Santos,乔纳森·多斯桑托斯
Rosario Green,羅薩里奧·格林
Efraín Juárez,祖亞雷斯
Sebastián Lerdo de Tejada,塞瓦斯蒂安·莱尔多·德·特哈达
Manuel del Refugio González Flores,曼努埃尔·冈萨雷斯·弗洛雷斯
Thalía,坦莉雅
Nicolás Bravo,尼古拉斯·布拉沃
Mark Tacher,马克·塔赫
Juventud Guerrera,愛德華·阿尼巴爾·岡薩雷斯·赫爾南德斯
Tania Libertad,塔尼娅·利伯塔德
Marisol del Olmo,马里索尔·戴尔·奥尔莫
Elena Poniatowska,艾莉娜·波尼亞沃斯卡
Jessica Coch,杰西卡·科奇
Ron Chernow,朗·車諾
Pablo de Escandón,巴勃罗·埃斯坎东
Manuel de Escandón,曼努埃尔·埃斯坎东
Andrés Manuel López Obrador,安德烈斯·曼努埃尔·洛佩斯·奥夫拉多尔
Lydia Cacho,莉迪亚·卡乔
Alberto Valdés Ramos,阿尔韦托·巴尔德斯·拉莫斯
Edith Márquez,埃迪特·马尔克斯
Bernardo Segura,柏納多·斯魯亞
Emilio Portes Gil,埃米利奥·波特斯·希尔
Alfonso Bedoya,阿方索·貝多亞
Enrique González Martínez,恩里克·冈萨雷斯·马丁内斯
José Joaquín de Herrera,何塞·華金·德·埃雷拉
Kuno Becker,库诺·贝克
Lupe Jones,鲁皮塔·琼斯
Inés Efron,伊内斯·艾弗隆
Jessica Alba,潔西卡·艾巴
Adrián Aldrete,阿德里安·阿尔德雷特
Felipe Ramos Rizo,菲利普·拉摩斯
Adrián Chávez,阿德里安·查韦斯
Magdaleno Mercado,马格达莱诺·梅尔卡多
Francisco Carvajal,弗朗西斯科·卡瓦哈尔
León Trotski,列夫·托洛茨基
Gael García Bernal,加路·加西亞·般奴
Pedro Arandadíaz Muñoz,佩德羅·阿蘭達-迪亞茲·穆尼奧斯
Lila Downs,利拉·唐斯
Abel Salazar,阿贝尔·萨拉萨尔
Martín Luis Guzmán,马丁·路易斯·古斯曼
Lupe Vélez,卢佩·贝莱斯
Benito Juárez,贝尼托·华雷斯
Ximena Navarrete,希梅納·納瓦瑞提
Dulce María Sauri Riancho,杜尔塞·玛丽亚·索里·里安乔
George Corral,乔治·科拉尔
Paul Aguilar,保罗·尼古拉斯·阿吉拉尔
Ricardo Osorio,里卡多·奥索里奥
Egidio Arévalo Ríos,阿尔法罗·里奥斯
Gabriel Quadri,加布里埃尔·夸德里
Agustín Carstens,阿古斯丁·卡斯滕斯
José Clemente Orozco,何塞·克萊門特·奧羅斯科
Patricia Navidad,帕特里夏·纳维达
Manuel Mondragón,曼努埃爾·蒙德拉貢
Antonio Alatorre,安東尼奧·阿拉托雷
