Carlos VI del Sacro Imperio Romano Germánico,查理六世
Miguel de las Cuevas,德拉斯奎瓦斯
Álvaro II de Bazán,阿尔瓦罗·德·巴桑
Martin Suter,马丁·苏特
Miguel Hidalgo y Costilla,米格尔·伊达尔戈·伊·科斯蒂利亚
José María Aznar López,何塞·玛丽亚·阿斯纳尔
Jorge de Bragation-Mukhraneli,豪尔赫·德·巴格拉季昂
José Ortega y Gasset,何塞·奧特嘉·伊·加塞特
Alfonso XII de España,阿方索十二世
José Luis Panizo,荷西·路易斯·帕尼素
María Ostiz,玛丽亚·奥斯蒂斯
Diego Velázquez,委拉斯開茲
Lionel Messi,利昂内尔·梅西
Felipe II de España,腓力二世
Joaquín Rodrigo,霍亞金·羅德利果
Juan Gris,胡安·格里斯
José María Sánchez-Silva y García-Morales,何塞·玛丽亚·桑切斯-席尔瓦
Pablo Picasso,巴勃羅·畢卡索
Álex Rins,林斯
Santillana,辛迪拉拿
Artur Balder,亞瑟·鮑爾德
Ana de Austria y Austria-Estiria,奥地利的安妮
Javier Solana,哈维尔·索拉纳
Daniel Barenboim,丹尼爾·巴倫博伊姆
Paco de Lucía,帕科·德卢西亚
María Teresa de Austria,西班牙的玛丽-泰蕾莎
Francisco de Goya,弗朗西斯科·戈雅
Vicente López Portaña,维森特·洛佩兹
Shakira,夏奇拉
Alicia de Borbón,艾莉西亞公主 (卡拉布里亞女公爵)
José Manuel García-Margallo,何塞·加西亞·馬加洛
Raúl Albiol,魯爾·艾比奧爾
Daniel Brühl,丹尼爾·布爾
Amadeo I de España,阿玛迪奥一世
Sercan Sararer,塞尔坎·萨拉雷尔
Hernán Cortés,荷南·科爾蒂斯
Salvador Dalí,萨尔瓦多·达利
Joan Enric Vives,霍安·恩里克·比韦斯·西西利亚
Garbiñe Muguruza,加碧妮·穆古魯扎
Estrella Cabeza Candela,埃斯特雷亚·卡贝萨·坎德拉
Carlos II de España,卡洛斯二世
Carlos III de España,卡洛斯三世
Nicolás Federmann,尼古劳斯·费德曼
Pepín Bello,荷西·貝羅
Montserrat Caballé,蒙特賽拉特·卡芭葉
Joan Miró,胡安·米羅
Manuel Cardona Castro,曼努埃尔·卡多纳
Pichichi,皮奇奇
José Antonio Primo de Rivera y Sáenz de Heredia,普里莫·德里維拉
Mariana de Neoburgo,諾伊堡的瑪麗亞·安娜
Genaro Pérez Villaamil,赫纳罗·佩雷斯·比利亚米尔
Felipe III de España,腓力三世
David Vostell,大卫·沃斯特尔
Marc Márquez,馬克·馬爾克斯
Carlos X,查理十世
Artur Mas,阿圖爾·馬斯
Itziar Ituño,伊齐尔·伊图诺
Josep Tarradellas,何塞普·塔拉德利亚斯
Simón Bolívar,西蒙·玻利瓦尔
Lluís Llach Grande,路易斯·利亞奇
Paco Campos,帕高·甘保斯
Epifanio Fernández,伊比·費南迪斯
Lluís Companys,路易斯·孔帕尼斯
Max Cahner,马克斯·卡纳
Luis Fernando de Baviera,路德維希·斐迪南
Juan José Linz,胡安·林茲
Loreto Mauleón,洛雷托·毛莱昂
Mikel Martínez,麦克尔·马丁内斯
Federico Martín Bahamontes,费德里科·巴阿蒙特斯
Arturo Pérez-Reverte,阿圖洛·貝雷茲-雷維特
Jacinto Benavente,哈辛托·贝纳文特
Javier Manterola Armisén,哈维尔·曼特若拉
Rafael Alberti,拉斐尔·阿尔韦蒂
Jorge Guillén,豪尔赫·纪廉
Jesús Fernández,赫苏斯·费尔南德斯
Francisco Copado,弗朗西斯科·科帕多
Antonio Maceda,馬西遝
Rafael Alkorta,拉斐尔·阿尔科塔
Jesús Juárez Párraga,若蘇厄·華雷斯-帕拉加
Julio Iglesias,胡里奥·伊格莱西亚斯
Manuel Almunia,曼努埃尔·阿穆尼亚
Marcelo Vieira,马塞洛·维埃拉·达席尔瓦·儒尼奥尔
Rafael Nadal,拉斐爾·拿度
Carlos Leal,卡洛斯·李尔
Arianna Savall,阿里安娜·萨维尔
Teodoro Reding,特奥多尔·冯·雷丁
Sergio Rodríguez,塞爾吉奧·羅德里格斯
Eduardo Mendoza,爱德华多·门多萨·伽里加
Pedro de la Rosa,佩德罗·德·拉·罗萨
Fernando Álvarez de Toledo y Pimentel,费尔南多·阿尔瓦雷斯·德·托莱多，第三代阿尔瓦公爵
José Marti,何塞·马蒂
Pilar Miró,皮拉爾·米羅
Penélope Cruz,佩内洛普·克鲁兹
Enrique Simonet,恩里克·西蒙奈
Federico García Lorca,费德里戈·加西亚·洛尔卡
Néstor Almendros,尼斯高·阿爾門德羅斯
Julio Salinas,胡里奥·萨利纳斯
Sofía de Grecia,索菲亚
Leonor de Austria,奧地利的埃莉諾
José Comas y Solá,朱塞普·科马斯·索拉
Manuel Valls,曼努埃尔·瓦尔斯
Asier Oruesagasti,阿西耶·奥鲁萨加斯蒂
Martxelo Rubio,马特克瑟罗·卢比奥
Kandido Uranga,坎迪多·乌兰加
Emilio Butragueño,埃米利奥·布特拉格尼奥
Ricky Martin,瑞奇·馬丁
David Villa,大衛·比利亞
Ronaldinho,罗纳尔迪尼奥
Soraya Sáenz de Santamaría,索拉雅·薩恩茲·德·桑塔馬利亞
Juan de Persia,波斯的道恩·胡安
Mario Vargas Llosa,马里奥·巴尔加斯·略萨
Herrerita,靴里利達
Isco Alarcón,伊斯高
Pablo Espinosa,巴勃罗·埃斯皮诺萨
Miguel Delibes,米格爾·戴利貝斯
Illarramendi,阿希爾·伊利亞拉門迪
María de Austria y Portugal,瑪利亞
Ana de Austria,奧地利的安娜 (1549-1580)
Eduardo Chillida,爱德华多·奇利达
Antoni Tàpies,安東尼·塔皮埃斯
Margarita de Austria-Estiria,瑪格麗特
Mariano Rajoy,马里亚诺·拉霍伊
Alex Geijo,阿莱克斯·盖茹
Francisco Porrúa,法蘭西斯科·波魯瓦
Francisco Javier Morgan Osborne,弗朗西斯·泽维尔·摩根
Margarita de Austria,薩沃伊公爵夫人瑪格麗特
Carlos de Austria,唐·卡洛斯
Andrés Iniesta,安德烈斯·伊涅斯塔
Raúl González Blanco,劳尔·冈萨雷斯·布兰科
Ana Botella,安娜·博特拉
Isabel Clara Eugenia de Austria,伊莎貝拉·克萊拉·尤金妮亞
Iker Casillas,伊克尔·卡西利亚斯
Carlos Sastre,卡洛斯·萨斯特雷
José Carrillo de Albornoz,何塞·卡利羅·德·阿爾沃諾斯
Pánfilo de Narváez,潘菲洛·德·纳尔瓦埃斯
Carlos Cuéllar,卡洛斯·库拉尔
Javier Salinas Viñals,沙勿略·薩利納斯-比尼亞爾斯
Josep Puig i Cadafalch,何塞·普伊格·卡达法尔奇
Silvia Abril,西尔维娅·阿布里尔
Margarita Teresa de Austria,馬佳莉塔·德雷莎
José Echegaray,何塞·埃切加赖
Antonio Banderas,安东尼奥·班德拉斯
Juan de Austria,奧地利的唐胡安
María Ana de Austria y Austria-Estiria,瑪麗亞·安娜 (神聖羅馬皇后)
Fernando Alonso,费尔南多·阿隆索
Àlex Brendemühl,阿莱克斯·布伦德穆尔
Antonio María Rouco Varela,安東尼奧·瑪利亞·羅科·巴萊拉
Pierre-Emerick Aubameyang,皮埃尔-埃默里克·奥巴梅扬
Jordi Roura Solà,约尔迪·鲁拉
Fernando Rey,費爾南多·雷伊
Sergi Gómez,塞爾吉·戈麥斯
Jean Reno,让·雷诺
Augusto Roa Bastos,奥古斯托·罗亚·巴斯托斯
Pedro Mártir de Anglería,皮特·马特·德安吉拉
José Raúl Capablanca,何塞·劳尔·卡帕布兰卡
Jonathan dos Santos,乔纳森·多斯桑托斯
Carles Puyol,卡莱斯·普约尔
Catalina de Aragón,阿拉貢的凱瑟琳
Miguel Induráin,米格尔·安杜兰
españoles,西班牙人
Fernando Torres,費爾南多·托雷斯
Fernando Morientes,費蘭度·摩連迪斯
Àlex Corretja,亚历克斯·科雷查
Álvaro de Figueroa,阿尔瓦罗·德菲格罗亚
José María de Figueroa y Alonso-Martínez,何塞·德菲格罗亚
David Silva,大衛·席爾瓦
Plácido Domingo,普拉西多·多明哥
Juan Ramón Jiménez,胡安·拉蒙·希梅内斯
Xavi Hernández,哈维·埃尔南德斯
Óscar Pereiro,奥斯卡·佩雷罗·西奥
Rubén Pardo,魯本·帕爾多
José Saez,何塞·賽斯
María de las Mercedes de Borbón y Habsburgo-Lorena,阿斯圖里亞斯女親王瑪麗亞·梅塞德斯
Ángela Molina,安吉拉·莫莉娜
Daniel Carvajal,丹尼尔·卡瓦哈尔
Francisco Pizarro,法蘭西斯克·皮澤洛
José Luis Rodríguez Zapatero,何塞·路易斯·罗德里格斯·萨帕特罗
Juan Carlos Onetti,胡安·卡洛斯·奥内蒂
Sancho Gracia,桑丘·賈西亞
Pepe Reina,何塞·雷纳
Alonso Berruguete,阿朗索·贝鲁格特
Julen Lopetegui,盧柏迪治
Javi Varas,哈维·巴拉斯
Eugenia de Montijo,歐仁妮·德·蒙蒂荷
Ramón Barea,拉蒙·巴里亚
Enrique Iglesias,安立奎·伊格萊西亞斯
Thiago Alcántara,蒂亚戈·阿尔坎塔拉
Ignacio Camacho Barnola,伊拿斯奧·甘馬曹
Gerard Piqué,赫拉德·皮克
Jorge Semprún,豪爾赫·森普倫
Felipe González,费利佩·冈萨雷斯
Camilo José Cela,卡米洛·何塞·塞拉
Ignacio de Loyola,依納爵·羅耀拉
Johnny Rogers,约翰尼·罗杰斯
Eloy Gutiérrez Menoyo,埃洛伊·古铁雷斯·梅诺约
Luis del Sol,路易斯·德尔·索尔
Antonio María Claret,聖安道‧柯樂仁
Cesc Fàbregas,塞斯克·法比加斯
Oriol Junqueras,奧利歐·容克拉斯
Tomás de Berlanga,托馬斯·德·貝蘭加
Josep Guardiola,何塞普·瓜迪奥拉
Luis Pérez-Sala,路易斯·佩雷斯-薩拉
Alfonso XIII de España,阿方索十三世
Javier Bardem,哈維爾·巴登
José Manuel Pinto,何塞·曼努埃尔·平托
Víctor Valdés,维克托·巴尔德斯
Alberto Contador,阿尔伯托·康塔多
Sergio Busquets,塞尔希奥·布斯克茨
Antonio Barceló,安東尼奧·巴塞洛
Teresa de Jesús,阿维拉的德兰
Isabel de Valois,瓦卢瓦的伊丽莎白
Jesús Puras,赫苏斯·普拉斯
Isabel Fernandina de Borbón,伊莎貝爾·費爾南達·德·波旁
Juan de la Cueva de Garoza,胡安·德·拉·奎瓦
Luis Buñuel,路易斯·布努埃尔
Carmelo Gómez,卡梅洛·戈麥斯
José Ángel Egido,荷西·安傑爾·埃吉多
Alfredo Di Stéfano,阿尔弗雷多·迪·斯蒂法诺
Aritz Aduriz,阿列斯·阿杜列斯
Alfonso Menéndez Vallín,阿方索·梅嫩德斯
Álvaro Morata,阿尔瓦罗·莫拉塔
Andrés Guardado,安德烈斯·瓜尔达多
Joaquín Reyes Cano,华金·雷耶斯
Francisco Javier de Elío,弗朗西斯科·哈維爾·德·埃利奧
Vicente Guaita,維辛迪·古艾達
Sebastià Juan Arbó,塞瓦斯蒂亚·胡安·阿尔沃
Salva Sevilla,薩爾瓦·塞維拉
Alejandro González Iñárritu,阿利安卓·崗札雷·伊納利圖
Pedro Almodóvar,佩德罗·阿尔莫多瓦尔
Alejandro Cao de Benós de Les y Pérez,朝鮮一
Sergio Canales Madrazo,塞尔希奥·卡纳莱斯
Vicente Aleixandre,阿莱克桑德雷·梅洛
Juan Álvarez Mendizábal,胡安·阿爾瓦雷斯·門迪薩瓦爾
Fausto Delhuyar,福斯托·德卢亚尔
Isabel II de España,伊莎贝拉二世
Santiago Calatrava,聖地牙哥·卡拉特拉瓦
Lope de Rueda,洛佩·德·鲁埃达
Matilde Muñoz Sampedro,马蒂尔德·穆尼奥斯·桑佩德罗
Dani Güiza,丹尼·古爾沙
Vasco Núñez de Balboa,瓦斯科·努涅斯·德·巴尔沃亚
Valerio Lazarov,瓦列里乌·拉扎罗夫
Javier Balboa,哈維爾·巴爾博亞
Julio Estrada,胡里奧·埃斯特拉達
Cristian Tello,克里斯蒂安·特略
Ismael Serrano,意斯梅尔·塞拉諾
Elena de Borbón y Grecia,艾蓮娜
Lope de Vega,洛佩·德·维加
Antoni Gaudí,安东尼·高迪
Dani Parejo,丹尼尔·帕雷霍
José Callejón,何塞·卡列洪
Juan Bernat,胡安·贝尔纳特
Isaac Cuenca,伊萨克·昆卡
Gonzalo Jiménez de Quesada,贡查洛·希梅内兹·德·奎萨达
José Luis Pérez Caminero,甘明拿路
Javi Navarro,查維·拿華路
Luis León Sánchez,路爾斯·利安
Juan Carlos I de España,胡安·卡洛斯一世
Carme Chacón,卡梅·查孔
Iago Aspas,伊阿古·阿斯帕斯
Alejandro Pozuelo,亞歷漢德羅·珀蘇埃洛
Óscar Freire,奥斯卡·弗莱雷
David Cal,戴维·卡尔
Jaime Alguersuari,哈伊梅·阿古尔苏阿里
Adrián Campos,阿德里安·坎波斯
Daniel Sánchez Ayala,丹尼爾·艾耶拉
Bojan Krkić,博揚·柯爾基奇
David de Gea,大衛·迪基亞
Rafael Benítez,拉斐尔·贝尼特斯
Camilo Cienfuegos,卡米洛·西恩富戈斯
José Manyanet y Vives,约瑟夫·马尼亚内·I·维韦斯
Juan de Grijalva,胡安·德·格里哈尔瓦
Pedro Rodríguez Ledesma,佩德罗·罗德里格斯·雷德斯马
Josep Maria Subirachs,荷西·瑪利亞·蘇比拉克斯
Arantxa Parra,阿兰特拉·帕拉·桑托亚
Carlos IV de España,卡洛斯四世
Francisco Martínez de la Rosa,弗朗西斯科·马丁内斯·德·拉·罗萨
Diego Álvaro Domínguez Soto,阿尔瓦罗·多明格斯·索托
Joaquín Maurín,華金·莫林
Lupe Fuentes,盧佩·芳德斯
Alfonso Balcázar,阿方索·巴尔卡扎
César Rodríguez,施薩·洛迪古斯
María Amalia de Sajonia,薩克森的瑪麗·阿梅麗
Sinergio González Soriano,塞尔希奥·冈萨雷斯
Pedro Mosquera,佩德罗·莫斯克拉
Isabel de Borbón-Parma,伊莎貝拉
Curro Torres,庫羅·托雷斯
Catalina de Erauso,卡塔莉娜·德·埃劳索
Sebastián Vizcaíno,塞巴斯蒂安·比斯卡諾
Javier Portillo,查維·加西亞·樸迪路
Joan Llaneras Roselló,胡安·利亚内拉斯
Luis Miguel Arconada,阿干納達
Sisebuto,希瑟布特
Markel Susaeta,马克尔·苏塞塔
Miguel de Unamuno,米蓋爾·德·烏納穆諾
Manolo Jiménez Jiménez,马诺洛·希门尼斯
Javi Paredes Arango,查維亞·柏利迪斯
Alberto Bueno,阿爾貝托·布埃諾
Juan Mata,桑·馬達
Julen Guerrero,朱伦·格雷罗
Martín Fiz,马丁·菲兹
Matilde Camus,玛蒂尔德·卡缪
Felipe Pedrell,费利佩·佩德雷尔
Carlos Aranda,阿兰达
Núria de Gispert,努里亞德·基斯伯-加泰拉
Emma Penella,埃瑪·佩內利亞
Fernand Sanz,费尔南·桑
Pedro Calderón de la Barca,佩德罗·卡尔德隆·德·拉·巴尔卡
Emilio Mola,埃米利奥·莫拉
Michu,米捷
Jaime Caruana,海梅·卡鲁阿纳
Carlos de Amésquita,卡洛斯·德·阿梅斯奎塔
Adam Jabiri,亚当·贾比里
Álvaro González Soberón,阿尔瓦罗·冈萨雷斯·索韦龙
Manuel Pablo,曼努埃尔·巴勃罗
Xisco Jiménez Tejada,薛斯高
Joaquín Sorolla,華金·索羅拉
Piti,皮蒂
Álex Fernández Iglesias,亞歷山德羅·費爾南德茲
Manolo Preciado,曼努埃尔·普雷西亚多
Juan José Ibarretxe Markuartu,胡安·何塞·伊瓦雷切
Antonio Ruiz de Montoya,安东尼奥·鲁伊兹·德·蒙托亚
Santiago Ramón y Cajal,圣地亚哥·拉蒙-卡哈尔
Juana de Austria,胡安娜
Ferran Adrià,費蘭·阿德里亞
Abraham Minero,阿夫拉姆·米內羅
Paco Montañés,弗朗切斯科·蒙坦尼斯
Edu Oriol,爱德华·奥里奥尔
Mikel Balenziaga,米克尔·巴伦西亚加
shalo castro,干沙路·卡斯度
Emilio de Villota,埃米里奥·德·维罗塔
Daniel Alves,丹尼尔·阿尔维斯
Jesús Navas,赫蘇斯·納瓦斯
Juana I de Castilla,胡安娜
Ramón María Narváez,拉蒙·马里亚·纳尔瓦埃斯，第一代瓦伦西亚公爵
Jorge Edwards,豪爾赫·愛德華斯
Francisco Godia,帕科·戈迪亚
Alfonso de Portago,阿方索·德·波尔塔戈
Iván Navarro Pastor,伊萬·納瓦羅
Marc Gené,马克·吉尼
Roberto Acuña,杜路·阿肯拿
Jesús Franco,傑斯·佛朗哥
Miguel Servet,米格爾·塞爾韋特
Juan Antonio Samaranch,胡安·安东尼奥·萨马兰奇
Félix del Blanco Prieto,费利克斯·德尔·布兰科·普列托
Jorge de Oteiza,豪尔赫·奥泰萨
Felipe Caicedo Boom,加西度
Javier Moscoso,哈维尔·莫斯科索
Albert Espinosa,艾伯特·伊斯皮诺萨
Santi Cazorla,辛蒂·卡索拉
Isaac Albéniz,伊萨克·阿尔贝尼斯
Casemiro,卡斯米路
Daniel Ballart,丹尼尔·巴利亚尔特
Max Aub,马克斯·奥夫
Juan Ruiz de Alarcón,胡安·鲁伊斯·德·阿拉爾孔
Juan Carlos Ferrero,胡安·卡洛斯·费雷罗
Benito Floro,科魯
Montserrat Lombard,蒙特瑟拉特·朗巴德
Santiago Segura,圣地亚哥·塞古拉
Morante de la Puebla,莫兰特·德拉·普埃布拉
Mikel Arteta,米克尔·阿特塔
Eduardo Rosales,爱德华多·罗萨莱斯
Louis Blanc,路易·布朗
