México,墨西哥
Copa Mundial de Fútbol de 1986,1986年世界盃足球賽
Ejército Zapatista de Liberación Nacional,萨帕塔民族解放运动
Supremo Poder Ejecutivo,墨西哥臨時政府
Abierto Mexicano de Tenis,墨西哥阿卡普爾科網球公開賽
Las Californias,加利福尼亞省
Día del maestro,教师节
Liga de Ascenso de México,墨西哥足球升级联赛
Ciudad Universitaria de la UNAM,大学城 (墨西哥城)
Chimalhuacán,奇馬爾瓦坎
clasificación de RTC,廣播，電視和電影電影評級
Canal de Yucatán,尤卡坦海峡
Estadio Azteca BBVA,阿茲特克體育場
Coahuila de Zaragoza,科阿韋拉州
Lago de Chapala,查帕拉湖
ayapanecaca,阿亚帕涅科语
Kabáh,卡巴
conector NEMA,NEMA聯結器
Grupo Televisa,特莱维萨
Día de Muertos,亡灵节
mar Caribe,加勒比海
Copa Mundial de Fútbol de 1970,1970年世界盃足球賽
lucha libre profesional,职业摔角
clasificación ESRB,ESRB评级
Zacatecas,萨卡特卡斯
RWE,莱茵集团
Instituto de los Hermanos de las Escuelas Cristianas,喇沙會
identificador ESRB,ESRB遊戲識別碼
Desierto de Sonora,索诺拉沙漠
Oaxaca de Juárez,瓦哈卡
Nuevo Laredo,新拉雷多
Chihuahua,奇瓦瓦州
León de Los Aldama,莱昂
Aeropuerto Internacional de Piedras Negras,彼德拉斯內格拉斯
Aeromar,墨西哥空海航空
Mexicana de Aviación,墨西哥航空
Hermosillo,埃莫西约
Zihuatanejo,锡瓦塔内霍
Presa Zimapán,锡马潘坝
Saltillo,萨尔蒂约
Valle de México,墨西哥谷
Morelia,莫雷利亚
historia de los judíos en México,墨西哥犹太人历史
Mexicali,墨西卡利
México en los Juegos Olímpicos de Londres 2012,2012年夏季奧林匹克運動會墨西哥代表團
Río Colorado,科羅拉多河
español,西班牙語
México en los Juegos Olímpicos de Pekín 2008,2008年夏季奥林匹克运动会墨西哥代表团
península de Yucatán,尤卡坦半岛
Palacio de Iturbide,伊圖爾維德宮
Suprema Corte de Justicia de la Nación,墨西哥最高法院
Cráter de Chicxulub,希克蘇魯伯隕石坑
Estado de Veracruz,韋拉克魯斯州
Palacio de los Deportes,体育宫
Molokanes,摩洛肯派
Basílica de Santa María de Guadalupe,瓜达卢佩圣母圣殿
Ocosingo,奧科辛戈
Ocosingo,奧科辛戈
batalla del Monte de las Cruces,拉斯克鲁塞斯山口之战
San Luis Potosí,圣路易斯波托西市
Ciudad Victoria,維多利亞城
Ciudad de México,墨西哥城
gastronomía de México,墨西哥菜
Academia Mexicana de Artes y Ciencias Cinematográficas,墨西哥電影藝術與科學學院
Academia de San Carlos,圣卡洛斯学院
Meridiano 105 oeste,西经105度线
Golfo de California,加利福尼亚湾
Cuauhtémoc,夸烏特莫克城
Cuernavaca,庫埃納瓦卡
Himno Nacional Mexicano,墨西哥国歌
Aguascalientes,阿瓜斯卡连特斯
Chiapas,恰帕斯州
Anexo:Gran Premio de México de 1966,1966年墨西哥大獎賽
Anexo:Gran Premio de México de 1987,1987年墨西哥大獎賽
Anexo:Gran Premio de México de 1989,1989年墨西哥大獎賽
Chichén Itzá,奇琴伊察
Baja California,下加利福尼亞州
totonaco de Papantla,帕潘特拉托托纳克语
espanglish,求戀家庭
Sierra Madre Oriental,東馬德雷山脈
Chihuahua,奇瓦瓦市
matrimonio entre personas del mismo sexo en México,墨西哥同性婚姻
Anexo:Volcanes de México,墨西哥火山列表
Tuxtla Gutiérrez,图斯特拉－古铁雷斯
Chilpancingo de los Bravo,奇爾潘辛戈
Morelos,莫雷洛斯州
Estadio Sherwin-Williams Beto Ávila,貝托·阿維拉棒球運動場
Diócesis de Papantla,天主教帕潘特拉教區
Villahermosa,比亚埃尔莫萨
Zamora de Hidalgo,萨莫拉-德伊达尔戈
Guerrero,格雷羅州
Anexo:Gran Premio de México de 1964,1964年墨西哥大獎賽
Golfo de México,墨西哥湾
Colima,科利马
Anexo:Gran Premio de México de 1965,1965年墨西哥大獎賽
Yucatán,尤卡坦州
Aeroméxico Connect,墨西哥航空快捷
Aeroméxico,墨西哥國際航空
Aeropuerto Internacional De Torreón Francisco Sarabia,托雷翁国际机场
peso mexicano,墨西哥比索
Matachí,马塔奇
Golfo de Campeche,坎佩切湾
Guanajuato,瓜纳华托
Comondú,科蒙都
Tepic,特皮克
Explosiones de Guadalajara de 1992,1992年瓜達拉哈拉大爆炸
Estadio de Béisbol Monterrey,蒙特雷體育場
Lago de Xochimilco,索奇米尔科湖
Miss Universo 1962,1962年度環球小姐比賽
Miss Universo 1964,1964年度環球小姐比賽
Miss universo 1965,1965年度環球小姐比賽
Miss Universo 1963,1963年度環球小姐比賽
San Luis Potosí,圣路易斯波托西州
